[00:00:05.856 --> 00:00:06.296]  Sign up.
[00:47:18.295 --> 00:47:21.236]  The body will react and heal itself given the proper nutrition.
[00:47:21.456 --> 00:47:24.558]  This superfood will be your greatest asset, so try it today!
[00:47:24.938 --> 00:47:27.000]  Store it today and change your life.
[00:47:27.300 --> 00:47:32.323]  Call 908-691-2608 or order from hempusa.org.
[00:47:33.764 --> 00:47:35.926]  The GCN Radio Network.
[00:47:36.286 --> 00:47:39.248]  Providing the world with hard-hitting talk radio.
[00:47:39.769 --> 00:47:40.429]  GCN.
[00:47:40.889 --> 00:47:42.851]  Great talk radio starts here.
[00:47:48.732 --> 00:47:50.653]  I'm looking at the London Guardian headline right now.
[00:47:50.693 --> 00:47:54.234]  British woman arrested and imprisoned for asking cop for badge number.
[00:47:54.754 --> 00:47:56.835]  Shows him choking her and beating her.
[00:47:57.475 --> 00:47:59.416]  And the police are saying that's the new policy.
[00:47:59.436 --> 00:48:01.197]  You ask us a question, we beat you.
[00:48:02.557 --> 00:48:03.858]  We'll talk to Dr. Roberts about that.
[00:48:03.918 --> 00:48:04.979]  His new book covers it.
[00:48:05.639 --> 00:48:08.382]  The issue here is, we've seen this in society over and over again.
[00:48:08.402 --> 00:48:12.225]  The reason I bring it up, as we get into Iran, is I don't support the Mullahs.
[00:48:12.785 --> 00:48:14.807]  I know governments tend to get corrupt and evil and bad.
[00:48:14.847 --> 00:48:20.251]  The point is, is that our government has overthrown them in 53 for people that don't know, and Dr. Roberts can speak to that.
[00:48:20.852 --> 00:48:23.494]  The issue is, they're in there fomenting this revolution.
[00:48:24.114 --> 00:48:26.716]  This guy's got connections to the CIA and MI6.
[00:48:28.252 --> 00:48:39.138]  We've clearly got color revolutions in there for people that don't know, and if the globalists, the people running our country, are able to bring down Iran, that's going to embolden them to attack more nations.
[00:48:39.218 --> 00:48:51.804]  So, that's my point here, and Dr. Roberts, I saw him three, four days ago, write editorials, and he'd show photos pointing out, why are these Iranians wearing green for the opposition candidate holding up signs?
[00:48:52.404 --> 00:48:52.624]  I don't
[00:49:12.210 --> 00:49:15.193]  And then cropping the photos to deceive people.
[00:49:15.213 --> 00:49:17.214]  So there's all sorts of chicanery.
[00:49:17.254 --> 00:49:29.005]  In fact, I'm not defending the security forces there, but if you watch those videos on YouTube carefully, there are people firing at the police, attacking their positions, burning cars, and the police are firing back.
[00:49:29.285 --> 00:49:30.426]  So all I'm saying is,
[00:49:30.922 --> 00:49:39.289]  There's deception going on, and I've seen Fox News saying, and CNN, oh, we ought to help the Iranians, we ought to give them support, we ought to try to overthrow them.
[00:49:39.709 --> 00:49:40.890]  That's deception, folks.
[00:49:40.930 --> 00:49:50.238]  The White House admits, and the last White House admits, they're in there manipulating this, they are in there pushing this, so why don't they just be honest?
[00:49:50.278 --> 00:49:50.918]  Dr. Roberts.
[00:49:51.739 --> 00:49:54.041]  Well, let me just give some facts.
[00:49:54.061 --> 00:49:56.263]  This is not anything to do with my opinion.
[00:49:57.684 --> 00:49:59.145]  We've known since May of 2007
[00:50:01.041 --> 00:50:22.976]  From ABC News, from the London Telegraph, from Seymour Hersh, the New Yorker, that President Bush had signed an authorization for a black ops group to destabilize the Iranian government and to topple it.
[00:50:23.097 --> 00:50:25.678]  So they've had that for two years.
[00:50:25.999 --> 00:50:28.000]  They've had an open-ended budget.
[00:50:28.747 --> 00:50:39.655]  We also know, there are press reports, that we have been funding not merely politically distant groups, but also terrorist groups.
[00:50:40.315 --> 00:50:40.596]  MEK.
[00:50:41.696 --> 00:50:42.877]  MEK, for example.
[00:50:44.939 --> 00:50:51.924]  Groups that are or were, before we began supporting them, on the State Department's list of terrorist organizations.
[00:50:52.004 --> 00:50:56.487]  And we know recently there have been bombings and assassinations.
[00:50:57.873 --> 00:51:02.315]  In Iran, carried out by these terrorist groups that we fund.
[00:51:04.837 --> 00:51:09.399]  So we know that there is this operation going.
[00:51:09.419 --> 00:51:10.760]  It's been going for two years.
[00:51:11.881 --> 00:51:25.428]  We also know, for example, that the National Endowment for Democracy funds dissident groups in
[00:51:26.472 --> 00:51:31.973]  Countries that we want to control, where we want to orchestrate a revolution, a color revolution.
[00:51:35.894 --> 00:51:49.056]  Recently, the arch neoconservative Kenneth Timmerman, who has an organization called Foundation for Democracy.
[00:51:53.476 --> 00:52:02.898]  It's funded by the National Endowment for Democracy, and the purpose of Timmerman's organization is to promote democracy in Iran.
[00:52:03.378 --> 00:52:07.819]  Now, here's what he wrote prior to the election.
[00:52:09.160 --> 00:52:17.081]  He wrote, this is before anybody has voted in Iran, there's talk of a green revolution in Tehran.
[00:52:18.202 --> 00:52:19.282]  Well now, how would he know that?
[00:52:20.501 --> 00:52:22.262]  Unless it was an orchestrated plan.
[00:52:22.622 --> 00:52:33.446]  Why would there be a Green Revolution prepared prior to the vote, especially if Mousavi and his supporters were as confident of victory as they claim?
[00:52:34.246 --> 00:52:38.067]  In other words, this was all set up in advance.
[00:52:41.351 --> 00:52:50.997]  And Timmerman goes on to say that the National Endowment for Democracy, these are direct quotes, has spent millions of dollars promoting color revolutions.
[00:52:51.597 --> 00:53:04.345]  Some of that money appears to have made it into the hands of pro-Mussabi groups who have ties to non-governmental organizations outside Iran that the National Endowment for Democracy funds.
[00:53:04.785 --> 00:53:05.546]  So there we have it.
[00:53:05.766 --> 00:53:09.328]  It's no doubt that we're funding these people, including
[00:53:10.835 --> 00:53:11.496]  Absolutely, Doctor.
[00:53:11.516 --> 00:53:19.427]  And that's why your articles that we're having links to up on InfoWars.com and PrisonPlanet.com and up on CounterPunch.org and others are so important.
[00:53:19.467 --> 00:53:24.954]  But I'd like you to go back before you continue and we've got one more segment with you after the news and we appreciate the time.
[00:53:24.974 --> 00:53:26.276]  And it's this.
[00:53:27.250 --> 00:53:41.750]  On record, Sy Hersh actually in 2004 wrote that US forces were in there staging terror attacks, special forces were on the ground, that they had four groups, one Kurdish, three connected to Saudi Arabia, the Sunnis including
[00:53:42.570 --> 00:53:50.938]  The number three in Al Qaeda, this is mainstream news, blowing up mosques, bombing police stations, the Iranians have been suing the U.S.
[00:53:50.958 --> 00:53:51.559]  at the U.N.
[00:53:51.639 --> 00:54:07.154]  saying that our government's staging this, and then the White House, as you mentioned, in 2007 puts out a press release bragging they're doing it, and then I'm watching people last night on Fox News, I'm going to play a clip of the next segment, Lieutenant Colonel Bill Cohen bragging
[00:54:07.834 --> 00:54:10.716]  About how they need to torture people and invade Iran.
[00:54:10.937 --> 00:54:15.540]  Then he goes on Fox to run Black Ops on the American people and says, I'm angry at Obama.
[00:54:15.900 --> 00:54:19.463]  He's not supporting the overthrow and these great freedom fighters.
[00:54:19.943 --> 00:54:23.206]  Knowing the whole thing's run by Bush and now still Obama.
[00:54:23.906 --> 00:54:28.130]  Cynical Black Ops behaving as if this whole thing isn't staged.
[00:54:28.410 --> 00:54:33.694]  While Al-Qaeda is attacking Iran when we're losing all our freedoms because of Al-Qaeda.
[00:54:34.697 --> 00:54:34.997]  Yeah.
[00:54:35.317 --> 00:54:37.538]  Well, you've got it figured out.
[00:54:38.798 --> 00:54:41.138]  And I think there's so many dead giveaways.
[00:54:41.198 --> 00:54:48.300]  For example, Mousavi declared his victory several hours before the polls closed.
[00:54:48.680 --> 00:54:49.560]  Ah, yes, I remember that.
[00:54:49.800 --> 00:54:56.962]  Now, see, this is classic CIA destabilization, because it discredits a contrary outcome.
[00:54:57.822 --> 00:55:14.286]  And it forces an early declaration of the vote, because along the time interval between the preemptive declaration of victory and the release of the vote tally, the longer Musavi and the CIA have to create the impression that the authorities are using the time to fix the vote.
[00:55:15.346 --> 00:55:18.267]  And it's just amazing to me that people don't see through this trick.
[00:55:19.372 --> 00:55:36.585]  Well, that's really a key point, and when I saw your article yesterday, I went and looked that up, and even an Iranian press TV and BBC, you're right, hours and hours before it was even completed, he was already declaring victory and saying he'd won by this giant margin.
[00:55:36.965 --> 00:55:42.109]  How could he know to put out the false idea that then, when he lost, it was a cheat?
[00:55:42.409 --> 00:55:45.812]  Yeah, that's the way you work it.
[00:55:47.092 --> 00:55:53.235]  And there are some other tell-tale things, for example... Well, it's based on a color.
[00:55:53.535 --> 00:55:55.056]  That's what George Soros always does.
[00:55:55.116 --> 00:55:55.857]  It's mindless.
[00:55:56.257 --> 00:55:59.278]  It's... Alex, let me get... Sorry, go ahead.
[00:56:01.179 --> 00:56:08.342]  You know, according to the Iranian experts that we have, there's no real difference between Mousavi and Ahmadinejad.
[00:56:09.443 --> 00:56:13.705]  And the notion this guy is a moderate is absurd because, look,
[00:56:14.520 --> 00:56:22.003]  First of all, there's no history of large-scale election fraud in the Iranian presidential races.
[00:56:22.444 --> 00:56:26.486]  If the Mullahs don't like a candidate, they just kick him off the ballot!
[00:56:28.086 --> 00:56:33.489]  So if they were worried about Mousavi winning and didn't want him to win, they just wouldn't have put him on the ballot.
[00:56:33.709 --> 00:56:42.453]  Who gets on the ballot is up to that council, that small council of Mullahs, to choose.
[00:56:43.644 --> 00:56:56.674]  And so obviously they didn't have any objections to him, and when Khatami, a liberal former, ran for president, the entire conservative establishment absolutely hated him, but they did nothing about it.
[00:56:56.734 --> 00:56:58.235]  He won both of his races.
[00:56:59.797 --> 00:57:07.983]  And if they don't cheat against a liberal outsider like Khatami, how in the world would they cheat against a pillar of the establishment like Mousavi?
[00:57:08.743 --> 00:57:13.167]  So the whole thing is, I think, that Mousavi
[00:57:14.457 --> 00:57:24.982]  The CIA knows how to manipulate disgruntled people, and they're using him to discredit the Iranian government.
[00:57:27.062 --> 00:57:35.526]  I don't think they'll be able to topple it, because it seems to be mainly westernized youth in Tehran making these protests.
[00:57:36.406 --> 00:57:40.588]  But whether they topple it or not, they've won, because they will have discredited
[00:57:41.432 --> 00:57:50.774]  The Iranian government, the Ayatollahs thought this election would increase the foreign legitimacy of the regime.
[00:57:50.834 --> 00:57:52.155]  Instead, it's decreased it.
[00:57:52.195 --> 00:57:58.716]  So now, Obama has a reason to say, well, we were going to do diplomacy, but it's failed.
[00:57:58.796 --> 00:57:59.696]  Look, they're crooks.
[00:57:59.716 --> 00:58:00.777]  They steal elections.
[00:58:01.597 --> 00:58:05.758]  And there's nothing left but sanctions and the military option.
[00:58:06.619 --> 00:58:13.506]  And John Bolton told, according to the London Telegraph, who printed this... Hold on, gotta break.
[00:58:13.646 --> 00:58:14.687]  We'll come back after the news.
[00:58:14.707 --> 00:58:21.234]  I gotta interrupt you and we'll get to this incredible info from Dr. Paul Gregg Roberts laying out every piece of information.
[00:58:21.434 --> 00:58:23.116]  This is completely staged, folks.
[00:58:24.454 --> 00:58:28.475]  Hi, this is Ted Anderson introducing a new way to listen to GCN on your cell phone.
[00:58:28.535 --> 00:58:34.156]  If you own a smartphone like Blackberry, iPhone, or Arnold G1, there's a free application called Flycast.
[00:58:34.537 --> 00:58:40.358]  Simply download, install, and within minutes you'll be listening to your favorite GCN shows from the convenience of your phone.
[00:58:40.598 --> 00:58:45.819]  Go to GCNlive.com, download the Flycast application, and begin listening in a whole new way.
[00:58:45.959 --> 00:58:48.480]  The place to go to is GCNlive.com.
[00:58:48.580 --> 00:58:52.081]  Again, that's GCNlive.com, application, Flycast.
[00:58:53.527 --> 00:58:54.588]  Hi, this is Ted Anderson.
[00:58:54.768 --> 00:58:59.151]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:58:59.331 --> 00:59:05.035]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:59:05.135 --> 00:59:08.557]  Gold has outperformed paper investments, yet no word about IRAs.
[00:59:08.777 --> 00:59:11.379]  If you would like to have gold for your retirement, call 800-686-2237.
[00:59:11.499 --> 00:59:16.422]  Don't get left behind by rising inflation and low returns.
[00:59:16.562 --> 00:59:16.843]  Call 800-686-2237.
[00:59:16.863 --> 00:59:18.204]  Secure your future and call 1-800-686-2237.
[00:59:24.088 --> 00:59:25.949]  Heart disease is on the rise.
[00:59:26.089 --> 00:59:32.796]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:59:33.056 --> 00:59:41.223]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:59:41.444 --> 00:59:47.169]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:59:47.349 --> 00:59:49.130]  My blood pressure has normalized.
[00:59:49.190 --> 00:59:51.332]  My diabetes has totally improved.
[00:59:51.492 --> 00:59:55.735]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:59:55.896 --> 00:59:58.017]  I recommend Heart and Body Extract to everyone.
[00:59:58.117 --> 01:00:05.483]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:00:06.043 --> 01:00:09.164]  Order your two-month supply today by calling 866-295-5305.
[01:00:10.244 --> 01:00:13.966]  That's 866-295-5305.
[01:00:14.146 --> 01:00:16.967]  Or order online at HBextract.com.
[01:00:17.167 --> 01:00:23.168]  Heart and Body Extract 866-295-5305 or HBextract.com.
[01:00:23.529 --> 01:00:28.350]  To work with after Governor Perry signs the legis- Thank you for listening to GCN.
[01:00:28.730 --> 01:00:31.051]  Visit GCNlive.com today.
[01:00:31.591 --> 01:00:34.392]  News Radio 590, KLBJ all-
[01:00:37.648 --> 01:00:40.370]  Higher in USA Radio News, I'm Jason Walker.
[01:00:40.670 --> 01:00:45.874]  Bloodshed in Albuquerque, New Mexico Saturday morning when armed robbers hit a crowded Denny's restaurant.
[01:00:46.314 --> 01:00:47.955]  One employee shot and killed.
[01:00:48.195 --> 01:00:54.780]  Two people now in custody, but some witnesses say anywhere from two to six men barged into that restaurant.
[01:00:55.260 --> 01:01:02.303]  One worker has been killed, three others injured in an ammonia leak at a poultry processing plant in Lumber Ridge, North Carolina.
[01:01:02.683 --> 01:01:05.164]  Nearly 40 people in the plant at that time.
[01:01:05.624 --> 01:01:07.505]  Newly released data shows the U.S.
[01:01:07.565 --> 01:01:13.068]  Army has seen a near doubling of the number of soldiers being treated for alcohol dependency or abuse since 2003.
[01:01:14.068 --> 01:01:20.094]  Study says just 6 soldiers out of 1,000 were diagnosed with substance abuse in 2003.
[01:01:20.435 --> 01:01:22.517]  The problem isn't just confined to the Army.
[01:01:22.837 --> 01:01:29.164]  The Marine Corps says its figures have climbed some 12% from 2005 through last year.
[01:01:29.825 --> 01:01:32.748]  This is IRN USA Radio News.
[01:01:34.454 --> 01:01:36.395]  Are you losing your home to foreclosure?
[01:01:36.575 --> 01:01:38.777]  Are you behind on your mortgage and fear the worst?
[01:01:38.917 --> 01:01:50.465]  The Associates of Homeowners Legal Assistance would like to offer you a free, no-obligation consultation that will show you how to stop foreclosure, reduce your interest rates and possibly save you thousands on your mortgage.
[01:01:50.605 --> 01:01:53.947]  Don't let this economic slowdown take your home from you and your family.
[01:01:54.007 --> 01:01:55.128]  You've worked too hard.
[01:01:55.288 --> 01:02:04.394]  Homeowners Legal Assistance is an attorney-based loan modification firm that can negotiate the terms of your mortgage so you can afford to live in and enjoy the home you love.
[01:02:04.694 --> 01:02:07.516]  Call for a free, no-obligation consultation.
[01:02:07.636 --> 01:02:11.418]  There's no cost to find out how this program can help you save your home.
[01:02:11.598 --> 01:02:15.280]  It doesn't matter how far behind you are on payments or what your credit score is.
[01:02:15.440 --> 01:02:18.602]  Homeowner's Legal Assistance is here to listen and help.
[01:02:18.762 --> 01:02:21.603]  For your free, no-obligation consultation, call now 800-604-8525.
[01:02:21.663 --> 01:02:21.844]  That's 800-604-8525.
[01:02:21.884 --> 01:02:22.324]  Don't wait.
[01:02:22.344 --> 01:02:22.524]  Call 800-604-8525.
[01:02:22.544 --> 01:02:22.724]  That's 800-604-8525.
[01:02:34.431 --> 01:02:41.417]  President Obama using his weekly radio address to focus on his newly proposed Consumer Financial Protection Agency.
[01:02:41.497 --> 01:02:46.922]  It's charged with just one job, looking out for the interests of ordinary Americans in the financial system.
[01:02:47.302 --> 01:02:57.371]  This is essential, for this crisis may have started on Wall Street, but its impacts have been felt by ordinary Americans who rely on credit cards, home loans, and other financial instruments.
[01:02:57.631 --> 01:02:58.731]  Republicans Saturday.
[01:02:58.791 --> 01:03:00.112]  We're talking health care.
[01:03:00.152 --> 01:03:09.614]  Republicans have put forward common-sense solutions like reforming our medical liability laws to discourage junk lawsuits that make health care more expensive for everyone.
[01:03:09.874 --> 01:03:11.734]  Kentucky Senator Mitch McConnell.
[01:03:12.034 --> 01:03:17.936]  Secretary of State Hillary Clinton recovering now following surgery on a broken right elbow.
[01:03:18.296 --> 01:03:21.677]  Clinton tripped and fell Wednesday at the State Department building.
[01:03:21.977 --> 01:03:25.618]  She's slated to meet with a group of eight foreign ministers next week in Italy.
[01:03:25.998 --> 01:03:26.698]  Also go to our
[01:03:26.698 --> 01:03:29.204]  Afghanistan no word yet if she'll be able to make that trip.
[01:03:29.565 --> 01:03:32.492]  For the latest news analysis, log on to IRNnews.com.
[01:03:34.437 --> 01:03:37.438]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[01:03:37.478 --> 01:03:40.119]  There's a healthy and faster way to lose weight than any diet pill.
[01:03:40.239 --> 01:03:49.322]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[01:03:49.442 --> 01:03:51.482]  Two weeks of EverCleanse may be equal to months of dieting.
[01:03:51.562 --> 01:03:54.643]  Visit us at evercleanse.com or call now to receive a very special offer.
[01:03:54.723 --> 01:03:55.343]  That number is 800-567-5598.
[01:03:55.363 --> 01:03:56.044]  Call for your special offer.
[01:03:56.064 --> 01:03:56.104]  800-567-5598.
[01:03:56.124 --> 01:03:56.164]  800-567-5598.
[01:04:04.850 --> 01:04:13.214]  A reputed gang member out of Compton, California, profiled on America's Most Wanted for the murder of a man in Oklahoma, has now been arrested.
[01:04:13.534 --> 01:04:19.217]  Los Angeles County Sheriff's deputies located Lisa Gonzalez at a motel under an assumed name.
[01:04:19.617 --> 01:04:21.858]  She told them she was tired of running.
[01:04:21.878 --> 01:04:31.503]  A license check on a parked vehicle led them to find the felony warrant for her arrest in connection with the killing of an alleged gang rival, Elcio Chavera.
[01:04:31.963 --> 01:04:36.125]  Rivera was shot dead on his front porch in Oklahoma City six years ago.
[01:04:36.625 --> 01:04:42.347]  Air France arranging for compensation for the families of the victims of that plane crash in the Atlantic.
[01:04:42.727 --> 01:04:49.450]  More than 200 people died when the Air France flight from Rio de Janeiro to Paris crashed in the ocean after flying into bad weather.
[01:04:49.770 --> 01:04:53.291]  Airlines says the first advance will be paid and should amount to about $24,000.
[01:04:53.331 --> 01:04:55.432]  Total compensation, though, for each death could top $140,000.
[01:05:00.194 --> 01:05:01.895]  Father's Day is Sunday.
[01:05:01.915 --> 01:05:04.037]  A gift for Dad doesn't have to break the bank.
[01:05:04.217 --> 01:05:09.982]  AOL Consumer Advisor Regina Lewis says ingenuity is necessary when budgets are tight.
[01:05:10.382 --> 01:05:16.748]  This year it's expected that the average American will spend about $90 on Father's Day, down 4% from last year.
[01:05:16.768 --> 01:05:20.631]  Doesn't mean you can't hit it out of the park, though, if you've got to be a little bit creative.
[01:05:20.971 --> 01:05:25.160]  And she says it's even possible to find free gift ideas online.
[01:05:25.641 --> 01:05:26.343]  I'm Doug Wood.
[01:05:26.924 --> 01:05:28.166]  And I'm Jason Walker.
[01:05:28.307 --> 01:05:30.291]  This is IRN USA Radio News.
[01:05:40.043 --> 01:05:51.091]  Aerial spraying, chemtrails, the modified atmosphere, heavy metals and pesticides, carcinogens and chemical fibers all falling from the sky.
[01:05:51.771 --> 01:05:54.313]  You have a choice to keep your body clean.
[01:05:54.893 --> 01:06:00.317]  Detoxify with micro plant powder from hempusa.org or call 908-691-2608.
[01:06:04.560 --> 01:06:08.803]  It's odorless and tasteless and used in any liquid or food.
[01:06:09.284 --> 01:06:12.426]  Protect your family now with micro plant powder.
[01:06:13.166 --> 01:06:16.509]  Cleaning out heavy metals, parasites and toxins.
[01:06:17.069 --> 01:06:21.693]  Order it now for daily intake and stock it now for long term storage.
[01:06:22.233 --> 01:06:25.455]  Visit hempusa.org or call 908-691-2608 today.
[01:06:35.137 --> 01:06:36.598]  He stands for truth.
[01:06:36.638 --> 01:06:37.939]  He stands for justice.
[01:06:37.959 --> 01:06:39.800]  He stands for what's right.
[01:06:39.840 --> 01:06:41.021]  This is the Alex Jones Show.
[01:06:41.041 --> 01:06:42.762]  Call Alex now, toll free at 877-590-5525.
[01:07:03.752 --> 01:07:10.556]  Now live from Austin, Texas, here's Alex Jones.
[01:07:11.396 --> 01:07:20.121]  That's right, it's syndicated across the nation, from Los Angeles, California to Miami, Florida, from Chicago, Illinois to Austin, Texas, I am Alex Jones.
[01:07:20.581 --> 01:07:25.904]  Final hour, your calls, and a lot more straight ahead as we chronicle the out-of-control tyranny.
[01:07:26.858 --> 01:07:29.500]  of the offshore global crime syndicate known as the New World Order.
[01:07:45.490 --> 01:07:47.111]  I interjected some of that last segment.
[01:07:47.131 --> 01:07:51.713]  So in this final segment, the 10 minutes we have with you, can you recap all those incredible points?
[01:07:51.733 --> 01:07:57.636]  And then you were getting to the punchline with Bolton, Bush's ambassador to the UN, bragging.
[01:07:57.656 --> 01:08:02.999]  And I noticed Dr. Jerome Corsi, who I've interviewed, suddenly didn't want to attack Iran a few years ago.
[01:08:03.299 --> 01:08:07.121]  He said, oh no, we're going to overthrow it with these great young people.
[01:08:07.421 --> 01:08:09.062]  And so, yeah, they're pretty public about this.
[01:08:09.442 --> 01:08:10.082]  Yeah.
[01:08:10.402 --> 01:08:13.884]  Listen, let me just give some more information, then I'll try to...
[01:08:14.423 --> 01:08:16.224]  Sure, go ahead.
[01:08:16.744 --> 01:08:27.051]  The London Telegraph reported on May 16, 2007 that they had had an editorial meeting with John Bolton, you know, the neocon warmonger in the Bush administration.
[01:08:28.091 --> 01:08:32.594]  And the Telegraph says that Bolton told them that a U.S.
[01:08:32.694 --> 01:08:41.800]  military attack on Iran would be a last option after attempts to format a popular revolution had failed.
[01:08:42.535 --> 01:08:47.819]  So, it's quite clear that this is the American hand.
[01:08:48.359 --> 01:08:53.263]  I think it's also clear that some of these young people are very sincere.
[01:08:53.283 --> 01:09:06.313]  They're secularized, they're westernized, they're trying to free themselves from the Islamic moral codes so they can be like teenagers and young people in the United States.
[01:09:10.009 --> 01:09:13.411]  But they're being, you know, they're serving the CIA's purpose.
[01:09:13.431 --> 01:09:18.474]  They're going to end up with a puppet regime like they had before when we installed the Shah.
[01:09:19.034 --> 01:09:38.645]  Now, I also have an email from one of these, you know, hacker-spammer-knowledgeable-type people, and he said that he was struck by the sudden appearance of 30,000 Iran-related tweets, you know, in this Twitter thing they have now, and that just suddenly
[01:09:39.255 --> 01:09:42.196]  Jumped up and he looked into it and this is what he found.
[01:09:43.436 --> 01:09:48.597]  That each of these new sites had created their Twitter accounts on Saturday, June the 13th.
[01:09:50.377 --> 01:09:54.478]  Each had an extremely high number of tweets that's creating their profiles.
[01:09:55.379 --> 01:09:59.499]  Iran election was their most popular keyword.
[01:10:00.240 --> 01:10:01.440]  They were posting in English.
[01:10:02.705 --> 01:10:12.591]  Half of them had the exact same profile photo, and they each had thousands of followers and only a few friends, and their friends were each other.
[01:10:13.711 --> 01:10:23.276]  So he looks into this, and he narrows the spammers down to three of the most persistent, and does further research.
[01:10:24.877 --> 01:10:30.400]  He finds, for example, that within hours of the three of these
[01:10:32.145 --> 01:10:34.047]  I mean, I don't know.
[01:11:01.145 --> 01:11:08.417]  Uh, put out more disinformation and get young people all over the world behind the overthrow.
[01:11:09.287 --> 01:11:10.828]  Of the regime.
[01:11:11.088 --> 01:11:21.953]  And we know the United States did that in 1953 with the British, the exact same way, but by staging terror attacks and claiming the elected president, Mohammad Mosaddegh, had attacked the Muslim extremists.
[01:11:21.973 --> 01:11:30.077]  So last time, they manipulated the Muslim extremists into overthrowing Time Magazine poet, liberal, throwing Mosaddegh out.
[01:11:30.317 --> 01:11:32.678]  This time they're going to use the liberals to throw the Mullahs out.
[01:11:34.559 --> 01:11:36.740]  That's the plan, and you see,
[01:11:37.682 --> 01:11:40.044]  And there are splits among the Mullahs.
[01:11:40.084 --> 01:11:50.873]  For example, Ahmadinejad is reported by the lying Western media to be some kind of a right-wing guy that's in thick with the Mullahs.
[01:11:51.253 --> 01:12:00.921]  Well, the fact of the matter, he has spent most of the recent presidential campaign campaigning against the corruption of the Mullahs.
[01:12:01.641 --> 01:12:06.305]  In particular, the one he beat in the last election, that's Rafsanjani.
[01:12:07.105 --> 01:12:09.746]  Which, who is Mousavi's main backer.
[01:12:12.226 --> 01:12:17.727]  So, the Mullahs, most of the Mullahs are against Ahmadinejad.
[01:12:18.687 --> 01:12:21.768]  Because he has brought these corruption charges.
[01:12:21.808 --> 01:12:27.329]  You see, people in the countryside think the Mullahs have too much wealth and power and their lifestyle reflects it.
[01:12:27.409 --> 01:12:28.669]  Well, they do, yeah.
[01:12:28.809 --> 01:12:31.690]  And he made, that's what he campaigned on.
[01:12:34.798 --> 01:12:39.540]  But we don't get that information, but this is absolutely a fact.
[01:12:40.961 --> 01:12:50.145]  Well, I was going to say, the guy he's running against is back to the core of the founding and even tied into some Iran conference stuff, so he certainly has spook connections.
[01:12:51.606 --> 01:12:53.927]  Right, and he was the Prime Minister for eight years.
[01:12:54.287 --> 01:12:55.807]  Not the Prime Minister, the Foreign Minister.
[01:12:56.068 --> 01:12:57.528]  When it was the most oppressive regime.
[01:12:57.568 --> 01:12:59.049]  When it was the most oppressive.
[01:12:59.129 --> 01:13:03.511]  So, the notion that he's a reformer and
[01:13:04.523 --> 01:13:15.209]  You see, if the Muellers were afraid of him, they would have simply thrown him off the ballot, because they decide who gets to run for president.
[01:13:15.229 --> 01:13:16.309]  The Committee of Experts.
[01:13:16.469 --> 01:13:18.630]  Yeah, the Committee of Experts, whatever they're called.
[01:13:18.670 --> 01:13:19.991]  I can't remember the group's name.
[01:13:21.752 --> 01:13:28.255]  So, I think that for some reason, he was disaffected.
[01:13:28.355 --> 01:13:33.278]  They didn't know that, and he has
[01:13:34.045 --> 01:13:37.767]  He's either being manipulated by the CIA or he's in with them.
[01:13:48.903 --> 01:13:51.264]  But regardless, CIA fingerprints are all over it.
[01:13:51.284 --> 01:13:53.185]  They admit they're running it, so here's the question.
[01:13:53.625 --> 01:14:06.189]  Is this, in your opinion, and I think it's an expert opinion, Dr. Roberts, is this an attempt to discredit them in the American people's eyes, in the world's eyes, so the world will accept a NATO-slash-US-Israeli strike on Iran?
[01:14:06.229 --> 01:14:07.169]  Yes, that's it.
[01:14:08.691 --> 01:14:10.493]  Or it's to overthrow them.
[01:14:10.733 --> 01:14:17.679]  So either way they win and so all these dumb kids don't know they're about to bring in shock and awe in all their cities level.
[01:14:17.699 --> 01:14:19.001]  They're not going to be idiots.
[01:14:19.681 --> 01:14:25.226]  Those young secularized, westernized protesters are idiots.
[01:14:25.546 --> 01:14:30.611]  They're dupes of the CIA and they're either going to end up with an American puppet government
[01:14:31.047 --> 01:14:38.150]  Oh, they're going to have thousands of people killed and their beautiful country destroyed in an American military strike.
[01:14:38.270 --> 01:14:39.471]  One or the other is going to happen.
[01:14:40.091 --> 01:14:40.751]  And you just said it.
[01:14:40.892 --> 01:14:43.073]  Very modernized, very beautiful country.
[01:14:43.553 --> 01:14:45.133]  The big bankers don't like that.
[01:14:45.594 --> 01:14:46.074]  That's right.
[01:14:46.794 --> 01:14:49.255]  And not only that, you see, Iran is
[01:14:51.538 --> 01:14:55.460]  Getting connected with Russia and China and that new organization.
[01:14:55.940 --> 01:14:57.060]  Shanghai Cooperative.
