[00:00:14.116 --> 00:00:15.816]  There is a war.
[02:01:19.239 --> 02:01:25.142]  The globalists don't want us to build our own economy, but when you fund the Infowar, you fund your own future.
[02:01:25.142 --> 02:01:31.165]  You've seen the dividends just in the tax cuts, the sovereignty, our borders getting secure, that supporting Infowar has already brought you.
[02:01:31.465 --> 02:01:38.751]  So get free shipping and 50% off on Mico, ZX, and Floralife that go great together for gut health right now on InfoWarsTore.com.
[02:01:38.751 --> 02:01:44.355]  This special is about to end, but let's also look at the victims of globalism and how welfare is used to control them.
[02:01:44.355 --> 02:01:45.816]  Here it is.
[02:01:45.816 --> 02:01:51.981]  I know people, they work three jobs and they live next to somebody who doesn't work at all.
[02:01:51.981 --> 02:02:00.288]  And the person who's not working at all and has no intention of working at all is making more money and doing better than the person
[02:02:01.226 --> 02:02:03.988]  That's working his and her ass off.
[02:02:03.988 --> 02:02:05.849]  And it's not going to happen.
[02:02:05.849 --> 02:02:08.790]  Not going to happen.
[02:02:08.790 --> 02:02:12.332]  Give me my food stamps.
[02:02:12.332 --> 02:02:15.014]  Do you really want to work or do you just want to get a free check?
[02:02:15.014 --> 02:02:18.236]  I just want to get a free check.
[02:02:18.236 --> 02:02:20.417]  There's a sign behind you that says Waverly Job Center.
[02:02:20.417 --> 02:02:22.378]  Do you have any intention of going in to get a job?
[02:02:22.378 --> 02:02:23.699]  Or are you just going to get the food stamps?
[02:02:25.762 --> 02:02:28.366]  Not looking for a job.
[02:02:28.366 --> 02:02:33.875]  Why should I have to go work at retail and deal with snobby customers?
[02:02:33.875 --> 02:02:35.137]  Why?
[02:02:35.137 --> 02:02:38.403]  Why should I have to dare choose to do that?
[02:02:38.993 --> 02:02:43.395]  We called the Department of Children and Families to see what they've been doing to help.
[02:02:43.395 --> 02:02:50.418]  DCF says Hillsborough Kids Incorporated has been helping by paying Adam's rent, even providing her furniture.
[02:02:50.418 --> 02:02:52.559]  Adam says it isn't enough.
[02:02:52.559 --> 02:03:00.462]  Somebody needs to pay for all my children and my, and Gary, all our suffering, all our pain.
[02:03:00.462 --> 02:03:04.684]  Somebody needs to be held accountable and they need to pay.
[02:03:04.684 --> 02:03:05.985]  I honestly
[02:03:09.497 --> 02:03:11.038]  I don't want to work.
[02:03:11.038 --> 02:03:12.359]  And I'm not going to.
[02:03:12.359 --> 02:03:14.080]  You can't force me.
[02:03:14.080 --> 02:03:15.681]  I need my food stamps.
[02:03:15.681 --> 02:03:17.182]  I need them.
[02:03:17.182 --> 02:03:17.402]  Okay?
[02:03:17.402 --> 02:03:18.403]  This is not a joke.
[02:03:19.571 --> 02:03:20.851]  Just give me my food stamps.
[02:03:20.851 --> 02:03:22.552]  That's all I'm asking for.
[02:03:22.552 --> 02:03:31.674]  They are not incapacitated in any way or they, you know, they don't have a mental or physical disability that's documented and or could be observable.
[02:03:31.674 --> 02:03:39.436]  More counties will join them as federal exemptions to the requirements expire now that unemployment is below 10% for each affected county.
[02:03:39.656 --> 02:03:42.458]  I felt really bad about being on food stamps for a while.
[02:03:42.458 --> 02:03:47.802]  They're just for people who really, really need it, I thought, and I'm like living this flippant lifestyle in San Francisco.
[02:03:47.802 --> 02:03:49.383]  Do you think you really, really need it?
[02:03:49.383 --> 02:04:01.611]  Well, yeah, and eventually I just sort of realized that even though I'm 24, like, I still have responsibilities, I still have, like, hopes for my future, and if I need to be on food stamps to make that happen, then maybe I do really need it.
[02:04:01.611 --> 02:04:03.232]  Are you employed?
[02:04:03.232 --> 02:04:04.673]  No.
[02:04:04.673 --> 02:04:05.434]  How do you feel about that?
[02:04:06.437 --> 02:04:14.245]  I'm comfortable with it and I feel like I don't need to look for one because I get a check from the government every month.
[02:04:14.245 --> 02:04:17.188]  Do you feel guilty about using your food stamp card when you have $850,000 in the bank?
[02:04:17.188 --> 02:04:17.228]  No.
[02:04:22.151 --> 02:04:24.092]  No, I don't.
[02:04:24.092 --> 02:04:32.317]  I'm going by the rules, and if they need to change their rules, they can change their rules, but I don't see I'm doing anything wrong.
[02:04:32.317 --> 02:04:34.779]  How much do you collect in benefits?
[02:04:34.779 --> 02:04:41.243]  I give $7.80 in food stamps, $500 in tannins, and I get Medicaid and WIC.
[02:04:41.243 --> 02:04:44.225]  Give me my food stamps.
[02:04:48.172 --> 02:04:52.843]  If you are receiving this transmission, you are in resistance.
[02:04:52.843 --> 02:04:53.925]  Welfare reform.
[02:04:53.925 --> 02:04:55.369]  Does anybody want welfare reform?
[02:04:57.219 --> 02:04:58.020]  I'm so excited.
[02:04:58.020 --> 02:05:08.167]  The new product at Infowarslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[02:05:08.167 --> 02:05:16.674]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[02:05:16.674 --> 02:05:25.461]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[02:05:27.557 --> 02:05:37.800]  For the formulae, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules.
[02:05:37.800 --> 02:05:47.143]  And ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[02:05:47.143 --> 02:05:49.844]  It is amazing!
[02:05:49.844 --> 02:05:54.786]  Red Pill, now available at InfoWarsStore.com, and your purchase fugs the operation.
[02:06:02.082 --> 02:06:06.165]  Resistance to tyrants is obedience to God.
[02:06:06.165 --> 02:06:08.968]  It's Alex Jones.
[02:06:08.968 --> 02:06:12.891]  You can run on for a long time.
[02:06:12.891 --> 02:06:15.553]  Run on for a long time.
[02:06:15.553 --> 02:06:18.376]  Run on for a long time.
[02:06:18.376 --> 02:06:21.458]  Sooner or later gonna cut you down.
[02:06:21.458 --> 02:06:23.840]  Sooner or later gonna cut you down.
[02:06:26.285 --> 02:06:29.327]  Nobody is untouchable.
[02:06:29.327 --> 02:06:31.529]  No one is invincible.
[02:06:31.529 --> 02:06:36.812]  No one's untouchable by other men, much less God.
[02:06:36.812 --> 02:06:40.814]  And God is beginning to cut down the globalists like rats.
[02:06:40.814 --> 02:06:43.816]  The corrupt, evil, communist pope.
[02:06:43.816 --> 02:06:47.699]  The communist Chinese, the biggest mass murderers in history.
[02:06:47.699 --> 02:06:51.061]  Saudi Arabians that oppress women and murder people worldwide.
[02:06:51.926 --> 02:06:58.528]  They're all panicking against our new president, Donald John Trump.
[02:06:58.528 --> 02:07:03.670]  My gut told me two years ago to get behind Trump, but Ted Cruz had better rhetoric.
[02:07:03.670 --> 02:07:08.631]  So I was for him the first few months, but then I saw some things I didn't like.
[02:07:08.631 --> 02:07:12.552]  And even before the dirty tricks in Iowa and places, I went for Trump.
[02:07:12.552 --> 02:07:14.773]  And I said, my gut's never wrong.
[02:07:14.773 --> 02:07:16.414]  And as I get older, I learned to always follow.
[02:07:16.414 --> 02:07:18.434]  When I was young, I wouldn't.
[02:07:18.434 --> 02:07:19.234]  Proved me right.
[02:07:19.234 --> 02:07:20.675]  And man, I am humbled.
[02:07:24.541 --> 02:07:35.171]  I am humbled by his discernment, his knowledge, his piercing discernment and analysis.
[02:07:35.171 --> 02:07:41.257]  Now in this first hour, I'm going to air 20 plus minutes of the entire inaugural speech.
[02:07:41.257 --> 02:07:43.199]  Some of it is him thanking
[02:07:44.246 --> 02:07:53.674]  The Clintons and other presidents, but it's all backhanded because then he says, but now you did a great job doing all this horrible stuff, but now that all comes to an end.
[02:07:53.674 --> 02:07:56.096]  And there are tidbits in there.
[02:07:56.096 --> 02:08:10.528]  And again, I was, I was there just, just, just, just two days ago, just right below the podium, witnessing it and the rebirth of America.
[02:08:12.202 --> 02:08:18.684]  And the biggest piece of news, the biggest Trump secret I'm going to give out here, and you're going to say, oh I've heard this a bunch the last year on your show.
[02:08:18.684 --> 02:08:19.744]  Yes.
[02:08:19.744 --> 02:08:30.867]  Trump, but you notice what you hear on the show, and even the New York Times and a bunch of other publications had to admit this, what you hear here you're going to hear from Trump, but not because Trump's getting it from me.
[02:08:30.867 --> 02:08:35.128]  This is the spirit of America and the truth.
[02:08:35.128 --> 02:08:38.409]  Do you understand that it's admitted in congressional hearings that they call it
[02:08:39.400 --> 02:08:40.901]  Disruptive technologies.
[02:08:40.901 --> 02:08:45.984]  A 200-mile-to-the-gallon carburetor they had 25 years ago.
[02:08:45.984 --> 02:08:49.646]  Hell, 40 years ago they had 100-something-mile.
[02:08:49.646 --> 02:08:57.451]  Solar panels that basically never break, never go out, and that have five times the gathering capacity of the very best systems today.
[02:08:57.451 --> 02:08:58.351]  Things like that.
[02:08:58.351 --> 02:09:00.893]  They're slowly doling out the technology.
[02:09:00.893 --> 02:09:05.536]  The elites are on incredible power trips, sequestering it for a breakaway civilization.
[02:09:05.536 --> 02:09:07.477]  The future's here, it's just not evenly distributed.
[02:09:08.945 --> 02:09:32.792]  Trump intends to flood the entire planet with true globalism, with America as the operating system, the true America, not the modern liberal globalist eugenics America, but really working with people, really standing up for cultures that have good societies, crushing radical Islam, and transferring
[02:09:33.752 --> 02:09:41.917]  To the public, and transferring and ordering the pharmaceutical companies to know we're not going to treat all these cancers, you're going to give them the cures.
[02:09:41.917 --> 02:09:48.100]  And when I say cures, some people individually won't respond, but they've got stuff that's 99% effective.
[02:09:48.100 --> 02:09:49.741]  The elites are getting it, it's how they're living to 110, 115.
[02:09:54.989 --> 02:09:57.490]  So, if you're educated and informed, you know all this.
[02:09:57.490 --> 02:10:22.021]  And a lot of people, under the old globalist model, were clamoring to be part of the new civilization that they thought would be separate from humanity, and if they groveled to the New World Order, they would get the cancer treatments, they would get the life extension, they could be part of the secret programs and projects... ...that, I guess, those on Elysium would have access to.
[02:10:22.021 --> 02:10:23.142]  That's not happening now.
[02:10:24.648 --> 02:10:26.309]  If Trump has his way.
[02:10:26.309 --> 02:10:45.459]  The biggest secret of Trump is that he intends to turn loose all these disruptive technologies and to actually let partners have them and to work with Russia and others that also have advanced technologies because he knows a deal was made to let China take over.
[02:10:46.482 --> 02:10:53.265]  With economic warfare, and let them control the system, because they've proven themselves evil, killing over 100 million of their own people.
[02:10:53.265 --> 02:10:56.466]  So our elite went to work with China, just like they had been the last month.
[02:10:56.466 --> 02:11:02.388]  I told you months ago, they'll plan on China propping up world government, China to save this collapsing system.
[02:11:02.388 --> 02:11:08.070]  And then they come out in the news in hundreds of publications, Communist China to save the New World Order, and to defeat Trump.
[02:11:08.070 --> 02:11:08.590]  See?
[02:11:08.590 --> 02:11:12.752]  Our own media siding with people that oppress their own population.
[02:11:12.752 --> 02:11:13.132]  People ask,
[02:11:13.976 --> 02:11:17.537]  Especially intelligence agencies and military and others, they go, how does Jones know this?
[02:11:17.537 --> 02:11:21.337]  I had the New York Times walk up to me and say, you had to talk to Trump.
[02:11:21.337 --> 02:11:21.837]  I talked to you.
[02:11:21.837 --> 02:11:31.159]  I said, yeah, you tweeted that Trump is going to declare the new American century and godly providence and invoke God and take the birthright.
[02:11:31.159 --> 02:11:31.979]  Did you talk to him?
[02:11:31.979 --> 02:11:37.660]  I said, I said, I'm not going to comment because I just talked to him that week.
[02:11:37.660 --> 02:11:40.021]  I said, I said, I didn't talk to him about that.
[02:11:41.189 --> 02:11:46.392]  I looked at that New York Times guy who was just empty-souled, an intellectual smart, but empty-souled.
[02:11:46.392 --> 02:11:51.174]  And I said, it's the spirit, like the sixth sense, the ether, the brain's internet.
[02:11:51.174 --> 02:12:02.459]  I said, this is the destiny of America that people 500 years ago in England and Germany and the Netherlands and France envisioned in their minds, this whole future.
[02:12:02.459 --> 02:12:05.561]  Hell, 200 years ago, they were envisioning biometrics computers.
[02:12:05.561 --> 02:12:09.583]  They drew the double helix before an electron microscope was invented, they knew it.
[02:12:10.512 --> 02:12:12.775]  That's how beautiful humans are.
[02:12:12.775 --> 02:12:17.180]  And Trump knows that and wants to empower people, not enslave them.
[02:12:17.180 --> 02:12:20.885]  He feels small when you're small.
[02:12:20.885 --> 02:12:25.451]  The elite are so small, they feel good when you're down in the ditch, poor, a peon.
[02:12:30.427 --> 02:12:35.071]  So they're all over the news saying he's destroying the American run world government, the new world order.
[02:12:35.071 --> 02:12:35.892]  It's not American run.
[02:12:35.892 --> 02:12:41.877]  They used our power, our ingenuity, our system to build it and to destroy it.
[02:12:41.877 --> 02:12:44.859]  They build their world government while they destroy us.
[02:12:44.859 --> 02:12:55.369]  And they don't deliver any of the promises of the new global Atlantis that they got all the loving, smart, hardworking people to join them.
[02:12:55.369 --> 02:12:57.671]  They got so many members of my family
[02:12:58.391 --> 02:13:13.282]  In the last 60 years, who were all tops of their classes, or the best in the army, or the best at what they did, to join them, believing they were there to help poor people, believing they were there to deliver technology, believing they were there to really do all this, and it was all a lie!
[02:13:13.282 --> 02:13:20.667]  Well, Trump knows about all this, and this is now not a lie, ladies and gentlemen, and that's why the enemy of humanity is freaking out.
[02:13:21.786 --> 02:13:24.789]  Pulling out every stop, having convulsions.
[02:13:24.789 --> 02:13:33.776]  Next hour, I'm going to show you what has just recently been re-released from 60 Minutes in 19, what is it, 1964?
[02:13:33.776 --> 02:13:43.385]  Gloria Steinem of Miss Magazine and the whole feminist movement admitting she worked for the CIA and the whole plan was to get women to work for the government and to basically end the family.
[02:13:43.385 --> 02:13:44.326]  They are so arrogant.
[02:13:44.326 --> 02:13:45.427]  They are so evil.
[02:13:45.427 --> 02:13:46.828]  This is all coming up in the next hour.
[02:13:50.543 --> 02:13:54.586]  Donald Trump's new world order puts nation over globe.
[02:13:54.586 --> 02:13:56.788]  Trump challenge the world order.
[02:13:56.788 --> 02:13:59.550]  Trump's new world disorder.
[02:13:59.550 --> 02:14:02.212]  Will Trump be the end of the Pax Americana?
[02:14:02.212 --> 02:14:09.137]  Trump's taking off the spells end of the world for 20th century German FM Steinmeier.
[02:14:09.137 --> 02:14:10.678]  The end of liberal world order.
[02:14:10.678 --> 02:14:12.319]  The liberal world order?
[02:14:12.319 --> 02:14:15.362]  I saw this weekend going, it's the end of the liberal world order.
[02:14:16.775 --> 02:14:17.816]  China will save it!
[02:14:17.816 --> 02:14:21.840]  He'll save the democratic order, as the Chinese president spoke at Davos.
[02:14:21.840 --> 02:14:26.004]  China's unelected!
[02:14:26.004 --> 02:14:28.347]  China enslaves its people!
[02:14:28.347 --> 02:14:32.371]  Trump was elected!
[02:14:32.371 --> 02:14:37.236]  Their world government's anti-human, anti-nation state, anti-prosperity.
[02:14:37.236 --> 02:14:39.057]  Let me tell you what Russia's involved in.
[02:14:39.969 --> 02:14:58.913]  Russia kicked the oligarchs out about 17 years ago, and I wasn't sure if it was real for a while, and they started teaching Christianity, and family, and paying people to have kids, and paying people to not eat GMO, and they say they're stopping the vaccines, and they're going to be the world distributor of non-GMO food, and the light came back in the Russians' eyes all of a sudden.
[02:14:58.913 --> 02:15:00.194]  That was an example of the world.
[02:15:00.194 --> 02:15:01.574]  I was already doing this before Russia did it.
[02:15:02.435 --> 02:15:03.456]  They didn't get it from me.
[02:15:03.456 --> 02:15:05.456]  They just were rediscovering their humanity.
[02:15:05.456 --> 02:15:11.239]  And now Trump and everybody else and Brexit and Spain and Italy pulling out of the Euro.
[02:15:11.239 --> 02:15:13.160]  It's happening everywhere.
[02:15:13.160 --> 02:15:28.348]  They're in crisis because their world government was admittedly about austerity and starving people and eugenics and anti-human and was a breakaway civilization where they steal all the treasure of humanity and give it to themselves, not us!
[02:15:30.384 --> 02:15:33.905]  So does Trump take me serious?
[02:15:33.905 --> 02:15:38.087]  When his top advisors, his generals, you name it, are listeners, you damn well he does.
[02:15:38.087 --> 02:15:42.208]  But his discernment spirit already believes it and knows it and loves it.
[02:15:42.208 --> 02:15:44.229]  So people ask, do I talk to Donald Trump?
[02:15:44.229 --> 02:15:46.829]  Talk to him every day, right here on the air.
[02:15:46.829 --> 02:15:51.051]  So get that through your heads, folks, who are freaking out, yeah.
[02:15:51.051 --> 02:15:54.732]  We talk to Donald Trump, the president, every day, and you too.
[02:15:55.612 --> 02:15:58.193]  Are you happy washing your hands with harsh chemicals?
[02:15:58.193 --> 02:16:00.334]  Are you happy doing laundry with detergents?
[02:16:00.334 --> 02:16:02.315]  Are you happy paying high prices?
[02:16:02.315 --> 02:16:04.356]  Find your happiness with Pure Soap.
[02:16:04.356 --> 02:16:09.237]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[02:16:09.237 --> 02:16:10.118]  Buy in bulk.
[02:16:10.118 --> 02:16:13.019]  Get a 12, 36, or 48-month supply.
[02:16:13.019 --> 02:16:15.480]  Or get items individually and still save big.
[02:16:15.740 --> 02:16:19.024]  You're getting soap products twice as good as what you're using now.
[02:16:19.024 --> 02:16:21.286]  Earth friendly and natural soaps.
[02:16:21.286 --> 02:16:23.048]  Your family deserves the best.
[02:16:23.048 --> 02:16:25.731]  Happiness is 5starsoap.com.
[02:16:25.731 --> 02:16:28.494]  Why not put your money up the drain for a change?
[02:16:28.494 --> 02:16:31.037]  See them at 5starsoap.com or call
[02:16:32.498 --> 02:16:34.840]  Call 1-800-340-7091 for a catalog.
[02:16:34.840 --> 02:16:42.046]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[02:16:42.046 --> 02:16:44.528]  Soaps made from vegetable and coconut oils.
[02:16:44.528 --> 02:16:48.191]  See their full selection of soaps at 5starsoap.com.
[02:16:48.191 --> 02:16:50.293]  That's F-I-V-E, starsoap.com.
[02:16:50.293 --> 02:16:51.374]  Or call 1-800-340-7091 for a catalog.
[02:16:55.097 --> 02:16:56.998]  Fully cooked, ready-to-eat bacon.
[02:16:56.998 --> 02:17:00.219]  I'm talking thick, meaty, center-cut, presidential bacon.
[02:17:00.219 --> 02:17:01.819]  Savory and delicious.
[02:17:01.819 --> 02:17:04.660]  I buy some, I use some, I store some.
[02:17:04.660 --> 02:17:05.320]  Awesome.
[02:17:05.320 --> 02:17:08.402]  No refrigeration needed with a 10-year shelf life.
[02:17:08.402 --> 02:17:09.982]  NASA PAC Technology.
[02:17:09.982 --> 02:17:10.602]  Bacon.
[02:17:10.602 --> 02:17:14.744]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[02:17:14.744 --> 02:17:16.184]  Or warm and served.
[02:17:16.184 --> 02:17:18.225]  Life-saving, ready-to-eat bacon.
[02:17:18.225 --> 02:17:20.185]  10-year shelf life bacon.
[02:17:20.185 --> 02:17:22.946]  Ships free at FullyCookedBacon.com.
[02:17:22.946 --> 02:17:24.187]  FullyCookedBacon.com.
[02:17:24.980 --> 02:17:30.104]  The answer to being in control of your own health care is freedom from insurance.
[02:17:30.104 --> 02:17:35.808]  Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[02:17:35.808 --> 02:17:41.012]  Individual share amounts begin at $107 a month and $347 for families.
[02:17:41.012 --> 02:17:42.953]  Choose from three health sharing programs.
[02:17:42.953 --> 02:17:45.355]  Holistic treatments may be eligible for sharing.
[02:17:45.355 --> 02:17:46.295]  See guidelines.
[02:17:46.295 --> 02:17:49.578]  Discount programs available for dental, vision, and pharmacy.
[02:17:49.578 --> 02:17:51.519]  Go to LibertyOnCall.org.
[02:17:51.519 --> 02:17:53.080]  That's LibertyOnCall.org.
[02:17:56.573 --> 02:18:08.657]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[02:18:08.657 --> 02:18:10.038]  So what do we do about it?
[02:18:10.038 --> 02:18:13.379]  Well, for starters, don't just sit there and take it.
[02:18:13.379 --> 02:18:19.461]  Fight back with the all-new supercharged BrainForce Plus and feel the rush
[02:18:19.861 --> 02:18:21.141]  Without the crash.
[02:18:21.141 --> 02:18:27.343]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[02:18:27.343 --> 02:18:33.285]  And now we've added a brand new ingredient called Black Pepper Fruit Extract.
[02:18:33.285 --> 02:18:35.286]  It gives you an added kick.
[02:18:36.126 --> 02:18:48.833]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[02:18:48.833 --> 02:18:50.154]  It's the real deal.
[02:18:50.154 --> 02:18:51.894]  Brain Force Plus.
[02:18:51.894 --> 02:18:55.256]  Secure your bottle right now at InfoWarsStore.com.
[02:18:59.804 --> 02:19:04.467]  Proper B vitamin intake is essential to keep the body functioning at optimum levels.
[02:19:04.467 --> 02:19:07.029]  Up, up, up, up, optimum levels.
[02:19:07.029 --> 02:19:12.092]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[02:19:12.092 --> 02:19:14.014]  Up, up, up, up, optimum levels.
[02:19:14.014 --> 02:19:15.795]  B vitamins we need every day.
[02:19:15.795 --> 02:19:21.059]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[02:19:21.059 --> 02:19:22.680]  Up, up, up, up, optimal absorption.
[02:19:23.400 --> 02:19:29.023]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[02:19:29.023 --> 02:19:30.863]  Secret 12.
[02:19:30.863 --> 02:19:32.004]  Optimal absorption.
[02:19:32.004 --> 02:19:37.146]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[02:19:37.146 --> 02:19:42.328]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[02:19:42.328 --> 02:19:43.069]  Optimum levels.
[02:19:43.849 --> 02:19:45.451]  You're listening to the Alex Jones Show!
[02:20:19.062 --> 02:20:28.086]  Live from the Infowars.com studios, it's Alex Jones.
[02:20:28.086 --> 02:20:33.409]  So, don't believe me, just listen to Trump's speech.
[02:20:33.409 --> 02:20:38.091]  We're about to discover the keys to ending disease and death.
[02:20:38.091 --> 02:20:41.832]  The keys to hell and death.
[02:20:41.832 --> 02:20:43.713]  All of it, now manifesting.
[02:20:43.713 --> 02:20:47.015]  We're about to discover the secrets of energy and the universe and space travel.
[02:20:48.917 --> 02:20:49.877]  You look at his face.
[02:20:49.877 --> 02:20:53.739]  He just looks happy but disgusting as he's getting the briefings.
[02:20:53.739 --> 02:20:56.260]  Everything was already told by the top generals and the Patriots.
[02:20:56.260 --> 02:20:57.721]  Sir, we've got everything.
[02:20:57.721 --> 02:20:59.161]  They've already got it.
[02:20:59.161 --> 02:21:00.502]  They don't know how to deliver it to the people.
[02:21:00.502 --> 02:21:04.423]  Well, the answer is export the excess population to space.
[02:21:04.423 --> 02:21:06.084]  Give people the technology.
[02:21:06.084 --> 02:21:07.765]  Give them a life extension.
[02:21:07.765 --> 02:21:09.606]  Let them know how magic the universe is.
[02:21:09.606 --> 02:21:13.107]  Don't keep them diverted with a bunch of NFL and fake culture.
[02:21:13.107 --> 02:21:15.708]  You've artificially fed them.
[02:21:15.708 --> 02:21:17.489]  Put wind into humanity's sails.
[02:21:18.638 --> 02:21:21.879]  And America is not going to just shrink away and not be strong.
[02:21:21.879 --> 02:21:23.279]  We're going to be stronger than ever.
[02:21:23.279 --> 02:21:26.500]  We've been used to empower the world government.
[02:21:26.500 --> 02:21:28.581]  Let me actually start getting to the speech.
[02:21:28.581 --> 02:21:29.981]  It'll take the rest of the hour to get to.
[02:21:29.981 --> 02:21:33.742]  And then the next hour, guess who was funding?
[02:21:33.742 --> 02:21:34.563]  I mean, I already knew this.
[02:21:34.563 --> 02:21:35.523]  I checked a few of the groups.
[02:21:35.523 --> 02:21:38.144]  I didn't know.
[02:21:38.144 --> 02:21:41.805]  I didn't know that 40 of the 52 groups were Soros funded.
[02:21:41.805 --> 02:21:43.405]  I said it was obviously Soros.
[02:21:43.405 --> 02:21:44.185]  A bunch of women in
[02:21:47.506 --> 02:21:54.590]  Little pink, purple, color revolution hat screaming, F you white male Alex Jones, go to hell, hope you die.
[02:21:54.590 --> 02:21:59.413]  And then saying, but we love you, love trumps hate.
[02:22:01.656 --> 02:22:06.599]  And I'm sorry, I said 40, if you remember, it's 50 partners of the Women's March on Washington, which is almost every group.
[02:22:06.599 --> 02:22:09.601]  The other major group is funded by the Islamic Jihad.
[02:22:09.601 --> 02:22:19.268]  And I saw all these women, including American, you know, I mean, American women, Hispanic, black, white, in hijab saying, this is how we empower women.
[02:22:19.268 --> 02:22:20.469]  You're bullying Muslims.
[02:22:20.469 --> 02:22:23.771]  We're going to put hoods on and go under Islam.
[02:22:23.771 --> 02:22:24.852]  Talk about being cuckold.
[02:22:24.852 --> 02:22:26.233]  Talk about Stockholm syndrome.
[02:22:27.469 --> 02:22:31.872]  Woman's March organizer recently met ex-Hamas operative, family has ties to terror group.
[02:22:31.872 --> 02:22:36.556]  Yeah, the leader of it is a woman that promotes, just like Uma Abedin's mother did, genital mutilation.
[02:22:36.556 --> 02:22:41.139]  She's the leading person pushing it.
[02:22:41.139 --> 02:22:49.205]  And that's how women are empowered is wearing hoods, not being able to drive cars, being stoned to death if they go outside and don't follow their husband's orders.
[02:22:49.205 --> 02:22:50.026]  And I bring this up to them.
[02:22:50.026 --> 02:22:53.969]  We have a clip coming up next hour where one of our reporters brings it up.
[02:22:56.872 --> 02:22:58.132]  And the women go, that's a lie.
[02:22:58.132 --> 02:23:00.233]  Trump was funded by Saudi Arabia.
[02:23:00.233 --> 02:23:02.334]  Trump got zero money from Saudi Arabia.
[02:23:02.334 --> 02:23:03.994]  Zero money from Goldman Sachs.
[02:23:03.994 --> 02:23:05.294]  Zero money from the big globalists.
[02:23:05.294 --> 02:23:06.035]  But it doesn't matter.
[02:23:06.035 --> 02:23:13.297]  They should scream and spit at us and say he did.
[02:23:13.297 --> 02:23:16.878]  And it's just a bunch of weird corporate-owned... I mean, I love DrudgeReport.com.
[02:23:16.878 --> 02:23:17.598]  Can we punch that up?
[02:23:18.843 --> 02:23:20.304]  I'm a woman, hear me roar.
[02:23:20.304 --> 02:23:22.326]  It's Gloria Steinem.
[02:23:22.326 --> 02:23:24.987]  Had a bunch of kids, but she says you shouldn't have a kid.
[02:23:24.987 --> 02:23:27.509]  She's proud of abortions, says that's how you prove your woman's killed your baby.
[02:23:27.509 --> 02:23:29.170]  I'm not attacking you if you had an abortion.
[02:23:29.170 --> 02:23:30.952]  The point is she makes it a sacrament.
[02:23:30.952 --> 02:23:38.357]  And then she's admittedly CIA-funded to break up the family, turn men into betas, and make us easy to assimilate.
[02:23:38.357 --> 02:23:41.539]  And she admits that in a book she wrote and interviews.
[02:23:41.539 --> 02:23:43.881]  And there she is out there smiling with her victims.
[02:23:45.677 --> 02:23:47.819]  This is how you kill cultures and society.
[02:23:47.819 --> 02:23:49.079]  This isn't my opinion.
[02:23:49.079 --> 02:23:50.680]  This is declassified.
[02:23:50.680 --> 02:23:52.562]  It's all coming up in the second hour.
[02:23:52.562 --> 02:23:59.967]  And let's start, let's start with the beginning.
[02:23:59.967 --> 02:24:07.712]  Let's start with the beginning of the speech with the Star-Spangled Banner because I was watching the Jumbotron, because I couldn't see the Obamas.
[02:24:07.712 --> 02:24:09.153]  They were kind of back because I was so close.
[02:24:09.153 --> 02:24:10.394]  I was looking up at the podium.
[02:24:10.394 --> 02:24:12.776]  I could only see people that were up speaking at it.
[02:24:12.776 --> 02:24:14.057]  There was just the top of Donald's head.
[02:24:16.192 --> 02:24:19.356]  I can see the rabbi, the priest, you know, just the top of them.
[02:24:19.356 --> 02:24:27.206]  But I can see them on the Jumbotron and they just look so pissed off the whole time.
[02:24:27.206 --> 02:24:29.549]  And so entitled because they never worked for this.
[02:24:29.549 --> 02:24:32.653]  They were just given it as minions of this corporate takeover.
[02:24:36.798 --> 02:24:44.302]  America on its deathbed finally awakened to globalism and said no to it, and you can feel the tidal resistance surging.
[02:24:44.302 --> 02:24:44.983]  They're so scared.
[02:24:44.983 --> 02:24:53.147]  So let's just play the intro, and him being nice, but I love how he wrote this himself, that no president since Kennedy has written a speech himself.
[02:24:53.147 --> 02:24:53.988]  I mean, they admit this.
