[00:00:00.029 --> 00:00:00.789]  This is everything.
[01:31:37.182 --> 01:31:38.063]  Terry in Wisconsin.
[01:31:38.083 --> 01:31:39.083]  You're on the air worldwide.
[01:31:39.163 --> 01:31:39.743]  Thanks for calling.
[01:31:40.883 --> 01:31:41.423]  Hey.
[01:31:41.823 --> 01:31:43.324]  Hey there, Mr. Jones.
[01:31:43.604 --> 01:31:44.504]  Hey there.
[01:31:45.144 --> 01:31:49.905]  I'm calling to say that I think Tucker is right on saying that we need to pray for America.
[01:31:50.928 --> 01:31:53.989]  Um, that we need to pray for this country and pray for each other.
[01:31:54.009 --> 01:32:01.370]  I'd like to thank you for, um, for doing your good work, um, and doing, doing the job that God has set out before you.
[01:32:02.270 --> 01:32:04.151]  Um, it's really exciting to be on the air.
[01:32:04.191 --> 01:32:05.031]  I don't even know why.
[01:32:05.931 --> 01:32:13.273]  Um, but I think, I think that more importantly, we need to look at what they don't want us to look at.
[01:32:13.293 --> 01:32:19.914]  I think that they want us to be focused on, on Tucker, um, and on, on Don Lennon.
[01:32:20.997 --> 01:32:25.668]  And, um... Are you there?
[01:32:25.768 --> 01:32:26.069]  Hello?
[01:32:26.089 --> 01:32:27.292]  I sure am!
[01:32:28.860 --> 01:32:37.227]  Yeah, I think that the war in Ukraine and the ramping up that they're doing, that's what they don't want us to look at.
[01:32:37.488 --> 01:32:47.697]  Well, I agree with you that Don Lemon had no viewers and that he didn't matter, and CNN was already planning to get rid of him, so they just did that at the same time, in the name of, quote, you know, damping down the news and making it less, quote, radical.
[01:32:48.217 --> 01:32:52.141]  But with Tucker, he was one of the leading, if not the leading voice, hammering against the war.
[01:32:52.561 --> 01:32:54.803]  So they were getting ready to get rid of him because of what he was doing.
[01:32:55.786 --> 01:32:56.407]  Absolutely.
[01:32:56.887 --> 01:32:57.447]  Absolutely.
[01:32:57.948 --> 01:33:04.992]  And they would rather have us looking at what a scandal it is that he's been fired than what they are doing in Ukraine.
[01:33:07.674 --> 01:33:14.899]  So I just, I want to say God bless America, and God bless Tucker Carlson, God bless you Mr. Jones, and God bless my brother Travis.
[01:33:15.499 --> 01:33:17.841]  God bless you, Terry, from Wisconsin.
[01:33:18.261 --> 01:33:21.743]  Andrew in New York, go ahead and thanks for calling.
[01:33:21.764 --> 01:33:52.559]   I think it's a good thing that they've been Like building up uh all these different uh news like websites like Rumble and uh Bandai Video and all these other ones because like Fox is pretty much like a globalist like operation like um in an election they they called Arizona early in 2020 and then uh they basically yeah like they have a lot of control over their like news hosts then like you were even saying like with
[01:33:53.242 --> 01:34:00.242]   Tucker had to have extra freedom to say what he wanted more than other people.
[01:34:00.242 --> 01:34:09.242]   And yeah, like back after the 2020 election, they fired Lou Dodson, I think Chris Regan
[01:34:09.242 --> 01:34:10.242]  was also fired.
[01:34:11.129 --> 01:34:14.331]  Getting rid of anybody that opposes the globalist agenda.
[01:34:14.432 --> 01:34:14.972]  Absolutely.
[01:34:15.432 --> 01:34:20.117]  But that's why they have to have internet censorship as well because they know Tucker will start his own thing.
[01:34:20.157 --> 01:34:23.039]  That's why it's up to the people to support independent media and promote it.
[01:34:23.520 --> 01:34:24.741]  That's what gets around all this.
[01:34:24.761 --> 01:34:25.982]  That's why you are the answer.
[01:34:26.342 --> 01:34:27.123]  You are everything.
[01:34:27.163 --> 01:34:27.823]  Thank you, Andrew.
[01:34:28.484 --> 01:34:29.564]  Let's play a short clip.
[01:34:30.024 --> 01:34:31.345]  The full clip's at Bandai Media.
[01:34:31.925 --> 01:34:32.965]  In fact, the full speech is there.
[01:34:32.985 --> 01:34:34.285]  It was Heritage Foundation's speech.
[01:34:34.626 --> 01:34:39.387]  But here, reportedly, is what made Murdoch go into a rage Friday and decide to go ahead and fire him now.
[01:34:39.787 --> 01:34:41.667]  My intel is he was going to fire him very soon.
[01:34:41.907 --> 01:34:42.367]  Here it is.
[01:34:43.528 --> 01:34:46.288]  And evil is characterized by their opposites.
[01:34:47.469 --> 01:34:52.590]  Violence, hate, disorder, division, disorganization, and filth.
[01:34:54.286 --> 01:35:03.718]  So if you are all in on the things that produce the latter basket of outcomes, what you're really advocating for is evil.
[01:35:04.039 --> 01:35:04.720]  That's just true.
[01:35:05.641 --> 01:35:10.667]  Those are manifestations of some larger force acting upon us.
[01:35:11.658 --> 01:35:12.619]  It's just so obvious.
[01:35:13.439 --> 01:35:14.660]  It's completely obvious.
[01:35:15.720 --> 01:35:22.925]  And even I have concluded it might be worth taking just 10 minutes out of your busy schedule to say a prayer for the future.
[01:35:23.125 --> 01:35:24.025]  And I hope you will.
[01:35:27.267 --> 01:35:29.969]  By the way, that's only 45 seconds.
[01:35:30.149 --> 01:35:31.810]  I want to do a 15 second intro to that.
[01:35:31.870 --> 01:35:39.535]  I'm going to run it as a radio ad, a TV ad for the next year or 10 years, however long we're still on air, because that's it.
[01:35:42.082 --> 01:35:49.125]  The knowledge, the science proves what the ancient culture said, that there's all this unseen, there's all these energies, there's all these different forces.
[01:35:49.806 --> 01:35:58.530]  And you have to open yourself up and call on good, call on God, to touch you and decide to resonate with that, like plugging a plug into a wall.
[01:35:59.391 --> 01:36:02.172]  You have to say, God, I want to be good, help me.
[01:36:02.192 --> 01:36:04.313]  Because God's a free will God.
[01:36:05.133 --> 01:36:05.914]  The devil's not.
[01:36:06.474 --> 01:36:08.055]  The devil tries to take you over and manipulate.
[01:36:09.156 --> 01:36:11.719]  So, we have to do this, ladies and gentlemen.
[01:36:12.620 --> 01:36:13.801]  We have to call on God.
[01:36:14.322 --> 01:36:21.730]  There are no atheists in foxholes, and that's why they finally said too much and fired Tucker, because he called on us to call on God.
[01:36:22.090 --> 01:36:23.432]  Let's all call on God.
[01:36:23.452 --> 01:36:24.452]  Let's all pray.
[01:36:25.452 --> 01:36:33.452]  [music]
[01:36:33.452 --> 01:36:38.452]  [music]
[01:36:38.452 --> 01:36:41.452]  Ooh, the last turbo force.
[01:36:41.452 --> 01:36:51.452]  [music]
[01:36:52.190 --> 01:36:55.691]  Ooh, turbo force.
[01:36:56.912 --> 01:37:06.972]  These guys don't even know you can get the canister now.
[01:37:06.972 --> 01:37:11.412]  Get the all new Turbo Force Plus at Infowarsstore.com.
[01:37:11.895 --> 01:37:13.895]  Now, it's shareable!
[01:37:13.895 --> 01:37:33.895]  [Music]
[01:37:33.895 --> 01:37:35.895]  First off, it's my name's Bob Fletcher.
[01:37:36.631 --> 01:37:53.540]  It's interesting that they call for hearings after we ourselves were the ones that generated our appearance here to the committee that failed to hear us after we expended many thousands of bucks out of our pockets to get out here from several different parts of the country.
[01:37:53.560 --> 01:37:54.381]  It's interesting.
[01:37:54.681 --> 01:37:58.343]  They're calling it now an inquiry or requesting an inquiry.
[01:37:58.603 --> 01:38:06.282]   into the militia groups as opposed to the title which was to be the militia movement across America
[01:38:06.282 --> 01:38:13.403]   which would have been the title of the little Senate meeting that we were to have today, okay?
[01:38:13.403 --> 01:38:17.882]   So that's interesting. Obviously it's politics as usual in Washington, D.C.
[01:38:17.882 --> 01:38:24.523]   to take one thing, drop a few colors of black into the paint and change it around.
[01:38:24.624 --> 01:38:28.631]  Of course, normally it's whitewashed, this time it's, uh, it's being turned in the other direction.
[01:38:29.232 --> 01:38:32.076]  The, um, uh, the idea, first off...
[01:38:33.171 --> 01:38:44.783]  The idea that there's more to be feared from American patriots that love the Constitution as opposed to the people, the ATF and the FBI.
[01:38:44.843 --> 01:38:52.030]  First off, there's not, to my knowledge, been any at all major criminal activity by any patriot group at all.
[01:38:52.130 --> 01:38:52.570]  Period.
[01:38:52.671 --> 01:38:52.931]  Done.
[01:38:53.211 --> 01:38:53.872]  End of story.
[01:38:55.290 --> 01:39:10.373]  And I can give you a list of so many abuses, including dead people, and drug smuggling, and murder, and assassination, by those three and four-letter combination agencies out of this town right here, that you wouldn't even have enough time to cover it at a press conference, you know?
[01:39:10.653 --> 01:39:17.695]  So maybe Mr. Schumer needs to pick up one of these packages that includes the Constitution, and he can get himself back on track.
[01:39:19.591 --> 01:39:25.994]  I'm afraid the Constitution, folks, is the single mandate of the militia patriot groups across America.
[01:39:26.294 --> 01:39:31.957]  It's the preservation of the Constitution of America, and we are losing it literally on a weekly basis.
[01:39:32.557 --> 01:39:41.181]  And the abuses of executive orders, which are dictatorial in nature, and basically constitutionally incorrect, obviously, are completely out of hand.
[01:39:41.522 --> 01:39:43.943]  That's like 28 years ago.
[01:39:47.898 --> 01:39:53.102]  Bob Fletcher will be with us for the next hour and 50 minutes or so, almost in the whole fourth hour today.
[01:39:55.183 --> 01:40:15.455]   And I was literally a month ago on air talking about all the great patriots that warned us about this and have vindicated and I was listing some of the names and then I literally had a dream about two, three weeks ago where I was sitting around like a coffee table or a breakfast table with Ted Gunderson and Red Beckman and Bob Fletcher.
[01:40:16.096 --> 01:40:19.698]  And I went, wait, those guys aren't allowed anymore, but is Bob Fletcher alive?
[01:40:19.738 --> 01:40:24.741]  We still had his number, called him, and I'm like, this Time Warp, why haven't we had him on in over 10 years?
[01:40:26.282 --> 01:40:28.163]  And also, let me think about with Rima Leybo last week.
[01:40:28.943 --> 01:40:30.324]  Because we hadn't had her on in a decade.
[01:40:30.344 --> 01:40:31.805]  She's an incredible, she said, why haven't you had me on?
[01:40:31.865 --> 01:40:33.526]  It's weird, like 10 years went by like that.
[01:40:33.566 --> 01:40:40.903]   I just, it fell through the cracks, like all the original people Goes back to Barry Goldwater and then Ron Paul.
[01:40:41.163 --> 01:40:43.327]  All these great people that warned of this.
[01:40:43.367 --> 01:40:44.909]  You think Alex Jones has been vindicated?
[01:40:44.929 --> 01:40:46.151]  You think Alex Jones is right?
[01:40:46.612 --> 01:40:46.932]  Wow!
[01:40:47.032 --> 01:40:47.733]  Bob Fletcher!
[01:40:48.954 --> 01:41:09.282]  His story's amazing, but you know, when he's been on the show over a decade ago, sometimes, he would get into the CIA, and then went and used his company as a front group, and how he found out about it through a re-encounter, and how he went on the rabbit trail, and then, you know, proving weather weapons, which is all out in the open now, and the FEMA camps, and the planned lockdowns, and poison shots, and pandemics.
[01:41:09.802 --> 01:41:19.892]   We can talk about all the stuff he was right about 30 years ago, 25 years ago, or This is a smart guy at 80 plus years old, still as sharp as he ever was.
[01:41:20.653 --> 01:41:28.458]  What is this great mind of Bob Fletcher thinking is coming now and what's currently happening and what is it like to be so vindicated?
[01:41:28.498 --> 01:41:29.939]  I know it's, for me, a sick feeling.
[01:41:30.299 --> 01:41:31.300]  We wish we could have stopped it.
[01:41:32.320 --> 01:41:35.462]  Businessman, investor, film producer, speaker, and author.
[01:41:35.522 --> 01:41:39.345]  After years of business professional career, Bob became involved in U.S.
[01:41:39.365 --> 01:41:42.247]  government top secret covert arms sales, not even knowing it.
[01:41:43.288 --> 01:41:44.228]  A simple business merger.
[01:41:44.268 --> 01:41:48.690]  Bob merged his toy manufacturing company with a company that imported watches.
[01:41:48.911 --> 01:41:51.392]  The company was called Vista USA Inc.
[01:41:51.432 --> 01:41:53.693]  and was a covert operational front for U.S.
[01:41:53.793 --> 01:41:55.433]  arms sales and covert mercenary training.
[01:41:55.874 --> 01:42:02.697]  Eventually, the owner, Gary Best, attempted to recruit Fletcher into the business of arms sales, and Fletcher refused to become involved.
[01:42:03.097 --> 01:42:11.320]  Later, Bob became a witness in the Iran-Contra mess, and he then became an investigator assisting several House and Senate investigations.
[01:42:11.360 --> 01:42:19.005]   Since then, Bob has been Chase bad guys in the government and producing some of the world's most powerful exposes.
[01:42:19.065 --> 01:42:26.290]  Bob's reports are viewed all over the world and now his wife is in, you know, care in a nursing home.
[01:42:26.350 --> 01:42:29.912]  He doesn't even have a website, doesn't even have a PO box to support him.
[01:42:30.192 --> 01:42:41.680]   But next time he comes on we're going to get that set up because he has all these archives and his research needs to get out to the world and we need to really remember the people That back when almost nobody knew what was going on, there was Bob Fletcher and others.
[01:42:41.720 --> 01:42:45.503]  I think about these folks all the time, and he's here with us.
[01:42:46.163 --> 01:42:48.005]  So, Bob, we're about five minutes to break.
[01:42:48.525 --> 01:42:51.247]  You can start wherever you want at the beginning or current.
[01:42:51.868 --> 01:42:54.329]  I kind of want to get your view on the world today and everything that's going on.
[01:42:54.349 --> 01:42:57.232]  We can go back to the start and walk through what's happened.
[01:42:57.252 --> 01:43:01.375]  But, wow, what is it like to be vindicated in spades?
[01:43:03.143 --> 01:43:17.087]  Well, the problem is my predictions, which were so really horrible, was that we were going to be taken over by the New World Order, One World Government.
[01:43:17.787 --> 01:43:22.728]  It goes back 70, actually 72, 73 years.
[01:43:23.528 --> 01:43:29.970]  Actually, people don't realize that term, New World Order, One World Government.
[01:43:30.774 --> 01:43:34.836]  Which is what we are seeing today out of Washington, D.C.
[01:43:35.557 --> 01:43:37.038]  That's what we are faced with.
[01:43:37.838 --> 01:43:40.220]  And how we're going to handle it, I'm not sure.
[01:43:40.820 --> 01:43:55.809]  But that term was the term that Adolf Hitler used in 1938 when he started his junk, his crazy idea of a one world government, new world order.
[01:43:55.829 --> 01:43:57.410]  That's what he called it himself.
[01:43:58.090 --> 01:43:59.171]  Adolf Hitler's term.
[01:43:59.818 --> 01:44:10.445]  And it's been carried on by bad persons in government who don't care at all about the Constitution or the freedom at all because it doesn't work.
[01:44:11.325 --> 01:44:15.268]  And the New World Order, I discovered it, gosh, 30 years ago.
[01:44:18.088 --> 01:44:29.874]  I got involved in, and it's too complex, we'll get back relative to some of the crazy interfacings of all of my inquiries, my investigations.
[01:44:31.315 --> 01:44:40.400]  By the way, I actually had completed about 15, actually I did probably 19 altogether.
[01:44:40.960 --> 01:44:49.794]   A lot of my reports Started out originally when they were trying to attack, quote unquote, the militia movement.
[01:44:50.295 --> 01:44:51.915]  That was when I got some attention.
[01:44:52.455 --> 01:45:05.658]  What I did, which was a little slick of me, I guess, I ended up over the last 30 years befriending the bad guys in government as well as the good guys.
[01:45:06.639 --> 01:45:11.200]  And neither side knew where I was at any given time.
[01:45:11.701 --> 01:45:20.903]  So I became supported by people, major New World Order people, for example, Senator John Kerry.
[01:45:21.724 --> 01:45:24.785]  I became close with him during a period of time.
[01:45:25.405 --> 01:45:30.586]  I knew... And by the way, you're not just saying that, we have the C-SPAN hearings with you on Iran-Contra.
[01:45:31.947 --> 01:45:35.108]  Yeah, well, and of course, yes, go ahead, sure.
[01:45:35.328 --> 01:45:35.768]  No, no, go ahead.
[01:45:37.085 --> 01:45:37.726]  Yeah, okay.
[01:45:39.287 --> 01:45:52.459]  Yeah, and what happened, actually, for example, with the Iran, with that investigation, with the looking into the militia, as we were saying, stating that we were bad guys.
[01:45:52.479 --> 01:46:08.550]   Of course, none of those people even realize that the militia, that term, and that group that existed, is what created The separation from the King in Britain that began America.
[01:46:09.190 --> 01:46:15.954]  The term militia was prior to the Constitution, and it was now the bad guys.
[01:46:16.054 --> 01:46:22.838]  I use this kind of vague terminology to use the idea of bad guys and good guys.
[01:46:24.059 --> 01:46:33.144]  But that's rather simplistic, and I have to point something out now for the folks that haven't realized this.
[01:46:34.116 --> 01:46:40.018]  It's not Democrat bad guys and Republicans all good guys.
[01:46:40.978 --> 01:46:49.020]  The right, what we refer to the right, and they're doing all the time with the separation of Republican versus Democrats.
[01:46:49.480 --> 01:46:50.620]  That's not what it is.
[01:46:51.621 --> 01:47:02.811]   What it amounts to is the reality that we have major Corrupted personalities in both the Republican and the Democratic side.
[01:47:03.172 --> 01:47:12.415]  The separation, just using those, the left and the right, and saying Democrats are the leftists and the Republicans being on the right.
[01:47:13.816 --> 01:47:29.428]   The amount of criminality at the highest levels that I discovered, and I ended up working with whistleblowers At the highest levels of our government for the last 30 years.
[01:47:30.128 --> 01:47:40.716]   Now I've reached, I'm 82 years old now, I've got a multitude of non-operative Problems physically, so whatever.
[01:47:40.736 --> 01:47:45.417]  That's my case situation, and I realize it, and it's amazing.
[01:47:46.238 --> 01:47:50.939]  People are always saying, well, gee, you don't look like you're 82 years old.
[01:47:51.079 --> 01:47:55.079]  Well, I am 82 years old, and I'm about to be gone.
[01:47:55.660 --> 01:48:02.701]  I've been hit, professionally hit, three times by assassination attempts.
[01:48:03.338 --> 01:48:07.338]  Well, we can go back later on, we'll talk about that.
[01:48:07.338 --> 01:48:11.338]   Folks that don't know, in the old days, now they just kill you politically most of the time.
[01:48:11.338 --> 01:48:15.338]   When you were doing the stuff you were doing, they killed people on a routine basis.
[01:48:15.338 --> 01:48:20.338]   I remember my dad's, they called him my dad's uncle, but he was really my dad's cousin.
[01:48:20.475 --> 01:48:23.116]  I was an army special operations guy that went around.
[01:48:23.136 --> 01:48:24.456]  His job was killing people.
[01:48:24.476 --> 01:48:28.878]  I remember he read my first book in like 2002 and he said, I'm surprised you're not dead.
[01:48:29.318 --> 01:48:36.841]  We used to kill people for a lot less than this, but they've kind of shifted from killing people to just killing the masses of people with shots and things.
[01:48:37.201 --> 01:48:40.382]  But, but, but, but yeah, when you were speaking out, they, they, they killed people.
[01:48:41.883 --> 01:48:45.604]  Oh, they were, they, I'll tell you what the, the numbers.
[01:48:47.239 --> 01:48:50.440]  The numbers of dead people are mind-boggling.
[01:48:50.561 --> 01:48:57.444]  I had a fella I just ran into the other day way up here, and I'm in Never Never Land.
[01:48:57.504 --> 01:48:58.804]  I'm up in Idaho.
[01:49:00.085 --> 01:49:16.919]   Fortunately, we're in a little, like a 90-mile square up here where the weather, with all the stuff that's going on presently with the weather, we're kind of Don't get a heck of a lot of that in where we're exploring.
[01:49:16.959 --> 01:49:26.281]  For those who don't know, there's an area of Idaho, I remember years ago you talked about it, I've looked it up, there's an area in those valleys that basically is amazing and just blocks the weather.
[01:49:26.401 --> 01:49:27.522]  I think that's what it is.
[01:49:27.582 --> 01:49:29.702]  It's just everything comes in.
[01:49:30.602 --> 01:49:36.804]  We've had a couple of bad snow situations, but we're not getting any of that crazy stuff that's taking place.
[01:49:37.524 --> 01:49:48.895]   And I understand in studies and dealing with People that are above top secret whistleblowers.
[01:49:49.856 --> 01:50:04.567]  For 30 years, I had gotten into a point where I was a big mouth and had either the lack of knowledge to keep my mouth shut, but I was out running around.
[01:50:04.947 --> 01:50:20.738]   And what happened was Over the last 30 years, just making kind of keep this in general terms, the specific numbers of information that I had received and I had put into many reports myself.
[01:50:21.198 --> 01:50:46.144]   Matter of fact, I ended up, I'm distracting myself here, but I ended up doing a multitude of investigative reports At the request of different Senators and Congressmen, Congressional, people from the Pentagon, people from a multitude of the three... And there were radio listeners that weren't around when I was around 30 years ago or watching us on TV.
[01:50:46.484 --> 01:50:49.685]  We're showing all this on C-SPAN, all these hearings, you on national TV.
[01:50:50.306 --> 01:50:53.547]  There's a war inside these agencies because you were willing to risk your life.
[01:50:53.687 --> 01:50:55.508]  I think I'm not speaking out of school.
[01:50:55.868 --> 01:50:59.029]  You were being used as a conduit within their wars.
[01:51:00.589 --> 01:51:09.916]  Yes, and what happened is, what I did myself, was I ended up befriending good guys and bad guys.
[01:51:10.477 --> 01:51:28.006]   And I knew what they were, who they were, what they were at that time, and they were utilizing myself Again, talking about, and for the lack of a better terminology than just good guys and bad guys, and that's what it's all coming down to anyhow.
[01:51:28.546 --> 01:51:36.808]  The world government stuff, New World Order, goes back so many years, and it's, it's, they've punched forward.
[01:51:37.268 --> 01:51:39.069]  We are now witnessing it.
[01:51:39.893 --> 01:51:41.494]  What I said would happen.
[01:51:42.675 --> 01:51:48.439]  And unfortunately, we've been unable to sidetrack it properly.
[01:51:49.199 --> 01:51:52.001]  People just don't believe, they have no idea.
[01:51:52.501 --> 01:51:59.065]  Some of the folks, the amount of death, murders, assassinations, they tried to hit me three times.
[01:51:59.566 --> 01:52:01.967]  Professional assassinations.
[01:52:02.187 --> 01:52:18.276]   My left shoulder, right over here, which is the right side for you guys, my left shoulder Presently today and for 30 years I was blown up in Los Angeles when I was living in LA at the time.
[01:52:18.816 --> 01:52:26.281]  I was hit with a what literally was a microwave weapon and they used it on a lot of folks.
[01:52:27.121 --> 01:52:29.603]  And is that what the Havana Syndrome is?
[01:52:31.033 --> 01:52:32.414]  No, no, no, no, no.
[01:52:32.514 --> 01:52:40.079]  No, this is a physical microwave weapon in the configuration of the equivalent of a rifle.
[01:52:40.854 --> 01:52:47.258]  Yeah, for those that don't know, they have microwave guns in the movie District 19, and then they fire them and it explodes people.
[01:52:49.559 --> 01:52:53.481]  What it does, or it's supposed to do, is it gives you a heart attack.
[01:52:53.722 --> 01:52:59.525]  Well, I've talked to Marines 20 years ago in secret projects with robots and all, and they had microwave guns then.
[01:52:59.545 --> 01:53:02.547]  I thought of you when they said that, because they have that.
[01:53:04.002 --> 01:53:07.023]  Yeah, and what took place, I was living in L.A.
[01:53:07.063 --> 01:53:07.603]  at the time.
[01:53:08.223 --> 01:53:28.509]  I was full-time, and by the way, my investigative work, it ended up being something like, I literally, until a couple of years ago, and again, it's just age, you know, your rheostat gets turned down to the left by the powers to be once you reach a certain point in time.
[01:53:29.333 --> 01:53:42.306]  And I was on a couple of years, about two years ago, was when I really just had been, because of my physical and mental capabilities, just becoming old.
[01:53:42.826 --> 01:53:44.468]  You can't do a hell of a lot about that.
[01:53:45.149 --> 01:54:07.200]   But anyhow, what I had done successfully was I ended up First off, by befriending and being crazy enough to come out in front and point fingers at presidents of the United States, vice presidents of the United States, et cetera, et cetera.
[01:54:07.720 --> 01:54:11.063]  And I had some every time.
[01:54:11.847 --> 01:54:15.648]  I did some type of an expose that became public.
[01:54:16.148 --> 01:54:21.570]  I had about 15 DVDs of separate reports.
[01:54:21.930 --> 01:54:22.910]  They were all great.
[01:54:23.390 --> 01:55:04.104]   They ended up being unbelievable because what happened once I started getting the notoriety a little bit nationally, what happened, I started having People contact me from above top secret levels and they were whistleblowers that stepped forward and I would be contacted and somebody would say and I had a website at that time etc etc which by the way was blown up I mean they erased the heart they blew my computer almost to nothing
[01:55:04.679 --> 01:55:06.160]  They came in from the outside.
[01:55:06.200 --> 01:55:27.257]   And I want to talk about all that, Bob, but the time we've got here, the time we've got here, your current views, your current, we'll get into the whole history of it, your current views, the New World Order, world government, eat the bugs, universal basic incomes, cashless societies, forced injections, lockdowns, FEMA camps, the name of the vaccine, the name of the virus, I mean it's all happened But it looks like it didn't go as well as they wanted.
[01:55:27.277 --> 01:55:28.277]  They had to back off for now.
[01:55:28.317 --> 01:55:29.838]  Now they're saying a new virus is going to be released.
[01:55:30.238 --> 01:55:31.879]  I mean, now, look forward.
[01:55:32.419 --> 01:55:36.061]  Bob Fletcher, you notice all the documents and top-secret research and all that.
[01:55:36.441 --> 01:55:37.182]  You're a smart guy.
[01:55:37.582 --> 01:55:38.842]  How's it going for the New World Order?
[01:55:39.183 --> 01:55:40.543]  What do you make of the current landscape?
[01:55:41.824 --> 01:55:48.807]  Well, actually, of course, the current landscape is really bad, unfortunately.
[01:55:50.248 --> 01:55:56.061]   You know, we now have That movement and the movement itself.
[01:55:56.941 --> 01:56:01.003]  And again, I use simplistic terms, bad guys and good guys, because that's a reality.
[01:56:02.164 --> 01:56:03.105]  They're satanic.
[01:56:04.205 --> 01:56:06.807]  The bad side, the negative side is satanic.
[01:56:07.947 --> 01:56:19.273]  And I worked, I had to just try to kind of compress all this because we'll have to get back and we'll get into a whole multitude of things that will blow your mind.
[01:56:19.954 --> 01:56:34.689]   The people, the stuff that I got, And I knew, I knew ahead of time that they were going to take down the Twin Towers and or that we were going to have the COVID.
[01:56:35.189 --> 01:56:37.811]  I wasn't sure which one was going to come first or last.
[01:56:38.992 --> 01:56:43.435]  I predicted, and again, I'm not, you know, these are not predictions.
[01:56:43.475 --> 01:56:46.777]  I'm not some psychic kind of space ranger type person.
[01:56:47.449 --> 01:56:56.076]  My predictions were based on reality of definitive information that I totally had on every one of my exposés.
[01:56:57.438 --> 01:57:10.328]  And by the way, I did 19 random reports for senators, congressmen, congressional hearings, the back end, this one and that one, and where something came up when I was in one of the two of the hearings myself.
[01:57:10.348 --> 01:57:10.829]  No, I know.
[01:57:10.869 --> 01:57:14.432]  Before I even got on air, because I've been on air like 29 years, your reports were everywhere.
[01:57:14.492 --> 01:57:17.194]  So listeners are getting introduced to you on that.
[01:57:17.474 --> 01:57:24.520]  But picking your big brain, I'm asking you, we're seeing, I think, from beta to operational now, everything else was beta before.
[01:57:24.560 --> 01:57:25.901]  Is this operational, New World Order?
[01:57:27.845 --> 01:57:28.385]  Oh, yes.
[01:57:28.665 --> 01:57:29.005]  Yeah.
[01:57:29.265 --> 01:57:30.466]  And here's the problem.
[01:57:33.446 --> 01:57:40.488]  Originally, the New World Order, which again, this concept came out of Adolf Hitler, came out of Hitler.
[01:57:40.548 --> 01:57:47.509]  That was what he called his existence, his dictatorship, when he moved in 1938.
[01:57:47.629 --> 01:57:54.130]  I'm going to tell you something that people can look up on Google without getting into a whole bunch of complex stuff.
[01:57:55.391 --> 01:58:01.453]   If you go on Google, And look up Prescott Bush.
[01:58:03.294 --> 01:58:08.436]  Prescott Bush was the father of G.H.W.
[01:58:08.456 --> 01:58:11.657]  Bush, the grandfather of G.W.
[01:58:11.677 --> 01:58:16.659]  Bush, and they are Satanists.
[01:58:17.320 --> 01:58:17.740]  Period.
[01:58:18.240 --> 01:58:21.641]  Now, if you look up Prescott Bush, a lot of people don't know this name.
[01:58:21.941 --> 01:58:23.102]  You can just go on Google.
[01:58:23.755 --> 01:58:31.302]  And you will be amazed because it will show you that he had the bank, and I think his partner was Averill Harriman.
[01:58:31.602 --> 01:58:34.124]  Yeah, it was Brown Brother Harriman in Lower Manhattan.
[01:58:35.085 --> 01:58:35.326]  Right.
[01:58:35.686 --> 01:58:43.473]  He had a bank, they had a bank in the United States of America in 1938 that funded Adolf Hitler.
[01:58:45.034 --> 01:58:51.413]   That bank was shut down after the war And they were completely closed.
[01:58:51.453 --> 01:58:53.214]  They were dismantled.
[01:58:55.855 --> 01:58:57.535]  But it was Prescott Bush.
[01:58:57.955 --> 01:59:02.097]  This is a guy that is the father of GHW.
[01:59:02.457 --> 01:59:03.938]  And by the way, this is not your opinion.
[01:59:04.698 --> 01:59:05.978]  Prescott is Senator Bush.
[01:59:06.319 --> 01:59:08.299]  They had the McCormick-Dixton Committee hearings.
[01:59:08.820 --> 01:59:10.200]  They had the U.S.
[01:59:10.220 --> 01:59:12.401]  military secretly go around and kill a bunch of Nazis in the U.S.
[01:59:12.421 --> 01:59:13.341]  that were working for him.
[01:59:13.741 --> 01:59:15.082]  But then they left the Bushes alone.
[01:59:16.440 --> 01:59:29.648]  Yeah, though the point was, quite literally, it was the original 1938 funds came from Prescott Bush, the father of G.H.W.
[01:59:29.708 --> 01:59:35.452]  Bush, and now you have to understand something else now that connects completely into this.
[01:59:35.472 --> 01:59:52.985]   I don't want to get into all of that too much, but it's something that everybody Everybody that's listening and watching can go to the computer, punch in Prescott Bush, put slash Adolf Hitler, and then punch it up and see what Google presents.
[01:59:53.406 --> 01:59:56.388]  They're going to show you where he actually lost his bank.
[01:59:56.448 --> 01:59:58.029]  They were shut down after the war.
[01:59:58.370 --> 02:00:03.474]  He was charged with aiding and abetting and financing Adolf Hitler beginning in 1938.
[02:00:03.574 --> 02:00:05.635]  All right, Bob Fletcher, stay there.
[02:00:05.655 --> 02:00:06.156]  We'll be right back.
[02:00:07.423 --> 02:00:08.524]  Bob Fletcher is our guest.
[02:00:09.665 --> 02:00:14.470]  You know, a zygote forms when the sperm makes it through and penetrates the egg.
[02:00:14.730 --> 02:00:17.152]  And the egg decides to let the sperm in.
[02:00:18.093 --> 02:00:20.135]  It has that right magic.
[02:00:21.448 --> 02:00:31.114]  And if you go back to the resistance to this movement, as Fletcher says, it really goes back to the 1850s and British intelligence, and they were funding the super science.
[02:00:31.375 --> 02:00:33.476]  It was all theoretical then, but they developed it.
[02:00:33.976 --> 02:00:37.959]  And if you talk about the New World Order, Hitler gave speeches about the New World Order.
