[00:00:00.000 --> 00:00:02.439]  [BEEPING]
[02:09:27.704 --> 02:09:30.034]   they have a right winger bill clinton
[02:09:30.034 --> 02:09:34.255]   assassinated by and they'll have a left-winger assassinate trump
[02:09:34.255 --> 02:09:37.354]   that then gets the country even more of a fight against each other
[02:09:37.354 --> 02:09:40.014]   and then they put in gavin newsom
[02:09:40.014 --> 02:09:45.854]   uh... and you know so i like my pants are who knows but i really think the next thirteen months is the most
[02:09:45.854 --> 02:09:48.375]   critical time i was an american history but will it be free
[02:09:48.375 --> 02:09:52.335]   because they can bring down america they're every other world and you've got the escalation
[02:09:52.335 --> 02:09:55.935]   remember a year ago by said you can't give us sixteen's and and and
[02:09:55.935 --> 02:09:57.475]  And--
[02:09:56.974 --> 02:09:57.234]  So dark.
[02:09:57.094 --> 02:10:01.094]   tanks and cruise missiles to the Ukrainians, that's World War III.
[02:10:01.094 --> 02:10:02.094]  Now they're doing it.
[02:10:02.094 --> 02:10:06.094]   So as Russia wins that war, as Colonel McGregor documented a few months ago with you,
[02:10:06.094 --> 02:10:09.094]  NATO is escalating. Well, that leads right to nuclear war.
[02:10:09.094 --> 02:10:12.094]  So we're so close. That fundamentally makes me so mad.
[02:10:12.094 --> 02:10:16.094]  This transcends politics. Since when do Democrats love war?
[02:10:16.094 --> 02:10:18.094]  Since when do Democrats love the intelligence agencies?
[02:10:18.094 --> 02:10:19.094]  They love them now.
[02:10:19.094 --> 02:10:22.094]   And so really, the Democratic Party, just like the Republican Party,
[02:10:22.094 --> 02:10:25.094]  is a beachhead for sanity and populism.
[02:10:25.094 --> 02:10:27.253]  It's not perfect, but it's a beachhead.
[02:10:27.253 --> 02:10:29.694]  The Democratic Party is totally turned over to evil.
[02:10:29.777 --> 02:10:31.178]  That's why I thought RFK Jr.
[02:10:31.198 --> 02:10:31.858]  was so refreshing.
[02:10:32.099 --> 02:10:34.060]  But they're shutting him out of the primary process.
[02:10:34.461 --> 02:10:35.382]  They're blocking him.
[02:10:35.802 --> 02:10:39.745]  And so now he's going to run third party, which will take away from Trump, most experts agree.
[02:10:40.006 --> 02:10:41.627]  I know Trump's people have looked at it and they think so.
[02:10:41.767 --> 02:10:42.128]  Of course.
[02:10:42.328 --> 02:10:43.449]  So that's very, very sad.
[02:10:45.035 --> 02:10:54.978]  So do, I mean, do you think, I mean, normally at this, you know, so we're in October, I guess, um, in the year before the election, you can sort of see the outlines pretty clear.
[02:10:54.998 --> 02:11:02.160]  I mean, in October of 1999, I was pretty confident it was going to be George W. Bush versus Al Gore.
[02:11:02.180 --> 02:11:10.122]  I mean, you sort of know ahead of time, but do you think that we're going to see on election day 2024, a ballot with Biden and Trump on it?
[02:11:12.285 --> 02:11:15.308]  I've been saying I think they may assassinate him or claim they had a heart attack.
[02:11:17.110 --> 02:11:23.115]  But I was thinking about each one individually, but I think when you said that a month ago, it was prescient, that that's the next move.
[02:11:23.996 --> 02:11:28.400]  If I get in their mind and I'm evil, I'm Machiavelli, that is what they have to do.
[02:11:28.420 --> 02:11:29.981]  But the election just forces the point.
[02:11:30.021 --> 02:11:35.646]   I mean, I guess I actually don't think that their preference is Well, that's what you're saying.
[02:11:35.726 --> 02:11:37.246]  All their tactics of covert aren't working.
[02:11:37.266 --> 02:11:39.687]  So as we saw with JFK in 1963 in Dallas, they will go over.
[02:11:39.507 --> 02:11:43.187]   rather than overt, but I just think you know there's an election on the books
[02:11:43.187 --> 02:11:46.987]   and like something's gonna happen. That's what you're saying all their tactics of
[02:11:46.987 --> 02:11:52.147]   covert aren't working so as we saw with JFK in 1963 in Dallas they will go over
[02:11:52.147 --> 02:11:57.427]   and so we have governors declaring emergencies to take the guns all of that
[02:11:57.427 --> 02:12:00.706]   is it's only Democrats are against sanctuary cities when they're the ones
[02:12:00.706 --> 02:12:07.546]   saying Governor Hochul and and and and the mayor of New York come here come here
[02:12:05.712 --> 02:12:07.372]  And they're like, oh, we never said come here.
[02:12:08.012 --> 02:12:19.170]   I think it's dawning on Democrats they've been betrayed, and maybe there's some point Where Democrats will have self-preservation, you know, the average voter, and say, no, we need to turn against this.
[02:12:19.210 --> 02:12:20.270]  This is totalitarian.
[02:12:20.630 --> 02:12:21.430]  This is dangerous.
[02:12:21.450 --> 02:12:22.011]  This is evil.
[02:12:22.691 --> 02:12:25.151]  But if that isn't the case, here's the problem.
[02:12:25.431 --> 02:12:30.192]  Even if Democrats wake up, the system will know that from their internal polls.
[02:12:30.812 --> 02:12:31.652]  The establishment will.
[02:12:31.672 --> 02:12:32.613]  They're going to make a big move.
[02:12:32.653 --> 02:12:34.333]  And is that a full-out war with Russia?
[02:12:34.633 --> 02:12:35.613]  A full-out war with China?
[02:12:36.193 --> 02:12:39.614]  Is it them allowing the jihadi sleeper cells?
[02:12:40.862 --> 02:12:45.284]  They're in America, that are pouring across our border, that are waiting to let them activate.
[02:12:45.625 --> 02:12:48.686]  I'm not saying our government controls them, but they've let other governments bring them in.
[02:12:49.087 --> 02:12:50.527]  And they've given funding to those governments.
[02:12:51.428 --> 02:12:55.931]  And now, if we don't see strong signals against Iran, I don't want war with Iran.
[02:12:55.971 --> 02:13:00.033]  What I'm saying is, strong signals telling Iran, do not fund terror groups.
[02:13:00.856 --> 02:13:02.757]  And we don't see strong appreciation of Joe Biden.
[02:13:03.137 --> 02:13:07.758]  That will green light the security services to go ahead and let this new attack happen.
[02:13:08.138 --> 02:13:14.260]  And a massive jihadi attack in America could be the way to bring in martial law and cancel the election.
[02:13:15.040 --> 02:13:17.261]  Also, Klaus Schwab loves a telegraph, so does the UN.
[02:13:17.861 --> 02:13:18.661]  It is imminent.
[02:13:18.821 --> 02:13:25.263]  A cyber attack bringing down the power grid will make COVID look like absolutely nothing, is basically his quote.
[02:13:25.743 --> 02:13:27.323]  I think I've got it almost exactly.
[02:13:27.864 --> 02:13:31.428]   And so, Will they cut the power before the election?
[02:13:31.468 --> 02:13:33.772]  I mean, the sky is the limit.
[02:13:34.132 --> 02:13:35.054]  The sky is the limit.
[02:13:35.074 --> 02:13:39.881]  So people need to be vigilant and understand that we want to let the system know we're aware.
[02:13:39.901 --> 02:13:41.043]  We want to promote.
[02:13:41.809 --> 02:13:53.897]  The values of free speech, and of family, and of self-defense, and of low control, and of free market, rugged individualism, and a competitive civilization, and a colorblind society that Martin Luther King Jr.
[02:13:53.937 --> 02:13:54.317]  talked about.
[02:13:54.637 --> 02:14:06.865]  We need to go back to the things that made us great, that threatened the CCP, and threatened the globalists of the UN, because they're selling tyranny, and eating bugs, and being locked down in your houses, and forced injections, and two men can have a baby.
[02:14:07.305 --> 02:14:11.488]  We're selling normal human biology and success in culture.
[02:14:11.848 --> 02:14:15.991]  And so I just think we have to give the alternate plan to their dystopia.
[02:14:16.491 --> 02:14:21.914]  We have to challenge their dystopia, but also give the alternate plan, which enough people aren't doing.
[02:14:21.975 --> 02:14:24.976]  But that's Trump's big sin is his optimism.
[02:14:25.016 --> 02:14:25.817]  America's great.
[02:14:26.297 --> 02:14:27.158]  Everybody's beautiful.
[02:14:27.438 --> 02:14:28.439]  We have such potential.
[02:14:28.459 --> 02:14:36.425]  And as soon as the world heard America was open for business, we saw trillions flood instantly in, because our leaders had said, America's not open for business.
[02:14:36.846 --> 02:14:44.352]  Invest in China and India and Mexico, where the globalists have middleman deals to get all the money and all the power, instead of the people getting it.
[02:14:45.152 --> 02:14:55.340]  It was Henry Ford, wasn't the perfect guy, but he said, the other auto manufacturers, this came out in federal documents and later antitrust suits, because he didn't get in trouble, they did.
[02:14:56.141 --> 02:15:02.123]  They said to him, the other auto manufacturers, they said, why are you going to pay your employees three times what we do?
[02:15:02.743 --> 02:15:06.545]  And he said, because I won't just, I don't want just rich people buying my cars.
[02:15:07.085 --> 02:15:10.586]  I want my employees to prime the market to buy it.
[02:15:10.706 --> 02:15:15.368]  They'll give me all the money back buying the Model T and then that'll supercharge it.
[02:15:15.408 --> 02:15:16.588]  So that's the two different systems.
[02:15:17.048 --> 02:15:31.258]   Build this illustrious, incredibly exciting, roaring civilization of laissez-faire or let these big guys already made all the money Centralized control shut us all down and vertically integrate so they're in control and then kill competition.
[02:15:31.738 --> 02:15:36.443]  So we have to kill the globalist program that's anti-free market, anti-capitalist.
[02:15:36.523 --> 02:15:37.525]  It's monopolistic.
[02:15:37.985 --> 02:15:38.846]  It's anti-human.
[02:15:39.407 --> 02:15:40.187]  It's a bunch of...
[02:15:40.928 --> 02:15:53.060]  Degenerate, inbred, third, fourth generation elites who didn't make all this money, who didn't create all this stuff, but that have decided we don't even get to take part in it while they take part in it and live like kings.
[02:15:53.140 --> 02:15:57.084]  So it's us or them, Tucker, and we've got to crush the globalists.
[02:15:57.345 --> 02:15:58.926]  We've got to crush the New World Order.
[02:15:59.266 --> 02:16:02.530]  We've got to challenge them or they're going to destroy the planet.
[02:16:02.830 --> 02:16:07.534]  Please do not forget that my book has gone number one on a bunch of the different subcharts.
[02:16:08.015 --> 02:16:10.818]  The Great Awakening Part 2 of The Great Reset, twice as long.
[02:16:11.178 --> 02:16:13.260]  The Plan to Defeat the Globals, watch the next great renaissance.
[02:16:13.620 --> 02:16:16.343]  But if you want to get stroid free shipping, double pay three points.
[02:16:16.963 --> 02:16:20.707]  TurboForce, the best nootropic, 10-hour clean energy booster.
[02:16:21.147 --> 02:16:22.489]  It's the highest quality ingredients.
[02:16:22.889 --> 02:16:23.510]  It's amazing.
[02:16:24.350 --> 02:16:26.733]  TurboForce, back in stock in fullmorestore.com.
[02:16:28.194 --> 02:16:30.915]  Up to 60% off on so many great products that are there.
[02:16:31.375 --> 02:16:36.556]  Winner's Sun, the highest quality vitamin D3 that boosts your immune system, taking it under the tongue for absorption.
[02:16:37.076 --> 02:16:38.576]  It's back in stock, 40% off.
[02:16:39.816 --> 02:16:50.979]  Winner's Sun, Turbo Force, X2, Vitamin Mineral Fusion, DNA Force Plus, Bazo Beats for your blood and your heart, and what it does for a nitric boost.
[02:16:51.059 --> 02:16:51.659]  Nitric boost.
[02:16:53.177 --> 02:16:53.839]  It's all there.
[02:16:53.859 --> 02:17:00.859]   info war store dot com or triple a two five three three one three nine.
[02:17:00.859 --> 02:17:08.139]   I would thank you for everything you've done for the info war. But I know
[02:17:08.903 --> 02:17:10.224]  You don't want my thanks.
[02:17:10.824 --> 02:17:14.187]  You want victory over the Globalists and these devil-worshipping child molesters.
[02:17:14.588 --> 02:17:16.770]  And you want them off your back and off your children's back.
[02:17:17.050 --> 02:17:17.510]  And you know what?
[02:17:17.971 --> 02:17:20.653]  I'm the same way, and that's why we're on the same damn team.
[02:17:21.254 --> 02:17:25.537]  And it's why Infowars has been delivering time and time again, when it's clutch time.
[02:17:27.844 --> 02:17:30.126]  Focus the people on taking action against the globalists.
[02:17:30.546 --> 02:17:33.688]  Because I'm committed to a future for humanity.
[02:17:34.309 --> 02:17:35.370]  And I know you are as well.
[02:17:35.950 --> 02:17:38.352]  So thank you for standing with us, because you are the Infowar.
[02:17:38.372 --> 02:17:41.574]  And I want to thank you for committing to stand with us however you can.
[02:17:41.594 --> 02:17:48.319]  From the bottom of my heart, from my family, and from the great crew at Infowars, I want to thank you all because you are the Infowar.
[02:17:48.339 --> 02:17:50.681]  And you know that's not just words, that's reality.
[02:17:51.747 --> 02:17:52.667]  You have made history.
[02:17:53.348 --> 02:17:54.548]  We have made history together.
[02:17:55.228 --> 02:17:59.310]  InfoWars.com only has power because of you.
[02:17:59.810 --> 02:18:01.631]  And I suggest you use it.
[02:18:04.552 --> 02:18:10.334]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[02:18:11.055 --> 02:18:14.756]  Visit InfoWars.com forward slash show and share the link today.
[02:18:15.276 --> 02:18:16.537]  Please do your Christmas shopping with us.
[02:18:17.944 --> 02:18:18.945]  We're fighting the globalists.
[02:18:19.225 --> 02:18:20.146]  We're winning the battles.
[02:18:20.466 --> 02:18:21.407]  We're having huge effects.
[02:18:21.447 --> 02:18:26.071]  Plus, these are amazing products that will enrich and empower your life.
[02:18:26.131 --> 02:18:29.053]  I was on with Elon Musk for two and a half hours about eight days ago.
[02:18:29.414 --> 02:18:33.857]  I said, he said, I don't know the term we should use for being against this depopulation new world order.
[02:18:33.877 --> 02:18:36.541]   And I said, How about Team Humanity?
[02:18:36.561 --> 02:18:38.121]  He said, yeah, let's call it Team Humanity.
[02:18:38.161 --> 02:18:39.142]  So I'm making some shirts.
[02:18:39.182 --> 02:18:40.182]  I'm sending some to him.
[02:18:40.243 --> 02:18:41.243]  They're getting credited right now.
[02:18:41.283 --> 02:18:44.445]  You'll get them after Christmas, but pretty close after Christmas, probably before the New Year.
[02:18:44.585 --> 02:18:45.165]  Order them now.
[02:18:45.285 --> 02:18:47.506]  It's a black shirt that says Team Humanity on the top.
[02:18:47.687 --> 02:18:49.207]  Under it, Infowars.com.
[02:18:49.347 --> 02:18:50.968]  And it has a nuclear family in the middle.
[02:18:51.148 --> 02:18:52.249]  It says Team Humanity on the back.
[02:18:52.329 --> 02:18:53.269]  It's a unisex shirt.
[02:18:53.390 --> 02:18:54.370]  It'll fund the operation.
[02:18:54.390 --> 02:18:55.390]  It's a fundraiser shirt.
[02:18:55.451 --> 02:18:57.552]  Please go and get the shirt today.
[02:18:57.692 --> 02:18:58.552]  Team Humanity.
[02:18:58.572 --> 02:18:59.533]  Two different designs.
[02:18:59.713 --> 02:19:03.134]  InfoWarsTore.com or AAA253-3139.
[02:19:04.135 --> 02:19:08.657]  Also, please do not forget that my book has gone number one on a bunch of the different subcharts.
[02:19:08.677 --> 02:19:10.338]  I want to push it all the way because it has a big effect.
[02:19:10.398 --> 02:19:12.459]  The Great Awakening Part 2 of The Great Reset.
[02:19:12.519 --> 02:19:13.219]  Twice as long.
[02:19:13.279 --> 02:19:14.240]  The Plan to Defeat the Globalists.
[02:19:14.260 --> 02:19:15.360]  Launch of the Next Great Renaissance.
[02:19:15.400 --> 02:19:16.041]  The Great Awakening.
[02:19:16.121 --> 02:19:18.742]  InfoWarsTore.com or if you want to get it, Amazon.com.
[02:19:18.922 --> 02:19:25.324]  And just don't forget, for big fans of it, Turbo Force is 10 hours of clean energy, the highest quality, best products and ingredients.
[02:19:25.344 --> 02:19:26.084]  It'll blow you away.
[02:19:26.144 --> 02:19:30.865]  Turbo Force is back in stock at InfoWarsStore.com or call toll free triple 8 2 5 3 3 1 3 9.
[02:19:32.925 --> 02:19:35.846]  Are you looking for an all in one dietary supplement?
[02:19:35.886 --> 02:19:38.867]  Why not try InfoWars Life's Whole Food Multivitamin?
[02:19:38.927 --> 02:19:43.748]  These essential nutrients are sourced from 100% high quality natural food sources.
[02:19:43.908 --> 02:19:52.290]  The powerful multivitamin formula includes vitamins A through E, iodine, zinc, selenium, copper, manganese, and biotin.
[02:19:52.390 --> 02:19:57.711]  If you've never tried an InfoWars live product, then start here with our all-in-one whole food multivitamin.
[02:19:57.811 --> 02:20:02.391]  Now 40% off for a limited time at InfoWarsStore.com.
[02:20:04.652 --> 02:20:10.553]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[02:20:13.447 --> 02:20:17.471]  This is not about somebody wanting to put on pantyhose and have their sexual organs changed.
[02:20:17.751 --> 02:20:19.333]  It's about shocking our children.
[02:20:19.353 --> 02:20:21.295]  A lot of these groups are pedophiles, let's face it.
[02:20:21.455 --> 02:20:24.097]  They want to talk about sex with your kids.
[02:20:24.117 --> 02:20:31.464]  In the name of tolerance, they're going to put your kids on Ritalin and Prozac, they're going to inject them with deadly vaccines full of cancer viruses, and they're going to really screw them up.
[02:20:31.885 --> 02:20:37.951]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[02:20:39.643 --> 02:20:46.643]  and share the link today.
[02:20:46.643 --> 02:21:12.643]  [Music]
[02:21:12.643 --> 02:21:14.643]  Where will you be in five years?
[02:21:14.698 --> 02:21:15.758]  Are you going to stay in this country?
[02:21:15.818 --> 02:21:16.859]  Can you stay in this country?
[02:21:16.879 --> 02:21:27.824]  Speaking of escalation, again, I still never figured out what your crime is, but you have been persecuted for something in an escalating way.
[02:21:29.145 --> 02:21:30.246]  I got two subpoenas last week.
[02:21:31.186 --> 02:21:31.806]  Subpoenas?
[02:21:32.087 --> 02:21:36.749]  I got subpoenas on January 6th, again, on a criminal investigation.
[02:21:36.769 --> 02:21:37.970]  You didn't do anything on January 6th.
[02:21:38.050 --> 02:21:40.571]  And I got subpoenaed at Trump's criminal trial in Georgia.
[02:21:42.721 --> 02:21:43.222]  On what?
[02:21:43.762 --> 02:21:45.523]  And then my lawyer called and said, what is this?
[02:21:45.783 --> 02:21:52.207]  And they said, well, we don't just want him as a witness.
[02:21:52.468 --> 02:21:53.208]  He's a subject.
[02:21:54.309 --> 02:21:55.650]  I had nothing to do with Georgia.
[02:21:55.690 --> 02:21:57.211]  I'm not saying it's bad they went and challenged it.
[02:21:57.231 --> 02:21:57.771]  That's their right.
[02:21:58.191 --> 02:21:59.472]  I mean, I went and protested there.
[02:21:59.993 --> 02:22:01.454]  So it's just pure intimidation.
[02:22:01.514 --> 02:22:03.055]  So I have a problem.
[02:22:03.948 --> 02:22:05.169]  It's that I don't like to cut and run.
[02:22:05.729 --> 02:22:08.791]  I'm not the toughest guy around, but growing up, Dallas was pretty rough people.
[02:22:09.171 --> 02:22:11.593]  Some big guy started a fight with me, I just couldn't back off.
[02:22:12.674 --> 02:22:15.936]  And I almost always won those fights or went to the hospital trying.
[02:22:16.596 --> 02:22:18.097]  And so I decided to go down with the ship.
[02:22:19.298 --> 02:22:22.520]  I'm not going to leave the country.
[02:22:23.701 --> 02:22:24.922]  I'm not going to back down.
[02:22:25.905 --> 02:22:27.747]  And I'm going to continue to fight with everything I've got.
[02:22:27.787 --> 02:22:28.888]  I'll never sell out.
[02:22:28.908 --> 02:22:29.629]  I'll never give in.
[02:22:29.689 --> 02:22:30.330]  I could give out.
[02:22:30.610 --> 02:22:32.292]  That's why support's critical and word of mouth.
[02:22:32.692 --> 02:22:36.436]  Because Alex Jones is seen as a focal point, like catch the flag by the globalists.
[02:22:36.837 --> 02:22:38.959]  If they can shut me down, they believe they can shut anybody down.
[02:22:38.999 --> 02:22:39.520]  They've said that.
[02:22:40.100 --> 02:22:55.852]   And so it's human intelligence and human action and word of mouth Talking about Infowars.com, my show, what I do, is a test case, almost like Stalingrad in World War II, where all these forces of the globalists keep thinking, we beat this guy at this city, at this point, at this battle, we win.
[02:22:56.372 --> 02:22:58.454]  And so I don't think I'm even that important.
[02:22:58.934 --> 02:23:02.296]  I've just been chosen as this main battle point.
[02:23:02.556 --> 02:23:07.259]  So all these grassroots people and people like you and other great folks are supporting me through supporting the First Amendment.
[02:23:09.140 --> 02:23:11.942]  And so I've got that backing, and that enrages the globalists.
[02:23:11.962 --> 02:23:17.606]  So the more they throw against me, the more support I get, and it's really become a historic battle.
[02:23:17.966 --> 02:23:27.192]  If I'm completely manned and demanned and shut down and can't operate, only then would I try to evacuate somewhere to try to keep my show on the air.
[02:23:27.272 --> 02:23:30.114]  But I've looked at it, and I don't even think that that's the case.
[02:23:30.594 --> 02:23:35.217]  Once they disrupt and shut down something, it's very hard to restart it.
[02:23:35.237 --> 02:23:58.384]   The good news is, There are so many other great talk show hosts, so many other great people that now understand this, and even have perspectives better than mine, that I'm not obsolete yet, but thanks to you, and thanks to Russell Brand, they're trying to now set up, and you know, Joe Rogan's come a long way, and Steve Bannon, and countless other shows that I tune into that have high-level understanding, and teach me a lot, and I'm in my heads in the game.
[02:23:58.884 --> 02:24:05.490]  So, you're our champion, Tucker, and there are other people, you know, Lester, I know you don't want to be the top dog, but you are, that's why you're under attack.
[02:24:06.420 --> 02:24:12.326]  Thanks to you, I know no matter what happens to me, men and women are going to continue the fight forward into the future.
[02:24:12.346 --> 02:24:13.647]  But this is an Alamo situation.
[02:24:14.167 --> 02:24:15.168]  I'm not evacuating.
[02:24:15.669 --> 02:24:16.329]  I'm not leaving.
[02:24:16.349 --> 02:24:17.470]  I'm not going.
[02:24:17.510 --> 02:24:18.551]  How'd they do with the Alamo?
[02:24:18.571 --> 02:24:18.972]  Do you remember?
[02:24:18.992 --> 02:24:19.692]  Everybody got killed.
[02:24:19.893 --> 02:24:20.133]  Oh, okay.
[02:24:21.547 --> 02:24:28.950]  But, but, but, but that example led to a big, you know, my mom's family raised Colonel Travis's son.
[02:24:29.531 --> 02:24:31.472]  And on my dad's side too, they were heavily involved.
[02:24:31.852 --> 02:24:35.053]  First Texas families, we have like Mexican land grants for our property.
[02:24:35.073 --> 02:24:36.014]  We still have Mexican land.
[02:24:36.054 --> 02:24:39.235]  We paid for 12 cents an acre, like 1825 in East Texas.
[02:24:39.575 --> 02:24:41.956]  You know, you have business.
[02:24:41.976 --> 02:24:44.898]  So it's not as cool as your place, but it's pretty cool.
[02:24:45.158 --> 02:25:13.620]   And the last letter he wrote on that piece of wallpaper, Was to one of my great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great-great
[02:25:15.820 --> 02:25:18.063]  I don't have a death wish, but man, it gets me on its kite.
[02:25:19.185 --> 02:25:21.348]  And so, I'm not doing what Colonel Travis did.
[02:25:21.368 --> 02:25:23.791]  The only reason they got beat is they ran out of ammo, basically.
[02:25:24.112 --> 02:25:25.914]  They had powder, but no more ball.
[02:25:26.375 --> 02:25:27.636]  And they were fighting with swords at the end.
[02:25:27.696 --> 02:25:30.700]  So, those are tough men, and I don't even measure up to them.
[02:25:31.889 --> 02:25:32.989]  But I want to try to measure up.
[02:25:33.330 --> 02:25:34.790]  And so it's very exciting.
[02:25:35.030 --> 02:25:35.851]  It's instinctive.
[02:25:35.891 --> 02:25:39.672]  It's spiritual to be defending humanity and prosperity and freedom and justice.
[02:25:40.072 --> 02:25:44.114]  It's these globalist child trafficking monsters, the open border, all this evil.
[02:25:44.434 --> 02:25:46.675]  I mean, so my cells tell me to do this.
[02:25:46.775 --> 02:25:50.016]  My guts, my sinews say, you're ordered to do this.
[02:25:50.376 --> 02:25:51.557]  And I don't feel good unless I do it.
[02:25:51.917 --> 02:26:03.361]   And so the bigger the attacks get, it's the old World War II saying, when the planes were over the target, They didn't really have radar, but they knew the bases and the factories had flak, so they're shooting at them with artillery, anti-aircraft artillery, so you flew into that.
[02:26:03.722 --> 02:26:11.045]  And so me, the best place I want to be is in the flak, but I also hate the flak because we could blow up and we're not in the fight anymore.
[02:26:11.485 --> 02:26:18.568]  So there's that paradox, but 90% of me wants to be in the flak, 10% says maybe you should steer a little around it because you don't want to get knocked out.
[02:26:19.368 --> 02:26:25.391]  And until just a few years ago, I felt really bad because it didn't seem the paradigm had been shattered and people didn't actually read the globalist documents.
[02:26:25.992 --> 02:26:29.354]  Now there's been a paradigm shattering and I'm almost obsolete, Tucker.
[02:26:29.854 --> 02:26:39.379]  And as soon as that happens, as soon as I see another couple hundred more prominent people that actually know what's going on, we've already reached chain reaction point, I'm gonna hang it up and disappear like Obi-Wan Kenobi.
[02:26:41.590 --> 02:26:42.131]  Alex Jones.
[02:26:42.511 --> 02:26:42.872]  Thank you.
[02:26:42.912 --> 02:26:43.313]  Thank you.
[02:26:43.453 --> 02:26:44.334]  What a great conversation.
[02:26:44.354 --> 02:26:44.715]  Thank you, brother.
[02:26:44.735 --> 02:26:45.256]  I really appreciate it.
[02:26:45.276 --> 02:26:46.057]  Thanks for your courage, Tucker.
[02:26:46.077 --> 02:26:46.437]  Thank you.
[02:26:46.517 --> 02:26:47.198]  I love your crew.
[02:26:47.238 --> 02:26:47.779]  Great energy.
[02:26:48.100 --> 02:26:48.460]  Thank you.
[02:26:48.480 --> 02:26:49.322]  Americana, baby.
[02:26:49.902 --> 02:27:05.341]  Alex Jones.
[02:27:05.297 --> 02:27:10.618]  If you can trust yourself when all men doubt you, but make allowance for their doubting too.
[02:27:11.478 --> 02:27:14.239]  If you can wait and not be tired by waiting.
[02:27:14.259 --> 02:27:17.999]  Or being lied about, don't deal in lies.
[02:27:18.440 --> 02:27:20.580]  Or being hated, don't give way to hating.
[02:27:21.120 --> 02:27:24.221]  And yet, don't look too good, nor talk too wise.
[02:27:25.990 --> 02:28:04.606]   If you can dream and not make dreams your master, if you can think and not make thoughts your aim, if you can meet with triumph and disaster and treat those two impostors just the same, if you can bear to hear the truth you've spoken, twisted by knaves to make a trap for fools, or watch the things you gave your life to, broken, and stoop and build them up with worn-out tools, If you can make one heap of all your winnings, and risk it on one turn of pitch and toss, and booze and start again at your beginnings, and never breathe a word about your loss.
[02:28:05.527 --> 02:28:17.254]  If you can force your heart and nerve and sinew to serve your turn long after they are gone, and so hold on when there is nothing in you except the will which says to them, hold on.
[02:28:18.959 --> 02:28:24.762]  If you can talk with crowds and keep your virtue, or walk with kings, nor lose the common touch.
[02:28:25.462 --> 02:28:32.166]  If neither foes nor loving friends can hurt you, if all men count with you, but a nun too much.
[02:28:33.347 --> 02:28:42.071]  If you can fill the unforgiving minute with sixty seconds worth of distance run, yours is the earth and everything that's in it.
[02:28:43.072 --> 02:28:47.631]  And, which is more, you'll be a man, my son.
[02:28:47.631 --> 02:29:00.192]  You're listening to Alex Jones.
[02:29:00.192 --> 02:29:02.192]  (music ends)
[02:29:02.192 --> 02:29:12.192]  [BLANK_AUDIO]
[02:29:03.584 --> 02:29:04.724]  Infowarstore.com.
[02:29:06.485 --> 02:29:08.947]  We also have store-wide free shipping, double Patreon points.
[02:29:10.248 --> 02:29:11.929]  We have X2 about to sell out.
[02:29:12.289 --> 02:29:14.970]  We have Winter Sun, the best E3, finally back in stock.
[02:29:15.250 --> 02:29:16.211]  So good for your immune system.
[02:29:16.631 --> 02:29:20.694]  We have VazoBeats with nitrous oxide to boost your heart health.
[02:29:21.716 --> 02:29:22.116]  All of it.
[02:29:23.137 --> 02:29:30.943]  We have TurboForce, the most powerful, high-quality, brain-boosted tropic out there that's also good for you, unlike other brain boosters that aren't.
[02:29:31.484 --> 02:29:32.684]  TurboForce discounted.
[02:29:32.704 --> 02:29:34.085]  Infowarstore.com.
[02:29:34.446 --> 02:29:35.687]  Get TurboForce.
[02:29:37.543 --> 02:29:38.644]  Get Winter Son.
[02:29:39.704 --> 02:29:42.086]  Get it all at InfoWarsTore.com.
[02:29:42.426 --> 02:29:44.447]  And I want to thank you all for keeping us on air over the years.
[02:29:44.487 --> 02:29:46.228]  You've seen that we've delivered together.
[02:29:46.629 --> 02:29:47.829]  You delivered supporting us.
[02:29:48.270 --> 02:29:49.470]  I've delivered not giving up.
[02:29:49.831 --> 02:29:53.113]  Praise God and passing ammunition in the information war.
[02:29:53.133 --> 02:29:55.034]  Get a copy of my book, The Great Awakening.
[02:29:56.255 --> 02:29:57.035]  Sign or unsign.
[02:29:57.195 --> 02:29:58.396]  InfoWarsTore.com.
[02:29:58.756 --> 02:29:59.657]  Take action!
[02:30:03.328 --> 02:30:07.031]  In a world filled with uncertainty, you can prepare with InfoWars Life Select.
[02:30:07.311 --> 02:30:13.476]  Our storable food is not only delicious, but it's your first line of defense against food shortages and unpredictable times.
[02:30:13.896 --> 02:30:19.120]  Our high quality meals are packed with nutrition your body needs and packed for long term secure storage.
[02:30:19.280 --> 02:30:25.125]  Whether it's a natural disaster or societal disruptions, ensure your family's future with InfoWars Life Select.
[02:30:25.385 --> 02:30:26.826]  Don't wait for the unexpected.
[02:30:27.006 --> 02:30:30.789]  Visit preparewithalex.com and stock up on storable food today.
