[00:00:29.713 --> 00:00:31.053]  A digital frontier.
[01:44:17.377 --> 01:44:22.299]  And they pat you on the head and talk about how special you are and all because they do that, you're now part of the system.
[01:44:24.240 --> 01:44:26.701]  And maybe the New York Times writes an article about you.
[01:44:28.501 --> 01:44:29.842]  And then you're part of the good club.
[01:44:34.284 --> 01:44:34.864]  It's spiritual.
[01:44:35.851 --> 01:44:37.813]  They do it to prove themselves to Satan.
[01:44:37.833 --> 01:44:40.155]  Even though they're not conscious of it, most of them are now.
[01:44:40.795 --> 01:44:41.836]  They get a thrill.
[01:44:42.196 --> 01:44:44.518]  These parents get a thrill out of hurting their kids.
[01:44:44.819 --> 01:44:45.419]  It's legal.
[01:44:45.499 --> 01:44:46.700]  Munchausen by proxy.
[01:44:51.985 --> 01:44:54.467]  Here's a clip of the pastor coming up next hour.
[01:44:55.794 --> 01:44:59.955]  And I saw Trump rising up, and then I saw an attempt on his life.
[01:45:01.395 --> 01:45:07.896]  This bullet flew by his ear, and it came so close to his head that it busted his eardrum.
[01:45:08.497 --> 01:45:14.718]  And I saw, he fell to his knees during this time frame, and he started worshiping the Lord.
[01:45:14.758 --> 01:45:17.878]  He got radically born again during this time frame.
[01:45:18.178 --> 01:45:25.260]  I'm talking, people say he's saved now, but he becomes really on fire for Jesus for what I saw coming.
[01:45:28.154 --> 01:45:30.596]  Brandon Biggs joining us next hour.
[01:45:33.258 --> 01:45:34.719]  Here's some of the other news headlines.
[01:45:35.619 --> 01:45:36.480]  Can't make this up.
[01:45:38.321 --> 01:45:39.582]  XMI6 boss.
[01:45:40.142 --> 01:45:42.244]  That literally runs the transgender program worldwide.
[01:45:43.305 --> 01:45:50.149]  Russian disinformation from UK riots over murder of three young girls.
[01:45:50.229 --> 01:45:55.093]  So, a young 17-year-old illegal alien
[01:45:57.279 --> 01:46:01.521]  Stabs three kids to death because they're white.
[01:46:03.502 --> 01:46:05.423]  And people demonstrate and get angry about it.
[01:46:05.463 --> 01:46:06.884]  The police attack them so they fight back.
[01:46:08.025 --> 01:46:14.268]  And MI6 says Russian disinformation caused the people to be angry.
[01:46:15.309 --> 01:46:16.109]  That's right, folks.
[01:46:18.430 --> 01:46:19.331]  If you forget to take
[01:46:22.025 --> 01:46:23.526]  Hamburgers off the grill and they burn?
[01:46:23.786 --> 01:46:24.186]  Russians.
[01:46:24.326 --> 01:46:25.387]  If you fall on a banana peel?
[01:46:25.747 --> 01:46:26.207]  Russians.
[01:46:27.088 --> 01:46:28.429]  If your kid gets run over by a car?
[01:46:28.649 --> 01:46:29.069]  Russians.
[01:46:29.770 --> 01:46:30.610]  If you get cancer?
[01:46:30.790 --> 01:46:31.270]  Russians.
[01:46:32.131 --> 01:46:32.931]  If you're late to work?
[01:46:33.092 --> 01:46:33.552]  Russians.
[01:46:34.052 --> 01:46:35.053]  Forgot to do your homework?
[01:46:35.393 --> 01:46:36.554]  You don't say the dog ate it?
[01:46:37.114 --> 01:46:37.594]  Russians!
[01:46:39.115 --> 01:46:41.897]  Russians, Russians, Russians, Russians.
[01:46:42.337 --> 01:46:46.800]  And if you like President Trump and don't like pedophiles or men and women's sports?
[01:46:47.060 --> 01:46:47.600]  Russians.
[01:46:48.441 --> 01:46:48.961]  They say that.
[01:46:50.856 --> 01:46:51.616]  And in a way, it's true.
[01:46:51.636 --> 01:46:54.137]  I mean, the Russians are rejecting cutting their son's penises off.
[01:46:54.177 --> 01:46:55.117]  That's illegal in Russia.
[01:46:55.137 --> 01:46:58.318]  Because they're bad people.
[01:46:59.479 --> 01:47:02.359]  They don't give their boys the gift of having their genitals cut off.
[01:47:04.520 --> 01:47:05.420]  Those damn Russians.
[01:47:05.761 --> 01:47:06.681]  At it again, folks.
[01:47:06.701 --> 01:47:07.601]  It's just so bad.
[01:47:08.521 --> 01:47:11.842]  Biden to expand nuclear weapon arsenal in Europe.
[01:47:13.103 --> 01:47:15.383]  Russia to reciprocate.
[01:47:16.704 --> 01:47:20.445]  And now moves their nukes to the border and submarines off our coast.
[01:47:22.580 --> 01:47:27.644]  Third child dies after stabbing Rampage at a dance class in England.
[01:47:29.485 --> 01:47:31.086]  Yeah, pull up the young monster that did it.
[01:47:31.126 --> 01:47:36.830]  I posted it on X. Absolutely disgusting.
[01:47:38.791 --> 01:47:40.693]  Surprised I didn't say he identifies as a woman.
[01:47:42.354 --> 01:47:45.556]  You know, usually they do and, you know, somebody's running around killing people.
[01:47:49.178 --> 01:47:49.921]  We're going to get a break.
[01:47:49.941 --> 01:47:52.430]  We're going to come back with our special guest.
[01:47:54.052 --> 01:47:56.533]  Again, please remember, I can't do this show without you.
[01:47:56.573 --> 01:47:58.534]  I can't do it without your support, your word of mouth, your prayer.
[01:47:59.294 --> 01:48:21.361]  I humbly ask you to go to drjonesdactyls.com, our amazing sponsor, where you'll find so many great nano silver products of the highest quality, organic multivitamin, and the most concentrated green capsules with the essence of the seed sprouts, the green fiber caps, the next level of financial energy that's not a stimulant, but gives you a super clean stimulant feeling by flushing your cells out within 30 minutes.
[01:48:21.701 --> 01:48:22.481]  You feel it immediately.
[01:48:23.758 --> 01:48:24.599]  And it's amazing.
[01:48:24.640 --> 01:48:30.368]  Next Level Financial Energy is selling out, but it's still available at drjonesnaturals.com.
[01:48:31.089 --> 01:48:32.891]  That's drjonesnaturals.com.
[01:48:34.625 --> 01:48:38.306]  And they've got so many other great products when you're on the site.
[01:48:38.566 --> 01:48:39.667]  Shroom Force is great.
[01:48:39.707 --> 01:48:40.347]  It's selling out.
[01:48:41.527 --> 01:48:44.428]  Silver Bullet, Colloidal Silver, the highest quality, discounted.
[01:48:44.888 --> 01:48:54.532]  Cabochilled, again, it's not a depressant, but it gives you a chilled relaxation and just knocks out anxiety, especially, you know, if you're prone to that.
[01:48:54.912 --> 01:48:57.753]  So it's all available at drjonesnaturals.com.
[01:48:58.853 --> 01:49:00.594]  And again, if you go to infowarestore.com,
[01:49:02.128 --> 01:49:03.869]  We got a big sale going that's going to end soon.
[01:49:03.929 --> 01:49:12.472]  Up to 50% off on best-selling products like Nitric Boost to clean out your blood and heart and brain and your cardiovascular system.
[01:49:12.492 --> 01:49:14.413]  40% off on DNA Force Plus.
[01:49:15.153 --> 01:49:16.954]  40% off on Brain Force Plus.
[01:49:17.434 --> 01:49:18.275]  And so much more.
[01:49:18.315 --> 01:49:19.215]  They're amazing products.
[01:49:19.275 --> 01:49:22.236]  And be sure and get our Info Wars fundraising shirt.
[01:49:22.897 --> 01:49:26.098]  That's the iconic image of Trump saying, fight, fight, fight, with bulletproof under it.
[01:49:26.558 --> 01:49:27.999]  We'll be right back with hour number three.
[01:49:28.019 --> 01:49:28.759]  You don't want to miss this.
[01:49:29.239 --> 01:49:30.200]  Take a look at what happened.
[01:49:36.354 --> 01:49:43.558]  On July 13th, 2024, the Deep State took a shot, not just at Donald Trump, but at America and our Republic.
[01:49:43.698 --> 01:49:49.001]  But by the grace of God, God's hand was on Donald Trump, and by just millimeters, he survived.
[01:49:49.261 --> 01:49:55.665]  Ladies and gentlemen, the Deep State, Google, all the big tech companies, other than X, have been trying to suppress this image.
[01:49:55.685 --> 01:49:58.366]  They've been trying to suppress everything about the assassination.
[01:49:58.786 --> 01:50:00.007]  But it is so important
[01:50:00.307 --> 01:50:00.527]  Thank you.
[01:50:20.894 --> 01:50:28.479]  Patriot Apparel makers in America and they partnered with us and they print the shirts and everything right there in Arkansas.
[01:50:28.720 --> 01:50:31.341]  So these are ready to ship right now.
[01:50:32.923 --> 01:50:34.043]  We love you!
[01:50:34.083 --> 01:50:34.364]  Yes!
[01:50:41.562 --> 01:50:47.824]  President Trump had eight shots fired at him, killing one man, critically wounding two others, and grazing his ear.
[01:50:48.444 --> 01:50:57.227]  He immediately popped back up and said, fight, fight, fight, which translates to never surrender, never back down, never give up.
[01:50:57.607 --> 01:51:03.769]  But it takes the exercise of free speech and the financial support in a fight to save our republic.
[01:51:03.829 --> 01:51:05.089]  Infowars is recognized
[01:51:05.589 --> 01:51:05.949]  That's right.
[01:51:22.745 --> 01:51:27.828]  And wear it proudly in public and you'll probably get, it's what I've experienced, 95% love.
[01:51:28.128 --> 01:51:30.249]  You may have some leftists try to physically attack you as well.
[01:51:30.309 --> 01:51:33.491]  But it's an adventure to wear this shirt.
[01:51:33.511 --> 01:51:35.692]  I've been wearing it out in public and it's been amazing.
[01:51:35.732 --> 01:51:43.896]  And you really see the grassroots support that President Trump has around the country, not just in red cities, red towns, and red states.
[01:51:44.277 --> 01:51:50.340]  So ladies and gentlemen, this is a critical juncture for the Republic and now is the time to wear our colors loud and proud.
[01:51:50.640 --> 01:51:51.661]  The red, white, and blue.
[01:51:52.381 --> 01:51:55.443]  With President Trump raising his fists defiantly to the New World Order.
[01:51:55.763 --> 01:52:00.186]  Go to HoldTheLine.com and use promo code Alex and you get an additional 10% off.
[01:52:00.526 --> 01:52:11.033]  By wearing this shirt in public, you raise your fists in defiance with President Trump and myself and many others of the globalist tyranny and say, we will never surrender the New World Order.
[01:52:11.494 --> 01:52:14.055]  And the answer to your tyranny is 1776.
[01:52:15.176 --> 01:52:16.277]  We will never surrender.
[01:52:16.477 --> 01:52:18.138]  We will fight, fight, fight!
[01:52:18.398 --> 01:52:19.299]  Because the answer to 1984 is 1776!
[01:52:29.468 --> 01:52:32.351]  This is an emergency transmission from deep in the heart of Texas, the U.S.
[01:52:32.391 --> 01:52:40.680]  resistance against a global corporate combine empowered and funded by Communist China, allied with the big megabanks that set up Communist China in 1949.
[01:52:41.121 --> 01:52:43.603]  The Communist Chinese have taken control of U.S.
[01:52:43.643 --> 01:52:45.085]  telecommunications infrastructure.
[01:52:45.405 --> 01:52:47.307]  The Communist Chinese have taken control of Hollywood.
[01:52:47.547 --> 01:52:49.689]  The Communist Chinese have taken control of the main universities.
[01:52:49.930 --> 01:52:51.011]  This is all confirmed.
[01:52:51.031 --> 01:52:51.972]  This is not a drill.
[01:52:52.132 --> 01:52:56.036]  Big Tech in Silicon Valley is almost completely run by the Communist Chinese government.
[01:52:56.396 --> 01:52:57.817]  They've officially become state-run.
[01:52:57.937 --> 01:52:58.418]  Apple 100%.
[01:52:58.818 --> 01:53:04.424]  Google is now making the transition and announcing a merger and total worldwide censorship.
[01:53:04.884 --> 01:53:09.627]  They are now beta testing using me as the straw man, a demonized version of Alex Jones, to do that.
[01:53:09.947 --> 01:53:10.808]  This is happening.
[01:53:10.848 --> 01:53:18.773]  This is not like the other probes before that were meant to get you used to probes and censorship, thinking you would adapt to censorship by just putting up with it.
[01:53:18.853 --> 01:53:24.817]  Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[01:53:25.237 --> 01:53:33.183]  This is a titrated dose reverse psychological warfare operation using adapt and overcome subversion paradigm manipulation.
[01:53:34.043 --> 01:53:37.604]  In layman's terms, they are manipulating the fact that we adapt to being oppressed.
[01:53:37.664 --> 01:53:41.085]  We adapt to being pressed with the low dosages of oppression.
[01:53:41.325 --> 01:53:48.407]  Now when the megaton hits us of the total takeover, we try to adapt to the poison infusion instead of not knowing.
[01:53:48.647 --> 01:53:51.307]  It's a lethal dose if we accept the dose.
[01:53:51.667 --> 01:53:56.428]  Total Internet of Things integration, global social score, complete command and control system.
[01:53:56.889 --> 01:53:58.469]  It is the virtual reality AI
[01:53:58.729 --> 01:54:05.337]  I have been chosen for destruction because I brought you this information and have been battering, ramming it out as much as I can.
[01:54:19.168 --> 01:54:27.894]  They want to double use me as they always do in any complex system of mathematical deception where every angle of my good is turned against us.
[01:54:27.914 --> 01:54:32.777]  So they take what I've said, being sincere, build me into an insincere person in the straw man.
[01:54:33.177 --> 01:54:36.279]  I'm a person that cares about life and children and is against these wars.
[01:54:36.299 --> 01:54:38.100]  And so they make me a herder of children.
[01:54:38.300 --> 01:54:46.085]  And then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[01:54:46.605 --> 01:54:53.352]  So even if I didn't sell out to them, they've now used me as an archetype to serve them by being the main distraction!
[01:54:53.792 --> 01:54:59.137]  I have now been captured by the enemy in the information warfare fulcrum and is being used against you!
[01:54:59.377 --> 01:55:03.942]  Only your full understanding of this TE will break you free from this paradigm!
[01:55:03.962 --> 01:55:06.204]  I have given you the transmission!
[01:55:06.324 --> 01:55:07.265]  Now break free!
[01:55:10.994 --> 01:55:19.705]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[01:55:20.506 --> 01:55:21.467]  Thomas Jefferson
[01:55:22.868 --> 01:55:27.011]  If you are receiving this transmission, you are the resistance.
[01:55:27.191 --> 01:55:29.672]  Literally, they're bringing in the foreign army.
[01:55:30.053 --> 01:55:31.874]  But it won't happen overnight with you in blue helmets.
[01:55:31.954 --> 01:55:33.115]  It's just they're now your police.
[01:55:33.655 --> 01:55:34.896]  They've already purged the military.
[01:55:35.256 --> 01:55:35.976]  They bring them in.
[01:55:36.057 --> 01:55:37.017]  They'll follow orders.
[01:55:37.497 --> 01:55:38.478]  This is very simple.
[01:55:38.758 --> 01:55:42.621]  So Rome took 400 years of bringing in foreign troops to fall.
[01:55:43.101 --> 01:55:44.142]  They didn't do it on purpose.
[01:55:44.602 --> 01:55:46.483]  But the globalists look at 1984 as fiction.
[01:55:47.984 --> 01:55:53.147]  Or they look at Rome and they go, which was historical, and they go, that is a blueprint.
[01:55:53.607 --> 01:55:54.788]  That is an owner's manual.
[01:55:55.289 --> 01:55:56.529]  That is a battle plan.
[01:55:56.970 --> 01:55:58.390]  So that's what the Great Reset is.
[01:55:58.470 --> 01:56:07.456]  It's accelerating the collapse of Western civilization, as you don't want in around to compete with the globalist model of eat the bugs and enslavement and collapse.
[01:56:07.876 --> 01:56:12.779]  So they're actively seeing prosperity and Christian nationals freedom.
[01:56:13.099 --> 01:56:15.401]  God forbid the rest of the world pick up
[01:56:16.081 --> 01:56:16.922]  Western culture.
[01:56:17.202 --> 01:56:18.503]  So you brand it as racist.
[01:56:18.523 --> 01:56:25.087]  You say it's bad because it's like kryptonite, you know, to Superman or holy water and high noon to a vampire.
[01:56:25.568 --> 01:56:30.051]  If people say, I want my second amendment, I want my new process, I want my capitalism.
[01:56:30.431 --> 01:56:33.713]  Well, then it's over for the black rocks and the Googles, the Facebook.
[01:56:33.753 --> 01:56:38.897]  So that's why they're fundamentally branding freedom as a white evil thing.
[01:56:39.477 --> 01:56:45.802]  Because let's face it, Western civilization did develop from Greece on this incredible thing that could uplift humanity.
[01:56:46.082 --> 01:56:58.691]  So you discredit it by making it racial instead of selling it to the world and having everyone adopt it and creating unification, not through centralization or enslavement, but through adoption because it works so well.
[01:56:59.172 --> 01:57:02.314]  And so the globalist tyrants are fundamentally threatened
[01:57:02.654 --> 01:57:04.856]  By Western Christian civilization.
[01:57:05.116 --> 01:57:06.237]  And that's why they're at war with it.
[01:57:06.478 --> 01:57:07.779]  Which is why we should embrace it.
[01:57:08.019 --> 01:57:14.045]  And that's why the great numbers of double the blacks voting for Trump, or triple the Hispanics we just saw 10 years ago.
[01:57:14.445 --> 01:57:24.895]  And that's why they're in full panic mode trying to bring in totally uninformed foreigners from all over who they control and who they can run through NGOs hoping that they'll be the savior.
[01:57:24.935 --> 01:57:28.318]  So as negative as all this is, I see this as the
[01:57:28.718 --> 01:57:32.045]  All right, in November of last year, they taped this interview.
[01:57:32.085 --> 01:57:34.830]  They released it in March of this year.
[01:57:35.150 --> 01:57:38.336]  On record, Pastor Brandon Biggs.
[01:57:39.537 --> 01:57:45.000]  He joins us also with his other pastor, Steve Coccolante.
[01:57:46.001 --> 01:57:52.625]  And you can find all their work at discoverchurch.online and also on Last Days 247.
[01:57:52.845 --> 01:57:55.206]  That's where you find Brandon Beggs.
[01:57:55.827 --> 01:58:02.311]  But, you know, we make a lot of really interesting and amazing informative predictions here.
[01:58:03.471 --> 01:58:10.299]  But I gotta tell you, the power of the Holy Spirit is all-powerful, and so I wanted to play the clip of Pastor Brandon Beggs.
[01:58:10.319 --> 01:58:11.240]  They released in March.
[01:58:11.941 --> 01:58:16.066]  They taped this in November of 2023, and it's on record.
[01:58:16.086 --> 01:58:16.827]  It's out there.
[01:58:16.847 --> 01:58:18.088]  You'll look at it on YouTube, Instagram,
[01:58:18.268 --> 01:58:18.989]  We're good.
[01:58:33.951 --> 01:58:34.391]  We're good to go.
[01:58:53.029 --> 01:58:56.970]  I saw Trump rising up, and then I saw an attempt on his life.
[01:58:58.231 --> 01:59:04.733]  This bullet flew by his ear, and it came so close to his head that it busted his eardrum.
[01:59:05.334 --> 01:59:11.576]  And I saw, he fell to his knees during this time frame, and he started worshiping the Lord.
[01:59:11.596 --> 01:59:14.717]  He got radically born again during this time frame.
[01:59:15.017 --> 01:59:22.100]  I'm talking, people say he's saved now, but he becomes really on fire for Jesus for what I saw coming.
[01:59:22.620 --> 01:59:30.087]  And then you see the photo of Trump on his knees with bloody hands and bloody face, and he said that he saw that it was God.
[01:59:30.107 --> 01:59:34.370]  He said that the RNC in other speeches, in that moment, that it was God that had protected him.
[01:59:34.410 --> 01:59:40.416]  And he looked out and saw the crowd thinking he was dead and pushed past the Secret Service and demanded he stand up.
[01:59:41.297 --> 01:59:43.679]  And he said, wait a minute, fight, fight, fight.
[01:59:44.399 --> 01:59:45.921]  So an incredible moment.
[01:59:46.581 --> 01:59:47.762]  Pastor Brandon Biggs,
[01:59:48.908 --> 01:59:51.369]  Last Days on YouTube, Last Days 247.
[01:59:52.230 --> 01:59:57.332]  And Pastor Steve also joins us, Pastor Steve Coccolati.
[01:59:57.992 --> 02:00:03.035]  So gentlemen of discoverchurch.online and Discover Ministries on YouTube.
[02:00:03.795 --> 02:00:05.796]  Wow, great to have you both on.
[02:00:05.816 --> 02:00:07.657]  I know you've got more prophetic
[02:00:08.490 --> 02:00:15.934]  Word for people, obviously inspired by God, you can't make a call like this and it not be, I mean, not just the grazing the ear, but the falling down.
[02:00:15.954 --> 02:00:19.795]  And then Trump said, and I talked to Trump's people, he didn't even know about your clip.
[02:00:19.815 --> 02:00:22.937]  He literally said days later, I felt God at that moment.
[02:00:22.977 --> 02:00:32.361]  And everybody that knows Trump said he's credited God publicly, but that Trump is a new man now, even more focused, more in that place of the most high, that quiet place of the most high.
[02:00:35.356 --> 02:00:39.223]  Pastor Brandon, you know, Pastor Steve, you can start wherever you want here, gentlemen.
[02:00:39.283 --> 02:00:41.767]  I know you've got more prophetic words for us, so God bless you.
[02:00:44.231 --> 02:00:44.772]  Go ahead, Pastor.
[02:00:46.769 --> 02:00:49.431]  Well, I want to say thank you for having us on, Alex.
[02:00:50.072 --> 02:01:00.980]  We were watching you in Australia just to let you know and praying for you all these years, because when you got deplatformed in 2018, you were the canary in the coal mine for the rest of us, and we knew they were coming after us.
[02:01:01.701 --> 02:01:05.443]  And we were predicting, at that time, I predicted Trump was going to be president.
[02:01:05.724 --> 02:01:08.606]  I was the second person after the prophet Kim Clement.
[02:01:09.475 --> 02:01:14.758]  And I predicted not only just him winning, but what is the plan that he would be an agent of justice.
[02:01:15.558 --> 02:01:18.420]  And he didn't quite fulfill it in the first administration.
[02:01:18.480 --> 02:01:26.023]  And so there's been this thwarting, this lawfare against him because he's connected to this issue of biblical justice in the end times.
[02:01:27.304 --> 02:01:28.365]  Then Brandon came on.
[02:01:29.633 --> 02:01:39.737]  You know, our YouTube channel, and he's got a great YouTube channel that's exploding now, and we just featured him talking about what's going to happen to President Trump before he gets re-elected.
[02:01:39.797 --> 02:01:48.160]  We prophesy, we believe he's going to get re-elected a second time for a very specific purpose, but I think Brandon should be the one that tell the vision.
[02:01:49.020 --> 02:01:55.783]  I agree, but I'm not pastors like you, but I have done a lot of Bible study in the final fall, but there's a lot of different, you know, sections the way the gifts are described.
[02:01:55.803 --> 02:01:58.804]  Explain what the gift of prophecy is for folks that don't understand.
[02:02:00.652 --> 02:02:01.493]  Okay, I can do that.
[02:02:01.533 --> 02:02:07.797]  That's in 1 Corinthians 14, so the gift of prophecy is not just fortune-telling and telling people their future.
[02:02:08.057 --> 02:02:09.698]  That's a huge misunderstanding.
[02:02:11.139 --> 02:02:18.805]  The purpose of the prophet is to speak for God, and we speak for God without studying an encyclopedia and preparing notes.
[02:02:18.825 --> 02:02:22.648]  We're speaking by inspiration, so that act of inspiration is called prophecy.
[02:02:23.168 --> 02:02:25.951]  1 Corinthians 14 verse 3 says, So there's no necessarily futuristic element in it, but you're speaking for God.
[02:02:26.031 --> 02:02:27.772]  But what do the prophets speak about the most?
[02:02:38.422 --> 02:02:39.903]  You study it, which I have.
[02:02:40.484 --> 02:02:47.270]  The main topic, the main mandate of the prophet out of the five-fold ministry is to bring justice to the leaders and to the nations.
[02:02:47.910 --> 02:02:56.698]  And because of that, then there is an inherent futuristic element because you're telling America and you're telling President Trump and the deep state, this is what God wants.
[02:02:56.918 --> 02:02:58.420]  He's giving you time to do it.
[02:02:59.020 --> 02:03:03.661]  Or else repent if you're actually fighting God, and if you don't do it, here's what will happen.
[02:03:03.701 --> 02:03:08.983]  And here are the signs that He will give, like the Great American Solar Eclipse, three of them, since 2017.
[02:03:09.903 --> 02:03:14.084]  I don't know if the audience knows that, but God will give signs.
[02:03:14.364 --> 02:03:17.005]  God will speak to people who don't even read the Bible, and He brings
[02:03:17.005 --> 02:03:29.953]  Well if you go back to Jonah, to going to Nineveh, and if you go to Ezekiel, when it burns in his bones, when I personally know it's God, I feel like electrified, it's like an epiphany, and I know this isn't me, this is information that people need to know.
[02:03:30.073 --> 02:03:32.635]  So absolutely, it's something being pushed into you.
[02:03:33.902 --> 02:03:34.202]  That's right.
[02:03:34.482 --> 02:03:40.425]  And so Jonah is a great example, because what people don't realize is it's not just Jonah walking in, but prior to that, there was a plague.
[02:03:40.565 --> 02:03:41.406]  So it's just like COVID.
[02:03:41.986 --> 02:03:45.928]  After that, there was an earthquake and a solar eclipse.
[02:03:46.308 --> 02:03:47.769]  So we're following the pattern.
[02:03:47.829 --> 02:03:52.031]  Patterns are prophetic, and the Bible history is really our prophecy.
[02:03:52.151 --> 02:03:53.531]  Bible history is our prophecy.
[02:03:53.992 --> 02:03:57.373]  So we've had the pandemic, whatever you want to call it.
[02:03:57.913 --> 02:03:59.874]  That's the start of the redemption process.
[02:04:00.074 --> 02:04:01.695]  It's the start of the Exodus, for instance.
[02:04:01.975 --> 02:04:02.996]  The 10 plagues start.
[02:04:03.716 --> 02:04:06.417]  The exodus out of slavery starts with the plague.
[02:04:06.818 --> 02:04:08.898]  So something was triggered with the COVID pandemic.
[02:04:09.619 --> 02:04:10.139]  It's global.
[02:04:10.219 --> 02:04:12.060]  It's the first global event since Noah's Flood.
[02:04:12.120 --> 02:04:14.861]  It's even more global than World War II.
[02:04:14.881 --> 02:04:17.642]  There were nations that were not involved in World War II, not affected really.
[02:04:18.063 --> 02:04:19.523]  But COVID impacted everybody.
[02:04:19.543 --> 02:04:21.964]  So we're now in the prophetic countdown.
[02:04:22.164 --> 02:04:23.825]  That's what God is telling us.
[02:04:23.905 --> 02:04:26.126]  And we should have the fear of God, like Alex, you said.
[02:04:26.506 --> 02:04:27.567]  We should have the fear of God.
[02:04:28.127 --> 02:04:30.188]  God is coming to right the wrongs.
[02:04:30.588 --> 02:04:31.908]  He's coming to clean house.
[02:04:32.368 --> 02:04:35.789]  You see the pastors that are immoral and not living pure lives.
[02:04:35.809 --> 02:04:37.110]  You see they're getting cleaned up.
[02:04:37.750 --> 02:04:41.331]  Story after story coming out of particularly your state, Alex, in Texas.
[02:04:41.831 --> 02:04:43.071]  God is here to clean house.
[02:04:43.511 --> 02:04:46.372]  But the good news for that is they've been coming after Trump.
[02:04:46.672 --> 02:04:48.593]  They've been coming after Alex Jones.
[02:04:49.033 --> 02:04:50.974]  And God is going to go on the offensive.
[02:04:51.454 --> 02:04:55.495]  God is going to bring justice to bear such that people cannot deny.
[02:04:56.135 --> 02:05:04.264]  And this grazing of the ear is one of those examples where we had comments on that video where people said, I thought I was an atheist, but now I'm not sure.
[02:05:04.804 --> 02:05:08.528]  I thought there was no evidence for God, but now I'm doubting myself.
[02:05:09.069 --> 02:05:14.354]  That's exactly the fear of God that should come when we hear prophecy or when we see prophecy fulfilled.
[02:05:14.995 --> 02:05:16.316]  It's absolutely supernatural.
[02:05:16.856 --> 02:05:19.137]  So God is getting people's attention for what?
[02:05:19.498 --> 02:05:25.221]  Not to sensationalize this, but to confirm that it's time to seek Him and to seek justice.
[02:05:25.281 --> 02:05:26.061]  This is the season.
[02:05:26.101 --> 02:05:27.962]  This is the message of these prophecies.
[02:05:29.903 --> 02:05:31.604]  All right, going to Pastor Brandon Biggs.
[02:05:32.045 --> 02:05:39.549]  Pastor, tell us about yourself and this amazing prophecy, and then what God's telling you now, what you're seeing.
[02:05:40.652 --> 02:05:43.713]  You know, Ryan, you know, I'm just gonna say it like this.
[02:05:44.133 --> 02:05:47.014]  I have so much on my heart to even talk to y'all about today.
[02:05:47.194 --> 02:06:08.602]  You know, we're in a very serious time, and I want to, you know, I try not to be real, like, a fear monger, and, you know, and tell everybody, hey, y'all need to buckle up, because things are gonna get rough, but more than ever... Oh, the Holy Spirit is on my heart.
[02:06:09.431 --> 02:06:17.261]  Yes, that's right.
[02:06:17.782 --> 02:06:27.715]  And what I've seen coming in the near future, you know, for the things that I've been praying over, and even whenever I was praying, I said, Lord, what do you want me to say to Alex Jones today?
[02:06:28.095 --> 02:06:33.097]  Because, I mean, I said, you know, we could talk about the Trump thing and the things that I've seen coming for even him.
[02:06:33.157 --> 02:06:34.918]  I've seen more attempts on his life coming.
[02:06:35.338 --> 02:06:36.719]  And the Lord said, we need to pray for him.
[02:06:36.779 --> 02:06:37.540]  This is not over.
[02:06:37.940 --> 02:06:39.460]  These people are relentless.
[02:06:39.480 --> 02:06:40.501]  They're not going to give up.
[02:06:41.241 --> 02:06:48.585]  And we've got to keep praying over him and interceding that God would have a divine protection just like he did before.
[02:06:49.325 --> 02:06:49.846]  We're good.
[02:07:10.043 --> 02:07:23.649]  Three major terrorists come across the border in Arizona recently and the Lord spoke to me and he said, Brandon, I want you to warn my people that there's three major generals is what I want to call them.
[02:07:24.009 --> 02:07:28.551]  They came across the border and he said they're planning a massive attack on the Americans.
[02:07:30.051 --> 02:07:30.812]  On the soil here.
[02:07:31.092 --> 02:07:32.852]  And he warned me about this.
[02:07:32.912 --> 02:07:34.773]  I saw he had a big beard.
[02:07:35.393 --> 02:07:36.534]  He was a heavyset man.
[02:07:36.754 --> 02:07:39.035]  I saw these other two men that were standing beside him.
[02:07:39.075 --> 02:07:40.155]  They were skinnier looking.
[02:07:40.735 --> 02:07:44.877]  And he said, they're planning massive attacks.
[02:07:45.037 --> 02:07:51.419]  And I saw these cells of people that were here coming from across the border.
[02:07:51.879 --> 02:07:54.880]  They've been here for a long time and they're waiting on their orders.
[02:07:55.100 --> 02:08:03.727]  And the Lord showed me these people all in these, like, when they are in some kind of command, they have some way of communicating.
[02:08:04.428 --> 02:08:08.071]  And whenever they are told to do, they're going to strike, strike, strike.
[02:08:08.111 --> 02:08:11.114]  And I saw them like ants coming up out of the ground.
[02:08:11.694 --> 02:08:13.236]  And the Lord said, they're underground.
[02:08:13.356 --> 02:08:15.618]  He was telling me, it's just like a type of shadow.
[02:08:15.638 --> 02:08:20.242]  What he was showing me is that they're coming up, they're going to come up out of the ground, out of their hiding places.
[02:08:20.262 --> 02:08:21.663]  Which means suddenly, suddenly.
[02:08:22.625 --> 02:08:23.366]  Yes, suddenly.
[02:08:23.606 --> 02:08:29.290]  And he said, when this happens, it will happen so many times that it will overwhelm the American people.
[02:08:30.831 --> 02:08:31.191]  Pray.
[02:08:31.691 --> 02:08:34.473]  And then I saw two major buildings in New York again.
[02:08:34.793 --> 02:08:38.516]  They look like hotels, like Trump Tower-like things.
