# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.080 --> 00:00:32.719]  InfoWars, tomorrow's news, today.
[01:47:29.520 --> 01:47:35.520]  By the time a sixth grader would put three or four kids in the hospital at the end of the year, the coaches are calling me and going, man, son, you have a killer instinct?
[01:47:35.920 --> 01:47:36.640]  Who taught you this stuff?
[01:47:36.720 --> 01:47:37.279]  What's going on?
[01:47:37.520 --> 01:47:39.760]  And then I had to fight their brothers after that and everything else.
[01:47:39.840 --> 01:47:50.239]  By the time I was 15, I was having to fight their convict, 25-year-old brothers when they got out of jail because I put their little brother in a coma, who was a state wrestling champion, who for no reason did a pile driver on me.
[01:47:50.319 --> 01:47:52.319]  So I broke his trachea.
[01:47:52.479 --> 01:47:53.039]  I'm sorry.
[01:47:53.199 --> 01:47:54.800]  I just can't take it.
[01:47:55.439 --> 01:47:57.680]  And you attack me, I black out.
[01:47:58.960 --> 01:48:01.359]  And that's what happened with Trump.
[01:48:02.000 --> 01:48:04.000]  He's blacked out, folks.
[01:48:05.600 --> 01:48:07.279]  He's like a light bulb going on and off.
[01:48:07.600 --> 01:48:09.439]  When it goes on, it's even brighter, but then it goes down.
[01:48:09.520 --> 01:48:09.760]  It's going.
[01:48:11.520 --> 01:48:13.359]  And you did that to him.
[01:48:16.159 --> 01:48:17.279]  Because he doesn't quit.
[01:48:17.520 --> 01:48:18.399]  He's like me.
[01:48:19.128 --> 01:48:20.099]  He's like a lot of other people.
[01:48:33.119 --> 01:48:36.079]  And that's where we are.
[01:48:36.239 --> 01:48:36.479]  All right.
[01:48:36.560 --> 01:48:38.560]  Look, I had Kirk Elliott coming on, but I've got callers.
[01:48:38.720 --> 01:48:41.359]  I don't want to be rude to Kirk, but I can't make the callers wait.
[01:48:41.760 --> 01:48:42.880]  This is a big day, anyways.
[01:48:43.119 --> 01:48:44.880]  I want to get him on about the economy and everything else.
[01:48:45.039 --> 01:48:46.399]  Just see if he can move to 130.
[01:48:46.479 --> 01:48:47.199]  I can do 30 minutes with him.
[01:48:47.279 --> 01:48:48.399]  And I'll go back to calls in the fourth hour.
[01:48:48.479 --> 01:48:50.079]  Plus, I got to cover the Sandy Hook stuff.
[01:48:50.399 --> 01:48:52.079]  I already said it, but I need to show you all the documents.
[01:48:52.159 --> 01:48:52.800]  I can't just talk about it.
[01:48:52.880 --> 01:48:54.079]  I got to show you.
[01:48:58.880 --> 01:49:00.159]  This is a special broadcast.
[01:49:00.800 --> 01:49:04.800]  This show in general, our guest, everything we've done, this crew, I'm so thankful, the crew.
[01:49:05.119 --> 01:49:06.720]  I couldn't do any of this without them.
[01:49:07.039 --> 01:49:07.840]  They're just amazing.
[01:49:08.079 --> 01:49:10.319]  I don't have words to describe what they put up with.
[01:49:10.880 --> 01:49:11.760]  This is a war zone.
[01:49:11.840 --> 01:49:13.119]  This is a real deal.
[01:49:13.760 --> 01:49:17.680]  But it's also a great opportunity to be on the leading edge of Renaissance and true resistance.
[01:49:18.000 --> 01:49:21.279]  So it's been a blessing, I think, overall for everybody, but though hard.
[01:49:21.840 --> 01:49:26.239]  And the black hole that is InfoWars, in through and beyond.
[01:49:26.880 --> 01:49:29.920]  Oh, they know they've taken that one step beyond.
[01:49:30.560 --> 01:49:36.239]  And I'm just so blessed for the audience of activists because you're not an audience.
[01:49:36.720 --> 01:49:38.319]  You're minimum in the arena.
[01:49:38.880 --> 01:49:40.319]  And I'm so thankful to my family.
[01:49:40.479 --> 01:49:42.399]  But of course, God's number one.
[01:49:42.960 --> 01:49:46.159]  And, you know, I know Trump's a good man.
[01:49:46.800 --> 01:49:48.159]  And he's tired of being pushed around.
[01:49:48.319 --> 01:49:49.359]  He's tired of being set up.
[01:49:49.520 --> 01:49:51.680]  They got the Epstein files they had hidden over there.
[01:49:51.760 --> 01:49:52.399]  It was a time bomb.
[01:49:52.479 --> 01:49:53.039]  It was a setup.
[01:49:53.119 --> 01:49:53.600]  It's totally true.
[01:49:53.680 --> 01:49:54.159]  We know it's true.
[01:49:54.720 --> 01:49:55.840]  It's true.
[01:49:59.279 --> 01:50:04.399]  And now his response to it is he's done putting up with it.
[01:50:04.560 --> 01:50:12.000]  And instead of attacking the Democrats, he's attacking his constituents, which is extremely stupid.
[01:50:12.640 --> 01:50:16.399]  But I understand he's blacked out.
[01:50:16.720 --> 01:50:18.800]  I don't mean literally, but he's, you know.
[01:50:20.319 --> 01:50:22.239]  People started to say that about six, eight months ago, even last year.
[01:50:22.319 --> 01:50:26.319]  They say, you know, Trump doesn't give a F. And it's true.
[01:50:29.279 --> 01:50:38.640]  And I'm not far along as he is, but I guarantee if I was 78 with her, he would, I'd be worse or I'd probably break.
[01:50:38.960 --> 01:50:40.319]  Just, you know, I wouldn't break and roll over.
[01:50:40.399 --> 01:50:42.399]  I'd probably have a heart attack or something.
[01:50:46.159 --> 01:50:48.399]  So Trump did save God.
[01:50:50.560 --> 01:50:53.680]  God did save Trump for a purpose.
[01:50:53.920 --> 01:51:04.239]  And I just God moves me to say we should pray for Trump, talk about the things that are wrong, talk about our concerns, but from a loving position and realize that we are blessed to have Trump instead of the Democrats.
[01:51:04.880 --> 01:51:08.000]  And America would be in a total depression and total collapse if we didn't get Trump in there.
[01:51:08.079 --> 01:51:11.920]  And it's a great victory against the deep state, a great populist victory, having other victories around the world.
[01:51:12.079 --> 01:51:13.680]  So I'm very thankful overall.
[01:51:14.560 --> 01:51:17.279]  And I'm going to continue to call it like I see it.
[01:51:17.439 --> 01:51:24.960]  But at the end of the day, I've analyzed what's going on with Trump and he believes he's in the right and overall he is.
[01:51:25.279 --> 01:51:27.439]  And he's very indignant and he's very pissed off.
[01:51:27.920 --> 01:51:30.319]  And the corporate media is acting like we've had a divorce or anything.
[01:51:30.640 --> 01:51:32.159]  Well, we had to have married to actually divorce.
[01:51:32.319 --> 01:51:34.479]  No, we're not having a divorce.
[01:51:34.800 --> 01:51:40.079]  We're just simply having a family argument about what needs to be done.
[01:51:40.720 --> 01:51:42.399]  But at the end of the day, Trump's the captain.
[01:51:42.479 --> 01:51:43.039]  He's in charge.
[01:51:43.199 --> 01:51:44.000]  He's going to do what he's going to do.
[01:51:44.079 --> 01:51:45.199]  We'll write back with your phone calls.
[01:51:45.439 --> 01:51:50.239]  There's a reason why supplements are so big and so popular and have such a great result.
[01:51:50.399 --> 01:52:02.479]  It's because whether it's your diet, whether it's your exercise routine, the point is you're lacking in some very important vitamins, very important minerals that can make you healthier, live longer, and feel better.
[01:52:02.800 --> 01:52:05.680]  We're also under constant attack, Owen, and that's what's very important.
[01:52:05.920 --> 01:52:13.760]  So the modern human living experience, the environment that we subject ourselves to, it's the equivalent of smoking like a couple packs of cigarettes every single day.
[01:52:14.000 --> 01:52:15.600]  Like that's the bad food that we eat.
[01:52:15.840 --> 01:52:21.439]  That's the poison in the water, X, Y, Z. So it's kind of like what happens is Rhett Jones in studio with me.
[01:52:21.520 --> 01:52:24.319]  We're about to make a very exciting new product announcement here.
[01:52:24.479 --> 01:52:37.359]  So what ends up happening is whether it's the modern day diet or whether it's the modern day atmosphere or whether it's, you know, a sedative state, you're not getting whatever it is you need to make your body function at its highest capabilities.
[01:52:37.680 --> 01:52:38.399]  Absolutely correct.
[01:52:38.640 --> 01:52:42.720]  And that's why we created these two new formulas that are now live at the AlexJonesStore.com.
[01:52:43.039 --> 01:52:46.319]  So we've got methyl drive here and we've also got power plant.
[01:52:46.560 --> 01:52:50.479]  Now, both of them at their core, they do around the same type of thing.
[01:52:50.720 --> 01:52:53.359]  It's increasing fuel for you to create new mitochondria.
[01:52:53.520 --> 01:52:55.520]  It's increasing mitochondrial efficiency.
[01:52:55.760 --> 01:52:59.199]  It's reducing oxidative stress and XYZ, other things like that.
[01:52:59.520 --> 01:53:02.079]  Now, I want to single out PowerPlant really quick.
[01:53:02.239 --> 01:53:12.079]  If you're a guy and you're looking for a boost, a healthy, sustainable testosterone boost, we made PowerPlant specifically for someone that wants to increase their free testosterone.
[01:53:12.399 --> 01:53:17.840]  I remember when I was looking into supplements and stuff and different things like, you know, people don't get enough boron.
[01:53:17.920 --> 01:53:19.119]  They don't even know what boron is.
[01:53:19.359 --> 01:53:23.199]  And I remember one thing that always stuck in my head, and that's, you know, it's just true.
[01:53:23.520 --> 01:53:25.600]  Well, what does boron kind of rhyme with, folks?
[01:53:25.840 --> 01:53:26.560]  Just leave it at that.
[01:53:26.720 --> 01:53:27.279]  You know what I mean?
[01:53:28.960 --> 01:53:39.760]  We've got bits and pieces of a system here that comes together and provides you just the antioxidant support you need, the testosterone support you need, the mitochondrial health support you need.
[01:53:39.920 --> 01:53:40.560]  It's all there.
[01:53:40.640 --> 01:53:41.520]  It's all together.
[01:53:41.760 --> 01:53:43.119]  It's in both of these products.
[01:53:43.359 --> 01:53:46.800]  You could take both of these at the same time and experience a heck of a lot of benefits.
[01:53:47.119 --> 01:53:49.439]  Now, I would say younger, older.
[01:53:49.600 --> 01:53:54.000]  You're an older person, you need more overall body support, you need the overall antioxidant support.
[01:53:54.319 --> 01:53:56.000]  I would go with the methyl drive.
[01:53:56.079 --> 01:54:00.239]  But if you're a younger person or someone looking for a performance boost, I would go with the power plant.
[01:54:00.560 --> 01:54:05.600]  I can enhance what I'm doing here, maybe like 10fold with the right supplement routine.
[01:54:05.840 --> 01:54:06.319]  Absolutely.
[01:54:06.399 --> 01:54:07.840]  I totally agree with that statement.
[01:54:08.000 --> 01:54:11.920]  Look, the reason why this is called PowerPlant is because it has cordyceps in it.
[01:54:12.159 --> 01:54:26.239]  Now, of course, the mitochondria is the powerhouse of the cell and all that, but cordyceps is like an elite top-tier, S-tier ingredient, which increases the amount of ATP you make, which indirectly helps you make more mitochondria, but beyond that, increases your oxygen-carrying capacity.
[01:54:26.479 --> 01:54:27.920]  So you want to talk about workouts.
[01:54:28.000 --> 01:54:28.880]  You want to talk about power.
[01:54:28.960 --> 01:54:29.840]  You talk about strength.
[01:54:30.000 --> 01:54:30.960]  Talk about power plan.
[01:54:31.199 --> 01:54:38.079]  And that's what you need, especially when you're doing a heavy lift and you need to have good breathing or you're doing long form cardio and you need to have strong breathing.
[01:54:38.319 --> 01:54:39.680]  That's where this is going to come into play.
[01:54:39.920 --> 01:54:54.720]  And when you started to talk about the new product that we just came out with with the PQQ and the CoQ10, folks, I'm telling you, it's like if I had to do a list of like, okay, if someone said you can pick five things that you're going to get in a supplement, like what are the most important things?
[01:54:55.039 --> 01:55:00.720]  Guarantee you, you asked me a hundred times, PQQ and CoQ10 are on that list for me a hundred times.
[01:55:00.960 --> 01:55:09.520]  Vitamin B12, as methylcobalamin, the good kind, magnesium, coenzyme Q10, CoQ10, PQQ, black pepper for absorption.
[01:55:09.760 --> 01:55:11.680]  You can't ask for a better catch-all, really.
[01:55:11.840 --> 01:55:16.239]  And the synergy that both of these products have with the methylene blue is unparalleled.
[01:55:16.399 --> 01:55:24.880]  You will not find a better product on the market that's targeted in that specific way because we made these for you, the customer, and for ourselves because we believe in the product.
[01:55:25.039 --> 01:55:25.840]  We take the product.
[01:55:26.159 --> 01:55:28.880]  ThealexjonesStore.com to get these new products.
[01:55:28.960 --> 01:55:29.600]  Try them for yourself.
[01:55:29.760 --> 01:55:30.880]  I know they're going to become a staple.
[01:55:31.119 --> 01:55:32.880]  I see Rex working out here every once in a while.
[01:55:32.960 --> 01:55:34.720]  We've worked out in the gym every once in a while.
[01:55:34.960 --> 01:55:37.520]  And, you know, he's really excited about this stuff.
[01:55:37.840 --> 01:55:50.399]  TheAlexJonesStore.com TheAlexJonesStore.com All right, I went off on a 30-minute or 27-minute diatribe about the persecution of InfoWars.
[01:55:50.479 --> 01:55:53.279]  This is emblematic of what these people do to everybody, what they want to do to you.
[01:55:53.439 --> 01:55:55.039]  They got to get through me to get to you.
[01:55:55.359 --> 01:55:58.239]  And Trump is overall standing up against the globalists for us.
[01:55:58.560 --> 01:56:05.520]  That's why it's so paradoxical because I morally have a responsibility when we're being gaslit to say this is BS.
[01:56:05.600 --> 01:56:06.000]  So do you.
[01:56:06.319 --> 01:56:08.640]  And you overwhelmingly are on the same page with me.
[01:56:09.840 --> 01:56:12.720]  But I really thought about it a lot.
[01:56:13.359 --> 01:56:16.319]  And I'm only going to budget after today.
[01:56:18.159 --> 01:56:19.680]  30 minutes a day on this scandal.
[01:56:19.760 --> 01:56:21.760]  And it's going to be huge and it's going to get horrible.
[01:56:22.079 --> 01:56:26.399]  But I'm going to cover the good stuff happening and the other things that are dangerous and the things we can do.
[01:56:26.640 --> 01:56:31.039]  I am after today, unless I do a special show here and there.
[01:56:32.000 --> 01:56:34.000]  I am not going to sit here and harp on this.
[01:56:34.079 --> 01:56:36.720]  And it's not because Trump said stop covering it.
[01:56:38.239 --> 01:56:41.520]  That makes everybody cover it more, which is insane.
[01:56:42.399 --> 01:56:45.199]  So I'm not doing it so that I'm not excommunicated.
[01:56:46.479 --> 01:56:51.600]  I'm doing it because I've really thought about it and I think it's the right thing to do to not make it the only central issue.
[01:56:51.680 --> 01:56:52.479]  Trump is right about that.
[01:56:52.560 --> 01:56:54.479]  He seems to be more articulate about that.
[01:56:55.199 --> 01:56:57.119]  And of course it's true they had control of the file.
[01:56:57.199 --> 01:56:59.279]  Of course they'd only put BS in there.
[01:57:00.159 --> 01:57:04.720]  People are saying like government files are like come out of Jesus' mouth or something of the worst stuff out there.
[01:57:05.039 --> 01:57:06.000]  The Warren Commission?
[01:57:06.079 --> 01:57:07.760]  I mean the 9-11 Commission?
[01:57:08.640 --> 01:57:09.600]  I mean Comprende?
[01:57:09.840 --> 01:57:11.199]  Yeah, you know what I'm saying.
[01:57:11.760 --> 01:57:19.840]  So, Jay, Paul, Willie, Mike, Eben, Larry, Robbie, Matthew, Uriah, and others.
[01:57:19.920 --> 01:57:21.600]  We're going to take your calls.
[01:57:22.399 --> 01:57:24.880]  There's a bunch of clips of Trump getting all angry again.
[01:57:24.960 --> 01:57:28.560]  And the good news, John Solomon saying he is going to appoint a special prosecutor.
[01:57:28.640 --> 01:57:30.239]  Trump told him that we broke that, by the way.
[01:57:30.560 --> 01:57:35.760]  I told you I called Justice Department sources, and they said, no, he says he's doing it, and we're looking for who it's going to be right now.
[01:57:36.960 --> 01:57:38.720]  So that's coming up.
[01:57:38.800 --> 01:57:42.159]  I also have a correction to make, and I'll do that later in the hour.
[01:57:42.399 --> 01:57:43.039]  We make mistakes.
[01:57:43.119 --> 01:57:44.399]  We want to own up to it.
[01:57:44.720 --> 01:57:53.439]  That was part of the calls I got from Trump land today on my comments on Sergio Gore.
[01:57:56.560 --> 01:57:58.880]  And Rakeland now has retracted what he was saying.
[01:57:58.960 --> 01:57:59.840]  He's a good guy overall.
[01:57:59.920 --> 01:58:06.159]  So am I. We're just trying to make some reason out of the bad stuff we see and thinking, okay, well, is it Sergei Gore?
[01:58:08.000 --> 01:58:09.920]  But I mean, General Flynn says he's the best.
[01:58:10.079 --> 01:58:11.039]  MTG called me.
[01:58:11.199 --> 01:58:11.760]  He's the best.
[01:58:12.960 --> 01:58:13.840]  Those people are the best.
[01:58:13.920 --> 01:58:15.279]  I mean, I don't just look at what they do.
[01:58:15.359 --> 01:58:16.479]  I can pick their spirit up.
[01:58:16.640 --> 01:58:22.319]  I mean, I'm just, and then I got some other calls, people I know very, very well, high up in the Trump administration, and they said this is all BS.
[01:58:23.279 --> 01:58:31.680]  And then I was given all the information that none of it's true and that it's, but it's carefully planted deep state disinformation.
[01:58:32.000 --> 01:58:34.960]  And I'll take it from Flynn and I'll take it from MTG.
[01:58:36.239 --> 01:58:38.479]  So, I mean, that was enough, but I got filled in.
[01:58:38.720 --> 01:58:45.439]  I can't tell you some of what I was told by some other folks, but the plot thickens, as they say.
[01:58:46.479 --> 01:58:50.159]  And there's something rotten in the state of Denmark, but it's not Sergey Gore.
[01:58:51.039 --> 01:58:57.119]  So I don't really want to apologize for what me and Ivan Ranklin said here because we didn't really say he is the devil.
[01:58:57.439 --> 01:58:58.800]  I said it looks like he's a menace.
[01:58:58.880 --> 01:58:59.840]  So I apologize for that.
[01:59:00.159 --> 01:59:00.640]  It was too much.
[01:59:00.720 --> 01:59:01.920]  And it was wrong.
[01:59:02.720 --> 01:59:06.079]  And when I'm wrong, I am the first to admit it.
[01:59:06.159 --> 01:59:09.199]  And I am wrong.
[01:59:10.000 --> 01:59:11.520]  He's pissed off a lot of people.
[01:59:11.840 --> 01:59:20.239]  Some people that aren't in the Doge orbit also had been critical of him and some things that went on.
[01:59:21.439 --> 01:59:29.359]  And so I was pissed off about that because I didn't want to get Elon Driven out of the dream team.
[01:59:29.680 --> 01:59:37.119]  But then I got given information about the NASA guy that Elon recommended that I did not know, that is not known.
[01:59:37.840 --> 01:59:42.159]  And I cannot tell you what it is, but it comes directly from very high-level people.
[01:59:43.279 --> 01:59:45.359]  And so I understand now.
[01:59:45.680 --> 01:59:50.000]  So that's kind of the retraction right there, but that's not enough of a retraction.
[01:59:50.880 --> 01:59:53.680]  So I'll spend at least five minutes later in the broadcast.
[01:59:54.000 --> 01:59:58.640]  And they were like, why don't you take down your interview with Rayklin?
[01:59:59.199 --> 02:00:01.600]  And I said, you know about the Streisan effect with Trump right now.
[02:00:01.680 --> 02:00:02.399]  And they go, oh, you're right.
[02:00:02.479 --> 02:00:03.039]  Yeah, you probably should.
[02:00:03.119 --> 02:00:05.279]  And I'm like, yeah, just I'll do the retraction.
[02:00:05.359 --> 02:00:06.800]  I'll post it under the deal.
[02:00:07.119 --> 02:00:09.680]  And, you know, which Sergey Gore's done speaks for himself.
[02:00:09.840 --> 02:00:11.439]  And I'm wrong.
[02:00:11.760 --> 02:00:12.880]  And so that's fine.
[02:00:13.119 --> 02:00:14.479]  I love to be wrong.
[02:00:15.039 --> 02:00:15.840]  I'm rarely wrong.
[02:00:16.159 --> 02:00:19.359]  When I'm wrong, though, I'll tell you, 60 seconds, take your calls to us.
[02:00:19.760 --> 02:00:27.359]  You did inform him that they're thinking about appointing a special counsel on this to take over this entire investigation.
[02:00:27.680 --> 02:00:28.960]  Yeah, and he said, I think it's a good approach.
[02:00:29.039 --> 02:00:29.439]  Let's just do it.
[02:00:29.840 --> 02:00:31.119]  Let's get the trust of the American people.
[02:00:31.199 --> 02:00:32.159]  Let's get accountability.
[02:00:32.399 --> 02:00:34.000]  And then let's focus on the things that matter.
[02:00:34.319 --> 02:00:43.680]  So he's on board with the situation of getting a special prosecutor and having the Epstein situation put into that so that can be formally looked at.
[02:00:43.920 --> 02:00:46.000]  It's legitimate that you're being looked at and really in a critical context.
[02:00:48.000 --> 02:00:52.399]  I ask him about the special, he immediately volunteers and then I follow up on it, but he immediately brings up Epstein.
[02:00:52.479 --> 02:00:53.119]  Like, just throw that in.
[02:00:53.279 --> 02:00:54.000]  Let's get it all answered.
[02:00:54.079 --> 02:00:54.800]  I got nothing to hide.
[02:00:54.880 --> 02:00:59.920]  I want truth and I want prosecutions and I just want the justice system to take care of what needs to be taken care of.
[02:01:00.000 --> 02:01:01.920]  It was really a remarkable moment.
[02:01:02.239 --> 02:01:08.159]  Yeah, yesterday morning when I talked to the Justice Department high-level people and they said, no, Trump says he wants a special counsel.
[02:01:08.239 --> 02:01:13.600]  He's told us get one that's independent to investigate the whole fiasco.
[02:01:13.760 --> 02:01:17.359]  It's handling the whole thing and release it to Congress and the public quickly.
[02:01:18.560 --> 02:01:21.119]  And I said, boy, I'm going to sleep good tonight.
[02:01:21.359 --> 02:01:30.800]  Trump is now not throwing a temper tantrum over the Democrats, obviously having control of the file and being able to only leave in there doctored information they want.
[02:01:30.960 --> 02:01:31.920]  That's what they always do.
[02:01:32.159 --> 02:01:35.359]  Past behavior is the most indicative thing for future behavior.
[02:01:36.319 --> 02:01:37.920]  People are like, no, that's a Trump cover-up.
[02:01:38.000 --> 02:01:39.119]  No, they did have control of the file.
[02:01:39.199 --> 02:01:40.560]  That makes perfect sense.
[02:01:41.199 --> 02:01:42.720]  And that's why he's so pissed.
[02:01:43.039 --> 02:01:49.439]  So then stop beating up your constituents about the 180 and elaborate on it.
[02:01:50.880 --> 02:01:55.520]  Instead of, if you talk about this, I'm going to excommunicate you.
[02:01:55.840 --> 02:01:58.399]  Well, you're not the Pope, bro.
[02:01:59.680 --> 02:02:02.560]  I mean, you're not speaking from the throne ex Catholic.
[02:02:05.680 --> 02:02:07.279]  And plus, I'm not Catholic.
[02:02:09.439 --> 02:02:11.039]  So think of the Catholics.
[02:02:11.119 --> 02:02:12.479]  It's just, give me a break.
[02:02:12.960 --> 02:02:16.960]  Anyone who disagrees, anything I say is banished.
[02:02:18.159 --> 02:02:20.880]  And I'm not saying Trump land is a cult.
[02:02:22.640 --> 02:02:27.680]  The Democrats are the cult of hating reason and logic and common sense.
[02:02:29.279 --> 02:02:37.199]  But when Trump starts behaving like that, it starts getting into cult territory.
[02:02:37.520 --> 02:02:44.560]  And I bet since I talked the first hour and said, I'm not in this cult, that's what it's turning into, I bet there's already news articles about it.
[02:02:45.199 --> 02:02:50.560]  But I went on to say Trump is not a cult yet, but behavior like this starts going down that road.
[02:02:51.439 --> 02:02:54.000]  But I guarantee if it's not out now, it'll be out in the next hour.
[02:02:54.319 --> 02:02:56.640]  And it'll be Jones says he's left the Trump cult.
[02:02:56.720 --> 02:02:58.000]  Nope, never was in the cult.
[02:02:58.239 --> 02:03:01.840]  Not saying it's a cult, but this is starting to become cult-like language.
[02:03:02.159 --> 02:03:03.680]  Watch, it'll be those exact headlines.
[02:03:03.840 --> 02:03:06.720]  I just know how they operate because it's formulaic.
[02:03:06.800 --> 02:03:07.760]  These people are followers.
[02:03:07.920 --> 02:03:09.199]  These globalists are repeaters.
[02:03:09.359 --> 02:03:10.000]  They're minions.
[02:03:10.079 --> 02:03:11.199]  They have boilerplates.
[02:03:11.279 --> 02:03:12.720]  It's like TV dinners.
[02:03:13.039 --> 02:03:15.359]  There's only like eight or nine different things you can get.
[02:03:15.600 --> 02:03:19.199]  You've got the turkey and gravy, the roast beef and gravy.
[02:03:19.359 --> 02:03:24.640]  You got the chicken tortellini.
[02:03:27.199 --> 02:03:28.640]  You got the meatloaf.
[02:03:29.279 --> 02:03:32.640]  I mean, I know a globalist thing when I see it.
[02:03:32.800 --> 02:03:33.840]  I know a talking point.
[02:03:34.159 --> 02:03:36.640]  It's not like going to grandma's and every dinner is different.
[02:03:39.119 --> 02:03:44.000]  And so that's their fault.
[02:03:44.319 --> 02:03:50.079]  They think I've got enough pull to turn people against Trump by misrepresenting what I've said.
[02:03:50.319 --> 02:03:52.479]  I'm trying to save Trump.
[02:03:53.119 --> 02:03:54.560]  All right, let me hit a few more of these clips.
[02:03:54.640 --> 02:03:55.840]  We're going to your calls.
[02:03:56.560 --> 02:04:06.159]  Multiple times at this press conference when the prime minister at Bahrain, Trump says Pam Bondi can release any credible documents from the Epstein case.
[02:04:06.319 --> 02:04:07.359]  That's good.
[02:04:08.319 --> 02:04:13.520]  And he goes on to say, I lost a lot of faith in certain people because they got duped by the Democrats.
[02:04:13.840 --> 02:04:19.920]  No, you guys did a 180 and then a 180, then a 180, and then a 180 in the last 10 days.
[02:04:20.079 --> 02:04:21.680]  And it's bizarre.
[02:04:22.000 --> 02:04:24.399]  And it's the worst way to handle this.
[02:04:24.960 --> 02:04:25.600]  But I get it.
[02:04:25.680 --> 02:04:27.760]  Trump doesn't give a fuck.
[02:04:28.399 --> 02:04:30.560]  And so he doesn't care how it looks.
[02:04:32.079 --> 02:04:43.680]  Maybe that is the 10D chess that he, I mean, let me tell you, world leaders are scared of because we've had nothing but politicians for 40 years that were controlled by globalists.
[02:04:43.840 --> 02:04:46.319]  We got a real president who's in charge.
[02:04:46.640 --> 02:04:48.880]  And that means when he makes mistakes, it's a big deal.
[02:04:49.039 --> 02:04:51.279]  When he makes good decisions, it's a big deal.
[02:04:51.600 --> 02:04:53.600]  I mean, that scares the whole globalist system.
[02:04:53.760 --> 02:04:54.880]  So I'm really happy about that.
[02:04:55.039 --> 02:04:57.199]  Man, I need Trump to succeed.
[02:04:57.520 --> 02:04:59.760]  His enemies are my enemies.
[02:05:01.279 --> 02:05:11.920]  But I don't claim to be Trump's concigliary, but I am kind of a concigliary to the public that respects what I say and my record stands on its own.
[02:05:12.239 --> 02:05:15.840]  And I'm not going to sit there and give bad counsel to the public or Trump or anybody else.
[02:05:16.000 --> 02:05:16.960]  I will not do it.
[02:05:17.279 --> 02:05:18.960]  I can't do it.
[02:05:20.800 --> 02:05:23.920]  And again, I'm going to explain some other people and I'm going to go to your calls.
[02:05:24.159 --> 02:05:27.359]  Integrity, in my experience, is not something you have.
[02:05:27.600 --> 02:05:28.960]  It's something you are.
[02:05:31.680 --> 02:05:36.479]  To me, courage is not, it's not this thing.
[02:05:36.640 --> 02:05:37.920]  You have courage.
[02:05:39.199 --> 02:05:40.479]  You are courage.
[02:05:40.800 --> 02:05:43.039]  It's not like I go, oh, I've got courage.
[02:05:45.119 --> 02:05:51.840]  No, it's that I have a mission and I'm going to execute it.
[02:05:52.399 --> 02:05:54.159]  And I wish I had fear.
[02:05:55.279 --> 02:06:00.239]  Because I had fear until I was about 10 or 11 years old.
[02:06:04.000 --> 02:06:17.119]  You know, I'd hear trees on the windows, you know, in this thunderstorm at 2 a.m. after I'd watched the thing, you know, across the street with, you know, the cool 16-year-old girl.
[02:06:19.760 --> 02:06:29.439]  And waking up and the Labrador Retriever that was like five, six years old that I loved, sleeping at the end of the bed.
[02:06:29.600 --> 02:06:32.800]  And in the movie, the dogs, you know, are really the thing.
[02:06:32.960 --> 02:06:39.840]  And I'm like, is Max going to have tentacles shoot out of him?
[02:06:40.159 --> 02:06:42.800]  You know, that's like eight, nine, ten years old.
[02:06:45.279 --> 02:06:47.279]  Yeah, I was like, yeah, I was about 10, actually.
[02:06:48.239 --> 02:06:49.359]  She was literally babysitting me.
[02:06:49.439 --> 02:06:52.319]  I wasn't doing any with her till later.
[02:06:52.479 --> 02:06:53.439]  I was about 13 then.
[02:06:53.520 --> 02:06:58.800]  But the point is, is that is that I'm literally looking at the dog thinking it's about to shoot tentacles out on me.
[02:06:59.039 --> 02:07:05.199]  And I remember like just getting over that and like the cat would be walking by.
[02:07:05.279 --> 02:07:09.520]  And I was like, is the cat going to, you know, I remember like those bizarre, you know, crazy thoughts as a kid.
[02:07:09.680 --> 02:07:10.720]  That movie really got to me.
[02:07:10.960 --> 02:07:11.439]  Now I watch it.
[02:07:11.520 --> 02:07:12.000]  It's hilarious.
[02:07:12.079 --> 02:07:14.159]  You know, the head and the spidered thing comes out.
[02:07:15.119 --> 02:07:19.840]  But that's about the last time I was afraid when I'm looking at the Labrador Retriever going, is it an alien?
[02:07:19.920 --> 02:07:23.760]  Is it going to, because it's so scary that, you know, that could, it really got to me.
[02:07:25.359 --> 02:07:32.159]  And since then, I've never had, I mean, I have not fear of failure.
[02:07:32.319 --> 02:07:35.039]  I have an anger of failure.
[02:07:35.920 --> 02:07:38.479]  I have a rage of failure.
[02:07:42.640 --> 02:07:45.039]  And that's where Trump is, but way worse.
[02:07:45.840 --> 02:07:49.039]  I mean, if I lived to 78 and was him, I'd be way worse than him right now.
[02:07:49.359 --> 02:07:51.199]  Because old men just get where they don't give up.
[02:07:51.520 --> 02:07:52.319]  You know what?
[02:07:54.479 --> 02:07:55.359]  So I respect it.
[02:07:55.520 --> 02:07:57.279]  I understand it, but I've got to explain what it is.
[02:07:57.359 --> 02:07:58.000]  I'm going to stop now.
[02:07:58.159 --> 02:08:00.159]  It's just, this is dangerous, man.
[02:08:00.800 --> 02:08:02.319]  And he's going nowhere, Democrats.
[02:08:02.479 --> 02:08:04.800]  I would suggest you run up the white flag right now.
[02:08:05.119 --> 02:08:06.800]  I mean, this is, this is out of control.
