[00:00:00.110 --> 00:00:00.413]  Yeah.
[02:02:26.826 --> 02:02:29.467]  You know, like 97% of the winners are Kenyan.
[02:02:29.507 --> 02:02:33.110]  It's not even black people that, you know, can't even compete with them.
[02:02:34.108 --> 02:02:35.730]  Well, the numbers are staggering.
[02:02:35.850 --> 02:02:36.931]  Women aren't as strong.
[02:02:37.171 --> 02:02:38.092]  Women aren't as fast.
[02:02:38.232 --> 02:02:39.673]  Women aren't as vicious.
[02:02:40.013 --> 02:02:57.148]  Women aren't, have three times the connections between left and right hemispheres of their brain, so they're more intuitive about social issues, but also can be manipulated easier by propaganda, advertising on average, this is on average, and get more confused in a battle situation and don't follow orders.
[02:02:59.229 --> 02:03:04.513]  And just as many women that get in a fetal position, women also flip out and then go attack the enemy and show your position.
[02:03:06.994 --> 02:03:10.877]  You don't think the Pentagon, the best killers in the world, didn't know that.
[02:03:11.377 --> 02:03:13.539]  They're getting ready to spike humans.
[02:03:14.279 --> 02:03:15.720]  They're getting rid of the weapon systems.
[02:03:15.740 --> 02:03:16.501]  They're obsolete.
[02:03:17.622 --> 02:03:18.582]  And that's what this is.
[02:03:19.807 --> 02:03:24.049]  Army women hurt by... and then it goes through this whole story in this Washington Times article.
[02:03:24.689 --> 02:03:32.133]  It's just off the chart numbers, and that's because they're all announcing, oh, in the next decade they're going to replace most of the combat troops with combat robots, land, sea, and air.
[02:03:33.414 --> 02:03:34.874]  Notice you're all hearing this now on the news.
[02:03:35.474 --> 02:03:37.776]  Humans aren't going to be involved.
[02:03:38.036 --> 02:03:44.419]  They'll have humans to negotiate at point-blank range in social services stuff, or rounding folks up to be taken to re-education centers.
[02:03:44.919 --> 02:03:46.140]  There'll be women involved in that.
[02:03:46.420 --> 02:03:47.660]  There'll be women as jail guards.
[02:03:47.680 --> 02:03:48.781]  They make great commissars.
[02:03:49.807 --> 02:03:54.710]  But it's the end of men in almost all cases involved in combat.
[02:03:54.750 --> 02:03:58.152]  This is a direct plan to destroy the military, which you see in every other plan.
[02:03:58.432 --> 02:04:02.435]  Paul, I'm going to do a few more minutes with you, and then Peter Schiff's coming up to get into the interest rate raise and more.
[02:04:02.455 --> 02:04:03.576]  But you've been hearing me rant.
[02:04:03.896 --> 02:04:08.639]  What's your take on the rise of the robots and the women being put in directly to sabotage the military?
[02:04:10.666 --> 02:04:18.910]  Well, I mean, the rise of the robots, of course, there was a big controversy about these sex bots a couple of months ago that could make women obsolete.
[02:04:19.370 --> 02:04:21.191]  So the feminists weren't happy about that.
[02:04:21.731 --> 02:04:26.494]  But I mean, as to your point about, you know, normalizing the bizarre, we had a story last week about a
[02:04:27.094 --> 02:04:32.336]  Transgender father who abandoned his seven children to become a six-year-old girl.
[02:04:32.636 --> 02:04:36.558]  A lot of the progressives supported him for doing that.
[02:04:36.998 --> 02:04:40.580]  So again, if you can normalize something like that, you can normalize anything.
[02:04:40.640 --> 02:04:47.802]  And it's, you know, obviously we tolerate people, but that doesn't mean you have to endorse complete bizarreness like that.
[02:04:47.842 --> 02:04:51.244]  So I mean, if they can normalize that, it's, you know, anything goes.
[02:04:53.308 --> 02:04:54.089]  Absolutely, Paul.
[02:04:54.129 --> 02:04:56.731]  I want to get into Al-Qaeda with you and big developments on that front.
[02:04:56.751 --> 02:05:01.414]  Then I'll hand the baton to you and Peter Schiff straight ahead, talk about the economy and more.
[02:05:01.755 --> 02:05:02.835]  It's the Friday edition.
[02:05:02.896 --> 02:05:05.097]  I'll be back myself this Sunday, 4 to 6 p.m.
[02:05:05.117 --> 02:05:05.738]  Central, by the way.
[02:05:08.852 --> 02:05:11.153]  Joe Biggs here with InfoWars.com.
[02:05:11.353 --> 02:05:15.074]  Washington State Rep drafts bill to do away with safe spaces.
[02:05:15.354 --> 02:05:20.796]  The idea that a college should be a safe space completely misunderstands the purpose of college.
[02:05:20.996 --> 02:05:22.796]  Article up by Campus Reform.
[02:05:22.976 --> 02:05:33.920]  Inspired by a story originally reported by Campus Reform, a state representative in Washington has introduced legislation defending free speech against the encroachment of safe spaces.
[02:05:34.500 --> 02:05:34.961]  State Rep.
[02:05:35.161 --> 02:05:49.217]  Matt Manweller told Campus Reform that he plans to introduce his Academic Bill of Rights as soon as the General Assembly reconvenes in January, adding that many of his Republican colleagues have already agreed to sign on as co-sponsors.
[02:05:49.557 --> 02:05:54.240]  And he has been encouraged by the interest Democrats have shown in the idea as well.
[02:05:54.581 --> 02:06:02.406]  Manweller told Jason Kanz in a recent radio interview that he had watched the erosion of free speech on campuses elsewhere in the country.
[02:06:02.446 --> 02:06:02.886]  Guess what?
[02:06:02.966 --> 02:06:05.788]  We do have a First Amendment and I can say whatever the hell I want.
[02:06:06.008 --> 02:06:08.090]  Joe Biggs here with InfoWars.com.
[02:06:08.610 --> 02:06:15.460]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[02:06:15.520 --> 02:06:18.224]  We've always offered five months free.
[02:06:18.404 --> 02:06:23.972]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[02:06:24.312 --> 02:06:27.454]  PrisonPlanet.tv began 15 years ago.
[02:06:27.734 --> 02:06:30.716]  It's grown into InfoWars, Nightly News, and so much more.
[02:06:31.017 --> 02:06:39.742]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[02:06:39.983 --> 02:06:50.710]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[02:06:50.970 --> 02:06:58.379]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.TV.
[02:06:58.539 --> 02:07:00.601]  Get 20 memberships at half price.
[02:07:00.801 --> 02:07:02.644]  Be the Paul Revere in your community.
[02:07:02.724 --> 02:07:06.268]  That's six months free when you sign up for a year at PrisonPlanet.TV.
[02:07:08.490 --> 02:07:11.453]  A clean, toxic-free body is the foundation of true health.
[02:07:11.673 --> 02:07:13.835]  Deep Cleanze by InfoWarsLife.com.
[02:07:14.035 --> 02:07:20.761]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[02:07:21.061 --> 02:07:26.226]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[02:07:26.366 --> 02:07:35.374]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[02:07:35.794 --> 02:07:44.398]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[02:07:44.658 --> 02:07:51.541]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[02:07:51.741 --> 02:07:57.988]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[02:07:58.108 --> 02:08:02.854]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[02:08:03.034 --> 02:08:04.996]  That's InfoWarsLife.com or call 888-253-3139.
[02:08:24.122 --> 02:08:26.723]  Waging war on corruption.
[02:08:26.763 --> 02:08:31.984]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:08:33.525 --> 02:08:38.947]  Yeah, nobody in talk radio has two different hosts who take over different parts of the same show, but I do it sometimes.
[02:08:40.267 --> 02:08:41.947]  And Paul Watson is co-hosting with me.
[02:08:42.007 --> 02:08:43.268]  I'm popping in and out today.
[02:08:44.868 --> 02:08:48.649]  Peter Schiff's coming up on the interest rate hike, but he's basically already documented all that.
[02:08:48.669 --> 02:08:53.511]  I want to get his take on the huge increased budget and where he sees that going.
[02:08:55.233 --> 02:08:56.893]  Paul Watson joins us from London, England.
[02:08:56.933 --> 02:08:58.114]  I join you from Austin, Texas.
[02:08:58.154 --> 02:08:59.814]  I'll be live this Sunday 4 to 6 p.m.
[02:08:59.874 --> 02:09:04.276]  Central with the Sunday Show and who knows how much news we'll be breaking this weekend.
[02:09:04.656 --> 02:09:14.618]  Obama says that he reassures the public no credible threat of terror ABC News in a speech he gave at the Counterterrorism Center.
[02:09:17.579 --> 02:09:19.700]  And he said ISIS didn't have anybody here in the U.S.
[02:09:20.080 --> 02:09:23.221]  three days before they of course attacked in San Bernardino.
[02:09:25.126 --> 02:09:27.187]  So, I don't know.
[02:09:27.207 --> 02:09:28.288]  Are we going to have another attack?
[02:09:28.928 --> 02:09:30.549]  It's almost always the opposite of what he says.
[02:09:30.569 --> 02:09:32.110]  If he says it's going to rain, it shines.
[02:09:32.130 --> 02:09:34.051]  If he says it's going to be cold, it's warm.
[02:09:34.091 --> 02:09:36.913]  I mean, if he says you didn't build your business, you built your business.
[02:09:37.653 --> 02:09:44.097]  Soft targets, FBI arrests, Islamic terrorists who plan mass casualty attack on rush hour commuters and college lunchroom.
[02:09:44.497 --> 02:09:51.361]  The buddy of the last group of shooters who admits that he trained and planned to attack with them and got them the guns.
[02:09:54.002 --> 02:09:57.827]  This is out of the Associated Press out of Viorna, Virginia, AP.
[02:09:58.247 --> 02:10:00.830]  County closes schools over response to lesson on Islam.
[02:10:01.491 --> 02:10:12.945]  The school was teaching the kids how to basically make a religious recitement pledging themselves to Islam during the lessons.
[02:10:14.704 --> 02:10:15.725]  You can't make this up.
[02:10:15.785 --> 02:10:23.150]  Media outlets report that the Riverheads High School teacher last week asked students to complete an assignment that included practicing calligraphy and writing a Muslim statement of faith.
[02:10:23.490 --> 02:10:24.751]  That's pledging yourself to Islam.
[02:10:26.232 --> 02:10:28.974]  Students weren't asked to translate the statement or recite.
[02:10:29.775 --> 02:10:30.695]  It just goes on.
[02:10:31.115 --> 02:10:36.419]  And now they have to shut the school because the evil right-wingers might attack, you know, the folks that let women outside the house.
[02:10:36.819 --> 02:10:37.580]  They must be stopped.
[02:10:38.220 --> 02:10:42.163]  Parents question choice to sing Allah Akbar at holiday concerts.
[02:10:42.183 --> 02:10:43.024]  CBS News.
[02:10:45.489 --> 02:10:46.789]  That's out of Minnesota.
[02:10:48.170 --> 02:10:53.392]  And there's another one, again, of state-sanctioned Christmas carols that the Prime Minister promoted.
[02:10:53.412 --> 02:11:04.095]  Paul Watson wrote a story about it on Infowars.com, where you sing a song dedicated to Muhammad conquering the Christians and putting them to the sword.
[02:11:04.115 --> 02:11:09.157]  Because they did, at that particular battle, put thousands to the sword that didn't convert.
[02:11:10.563 --> 02:11:27.650]  And now the little Christian children, but there's one little girl in a hajib, hajib, there, so it's cute, singing, oh we love being a slave, chop our heads off, we love you, as they welcome the quote migrants, the immigrants, but they're passing laws in Europe, where's my stack?
[02:11:28.710 --> 02:11:38.954]  Major, major countries like Sweden saying you can't report rape statistics of Muslims, and they're passing edicts at corporations banning the word immigrant from the news.
[02:11:40.509 --> 02:11:41.350]  Covered that last hour.
[02:11:42.992 --> 02:11:52.223]  That's why it's more important than ever to understand that there is a leftist combination of forces with the radical Islamists to shut down free speech in this country and everyone must resist it.
[02:11:53.837 --> 02:11:55.197]  This is a political takeover.
[02:11:55.237 --> 02:12:00.818]  You must support and spread the word about InfoWars.com, our local affiliates, and buy the products.
[02:12:01.499 --> 02:12:10.341]  They're great products, whether it's non-GMO heirloom seeds for the spring coming up, or great gifts, or whether it's Survival Shield X2 20% off.
[02:12:11.881 --> 02:12:15.362]  We have a bunch of other 33% off retail on the essential packs.
[02:12:15.382 --> 02:12:21.543]  Survival Shield, Super Miller Female, Silver Bullet, Cleanse Pack, Deep Cleanse, Living Cleanse, Oxy Powder, Massive Discounts, Winter Sun.
[02:12:22.878 --> 02:12:26.021]  And it's your purchase that makes all of this possible.
[02:12:26.421 --> 02:12:28.123]  Notice how we're under such savage attack.
[02:12:28.523 --> 02:12:31.646]  And they're not just using what we say to make Libertarians and Patriots look bad.
[02:12:31.686 --> 02:12:32.467]  That's not the attack.
[02:12:32.767 --> 02:12:33.508]  We're effective.
[02:12:33.528 --> 02:12:34.329]  We're waking people up.
[02:12:34.569 --> 02:12:35.630]  We're changing the narrative.
[02:12:36.070 --> 02:12:41.295]  Rachel Maddow wrote an article for the Washington Post, the Chicago Tribune, and hundreds of other publications this week saying, no, no, no.
[02:12:41.815 --> 02:12:42.596]  He's dangerous.
[02:12:42.636 --> 02:12:43.397]  People are listening.
[02:12:43.637 --> 02:12:45.519]  The Republicans are taking on his view.
[02:12:45.799 --> 02:12:46.820]  We gotta do something.
[02:12:48.121 --> 02:12:51.242]  They have other White House-linked groups saying, I just need to be shut down.
[02:12:51.302 --> 02:12:51.962]  Media matters.
[02:12:52.022 --> 02:12:52.562]  Salon.
[02:12:52.602 --> 02:12:55.183]  They say, now is the time to shut him up!
[02:12:55.203 --> 02:12:57.763]  Because I'm going to read the vaccine insert on air?
[02:12:58.243 --> 02:13:02.744]  I'm going to read the White House science czar saying they put fluoride in the water to brain damage us?
[02:13:02.804 --> 02:13:02.924]  In 1974?
[02:13:02.964 --> 02:13:08.185]  You want me to bring the book in here and show you where he said it again for the 500th time?
[02:13:08.785 --> 02:13:11.386]  I'm going to keep on hitting you with your own garbage.
[02:13:13.089 --> 02:13:17.273]  And I'm never going to back down, long after you've shut me up if you were successful.
[02:13:17.893 --> 02:13:18.814]  I only get bigger.
[02:13:19.114 --> 02:13:26.400]  Now my flesh doesn't like that idea, but my spirit burns with anticipation.
[02:13:30.124 --> 02:13:33.827]  I just can't believe there's so many weak scum that hate humanity out there.
[02:13:33.847 --> 02:13:37.330]  I just cannot believe what trash you people are that serve the system.
[02:13:37.350 --> 02:13:38.531]  That's what I'm talking to, the enemies.
[02:13:41.823 --> 02:13:45.405]  I mean, you didn't think there would be anybody out there that didn't see who you were and stand up to you?
[02:13:45.445 --> 02:13:46.026]  You filth!
[02:13:46.666 --> 02:13:48.667]  And just bypass all your propaganda and garbage?
[02:13:48.928 --> 02:13:52.550]  Paul Watson, we're going to Peter Schiff as soon as we get him on the Skype line here in a minute.
[02:13:53.530 --> 02:13:54.111]  But I tell ya...
[02:13:56.377 --> 02:14:03.760]  Don't people get it's in today's type garbage where they push it as, quote, gay rights to have 32 different men?
[02:14:03.780 --> 02:14:09.862]  It's always real weird too, like, we're not going to put women's DNA in here, it's only men because we're gay.
[02:14:10.122 --> 02:14:11.302]  Oh, what's that discriminate against women?
[02:14:11.583 --> 02:14:13.003]  It's that it gives mutations.
[02:14:13.383 --> 02:14:14.664]  It causes all sorts of problems.
[02:14:14.824 --> 02:14:18.645]  Top scientists are warning in the newspapers right here.
[02:14:18.865 --> 02:14:20.586]  Experts warn is the headline.
[02:14:21.266 --> 02:14:30.356]  But see, you've got to accept the clones and the crimeras and the crosses because you're sexist if you don't let the very species be mutated.
[02:14:31.357 --> 02:14:33.599]  Now you see what political correctness really is.
[02:14:33.719 --> 02:14:35.962]  Transhumanism on PCP.
[02:14:36.322 --> 02:14:39.586]  Paul Watson, your comment on this, and then we'll move into economic news.
[02:14:41.636 --> 02:14:51.645]  Well, I mean, Alex, we live in a world where, you know, the 9-11 first responders are ignored, left to die, while Caitlyn Jenner is given a courage award.
[02:14:52.386 --> 02:14:54.708]  This is the kind of bizarro land we live in.
[02:14:55.248 --> 02:15:05.758]  And again, the tolerance should be about defending minorities in terms of people who have their hands chopped off, people who are beheaded for being homosexual.
[02:15:06.298 --> 02:15:10.000]  Women who are blamed when they're raped and then they get stoned to death.
[02:15:10.400 --> 02:15:12.942]  Honour killings for women who look twice at men.
[02:15:13.462 --> 02:15:17.044]  That's what the tolerance movement should all be about.
[02:15:17.404 --> 02:15:25.189]  But in the West it's like, you know, feminists, oh there's a rape, there's a college rape campus epidemic.
[02:15:25.789 --> 02:15:28.392]  One in five women on college campuses are getting raped.
[02:15:28.752 --> 02:15:29.953]  Complete BS!
[02:15:30.313 --> 02:15:32.676]  We've known it's been BS for years and years.
[02:15:32.976 --> 02:15:37.480]  In fact, women on college campuses are less likely to get raped than women in the general population.
[02:15:38.061 --> 02:15:40.663]  But that's what feminists are concerned about.
[02:15:41.024 --> 02:15:47.329]  Meanwhile, the West is importing a real rape culture, and there's absolute silence on it.
[02:15:48.951 --> 02:15:49.251]  I don't know.
[02:16:06.846 --> 02:16:12.975]  Women are being taught how to suicide the culture and the men are being turned into arrested development gibbering morons.
[02:16:13.395 --> 02:16:16.860]  This is a scientific attack as Vladimir Putin has said correctly.
[02:16:17.161 --> 02:16:19.985]  So is the global warming hoax as Vladimir Putin has said correctly.
[02:16:20.445 --> 02:16:22.388]  Notice Vladimir Putin wasn't saying this five years ago.
[02:16:23.169 --> 02:16:28.832]  Vladimir Putin is tuned in to the Infowar and Alexander Sholts and Itza, and I'll leave it right there.
[02:16:29.292 --> 02:16:33.115]  But he's tuned in to the two Alexes, and I'm sure in the future folks are going to learn that.
[02:16:33.555 --> 02:16:36.596]  But Paul Joseph Watson, I'm going to hand you and Peter Schiff the baton now.
[02:16:36.977 --> 02:16:39.698]  Great job, have a great weekend and a great Christmas coming up.
[02:16:40.058 --> 02:16:43.240]  I'm going to be here live this Sunday, Monday, Tuesday, David Knight's doing Wednesday.
[02:16:43.540 --> 02:16:46.102]  We have some powerful rebroadcast on Christmas Eve and after that.
[02:16:46.422 --> 02:16:48.363]  If big news breaks, though, I'll be in here live.
[02:16:48.703 --> 02:16:52.365]  But until this Sunday, I'll be watching Paul Watson for the remainder of this hour.
[02:16:52.645 --> 02:16:54.907]  Now for the next 45 minutes, Peter Schiff.
[02:16:55.167 --> 02:16:55.667]  Paul Watson?
[02:16:57.108 --> 02:16:57.869]  Okay, thanks, Alex.
[02:16:58.489 --> 02:17:04.132]  Financial analyst, stockbroker, author, host of the Peter Schiff Show on the website is Europack.com.
[02:17:04.473 --> 02:17:11.617]  Of course, Peter Schiff accurately predicted the house price crash and the 2008 economic collapse, and he joins us right now.
[02:17:11.717 --> 02:17:12.778]  Peter, welcome to the show.
[02:17:13.598 --> 02:17:16.540]  Well, thanks for having me on, and you're doing a good job sitting in for Alex.
[02:17:17.674 --> 02:17:18.554]  Thanks, appreciate it.
[02:17:19.035 --> 02:17:23.657]  So, the Dow basically dropped about 300 points today, it's gone up a little bit since.
[02:17:24.477 --> 02:17:35.522]  Given that it took this long to raise the interest rate by such a small amount, what does that tell you about the confidence that the Federal Reserve has in the health of the US economy?
[02:17:35.962 --> 02:17:37.723]  Well, it doesn't tell us anything.
[02:17:38.484 --> 02:17:49.372]  You know, the Fed was talking about the fact that it was going to raise rates later in the year, that they thought the economy would be strong enough so that it would be appropriate to raise rates before year-end.
[02:17:49.793 --> 02:17:53.616]  And of course, the analysts were expecting the rate hikes to come a lot sooner.
[02:17:54.556 --> 02:17:57.437]  People thought they would have done it at least two or three times by now.
[02:17:57.817 --> 02:18:01.278]  But the Fed kept passing and kept talking about how they were data dependent.
[02:18:01.758 --> 02:18:03.298]  All of a sudden they got to December.
[02:18:03.318 --> 02:18:04.639]  There's two weeks left of the year.
[02:18:05.019 --> 02:18:06.319]  Rates are still at zero.
[02:18:06.819 --> 02:18:11.821]  And I think they thought that if they didn't raise them now, they would lose their credibility.
[02:18:11.941 --> 02:18:13.261]  It would prove that the economy
[02:18:13.641 --> 02:18:14.222]  We're good to go.
[02:18:29.773 --> 02:18:30.313]  And you know what?
[02:18:30.414 --> 02:18:32.435]  It's backfiring on them, as I thought.
[02:18:32.455 --> 02:18:34.536]  You know, the market is down substantially.
[02:18:34.957 --> 02:18:37.679]  Dow's down, what, about 250 points as we speak.
[02:18:37.719 --> 02:18:38.379]  It was down almost 300.
[02:18:39.100 --> 02:18:41.061]  It dropped 250 points yesterday.
[02:18:41.341 --> 02:18:43.943]  But the real carnage is going on beneath the scenes.
[02:18:44.544 --> 02:18:47.085]  Look at what's happening in the high-yield bond market.
[02:18:47.386 --> 02:18:49.487]  Look what's happening in some of these leveraged funds.
[02:18:50.027 --> 02:18:52.649]  We're seeing all sorts of things blowing up.
[02:18:53.070 --> 02:18:54.971]  It looks very much like
[02:18:55.191 --> 02:18:59.773]  The way the markets were looking in the months leading up to the 2008 financial crisis.
[02:19:01.454 --> 02:19:05.095]  And Fed policymakers, I read, they're predicting a rate of 3.25% by the end of 2018.
[02:19:05.135 --> 02:19:06.195]  Is that even remotely feasible?
[02:19:10.259 --> 02:19:10.920]  I don't think so.
[02:19:10.940 --> 02:19:12.801]  I think it could be negative.
[02:19:12.941 --> 02:19:18.126]  We could have a negative sign in front of the nominal rate before the end of next year.
[02:19:18.286 --> 02:19:23.010]  Look, the Fed doesn't understand the impact of its monetary policy.
[02:19:23.310 --> 02:19:29.836]  The Fed has done tremendous damage to the economy over the past seven years, and now as they're trying to remove the stimulus,
[02:19:30.376 --> 02:19:35.698]  All the damage is rising to the surface, so the Fed is expecting this recovery to continue.
[02:19:35.958 --> 02:19:42.000]  The recovery is over, and we are at the beginning of the next recession, and it wasn't a real recovery.
[02:19:42.020 --> 02:19:45.841]  When I talk about a recovery, it was a bubble masquerading as a company.
[02:19:46.361 --> 02:19:47.021]  As a recovery.
[02:19:47.522 --> 02:19:52.504]  The Fed inflated a giant bubble, and all we did was borrow a bunch of money and spend it.
[02:19:52.924 --> 02:20:02.628]  But meanwhile, the real economy, the structure of the economy weakened, and we have all this debt and all this speculation that needs to be unwound, and it's going to be done in a very painful way.
[02:20:03.329 --> 02:20:06.130]  Okay, Peter Schiff, we'll be right back on the Alex Jones Show.
[02:20:06.190 --> 02:20:06.950]  Infowars.com.
[02:20:06.970 --> 02:20:07.631]  Stay right there.
[02:20:08.877 --> 02:20:12.382]  As if chlorine in our water weren't bad enough, now they're adding ammonia?
[02:20:13.123 --> 02:20:13.624]  It's true.
[02:20:13.744 --> 02:20:17.690]  Some municipalities are now adding ammonia plus chlorine to your water supply.
[02:20:17.910 --> 02:20:19.753]  It's a disinfectant called chloramine.
[02:20:20.293 --> 02:20:24.780]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[02:20:25.060 --> 02:20:37.665]  New NSF EPA Certified Lab Tests show EPA Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[02:20:37.945 --> 02:20:41.427]  Big Berkey Water Filters are the original and most trusted on the market.
[02:20:41.687 --> 02:20:41.867]  I think.
[02:21:08.627 --> 02:21:11.908]  Soon Christmas would have come and gone, and with it, 2015.
[02:21:12.328 --> 02:21:16.789]  Now is the time to give the gift of amazing health this Christmas and New Year season.
[02:21:17.209 --> 02:21:24.832]  Many of you have experienced or you've heard about the amazing benefits from the exclusive formulations available at InfoWarsLife.com.
[02:21:25.112 --> 02:21:31.053]  Now is your chance to share them with those you love and take advantage of free shipping and unprecedented specials.
[02:21:31.493 --> 02:21:37.315]  You will find the InfoWarsLife Essentials Pack with X2 Supermail and Silver Bullet Colloidal Silver
[02:21:37.495 --> 02:21:40.459]  For 33% off on top of free shipping.
[02:21:40.559 --> 02:21:48.449]  You'll also find other specials like the Deep Cleanse Pack with Deep Cleanse, Oxy Powder, and Living Defense for 28% off and again free shipping.
[02:21:48.650 --> 02:21:50.712]  Visit InfoWarsLife.com today.
[02:21:51.033 --> 02:21:52.535]  Read the 5-star reviews.
[02:21:52.855 --> 02:21:54.297]  See the informational videos.
[02:21:54.677 --> 02:21:59.764]  Add your friends and family members addresses on checkout and we'll ship their gifts free directly to them.
[02:22:00.044 --> 02:22:05.811]  We're talking about game-changing gifts and they're all available with free shipping and massive discounts this Christmas season.
[02:22:06.011 --> 02:22:07.393]  Infowarslife.com
[02:22:08.939 --> 02:22:15.163]  Chronic inflammation is now known to block your ability to repair and compromises your immune system, making you more vulnerable to all diseases.
[02:22:15.643 --> 02:22:20.606]  Since poor diet, injuries or stress are all contributing factors, many people suffer from inflammation.
[02:22:20.826 --> 02:22:25.689]  Your body's number one means of neutralizing inflammation and the pain that it may be causing is glutathione.
[02:22:25.949 --> 02:22:30.272]  Glutathione is the body's number one peptide to neutralize free radicals and thus stop inflammation.
[02:22:30.512 --> 02:22:31.633]  Hi, my name is Jason.
[02:22:31.734 --> 02:22:32.695]  I'm 44 years old.
[02:22:32.855 --> 02:22:39.062]  For 10 years, I had been suffering from chronic pain in my abdomen and groin that radiated down into my feet.
[02:22:39.223 --> 02:22:46.451]  After three weeks on One World Way, the pain in my feet reduced by 50% and the overall pain in my body reduced significantly as well.
[02:22:46.572 --> 02:22:47.593]  I ran out of One World Way.
[02:22:47.853 --> 02:22:48.894]  And the pain returned.
[02:22:49.094 --> 02:22:54.740]  I got another container, and again, after three weeks, the pain reduced significantly throughout my body.
[02:22:54.920 --> 02:22:59.484]  I'd highly recommend One World Way to anyone dealing with chronic pain due to inflammation.
[02:22:59.584 --> 02:23:02.487]  Call 888-988-3325 or visit OneWorldWay.com.
[02:23:02.507 --> 02:23:04.289]  That's One World, W-H-E-Y.com.
[02:23:07.961 --> 02:23:12.603]  Wildfires, hurricanes, tornadoes, earthquakes, a crashing economy.
[02:23:12.803 --> 02:23:13.664]  Are you ready?
[02:23:13.904 --> 02:23:16.545]  At best, your local stores have a three-day supply of food.
[02:23:16.665 --> 02:23:18.867]  Will your family have to fight over what's left?
[02:23:19.027 --> 02:23:22.508]  Are you willing to gamble your family's safety that it'll never happen to you?
[02:23:22.808 --> 02:23:27.591]  Be wise and be ready with 25-Year Shelf Life Wise Food Storage.
[02:23:27.891 --> 02:23:32.834]  Wise Food Storage provides affordable, ready-made gourmet meals with a super long 25-year shelf life.
[02:23:33.914 --> 02:23:37.796]  Meals like pasta alfredo, cheesy lasagna, breakfast, dessert, drinks and snacks.
[02:23:37.956 --> 02:23:43.179]  Just add water and your family is eating delicious food instead of fighting for scraps in a food riot.
[02:23:43.339 --> 02:23:44.019]  Try it free.
[02:23:44.239 --> 02:23:49.002]  Order a no-obligation free sample meal delivered right to your front door and for a limited
[02:23:49.002 --> 02:23:50.603]  What if I say I'm not like the others?
[02:23:50.623 --> 02:23:52.964]  What if I say I'm not just another one of your plays?
[02:23:53.084 --> 02:23:54.144]  You're the presenter
[02:24:23.490 --> 02:24:26.112]  It's the Alex Jones Show live with me, your host, Paul Joseph Watson.
[02:24:26.132 --> 02:24:30.315]  We're talking to economist Peter Schiff, Europac.com.
[02:24:30.355 --> 02:24:32.637]  And Peter, you were getting into it just before the break.
[02:24:33.178 --> 02:24:42.785]  This illusion of economic prosperity has been maintained to a great extent by these low interest rates, making the debt at least serviceable.
[02:24:43.306 --> 02:24:50.751]  But how on earth is the Fed going to keep raising these rates when, as you said, there's no real economic recovery to back it up?
[02:24:51.292 --> 02:24:52.012]  Well, they're not.
[02:24:52.132 --> 02:24:52.673]  I mean, they're just
[02:24:54.206 --> 02:24:58.408]  To try to create a false sense of confidence where there should be no confidence.
[02:24:58.468 --> 02:25:02.811]  But yes, the whole thing that's kept this economy afloat has been debt.
[02:25:02.871 --> 02:25:18.259]  You know, if people have been leaving the labor force, as people have been losing their full-time jobs and they've been accepting part-time jobs, as more and more young people are spending more and more time in school because there's no jobs out there, we've been running up all this debt.
[02:25:18.479 --> 02:25:21.321]  We have all the student loans, we have all the, you know,
[02:25:21.561 --> 02:25:21.961]  I think so.
[02:25:39.198 --> 02:25:41.862]  Now a lot of our listeners own gold, as you know.
[02:25:42.263 --> 02:25:48.652]  I noticed that gold plunged after the Wright announcement, the dollar surge, but gold has recovered a lot of ground today.
[02:25:49.173 --> 02:25:52.518]  What's the immediate future looking like for precious metals?
[02:25:52.999 --> 02:25:54.220]  Well, you know, gold was up.
[02:25:55.422 --> 02:26:02.805]  Before the announcement, the day of the announcement, gold was maybe up about $12, $15, and then it was pretty flat after they moved.
[02:26:02.845 --> 02:26:08.987]  And then yesterday, gold dropped over $20 and basically tested the lows for the year.
[02:26:09.347 --> 02:26:10.227]  Today, it's up about $15.
[02:26:10.407 --> 02:26:15.169]  So we have had some volatility ever since the Fed moved.
