[00:00.000 --> 00:07.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[57:47.040 --> 58:12.560]  Stay with us.
[58:17.360 --> 58:17.920]  $50.
[58:17.920 --> 58:20.160]  Listeners have been requesting this for years
[58:20.160 --> 58:23.040]  because it's so easy to forget to reorder the products
[58:23.040 --> 58:24.000]  that you need each month.
[58:24.000 --> 58:25.680]  Just go to infowarsstore.com,
[58:25.680 --> 58:27.600]  select your favorite product or products,
[58:27.600 --> 58:29.840]  click on auto ship and choose how often
[58:29.840 --> 58:31.760]  you want us to send you another order.
[58:31.760 --> 58:34.400]  As you know, I coined the term 360 win.
[58:34.400 --> 58:37.040]  And with the new auto ship feature at infowarslife.com,
[58:37.040 --> 58:38.480]  this is a sure win.
[58:38.480 --> 58:40.000]  10% off on auto ship.
[58:40.000 --> 58:42.400]  Win, win, win at infowarslife.com,
[58:42.400 --> 58:44.320]  free shipping on orders above 50 bucks.
[58:44.320 --> 58:47.040]  And all out of stock items are never out of stock
[58:47.040 --> 58:48.320]  when you sign up for auto ship.
[58:49.760 --> 58:53.920]  Introducing vitamin mineral fusion from infowarslife.com.
[58:53.920 --> 58:56.560]  We have worked for years with our chemists and scientists
[58:56.560 --> 58:58.800]  to create the most powerful and affordable,
[58:58.800 --> 59:01.360]  great tasting multivitamin formula available.
[59:01.360 --> 59:04.000]  The all new vitamin mineral fusion drink mix
[59:04.000 --> 59:08.000]  at infowarslife.com is loaded with a full month supply
[59:08.000 --> 59:10.720]  of essential vitamins, minerals and amino acids
[59:10.720 --> 59:12.800]  that your body absolutely needs.
[59:12.800 --> 59:14.480]  In the history of infowarslife,
[59:14.480 --> 59:16.720]  we've brought out a lot of amazing products
[59:16.720 --> 59:19.600]  like survival shield x2, super metal vitality
[59:19.600 --> 59:20.640]  and so many others.
[59:20.640 --> 59:24.480]  But I am most proud of the product we're now launching today
[59:24.480 --> 59:26.160]  with its unique delivery system
[59:26.160 --> 59:28.320]  and proprietary manufacturing process
[59:28.320 --> 59:30.320]  designed for maximized effects.
[59:30.320 --> 59:32.720]  This formula is the platinum standard
[59:32.720 --> 59:34.720]  of multivitamin mineral products.
[59:34.720 --> 59:37.280]  The ingredients in vitamin mineral fusion
[59:37.280 --> 59:41.120]  are either plant derived or of the highest quality lab
[59:41.120 --> 59:44.400]  standard. That means it's clean, that means it's pure.
[59:44.400 --> 59:47.280]  That's infowarslife.com and vitamin mineral fusion.
[59:47.280 --> 59:49.120]  Take action now before we sell out.
[59:53.280 --> 59:55.920]  You're listening to the Alex Jones show.
[01:00:02.720 --> 01:00:04.960]  From his central Texas command center
[01:00:04.960 --> 01:00:09.280]  deep behind enemy lines, the information war continues.
[01:00:09.280 --> 01:00:12.480]  It's Alex Jones and the GCN radio network.
[01:00:20.480 --> 01:00:23.680]  Tim Kennedy, terrorism expert, 15 years special forces
[01:00:23.680 --> 01:00:26.800]  part of some of the most secretive elite units out there.
[01:00:27.920 --> 01:00:29.440]  And I obviously can't get into all that
[01:00:29.440 --> 01:00:31.120]  but let me tell you, he's the guy to talk about this.
[01:00:31.120 --> 01:00:32.960]  He's the guy to break this down and hopefully,
[01:00:33.760 --> 01:00:34.960]  this is unfolds the next few days,
[01:00:34.960 --> 01:00:37.520]  we can get some intel or even file reports from the road.
[01:00:37.520 --> 01:00:40.160]  We have Joe Biggs, he's on the ground,
[01:00:40.160 --> 01:00:43.440]  he's trying to get to the site of the nightclub shooting,
[01:00:43.440 --> 01:00:45.360]  50 plus dead, over 60 wounded.
[01:00:45.920 --> 01:00:47.680]  This is a short segment, long segment coming up.
[01:00:47.680 --> 01:00:50.400]  Rob is joining us but you're making other amazing points.
[01:00:50.400 --> 01:00:53.040]  Tim, in the last 70 seconds of break,
[01:00:53.040 --> 01:00:54.160]  go back to what you were just talking about
[01:00:54.160 --> 01:00:57.840]  being in Kuwait 11 days ago and you're all over the world
[01:00:57.840 --> 01:01:01.040]  and what they admit to you, how they export the terror
[01:01:01.040 --> 01:01:01.920]  all over the world.
[01:01:02.720 --> 01:01:06.720]  It was a basic conversation with some of the representatives
[01:01:06.720 --> 01:01:08.320]  of the Kuwaiti government that was with us
[01:01:08.320 --> 01:01:11.600]  about why there are few instances of terrorism
[01:01:11.600 --> 01:01:16.160]  in the Arab Union, countries like Saudi Arabia and Kuwait.
[01:01:16.800 --> 01:01:21.040]  And flat out they said, well, when somebody gets radicalized here,
[01:01:21.040 --> 01:01:22.400]  we just export them.
[01:01:24.000 --> 01:01:25.280]  What do you mean, export them?
[01:01:27.280 --> 01:01:31.200]  These are Kuwaitis that were raised here in moderate Muslim
[01:01:31.200 --> 01:01:32.640]  and then they get to a point where we're really
[01:01:32.640 --> 01:01:34.800]  liking religion but they want to hurt other people
[01:01:34.800 --> 01:01:35.920]  that don't like the religion enough.
[01:01:35.920 --> 01:01:40.720]  So then you send them somewhere else to go do these dastardly deeds.
[01:01:40.720 --> 01:01:42.320]  And they're like, yeah, absolutely matter of fact.
[01:01:43.120 --> 01:01:45.200]  It was just commonplace that they just didn't want it
[01:01:45.200 --> 01:01:47.120]  to happen in Kuwait so they have enough money
[01:01:47.120 --> 01:01:48.800]  that they just ship them somewhere else.
[01:01:48.800 --> 01:01:51.600]  Exactly, which then actually spreads their radical form,
[01:01:51.600 --> 01:01:55.200]  now the dominant form, regardless of Islam,
[01:01:55.200 --> 01:01:56.400]  to take over the world.
[01:01:56.400 --> 01:01:59.360]  And that's why you can Google this, Associated Press.
[01:01:59.360 --> 01:02:03.760]  Saudi Arabia has not taken one quote Syrian refugee,
[01:02:03.760 --> 01:02:06.560]  not one, that's their failed invasion force
[01:02:06.560 --> 01:02:07.920]  where they take their families with them
[01:02:07.920 --> 01:02:10.400]  to steal the houses and swimming pools and everything else.
[01:02:10.400 --> 01:02:12.720]  So they fail, then Turkey brings them in.
[01:02:12.720 --> 01:02:14.960]  In fact, we can put that on screen for TV viewers.
[01:02:14.960 --> 01:02:15.840]  This is incredible.
[01:02:15.840 --> 01:02:17.600]  Tim Kennedy, big picture.
[01:02:18.400 --> 01:02:20.160]  Why is Obama doing this?
[01:02:20.160 --> 01:02:21.920]  I know you work for him, you're still in the military.
[01:02:24.240 --> 01:02:26.000]  Why are they doing, I mean, I know this is the big debate,
[01:02:26.000 --> 01:02:26.640]  the military.
[01:02:28.080 --> 01:02:29.200]  I don't know why.
[01:02:29.200 --> 01:02:32.240]  I think the simple answer is that
[01:02:32.240 --> 01:02:36.240]  when we're all looking at one thing,
[01:02:36.240 --> 01:02:38.560]  it makes it so easy to do anything else.
[01:02:39.440 --> 01:02:41.840]  So if we're all looking at radical Islam,
[01:02:41.840 --> 01:02:44.320]  which we should be because they're killing us
[01:02:44.320 --> 01:02:46.320]  and they're destroying our way of life,
[01:02:46.320 --> 01:02:48.880]  while we do that, it gives them a reason
[01:02:48.880 --> 01:02:50.480]  to do all the things that they want to.
[01:02:50.480 --> 01:02:51.840]  They try to take our guns.
[01:02:51.840 --> 01:02:54.640]  They give us to break into iPhones and say,
[01:02:54.640 --> 01:02:56.960]  oh, the San Bernardino terrorists had an iPhone.
[01:02:56.960 --> 01:02:59.680]  So we should be able to have access to all iPhones.
[01:02:59.680 --> 01:03:02.400]  But they ordered the FBI to stand down,
[01:03:02.400 --> 01:03:03.120]  going after the people.
[01:03:04.800 --> 01:03:05.360]  No, that's it.
[01:03:05.360 --> 01:03:06.480]  So they're going to use this attacks.
[01:03:06.480 --> 01:03:07.360]  It's like Europe's already done.
[01:03:07.360 --> 01:03:09.680]  We know to take the liberties and say,
[01:03:09.680 --> 01:03:11.600]  Germans, you can't criticize radical Islam.
[01:03:11.600 --> 01:03:13.520]  We're going to arrest you or Islam, period.
[01:03:14.480 --> 01:03:15.520]  We're going to find you.
[01:03:15.520 --> 01:03:16.720]  I mean, our reporters have video,
[01:03:16.720 --> 01:03:18.800]  people trying to hand out nationalist flyers,
[01:03:18.800 --> 01:03:20.720]  mainline stuff against open borders,
[01:03:20.720 --> 01:03:22.880]  are being fined or arrested in Germany.
[01:03:22.880 --> 01:03:23.920]  It's happening here.
[01:03:23.920 --> 01:03:26.640]  I have a friend, it's an ongoing investigation,
[01:03:26.640 --> 01:03:28.320]  so I don't want to throw him under the bus here.
[01:03:28.320 --> 01:03:30.000]  There's a prior Special Forces guy
[01:03:30.000 --> 01:03:32.880]  that he was a human guy.
[01:03:32.880 --> 01:03:34.480]  So he worked human intelligence.
[01:03:34.480 --> 01:03:35.600]  He worked informants.
[01:03:35.600 --> 01:03:39.680]  And he was told that a mosque here was-
[01:03:39.680 --> 01:03:40.480]  It's awesome.
[01:03:40.480 --> 01:03:41.680]  No, no, in the United States,
[01:03:41.680 --> 01:03:42.720]  I'm not going to get specific,
[01:03:42.720 --> 01:03:44.880]  was radicalizing, specifically training
[01:03:44.880 --> 01:03:48.320]  and preparing people to go do terrorism.
[01:03:48.320 --> 01:03:51.200]  So he went to that mosque and confronted them.
[01:03:51.200 --> 01:03:52.560]  He is being charged with a hate crime.
[01:03:54.480 --> 01:03:55.040]  Wow.
[01:03:55.040 --> 01:03:56.800]  It's happening here, just like it.
[01:03:56.800 --> 01:03:59.360]  So talking to a group of a known religion
[01:03:59.360 --> 01:04:01.280]  that's pushing world by death,
[01:04:01.280 --> 01:04:02.640]  the attacks on Christians have doubled.
[01:04:02.640 --> 01:04:03.840]  The UN admits that.
[01:04:03.840 --> 01:04:05.760]  Hundreds of thousands killed last year alone.
[01:04:05.760 --> 01:04:06.480]  And you go and say,
[01:04:06.480 --> 01:04:07.680]  hey, I hear this is going on,
[01:04:07.680 --> 01:04:09.280]  and then you can charge the hate crime for your speech.
[01:04:11.440 --> 01:04:13.120]  This labeling thing that we're doing too,
[01:04:13.120 --> 01:04:15.600]  where we're calling it a hate crime or workplace violence,
[01:04:16.160 --> 01:04:18.320]  it's all the same damn thing.
[01:04:18.320 --> 01:04:20.080]  Oh, I wonder if Obama will call
[01:04:20.080 --> 01:04:21.680]  the Orlando shooting workplace violence,
[01:04:21.680 --> 01:04:23.680]  like he did San Bernardino.
[01:04:23.680 --> 01:04:25.040]  Or even if he calls it a hate crime,
[01:04:25.040 --> 01:04:27.440]  because it was against gays.
[01:04:27.440 --> 01:04:28.400]  It's just anything but.
[01:04:28.400 --> 01:04:30.080]  He has now, it's terrorism,
[01:04:30.080 --> 01:04:31.760]  and Obama's calling it a hate crime.
[01:04:31.760 --> 01:04:32.640]  It's the same thing.
[01:04:33.760 --> 01:04:35.360]  I don't care if you call it workplace violence,
[01:04:35.360 --> 01:04:36.160]  it's still terrorism.
[01:04:36.160 --> 01:04:36.640]  I don't care.
[01:04:37.200 --> 01:04:38.640]  Let me ask you this when we come back from break,
[01:04:38.640 --> 01:04:40.240]  Tim Kennedy, and I want you to think about this.
[01:04:40.240 --> 01:04:40.960]  This is a short break.
[01:04:41.680 --> 01:04:42.560]  It's a 60 second break.
[01:04:42.560 --> 01:04:43.360]  I want to ask you this question
[01:04:43.360 --> 01:04:44.480]  when we rejoin some stations.
[01:04:45.280 --> 01:04:46.000]  What are they going to do
[01:04:46.000 --> 01:04:48.560]  when it's not 12 or 14 or 15 attacks,
[01:04:48.560 --> 01:04:50.000]  but 100, 200, 300?
[01:04:50.000 --> 01:04:51.360]  Because we know the metrics,
[01:04:51.360 --> 01:04:52.800]  the numbers it's building towards that.
[01:04:52.800 --> 01:04:53.760]  What are they going to do?
[01:04:53.760 --> 01:04:55.200]  How are they going to spend that one?
[01:04:55.200 --> 01:04:57.040]  I'm Alex Jones with infowars.com.
[01:04:57.040 --> 01:04:57.600]  Stay with us.
[01:04:59.840 --> 01:05:01.440]  Please listen carefully,
[01:05:01.440 --> 01:05:02.720]  because I'm about to point out
[01:05:02.720 --> 01:05:05.040]  three things that will save you a lot of money
[01:05:05.040 --> 01:05:06.720]  while you get high quality products
[01:05:06.720 --> 01:05:08.080]  and fund the info war.
[01:05:08.080 --> 01:05:09.360]  A 360 win.
[01:05:09.360 --> 01:05:10.080]  Number one,
[01:05:10.080 --> 01:05:12.080]  when you choose auto ship before checkout,
[01:05:12.080 --> 01:05:15.920]  we give you 10% off on your order at infowarsore.com.
[01:05:15.920 --> 01:05:16.560]  Number two,
[01:05:16.560 --> 01:05:18.160]  you're also able to get items
[01:05:18.160 --> 01:05:19.120]  that are out of stock
[01:05:19.120 --> 01:05:20.640]  when you sign up for auto ship,
[01:05:20.640 --> 01:05:23.840]  because we hold back a surplus for auto ship customers.
[01:05:23.840 --> 01:05:24.880]  Number three,
[01:05:24.880 --> 01:05:26.480]  we're giving you free shipping
[01:05:26.480 --> 01:05:28.880]  on all orders above $50.
[01:05:28.880 --> 01:05:31.120]  Listeners have been requesting this for years,
[01:05:31.120 --> 01:05:32.800]  because it's so easy to forget
[01:05:32.800 --> 01:05:34.960]  to reorder the products that you need each month.
[01:05:34.960 --> 01:05:36.640]  Just go to infowarsore.com,
[01:05:36.640 --> 01:05:38.640]  select your favorite product or products,
[01:05:38.640 --> 01:05:39.680]  click on auto ship,
[01:05:39.680 --> 01:05:40.800]  and choose how often
[01:05:40.800 --> 01:05:42.720]  you want us to send you another order.
[01:05:42.720 --> 01:05:43.600]  As you know,
[01:05:43.600 --> 01:05:45.360]  I coined the term 360 win,
[01:05:45.360 --> 01:05:46.800]  and with the new auto ship feature
[01:05:46.800 --> 01:05:48.080]  at infowarslife.com,
[01:05:48.080 --> 01:05:49.520]  this is a sure win.
[01:05:49.520 --> 01:05:51.040]  10% off on auto ship.
[01:05:51.040 --> 01:05:53.440]  Win, win, win at infowarslife.com,
[01:05:53.440 --> 01:05:55.360]  free shipping on orders above $50.
[01:05:55.360 --> 01:05:57.040]  And all out of stock items
[01:05:57.040 --> 01:05:58.080]  are never out of stock
[01:05:58.080 --> 01:05:59.360]  when you sign up for auto ship.
[01:06:03.840 --> 01:06:08.720]  The answer to 1984 is 1776.
[01:06:08.720 --> 01:06:19.600]  You're listening to the Alex Jones show.
[01:06:38.800 --> 01:06:40.080]  Look, folks, you can say what you want
[01:06:40.080 --> 01:06:41.760]  about the United States mid-east policy.
[01:06:41.760 --> 01:06:42.960]  You can say what you want about any of this.
[01:06:43.840 --> 01:06:47.360]  There's only one Stone Age region of the world
[01:06:47.360 --> 01:06:48.800]  that actually has the power
[01:06:48.800 --> 01:06:50.160]  to launch attacks in other nations,
[01:06:50.160 --> 01:06:51.040]  and that's the Middle East.
[01:06:52.000 --> 01:06:53.520]  And women are property there.
[01:06:53.520 --> 01:06:54.800]  It is literal hell on earth.
[01:06:55.600 --> 01:06:57.200]  The few areas that weren't that radical
[01:06:57.200 --> 01:06:58.160]  have been invaded
[01:06:58.160 --> 01:06:59.520]  and our government's backing it.
[01:07:00.480 --> 01:07:02.880]  Anderson Cooper from the CIA, formerly,
[01:07:02.880 --> 01:07:05.280]  he would sit there and praise the Arab Spring,
[01:07:05.280 --> 01:07:06.560]  you know, kicking out our allies
[01:07:06.560 --> 01:07:08.240]  where people can live in peace and,
[01:07:08.240 --> 01:07:09.600]  you know, putting in the Muslim Brotherhood,
[01:07:09.600 --> 01:07:10.560]  the South Qaeda light.
[01:07:11.520 --> 01:07:13.360]  And so our own military the last four years
[01:07:13.360 --> 01:07:14.080]  has told Obama,
[01:07:14.080 --> 01:07:16.080]  we're not going to back ISIS and al-Qaeda.
[01:07:16.080 --> 01:07:19.360]  I don't care if he changed the name in Syria.
[01:07:19.360 --> 01:07:22.720]  So instead, Saudi Arabia has turned to proxy armies
[01:07:22.720 --> 01:07:23.520]  flooding the West.
[01:07:23.520 --> 01:07:26.320]  And I believe, it's clear the West has done this,
[01:07:26.320 --> 01:07:28.160]  that criminals in our own governments,
[01:07:28.160 --> 01:07:30.800]  NATO and others allied with Saudi Arabia,
[01:07:30.800 --> 01:07:32.640]  have intentionally brought these people in.
[01:07:32.640 --> 01:07:34.960]  They've advertised and are actually using it
[01:07:34.960 --> 01:07:38.080]  as a way to threaten political decapitation
[01:07:38.080 --> 01:07:38.560]  in the West.
[01:07:38.560 --> 01:07:40.400]  Because even if these are ham-fisted operators,
[01:07:42.080 --> 01:07:43.440]  if you activate, let's say,
[01:07:43.440 --> 01:07:47.200]  conservatively in Europe, 100,000 jihadis.
[01:07:47.200 --> 01:07:49.360]  And I think out of 5 million, 80% military,
[01:07:49.360 --> 01:07:50.880]  I think that's a very conservative number.
[01:07:50.880 --> 01:07:51.680]  Tim Kennedy's an expert,
[01:07:51.680 --> 01:07:52.160]  am I wrong?
[01:07:52.160 --> 01:07:53.200]  Let's just say 100,000.
[01:07:54.000 --> 01:07:55.680]  That would be a crippling effect,
[01:07:55.680 --> 01:07:58.480]  especially in this culture of just, you know,
[01:07:58.480 --> 01:08:00.080]  they're talking about a civil emergency
[01:08:00.080 --> 01:08:01.200]  in Florida right now.
[01:08:01.200 --> 01:08:03.680]  The governor once won over 50-something dead.
[01:08:03.680 --> 01:08:06.640]  Imagine 10 attacks in your town a week.
[01:08:06.640 --> 01:08:08.000]  Because they got the people.
[01:08:08.000 --> 01:08:10.160]  I mean, I go to the domain up here in North Austin,
[01:08:10.160 --> 01:08:12.320]  it looks like I'm in Islamabad.
[01:08:12.320 --> 01:08:13.760]  I go to Barton Creek,
[01:08:13.760 --> 01:08:15.920]  there's just women wearing full burkas.
[01:08:15.920 --> 01:08:16.960]  And I'm like,
[01:08:16.960 --> 01:08:18.720]  I actually had an anxiety attack about a month ago,
[01:08:18.720 --> 01:08:19.360]  my daughter's there,
[01:08:19.360 --> 01:08:20.240]  because they were looking at us weird,
[01:08:20.240 --> 01:08:21.520]  and there were all these men laughing at me,
[01:08:21.520 --> 01:08:23.360]  and I turn a corner, there's more, and I'm like,
[01:08:23.360 --> 01:08:25.360]  and it's just like, it's so alien, folks,
[01:08:25.360 --> 01:08:26.960]  to have women as prisoners.
[01:08:26.960 --> 01:08:28.960]  But it's, oh, it's trendy in the liberal sites,
[01:08:28.960 --> 01:08:31.360]  oh, here's how you wear a hijab, and how you do it.
[01:08:31.360 --> 01:08:33.920]  I mean, it's freaking me out, I don't like it.
[01:08:33.920 --> 01:08:36.800]  It's clearly a plan to destabilize everything.
[01:08:36.800 --> 01:08:38.160]  How do we expose that?
[01:08:38.160 --> 01:08:38.960]  That's the question.
[01:08:38.960 --> 01:08:40.240]  And then I was asking you a question too,
[01:08:40.240 --> 01:08:42.160]  before the break, and I, Jim Kennedy,
[01:08:42.160 --> 01:08:43.200]  I forget what it was.
[01:08:43.200 --> 01:08:43.840]  What was it?
[01:08:43.840 --> 01:08:44.960]  It was some big question about,
[01:08:44.960 --> 01:08:45.840]  why are they doing it?
[01:08:45.840 --> 01:08:47.040]  How big is it gonna get?
[01:08:47.840 --> 01:08:48.480]  Do you remember?
[01:08:48.480 --> 01:08:48.800]  Yeah.
[01:08:49.680 --> 01:08:50.640]  And the answer is,
[01:08:50.640 --> 01:08:54.160]  it's gonna continue to grow until we, as a people,
[01:08:54.800 --> 01:08:56.880]  grab our balls and do something about it.
[01:08:57.360 --> 01:08:59.040]  We can't be politically correct.
[01:08:59.040 --> 01:09:01.200]  We can't demonstrate tolerance.
[01:09:01.200 --> 01:09:02.400]  We have to,
[01:09:02.400 --> 01:09:05.760]  we are at war for our existence right now.
[01:09:05.760 --> 01:09:07.120]  When you can walk down the street,
[01:09:07.120 --> 01:09:08.080]  and there's a Burkini,
[01:09:08.080 --> 01:09:11.440]  which is like a swimsuit that covers somebody from head to toe.
[01:09:11.440 --> 01:09:13.280]  Being sold in downtown Austin,
[01:09:13.280 --> 01:09:14.560]  so you can go onto the river
[01:09:14.560 --> 01:09:17.120]  and enjoy your beautiful Austin weather,
[01:09:17.120 --> 01:09:18.640]  covered in black garments.
[01:09:20.240 --> 01:09:21.440]  We're in a fight for our life.
[01:09:22.640 --> 01:09:24.880]  And so what do we need to do?
[01:09:24.880 --> 01:09:27.600]  We, as a people, need to get strong
[01:09:27.600 --> 01:09:31.200]  and appreciate that there's now an implied responsibility
[01:09:31.200 --> 01:09:33.520]  for us to, we got to be activated.
[01:09:34.320 --> 01:09:35.920]  We have to get turned on.
[01:09:35.920 --> 01:09:37.120]  We have to wake up.
[01:09:37.120 --> 01:09:38.400]  We have to start training.
[01:09:38.400 --> 01:09:39.360]  If somebody's gonna walk in
[01:09:39.360 --> 01:09:41.120]  and has the ability and the capability
[01:09:41.120 --> 01:09:43.120]  to start mowing down 50,
[01:09:43.120 --> 01:09:44.800]  now 110 people,
[01:09:44.800 --> 01:09:46.480]  is that how many people he shot total?
[01:09:46.480 --> 01:09:48.880]  50 some are dead, 60 now wounded.
[01:09:50.080 --> 01:09:52.160]  If there's one person like me there,
[01:09:52.160 --> 01:09:53.600]  one person like our friend Shane,
[01:09:53.600 --> 01:09:54.640]  one person like my partner,
[01:09:54.640 --> 01:09:55.840]  Blank from Sheepdog,
[01:09:55.840 --> 01:09:56.800]  it would have changed,
[01:09:56.800 --> 01:09:59.200]  it takes one person to change-
[01:09:59.200 --> 01:10:01.360]  Tell folks about Sheepdog response.
[01:10:01.360 --> 01:10:02.560]  It's not that it needs to be plugged.
[01:10:02.560 --> 01:10:05.360]  You have waiting lists to get involved in it.
[01:10:05.360 --> 01:10:06.480]  But we were talking about this Friday
[01:10:06.480 --> 01:10:08.800]  when you were here about getting back to us being men,
[01:10:08.800 --> 01:10:10.640]  being prepared, being involved.
[01:10:10.640 --> 01:10:11.600]  That's the answer.
[01:10:11.600 --> 01:10:14.320]  So when somebody attacks a nightclub or whatever it is,
[01:10:14.320 --> 01:10:15.600]  folks are shooting back.
[01:10:15.600 --> 01:10:18.000]  That's the answer is to have a security plan,
[01:10:18.000 --> 01:10:20.960]  not to run up a white flag to these people
[01:10:20.960 --> 01:10:22.880]  like the left is doing, saying right now,
[01:10:22.880 --> 01:10:24.160]  blame the Second Amendment.
[01:10:24.160 --> 01:10:26.800]  That's to me what is so incredibly outrageous.
[01:10:26.800 --> 01:10:28.400]  Idiotic and moronic.
[01:10:28.400 --> 01:10:31.200]  When you look, I don't know how many gunfights I've been in,
[01:10:31.200 --> 01:10:34.320]  but I'll tell you that I have watched al-Qaeda,
[01:10:34.320 --> 01:10:35.680]  I've watched Taliban,
[01:10:35.680 --> 01:10:38.080]  I've watched ISIS walk into villages,
[01:10:38.080 --> 01:10:40.160]  mowing everybody down effortlessly
[01:10:40.160 --> 01:10:43.120]  because there's not one person that would stand up to them.
[01:10:43.120 --> 01:10:44.800]  But the moment that one person,
[01:10:44.800 --> 01:10:48.800]  it takes one, one person, shows resistance and shoots back,
[01:10:48.800 --> 01:10:50.640]  it changes the chemistry of everything.
[01:10:50.640 --> 01:10:51.520]  Well, look at Benghazi,
[01:10:51.520 --> 01:10:53.600]  what was it, at least over 500 groups,
[01:10:53.600 --> 01:10:54.800]  seven or eight ways.
[01:10:54.800 --> 01:10:56.160]  500 dudes, yeah.
[01:10:56.160 --> 01:10:58.480]  Again, how many, 10?
[01:10:58.480 --> 01:10:59.920]  Yeah, 10 shooters.
[01:10:59.920 --> 01:11:05.920]  It took 10 guys to stop up to 500 terrorists, right?
[01:11:05.920 --> 01:11:08.480]  So we have one shooter in Orlando,
[01:11:08.480 --> 01:11:10.000]  two shooters in San Bernardino,
[01:11:10.000 --> 01:11:11.440]  what was it, eight in Paris?
[01:11:11.440 --> 01:11:12.560]  It is not that many,
[01:11:12.560 --> 01:11:15.760]  it just takes one or two dudes with the training
[01:11:15.760 --> 01:11:17.600]  and the prepared mind to stay.
[01:11:17.600 --> 01:11:19.440]  Obviously the problem is Islam,
[01:11:19.440 --> 01:11:20.800]  it's not our Second Amendment,
[01:11:20.800 --> 01:11:22.160]  how obvious is that?
[01:11:22.160 --> 01:11:24.560]  It's our Second Amendment that is gonna save us.
[01:11:24.560 --> 01:11:27.360]  It's Islam that's trying to kill us.
[01:11:27.360 --> 01:11:30.160]  Now, again, I go back to this then.
[01:11:30.160 --> 01:11:31.760]  What is the thinking in the military?
[01:11:31.760 --> 01:11:33.360]  What is the thinking, again,
[01:11:33.360 --> 01:11:34.960]  of good people that want to protect this nation,
[01:11:34.960 --> 01:11:37.360]  who I know, who are great folks,
[01:11:37.360 --> 01:11:39.920]  to then see Obama saying,
[01:11:39.920 --> 01:11:43.360]  this isn't Islam, we need to let more people in.
[01:11:43.360 --> 01:11:45.360]  He doesn't let the Christians in, though.
[01:11:45.360 --> 01:11:48.480]  Even though they're 20% and are trying to get out of Syria,
[01:11:48.480 --> 01:11:50.720]  it's less than 1%, he lets in.
[01:11:50.720 --> 01:11:53.520]  It's 0.7, clearly they're out to get Christians.
[01:11:53.520 --> 01:11:54.720]  What is the thinking?
[01:11:54.720 --> 01:11:57.120]  I mean, because I get we're supposed to,
[01:11:57.120 --> 01:11:59.920]  people in the military like yourself follow orders of the president,
[01:11:59.920 --> 01:12:02.720]  but what happens when those orders violate common sense,
[01:12:02.720 --> 01:12:06.720]  the Constitution, and just basic humanity?
[01:12:06.720 --> 01:12:09.120]  There's definitely degrees of frustration
[01:12:09.120 --> 01:12:11.120]  and trying to figure out the best solution.
[01:12:11.120 --> 01:12:12.720]  So we know what our problem is, right?
[01:12:12.720 --> 01:12:14.720]  When we say, oh, we got to,
[01:12:14.720 --> 01:12:16.320]  just like the FBI in San Bernardino,
[01:12:16.320 --> 01:12:18.320]  we know that these guys are bad
[01:12:18.320 --> 01:12:20.720]  and we figure out a way to maybe do something about it,
[01:12:20.720 --> 01:12:22.720]  but they just couldn't figure out a solution.
[01:12:22.720 --> 01:12:24.720]  It's kind of the same with the military right now,
[01:12:24.720 --> 01:12:26.720]  where they're saying,
[01:12:26.720 --> 01:12:29.920]  it doesn't matter what the name is of the group in Syria,
[01:12:29.920 --> 01:12:31.120]  we're not going to support them.
[01:12:31.120 --> 01:12:32.720]  You can call them ISIL, you can call them ISIS,
[01:12:32.720 --> 01:12:33.920]  you can call them al-Qaeda,
[01:12:33.920 --> 01:12:35.920]  you can call them whatever the hell you want.
[01:12:35.920 --> 01:12:37.920]  We're still not going to support them.
[01:12:37.920 --> 01:12:41.920]  But here, we're trying to, you know, we're frustrated.
[01:12:41.920 --> 01:12:43.920]  The military is frustrated.
[01:12:43.920 --> 01:12:45.920]  We're trying to find a solution
[01:12:45.920 --> 01:12:47.920]  that means that we can still keep our oath,
[01:12:47.920 --> 01:12:49.920]  that we can do the right thing,
[01:12:49.920 --> 01:12:51.920]  that we can follow orders,
[01:12:51.920 --> 01:12:53.920]  but most importantly, we can stay true to our morals,
[01:12:53.920 --> 01:12:55.920]  our integrity and our ethics,
[01:12:55.920 --> 01:12:57.920]  and protect justice and freedom.
[01:12:57.920 --> 01:12:59.920]  But it is hard, right?
[01:12:59.920 --> 01:13:01.920]  Let me ask you this question,
[01:13:01.920 --> 01:13:03.920]  and this was the question before the break,
[01:13:03.920 --> 01:13:05.920]  the key one that ties us all together.
[01:13:05.920 --> 01:13:07.920]  What is the metric if,
[01:13:07.920 --> 01:13:09.920]  I mean, how many from the statistics,
[01:13:09.920 --> 01:13:11.920]  I mean, many polls,
[01:13:11.920 --> 01:13:13.920]  excuse me, about 25% in Europe and here,
[01:13:13.920 --> 01:13:15.920]  say they sympathize with suicide bombers,
[01:13:15.920 --> 01:13:17.920]  that's just Muslims pulled across the board.
[01:13:17.920 --> 01:13:19.920]  What are the numbers?
[01:13:19.920 --> 01:13:21.920]  Are just dead reckoning a low estimate
[01:13:21.920 --> 01:13:23.920]  how bad are these sleeper cell attacks going to get?
[01:13:23.920 --> 01:13:25.920]  Because as you said,
[01:13:25.920 --> 01:13:27.920]  it's just as they turn up the heat,
[01:13:27.920 --> 01:13:29.920]  as ISIS orders the attacks to take place,
[01:13:29.920 --> 01:13:31.920]  it happens, the media tries to cover it up,
