[00:00:14.774 --> 00:00:21.777]  InfoWars, the most banned network in the world.
[01:48:53.629 --> 01:48:56.111]  But yeah, this is just, wow, that looks like hundreds of thousands.
[01:48:56.111 --> 01:48:59.033]  This is so beautiful and exciting.
[01:48:59.033 --> 01:49:00.975]  And it's what it's going to take.
[01:49:00.975 --> 01:49:05.098]  And I get so excited about this, I start talking faster, start stuttering.
[01:49:05.098 --> 01:49:08.241]  It's just so epic what's going down.
[01:49:08.241 --> 01:49:10.562]  And our whole history is being stolen from us.
[01:49:10.562 --> 01:49:10.923]  Our whole
[01:49:12.501 --> 01:49:18.702]  Movement of human liberty over thousands of years that people had to fight hard for is being taken from us right now.
[01:49:18.702 --> 01:49:28.804]  So if I saw somebody stealing my grandmother's painting that my mother loved that she gave me out of my house, I'd get way more pissed about that than if I caught a thief stealing my car.
[01:49:28.804 --> 01:49:36.465]  Well, my birthright, my children's freedom being stolen makes me a hundred times more angry than I would be about that painting.
[01:49:36.465 --> 01:49:41.346]  And then when I realized how evil the globalists are and how they want world government and to depopulate me,
[01:49:42.694 --> 01:49:51.777]  Well, I'm not going to apologize for extremism and defensive liberty, because extremism and defensive liberty is no vice, to quote Barry Goldwater.
[01:49:51.777 --> 01:49:59.639]  And he said, if you don't stand up and fight for your freedom and fight for your country, sometimes silence isn't golden, it's yellow.
[01:49:59.639 --> 01:50:05.501]  I used to call folks yellow bellies that wouldn't fight in a war, because they'd get in a fetal position and piss themselves.
[01:50:05.501 --> 01:50:08.622]  They'd have piss on their clothes.
[01:50:08.622 --> 01:50:10.843]  I'm not saying I'm not going to take a big piss before I get in a fight.
[01:50:11.800 --> 01:50:16.565]  But at the same time, I ain't pissing while I'm fighting, I'll tell you that.
[01:50:16.565 --> 01:50:17.666]  Oh boy, I gotta tell you.
[01:50:17.666 --> 01:50:23.392]  I'm not gonna get into fighting stuff, but I tell you, have you ever been known you're going to a real big fight?
[01:50:23.392 --> 01:50:25.675]  And you're gonna absolutely go wild?
[01:50:25.675 --> 01:50:28.138]  Body just gets everything out of it before you do that, ladies and gentlemen.
[01:50:28.942 --> 01:50:33.064]  So that's where we are, and I see stuff like this with Rand Paul.
[01:50:33.064 --> 01:50:35.125]  He's finally saying he needs to be fired.
[01:50:35.125 --> 01:50:36.565]  He needs to be arrested.
[01:50:36.565 --> 01:50:37.286]  He's a criminal.
[01:50:37.286 --> 01:50:55.094]  Yes, do a Senate speech, filibuster, and speak for 10 hours and read the gain-of-function documents where he ordered the making of COVID-19, and then when he wanted to release it, open-air China, and the Pentagon said, no, protect us from these killers, because here's the most important thing I've ever said on air about COVID-19.
[01:50:56.926 --> 01:51:03.728]  The same globalists that cooked up this third-party bioweapons stash have systems that are thousands of times more deadly than COVID-19.
[01:51:03.728 --> 01:51:06.229]  They have 80% or higher kill rates.
[01:51:06.229 --> 01:51:07.609]  That's confirmed.
[01:51:07.609 --> 01:51:18.733]  And they've been doing this whole thing about, oh, other universities have it and other groups have it and we're worried terrorists may have stolen out of Wuhan or out of Chapel Hill North because they're getting ready to release it.
[01:51:18.733 --> 01:51:20.253]  And they're holding us hostage.
[01:51:20.253 --> 01:51:22.254]  So people say, aren't you afraid of getting killed by these people?
[01:51:23.447 --> 01:51:25.088]  Aren't you afraid of them coming after you, Alex?
[01:51:25.088 --> 01:51:33.152]  Well, of course I don't like taking on murderers, but I can't just sit here and not fight them, because they're releasing it on old people.
[01:51:33.152 --> 01:51:35.173]  My parents almost got killed.
[01:51:35.173 --> 01:51:38.075]  They're blocking treatments for people.
[01:51:38.075 --> 01:51:39.135]  They're censoring us.
[01:51:39.135 --> 01:51:39.776]  Screw them!
[01:51:41.104 --> 01:51:43.866]  Why are we bowing down to them?
[01:51:43.866 --> 01:51:45.047]  It's safer to fight them!
[01:51:45.047 --> 01:51:50.851]  It's safer to say no, while we've still got communications, and while we've still got somewhat of a country!
[01:51:50.851 --> 01:51:53.293]  They're devaluing the currency at maximum speed.
[01:51:53.293 --> 01:51:54.734]  They're collapsing the borders.
[01:51:54.734 --> 01:51:59.518]  They've got pedophile rings all over the country doing pervert story time.
[01:51:59.518 --> 01:52:00.739]  This is damn serious.
[01:52:00.739 --> 01:52:01.579]  Show.
[01:52:01.579 --> 01:52:02.240]  Okay, great.
[01:52:02.240 --> 01:52:02.920]  Red state.
[01:52:02.920 --> 01:52:07.784]  A vindicated Rand Paul calls for Fauci's firing, with NIH admits to funding gain-of-function research.
[01:52:07.784 --> 01:52:08.525]  That's not enough!
[01:52:10.825 --> 01:52:17.569]  Start impeachment of Biden now, because they will not prosecute for this.
[01:52:17.569 --> 01:52:18.289]  It's incredible.
[01:52:18.289 --> 01:52:20.471]  Paul says Fauci lying.
[01:52:20.471 --> 01:52:22.392]  Fire him now.
[01:52:22.392 --> 01:52:34.198]  And you see it all over the news that he lied and did this, but instead they're all obsessed with, oh, they chained down dogs like beagles and put their heads inside cages where flesh-eating bugs could eat their flesh down to the bone.
[01:52:34.198 --> 01:52:34.759]  They cut their
[01:52:36.325 --> 01:52:42.489]  Vocal cords out so we don't have to listen to them beg for their lives over a week as the bugs ate them from the inside out.
[01:52:42.489 --> 01:52:44.911]  Fauci funded that.
[01:52:44.911 --> 01:52:48.633]  But you don't care about secret experimentation on kids or now public experimentation.
[01:52:48.633 --> 01:52:50.454]  Oh, that's all okay, isn't it?
[01:52:50.454 --> 01:52:51.715]  None of it's okay.
[01:52:51.715 --> 01:52:53.036]  None of it's right.
[01:52:53.036 --> 01:53:01.382]  We got a ton of news next hour and your calls, but I want to get to part of this OAN interview with Rand Paul and he's the one doing the best job and it's not enough.
[01:53:01.382 --> 01:53:01.722]  Here it is.
[01:53:02.864 --> 01:53:24.163]  You mentioned some of the proof of gain-of-function, and I gather that this pause that the Obama administration put in gain-of-function research, and they cited that gain-of-function research specifically might be too dangerous to continue, but then somehow it got turned around, and explain how that tends to prove what was going on here.
[01:53:24.163 --> 01:53:26.104]  Well, here's a very interesting question.
[01:53:26.104 --> 01:53:28.687]  How do you pause something that doesn't exist?
[01:53:30.051 --> 01:53:33.333]  So he says that he never ever funded this research.
[01:53:33.333 --> 01:53:35.374]  Well, he said he didn't fund it here either.
[01:53:35.374 --> 01:53:38.236]  He says he's never funded gain-of-function research.
[01:53:38.236 --> 01:53:40.477]  Well, how come we had a pause then on the funding?
[01:53:40.477 --> 01:53:44.919]  We paused it because, in fact, they were funding gain-of-function research.
[01:53:44.919 --> 01:53:50.242]  The research in North Carolina was gain-of-function, and so was the research that was going on in the Wuhan lab.
[01:53:50.242 --> 01:53:51.403]  All of it was gain-of-function.
[01:53:52.143 --> 01:53:57.109]  And you know the thing is is they're changing and parsing words on the definition is what they're doing.
[01:53:57.109 --> 01:54:06.959]  But I repeated back to him the NIH definition of this and it is very clear if you look at the research they took viruses that do not normally infect humans
[01:54:07.961 --> 01:54:16.891]  They molded or adapted or mutated or recombined this with another virus and they came up with a virus that is not known in nature.
[01:54:16.891 --> 01:54:19.014]  So what they've created is a super virus.
[01:54:19.014 --> 01:54:20.936]  It's not a virus known in nature.
[01:54:20.936 --> 01:54:22.077]  It doesn't exist.
[01:54:22.077 --> 01:54:26.362]  They've created it only in the lab by merging two different viruses
[01:54:26.963 --> 01:54:29.964]  And then they put it into human cells and see if it infects human cells.
[01:54:29.964 --> 01:54:32.845]  So they're doing the definition of gain and function.
[01:54:32.845 --> 01:54:35.186]  There's no dispute at all on this.
[01:54:35.186 --> 01:54:39.768]  If people were not afraid of Dr. Fauci, we'd have scientists lining up by the droves.
[01:54:39.768 --> 01:54:44.070]  But almost every university professor in our country gets their money from him.
[01:54:44.070 --> 01:54:47.091]  So you can see how there's a hesitancy to speak out.
[01:54:47.091 --> 01:54:49.532]  So that's where the power is to maintain people... Absolutely.
[01:54:50.812 --> 01:54:56.056]  How do we get so many people all on one side of things and no real discussion and no skepticism?
[01:54:56.056 --> 01:54:58.117]  It's the same with climate alarmism.
[01:54:58.117 --> 01:55:00.879]  Climate alarmism is all funded by the government.
[01:55:00.879 --> 01:55:02.380]  There are no skeptics.
[01:55:02.380 --> 01:55:05.702]  There are no other side of any issues in climate science.
[01:55:05.702 --> 01:55:07.964]  There's only one side and it's the party line.
[01:55:07.964 --> 01:55:09.645]  It's the same way with COVID.
[01:55:09.645 --> 01:55:10.906]  Nobody speaks out.
[01:55:10.906 --> 01:55:13.628]  There are no skeptics because their funding will dry up.
[01:55:14.429 --> 01:55:19.594]  Is there gain-of-function research going on in this country at this time?
[01:55:19.594 --> 01:55:23.078]  Yes, in North Carolina in a lab and also in Galveston in a lab.
[01:55:23.078 --> 01:55:24.619]  Should people be concerned?
[01:55:24.619 --> 01:55:25.240]  Absolutely.
[01:55:25.240 --> 01:55:26.741]  See, this is my point.
[01:55:26.741 --> 01:55:29.985]  It isn't just about the pandemic that we're in.
[01:55:29.985 --> 01:55:32.407]  It's about the pandemic that could come from this.
[01:55:33.348 --> 01:55:39.412]  The type of viruses they are merging, one of them is the SARS virus.
[01:55:39.412 --> 01:55:43.975]  This is from 2004, and it had a 15% mortality.
[01:55:43.975 --> 01:55:48.177]  COVID-19 is a bad bug, but it has about a 1% mortality.
[01:55:48.177 --> 01:55:49.218]  Four million people died.
[01:55:49.218 --> 01:55:53.200]  If you had a 15% mortality, we're talking about 60 million people dying.
[01:55:53.200 --> 01:55:58.223]  So we're talking about something horrific, closer to the Spanish flu of 1918.
[01:55:58.223 --> 01:56:01.105]  They shouldn't be experimenting with a virus that has a 15% mortality
[01:56:02.606 --> 01:56:06.988]  And adding to it proteins that make it more transmissible.
[01:56:06.988 --> 01:56:12.971]  They're purposely taking... See, the good thing about SARS, it was deadly, but not very transmissible.
[01:56:12.971 --> 01:56:15.892]  They're taking something in the lab to make it more transmissible.
[01:56:15.892 --> 01:56:23.275]  Something that Mother Nature gave us that was horrible, but wasn't very transmissible, they're monkeying around in the lab to make it more transmissible.
[01:56:23.275 --> 01:56:24.595]  It's a terrible idea.
[01:56:24.595 --> 01:56:25.456]  And where is this going on?
[01:56:26.196 --> 01:56:29.399]  Going on in North Carolina and Galveston and Wuhan.
[01:56:29.399 --> 01:56:31.040]  They're all doing similar experiments.
[01:56:31.040 --> 01:56:34.683]  All three of these labs have been doing experiments with the coronavirus.
[01:56:34.683 --> 01:56:35.544]  Still?
[01:56:35.544 --> 01:56:37.245]  Yes, still goes on.
[01:56:37.245 --> 01:56:41.108]  And this is potentially one that's 15 times more deadly than COVID.
[01:56:41.969 --> 01:56:48.971]  And the thing is, is that they were set up a commission to have special scrutiny for this type of research after that pause.
[01:56:48.971 --> 01:56:56.533]  It was supposed to be paused, but even during the pause they were giving exemptions to a few labs, probably the two labs we were talking about.
[01:56:56.533 --> 01:57:02.635]  Some of this they won't release even to us, but I'm pretty sure there were exemptions given to North Carolina and to Galveston.
[01:57:02.635 --> 01:57:06.116]  And so we gave exemptions, but then after 2017 there was a special committee.
[01:57:06.736 --> 01:57:09.038]  And you would think, well, what about the Wuhan lab?
[01:57:09.038 --> 01:57:10.379]  Did it go before the special committee?
[01:57:10.379 --> 01:57:13.541]  No, they just said it wasn't gain of function, so it didn't have to go before it.
[01:57:13.541 --> 01:57:18.144]  So they just precluded the whole debate by saying, oh, nothing to see here.
[01:57:18.144 --> 01:57:24.429]  But the thing is, is there are esteemed academicians, scientists, professors who look at this and say,
[01:57:25.009 --> 01:57:28.351]  This is very worrisome, very dangerous, and it is gain of function.
[01:57:28.351 --> 01:57:36.617]  We're not getting any of that debate, and it's really something, if we can draw some of these people out of the universities and get them to respond.
[01:57:36.617 --> 01:57:43.121]  You know, a few of them do, but we haven't been able to have hearings because the Democrats control the hearings, and they don't want to hear any of this.
[01:57:43.121 --> 01:57:45.843]  Senator Rand Paul of Kentucky, thank you for talking to us on One American News, sir.
[01:57:45.843 --> 01:57:46.904]  It's good to catch up with you.
[01:57:48.605 --> 01:57:54.348]  I am taping this update on the morning of Friday, October 22nd, 2021.
[01:57:54.348 --> 01:58:07.316]  Listeners who've already tried and really seen the powerful effects of RainForce Ultra should be excited to know that we've got a limited supply of it in stock, but it'll be sold out at current sales rates by Monday morning.
[01:58:07.816 --> 01:58:12.258]  Despite that fact, we're still offering a major discount of 25% off.
[01:58:12.258 --> 01:58:14.379]  It is an amazing nootropic.
[01:58:14.379 --> 01:58:27.144]  I went to one of the top labs in the country and I said I want very powerful, quick-acting, extremely clean nootropic that wears off quick because I want to be able to take it, if I've got to work until 10 at night, take it at 7 and for it to wear off by 10.
[01:58:27.984 --> 01:58:31.928]  That's exactly what they did with BrainForce Ultra.
[01:58:31.928 --> 01:58:34.590]  Now we have other great products like TurboForce that last for 10 hours.
[01:58:34.590 --> 01:58:35.531]  It's a different formula.
[01:58:35.531 --> 01:58:36.872]  It's over-the-top powerful.
[01:58:36.872 --> 01:58:38.033]  So strong I can't even take it.
[01:58:38.033 --> 01:58:39.414]  By the way, it's sold out right now.
[01:58:39.414 --> 01:58:42.137]  But BrainForce Ultra is really something special.
[01:58:42.137 --> 01:58:44.219]  It's 25% off, limited supply.
[01:58:44.219 --> 01:58:45.820]  We'll sell out early next week.
[01:58:45.820 --> 01:58:47.182]  Infowarstore.com.
[01:58:48.200 --> 01:58:55.945]  The globalists are bombarding us with propaganda, and with spiritual warfare, and with poisons, and chemicals added to the foods.
[01:58:55.945 --> 01:58:57.446]  It's all come out.
[01:58:57.446 --> 01:59:04.230]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[01:59:04.230 --> 01:59:07.472]  And the social engineers fear that so much.
[01:59:07.472 --> 01:59:13.216]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[01:59:15.123 --> 01:59:20.930]  The propaganda would not be necessary if the situation was hopeless.
[01:59:20.930 --> 01:59:33.164]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[01:59:33.684 --> 01:59:37.608]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[01:59:37.608 --> 01:59:43.313]  Because even if you don't believe in God, what the globalists are manifesting and setting up is satanic.
[01:59:43.313 --> 01:59:51.340]  And we are opposing the one world government and the Mark of the Beast they just announced.
[01:59:51.340 --> 01:59:55.244]  If you are receiving this transmission, you are the resistance.
[02:00:07.305 --> 02:00:13.390]  All right, I promised myself this morning when I came in here, I was going to be calm today.
[02:00:13.390 --> 02:00:15.091]  And I didn't do it.
[02:00:15.091 --> 02:00:19.895]  Because there's a certain frustration on how many stacks of news and all the things I have to cover here.
[02:00:19.895 --> 02:00:21.316]  And when I'm all hyped up, that's good.
[02:00:21.316 --> 02:00:22.196]  It's good talk radio.
[02:00:22.196 --> 02:00:22.977]  People tune into it.
[02:00:22.977 --> 02:00:23.998]  It's important information.
[02:00:23.998 --> 02:00:29.522]  But man, the stuff I'm saying here, the stuff I'm laying out is so heavy.
[02:00:29.522 --> 02:00:34.526]  So big that I just sink in because I mean, this really is where we are.
[02:00:34.526 --> 02:00:35.747]  This is really going down.
[02:00:37.639 --> 02:00:39.800]  This is really happening.
[02:00:39.800 --> 02:00:54.507]  And I want to open the phones up for the balance of the hour ahead of Geraldo Salente taking over, to ask all of you, the listeners, what do you think we should all be doing to stand up against Fauci and Gates and the rest of them?
[02:00:54.507 --> 02:00:59.589]  Because I legitimately don't want somebody going to their house and shooting them in the head.
[02:00:59.589 --> 02:01:02.831]  That's the only way these guys could not go down.
[02:01:05.427 --> 02:01:13.272]  Or I guess they could release another bioweapon on us and pose as a savior again and gaslight us so much that they never get in trouble.
[02:01:13.272 --> 02:01:15.514]  And then I guess we kind of deserve it if that's how dumb we are.
[02:01:15.514 --> 02:01:16.795]  I don't want that to happen.
[02:01:17.734 --> 02:01:24.160]  I don't want somebody to go put a bullet in Fauci because there's people a lot worse than him above him that call the shots on this.
[02:01:24.160 --> 02:01:25.501]  I want him arrested.
[02:01:25.501 --> 02:01:26.783]  I want to find out what he knows.
[02:01:26.783 --> 02:01:27.663]  I want to stop this.
[02:01:27.663 --> 02:01:28.805]  I don't want this to ever happen again.
[02:01:28.805 --> 02:01:40.155]  That's what Rand Paul's been saying all these interviews is, hey, they're still doing all this gain-of-function stuff all over the world with stuff a lot worse, including at 40-plus BioShield sites.
[02:01:40.155 --> 02:01:42.377]  That's what George W. Bush called it when he got
[02:01:43.106 --> 02:01:44.947]  I forget what it was, like $28 billion.
[02:01:44.947 --> 02:01:49.290]  You guys pull up Congress Passes BioShield.
[02:01:49.290 --> 02:01:52.612]  It was like 2004.
[02:01:52.612 --> 02:01:56.635]  I think it was $28 billion and then there was another $10 billion.
[02:01:56.635 --> 02:01:57.996]  I'm just going off memory.
[02:01:57.996 --> 02:02:02.259]  Just type in Congress Funds BioShield Program.
[02:02:02.259 --> 02:02:05.281]  Congress Funds Bush's BioShield Program.
[02:02:05.281 --> 02:02:06.702]  And then just click web and it should come up.
[02:02:08.131 --> 02:02:08.731]  It doesn't matter.
[02:02:08.731 --> 02:02:10.672]  We all know about the BioShield program.
[02:02:10.672 --> 02:02:19.294]  We all know that went on and then they just started doing incredible weapons level research all over the place at labs that were level 2 and level 3.
[02:02:19.294 --> 02:02:21.314]  And I've got children!
[02:02:21.314 --> 02:02:22.775]  I've got parents I love.
[02:02:22.775 --> 02:02:26.036]  I mean, these people are assaulting us.
[02:02:26.036 --> 02:02:30.297]  They're crazy mad scientists that are into depopulation.
[02:02:30.297 --> 02:02:34.538]  I mean, Dr. Salk bragged in articles that there was
[02:02:37.210 --> 02:02:41.751]  Live polio viruses in the polio and caused a lot of the polio and then it also caused cancer?
[02:02:41.751 --> 02:02:49.193]  I guess the first part of the project was $5 billion, but I think total, in my mind, BioShield's gotten like $28 billion.
[02:02:49.193 --> 02:02:50.274]  But I guess that was the first year.
[02:02:50.274 --> 02:02:52.454]  Yeah, so let's do $5 billion a year.
[02:02:52.454 --> 02:02:55.015]  Yeah, I guess the last time I saw $28 billion, that sounds about right.
[02:02:56.434 --> 02:02:57.734]  In just 5-10 years.
[02:02:57.734 --> 02:02:59.515]  But the point is, there it is.
[02:02:59.515 --> 02:03:00.655]  Project BioShield Act.
[02:03:00.655 --> 02:03:03.816]  So that's the one, ladies and gentlemen.
[02:03:03.816 --> 02:03:04.736]  Guys, type this in.
[02:03:04.736 --> 02:03:10.878]  Just say, total congressional spending on BioShield in the last 15 years.
[02:03:10.878 --> 02:03:11.938]  You'll probably have an article up there.
[02:03:11.938 --> 02:03:13.958]  It's probably more than $28 billion now.
[02:03:13.958 --> 02:03:17.199]  So, this is going on.
[02:03:17.199 --> 02:03:18.380]  And it's not to protect us.
[02:03:18.380 --> 02:03:19.340]  I mean, taking
[02:03:20.683 --> 02:03:42.169]  Four different animal viruses that don't get into humans, and then taking each one and make it to where it can get into humans by manipulating it, gain a function, and then merging those four viruses, and then adding the HIV delivery system from the HIV virus to it, so humans can get it even easier with a spike protein.
[02:03:42.169 --> 02:03:45.950]  And then they say, oh, you're lucky it's just COVID-19.
[02:03:45.950 --> 02:03:47.831]  We made stuff a lot worse than that.
[02:03:49.542 --> 02:03:49.882]  Really?
[02:03:49.882 --> 02:03:51.323]  Oh yeah!
[02:03:51.323 --> 02:03:54.765]  We took a bunch of other viruses and made it where it kills 80% of you.
[02:03:54.765 --> 02:03:56.446]  And we took mousepox and weaponized it.
[02:03:56.446 --> 02:03:58.928]  Hell, it kills up to 90%.
[02:03:58.928 --> 02:03:59.968]  And they're just like, yeah.
[02:03:59.968 --> 02:04:05.432]  And by the way, we're all members of eugenics clubs and give speeches about depopulating.
[02:04:05.432 --> 02:04:14.297]  And I'm just sitting there going, uh, uh, I mean, I mean, if somebody came to your house and pointed a gun at you and said they were going to kill you,
[02:04:17.022 --> 02:04:18.103]  What would you do to them?
[02:04:18.103 --> 02:04:21.485]  I mean, I'm just saying... And here's the other part about this.
[02:04:21.485 --> 02:04:28.530]  I don't care if you're in the military, or you're in the FBI, or you're a cop, or you're a lawyer, or you're a judge, or you're a congressman.
[02:04:28.530 --> 02:04:30.571]  Nobody's safe from this!
[02:04:30.571 --> 02:04:31.432]  This is crazy!
[02:04:32.745 --> 02:04:34.987]  And I just want you to stop!
[02:04:34.987 --> 02:04:36.008]  Just stop it!
[02:04:36.008 --> 02:04:38.290]  But they're not going to stop because they're evil.
[02:04:38.290 --> 02:04:40.272]  So what are we going to do to stop them?
[02:04:40.272 --> 02:04:44.316]  Because I'm not just going to get some farm somewhere and go hide out waiting for the end of the world.
[02:04:44.316 --> 02:04:46.438]  I've got children and God's watching.
[02:04:46.438 --> 02:04:47.679]  So what am I going to do about this?
[02:04:47.679 --> 02:04:49.580]  I'm asking, what are you going to do about it?
[02:04:49.580 --> 02:04:50.982]  What do we need to do about it?
[02:04:50.982 --> 02:04:54.125]  We'll give the number out when we come back on AlexJonesInfoWars.com.
[02:04:57.657 --> 02:04:58.198]  I am taping.
[02:05:14.794 --> 02:05:15.554]  We're good to go.
[02:05:34.540 --> 02:05:35.140]  Thank you.
[02:06:03.422 --> 02:06:11.748]  I thought the leaden winter would bring you down forever, but you rode upon a steamer to the violence of the sun.
[02:06:13.547 --> 02:06:19.309]  From the front lines of the information war, it's Alex Jones.
[02:06:19.309 --> 02:06:22.249]  Broadcasting worldwide.
[02:06:22.249 --> 02:06:29.131]  Oh, there's Eric Clapton, barely survived the Pfizer shot.
[02:06:29.131 --> 02:06:35.633]  And he's saying, if you want people to wear masks and be vaccinated, be at my concerts, I will not play.
[02:06:37.817 --> 02:06:42.100]  And Travis Tritt and countless others have joined him.
[02:06:42.100 --> 02:06:47.184]  But a lot of other scum musicians have said, no, you must be injected to come to my event.
[02:06:47.184 --> 02:06:50.726]  You must be part of the world ID, Margaret the Beast.
[02:06:50.726 --> 02:06:54.789]  Like that guy that's a rip off of Frank Sinatra.
[02:06:54.789 --> 02:06:57.151]  And isn't half as good.
[02:06:57.151 --> 02:06:59.432]  So don't forget who those people are.
[02:06:59.432 --> 02:07:01.674]  And don't forget not to support them.
[02:07:04.315 --> 02:07:26.145]  And don't forget to support those that are standing up, like the police in Chicago, or New York, or Miami, or Austin, Texas, or Dallas, or Houston, or San Antonio, or Los Angeles, or San Diego, or Washington States, Seattle, or Portland, all over the country.
[02:07:26.145 --> 02:07:29.086]  First they bully the police and say we're going to fire you if you don't become SJWs.
[02:07:30.427 --> 02:07:36.829]  Then if you don't pledge allegiance to Soros and then get on your knees and lay down to Black Lives Matter.
[02:07:36.829 --> 02:07:44.570]  And now they say, oh, we want the UN to take control of US police out of the strong cities initiative that Obama launched that Biden has brought back.
[02:07:44.570 --> 02:07:50.692]  I mean, the UN is telling Texas to stop oil production and Biden's cutting off our pipelines to Texas.
[02:07:52.216 --> 02:07:57.038]  And the federal government wouldn't up the amount of coal that can be burned this winter, this last winter.
[02:07:57.038 --> 02:07:59.039]  So that our power went out and a bunch of people died.
[02:07:59.039 --> 02:08:01.160]  That was all directly ordered by them.
[02:08:01.160 --> 02:08:06.903]  And they think you're so stupid that when we came out and talked about it, they had fact checkers say we were wrong.
[02:08:07.984 --> 02:08:15.868]  Even though I had the press release from the state of Texas five days before saying, the federal government won't let us up our coal power plants.
[02:08:15.868 --> 02:08:28.174]  We've asked for emergency authorization to up it, to go above our carbon allotment, and the feds said no until the power grid went down on that Valentine's evening.
[02:08:28.174 --> 02:08:33.497]  And then once it went down, they said, oh yeah, now you can use that coal and pay fines to use it.
[02:08:34.755 --> 02:08:39.839]  Millions of dollars of fines a day per facility passed on to you.
[02:08:39.839 --> 02:08:51.107]  Now we learned it was 30-something million dollars stolen from Texans in excess fees, just like Enron used to do to California during the controlled blackouts that were controlled.
[02:08:51.107 --> 02:08:53.369]  Our energy system seized by the left.
[02:08:54.482 --> 02:08:58.987]  And then terrorize America and Biden says America can't have oil.
[02:08:58.987 --> 02:09:00.288]  America can't have oil production.
[02:09:00.288 --> 02:09:07.876]  We can't be the world leader, but OPEC can and Saudi Arabia can now be the world leader again because American energy is literally being cut off.
[02:09:07.876 --> 02:09:10.238]  And then Psaki says, yeah, it's for the earth.
[02:09:10.238 --> 02:09:14.703]  Americans are paying more on purpose, she said at that arrogant press conference.
[02:09:16.752 --> 02:09:19.675]  Because America hasn't gone along with the New World Order.
[02:09:19.675 --> 02:09:22.558]  America hasn't turned all its children over and its guns over.
[02:09:22.558 --> 02:09:26.722]  America still goes to church in the Midwest, and in the West, and in the South.
[02:09:28.962 --> 02:09:34.827]  America isn't all those third-world people brought in on the East Coast and West Coast that can be enslaved and controlled.
[02:09:34.827 --> 02:09:35.608]  No!
[02:09:35.608 --> 02:09:48.199]  They're shilling idea in some parts of America of having freedom, and so they're gonna brand that as white, and as Christian, and as evil, and as something that must be eradicated as the ultra-rich Hollywood trash wage war on you and your family.
[02:09:50.384 --> 02:09:57.286]  But it's very, very heartening to see New York City workers march across Brooklyn Bridge in protest of COVID vaccine mandates.
[02:09:57.286 --> 02:09:58.806]  At least 50,000 of them.
[02:09:58.806 --> 02:09:59.426]  Wow.
[02:09:59.426 --> 02:10:03.307]  ABC 7 actually gets it half right.
[02:10:03.307 --> 02:10:09.489]  50,000 people stretched for far as the eyes can see.
[02:10:09.489 --> 02:10:12.990]  Just last night was a few thousand at the Brooklyn Nets.
[02:10:14.980 --> 02:10:17.220]  And they tried to say it was terrorism on the news.
[02:10:17.220 --> 02:10:19.361]  Oh, it was an insurrection.
[02:10:19.361 --> 02:10:22.481]  Black Lives Matter with Trump supporters of the American flags.
[02:10:22.481 --> 02:10:27.082]  Well, if there's American flags, it's worse than Pearl Harbor.
[02:10:27.082 --> 02:10:29.603]  And look at all those, look at that insurrection.
[02:10:29.603 --> 02:10:34.164]  They don't like foreign banks and the UN and Klaus Schwab saying, you'll own nothing, you'll have nothing.
[02:10:34.164 --> 02:10:36.164]  We're going to give you a dangerous experimental shot.
[02:10:36.164 --> 02:10:37.704]  And even after you take it, it's not going to work.
[02:10:37.704 --> 02:10:40.805]  So you got to have more shots and more shots.
[02:10:40.805 --> 02:10:41.805]  We own your body now.
[02:10:44.929 --> 02:10:49.630]  You have no bodily autonomy.
[02:10:49.630 --> 02:10:50.651]  Wow.
[02:10:50.651 --> 02:10:54.152]  And it goes on and on and on.
[02:10:54.152 --> 02:10:57.913]  Chris Hayes and MSNBC and the rest of them are like, oh, a new insurgency!
[02:10:57.913 --> 02:10:59.433]  They're attacking!
[02:10:59.433 --> 02:11:00.373]  They're yelling!
[02:11:00.373 --> 02:11:09.116]  And then the security guards come out and start a fight, show the media the enemy of the American people, literally, and sit there and try to misrepresent.
[02:11:09.116 --> 02:11:11.236]  Oh, and don't worry.
[02:11:11.236 --> 02:11:14.057]  Not just in Australia or Europe or Canada, but now here,
[02:11:15.680 --> 02:11:17.522]  It's all over the news how good it is.
[02:11:17.522 --> 02:11:18.683]  The left's very proud.
[02:11:18.683 --> 02:11:24.067]  They're not letting people live stream on Facebook or Twitter or YouTube.
[02:11:24.067 --> 02:11:32.595]  When the stream gets popular, when hundreds of thousands or millions tune in, oh, they kill your stream and say that you're giving out vaccine disinfo.
[02:11:32.595 --> 02:11:35.398]  You're not allowed to show a demonstration in New York.
[02:11:37.478 --> 02:11:46.923]  Hundreds of thousands of people, citizens, firefighters, police, nurses, doctors, black, white, Hispanic, Asian, old, young, men, women, children.
[02:11:46.923 --> 02:11:52.266]  You're not allowed to show that, you dirty, filthy, evil Americans.
[02:11:52.266 --> 02:11:56.409]  You can't show Central Park filled up with hundreds of thousands of people.
[02:11:56.409 --> 02:11:58.510]  You can't show humanity.
[02:11:58.510 --> 02:12:01.051]  No, no, no.
[02:12:01.051 --> 02:12:03.793]  And we must silence Infowars.
[02:12:03.793 --> 02:12:05.114]  We must silence Trump.
