[00:00:01.508 --> 00:00:04.649]  Two, three, four...
[01:51:08.415 --> 01:51:10.397]  That's what you mentioned earlier, Alex.
[01:51:10.397 --> 01:51:10.757]  1980, peak oil in 2000s.
[01:51:10.757 --> 01:51:11.037]  96, peak oil 2020.
[01:51:11.037 --> 01:51:11.277]  2002, peak oil...
[01:51:22.043 --> 01:51:26.908]  I got offered money by so-called sponsors if I would just push peak oil and all this.
[01:51:26.908 --> 01:51:36.257]  And the Saudis are the funders of that because they don't want us doing exploration here, just like China is one of the big funders of carbon taxes, because they're not going to participate.
[01:51:36.257 --> 01:51:39.240]  Well, if their energy is three times cheaper than ours, what's going to happen?
[01:51:39.240 --> 01:51:40.161]  Duh!
[01:51:40.161 --> 01:51:42.803]  Everybody's going to move their industry.
[01:51:42.803 --> 01:51:43.244]  It's sick!
[01:51:44.397 --> 01:51:45.118]  Right, Alex.
[01:51:45.118 --> 01:51:46.699]  And okay, so we have what?
[01:51:46.699 --> 01:51:47.780]  I think six more left.
[01:51:47.780 --> 01:51:49.221]  We're supposed to have super hurricanes.
[01:51:49.221 --> 01:51:49.922]  That was in 2006.
[01:51:49.922 --> 01:51:52.765]  2005, Manhattan underwater by 2015.
[01:51:52.765 --> 01:51:56.368]  In the 70s, urban citizens will require gas masks.
[01:51:56.368 --> 01:51:58.290]  Nitrogen buildup will make all land unusable.
[01:51:58.290 --> 01:51:59.851]  Decaying pollution will kill all the fish.
[01:51:59.851 --> 01:52:01.553]  In 1970, killer bees.
[01:52:01.553 --> 01:52:02.033]  So that's the 41
[01:52:04.821 --> 01:52:09.825]  List that they made on Breitbart of everything that was supposed to happen and none of it came true over the years.
[01:52:09.825 --> 01:52:18.072]  And now we're hearing the same stuff from Beto and the same stuff from AOC and others that the world's gonna end in 12 years, 11 years, 7 years.
[01:52:18.072 --> 01:52:24.097]  They're all trying to top each other but you got a report, you documented that they're doing this on purpose, terrorizing the children.
[01:52:24.097 --> 01:52:26.859]  Tell us, the audience, what you said it was like when you were a little girl.
[01:52:27.622 --> 01:52:30.764]  Well, and I was telling you this over the break that I was so scared when I was younger.
[01:52:30.764 --> 01:52:37.008]  I would cry myself to sleep at night because I was terrified that the Arctic or whatever was going to end up melting.
[01:52:37.008 --> 01:52:38.049]  We're all going to flood.
[01:52:38.049 --> 01:52:42.092]  No one was going to be able to live anywhere because the whole entire Earth would be flooded.
[01:52:42.092 --> 01:52:44.133]  And that's what I heard when I was a young kid.
[01:52:44.133 --> 01:52:48.476]  And now we're seeing videos of other children being used for this climate crisis.
[01:52:48.476 --> 01:52:51.678]  You've seen the video clips of them crying about how we're all going to die.
[01:52:51.678 --> 01:52:52.839]  We're all going to burn to death.
[01:52:52.839 --> 01:52:53.659]  We're all going to drown to death.
[01:52:53.659 --> 01:52:55.741]  So this is something that's been happening for years.
[01:52:55.741 --> 01:52:56.001]  And again,
[01:52:56.101 --> 01:52:57.722]  And they'll show a penguin on an ice floe.
[01:52:57.722 --> 01:52:59.044]  That's where they hunt.
[01:52:59.044 --> 01:53:01.446]  They'll show a polar bear on an ice floe.
[01:53:01.446 --> 01:53:02.967]  That's where they hunt.
[01:53:02.967 --> 01:53:05.409]  These things get smaller in the summer, bigger in the winter.
[01:53:05.409 --> 01:53:07.611]  They're literally terrorizing people.
[01:53:07.611 --> 01:53:13.236]  And I know parents who say their daughters go to public school and come back crying because we're killing all the bunny rabbits.
[01:53:13.621 --> 01:53:26.947]  Exactly, and National Geographic actually had to come out and admit, they took a picture of this starving polar bear, they said it was because of climate change, and then they had to come out and admit, actually, the polar bear wasn't dying because of climate change, that was actually fake.
[01:53:26.947 --> 01:53:33.730]  So they've had to come out and admit this so many times before, and again, the climate activists try to say, well scientists said, and if you dispute science,
[01:53:34.190 --> 01:53:35.771]  You're crazy, obviously.
[01:53:49.899 --> 01:53:52.281]  I think that the part of it that is generational is that
[01:54:16.326 --> 01:54:28.373]  Millennials and people and, you know, Gen Z and all these folks that come after us are looking up and we're like, the world is going to end in 12 years if we don't address climate change.
[01:54:28.373 --> 01:54:41.721]  And so if we are going to confront any of these challenges, whether it's challenges to the economy or a system of health care or public education or confronting climate change before it is too late within the 10 years that we have left to us to act,
[01:54:42.728 --> 01:54:51.479]  Then the single greatest mechanism that humankind has ever devised to call forth the power of the people, a democracy, must be fixed.
[01:54:51.479 --> 01:54:55.443]  So politicians have said that we have a matter of years left to be on the planet.
[01:54:55.443 --> 01:54:56.325]  What do you think about that?
[01:54:56.325 --> 01:54:57.886]  Do you think that projection is accurate?
[01:54:57.886 --> 01:54:59.268]  Do you think we have less than 10 to 12 years?
[01:55:00.547 --> 01:55:02.727]  Um, I think that projection is accurate.
[01:55:02.727 --> 01:55:15.830]  The one that I've heard the most often is, um, that we have 80 years until, if we don't do anything to stop it, in 80 years there could be a mass extinction event, and we only really reasonably have 10 to 12 years to stop it.
[01:55:15.830 --> 01:55:20.831]  Um, I would say that that's probably accurate.
[01:55:20.831 --> 01:55:22.451]  Oh yeah, much less!
[01:55:22.451 --> 01:55:24.411]  How much less?
[01:55:24.411 --> 01:55:25.652]  Not 12 years!
[01:55:25.652 --> 01:55:27.092]  How many years would you say?
[01:55:27.092 --> 01:55:27.392]  Less.
[01:55:28.627 --> 01:55:33.909]  If I was to give a number approximation, I would probably say between four and five years.
[01:55:33.909 --> 01:55:36.651]  Four and five years until what happens?
[01:55:36.651 --> 01:55:37.931]  Or seven years.
[01:55:37.931 --> 01:55:43.094]  But until things just start to fall apart.
[01:55:43.094 --> 01:55:43.434]  Drought.
[01:55:44.963 --> 01:55:48.747]  We've cut down forests and crops.
[01:55:48.747 --> 01:55:56.994]  I think we have less time than that, but you've got to understand, politicians will have a seat at the table of survival because of the deals that they make right now.
[01:55:56.994 --> 01:55:59.176]  How many years left do you think you have?
[01:55:59.176 --> 01:56:01.658]  Well, it depends on where you're at.
[01:56:01.658 --> 01:56:09.446]  If you're in Detroit, where it does not get very warm, you know, the seasons are... I would say you have 100 to 200 years left.
[01:56:11.367 --> 01:56:19.751]  If you live in Canada, you might have 300 years left, but if you live in Florida, or California, or Mexico in general,
[01:56:34.705 --> 01:56:38.668]  Then you are going to... Like any place near the water?
[01:56:38.668 --> 01:56:39.990]  Any place near the equator.
[01:56:39.990 --> 01:56:42.231]  Yeah, on both sides of the equator.
[01:56:42.231 --> 01:56:43.813]  You are going to suffer.
[01:56:43.813 --> 01:56:45.054]  I think it's a possibility.
[01:56:45.054 --> 01:56:50.838]  I think some organizations are starting to help us make changes, but it's a lot slower than we would like it to be.
[01:56:52.459 --> 01:56:55.181]  I feel, I think it's a possibility too.
[01:56:55.181 --> 01:57:13.849]  I know that already there are people who are dying from results of climate change around the world and I think that if the patterns continue that it's totally plausible that 10 or 12 years that that could just be something that's like a mass killer of people.
[01:57:13.849 --> 01:57:14.810]  I really don't know.
[01:57:14.810 --> 01:57:17.851]  I don't think I know enough on the matter.
[01:57:17.851 --> 01:57:19.772]  I don't know what studies have been done or anything.
[01:57:21.169 --> 01:57:23.771]  We're gonna go to the break and come back more with these idiots.
[01:57:23.771 --> 01:57:25.332]  They admit they're trying to scare people when we come back.
[01:57:25.332 --> 01:57:26.533]  Look at these headlines!
[01:57:26.533 --> 01:57:33.178]  World's leading greenhouse gas emitter, China, taps out of global climate change, bans all protests, and has cut zero carbon.
[01:57:33.178 --> 01:57:35.200]  That's only for you, stupid Americans!
[01:57:35.200 --> 01:57:40.284]  Meanwhile in England, members of the government saying eating meat should be banned like smoking, says top barrister.
[01:57:40.284 --> 01:57:42.766]  He calls for a new crime of ecocide.
[01:57:45.851 --> 01:57:52.216]  With the daily wear and tear of the environment on our skin, it's only natural that it starts to crack and take damage.
[01:57:52.216 --> 01:57:59.101]  Wind, heat, water, and age are telltale signs that it's time to start taking care of your skin.
[01:57:59.101 --> 01:58:03.805]  With the InforWar Super Silver Cream, you can keep your skin feeling silky smooth.
[01:58:04.125 --> 01:58:07.207]  And begin to heal the damages of the world around you.
[01:58:07.207 --> 01:58:23.034]  Created with ingredients like coconut oil, vitamin E, and the incredible Silver Sol formula, Infohor Silver Cream works triple duty, supporting the beautifying and protecting of the skin in a fast, non-greasy formula, small and easily stored.
[01:58:23.034 --> 01:58:29.238]  It can support dry and damaged skin to reduce fine lines and wrinkles, while smoothing and softening calluses.
[01:58:29.238 --> 01:58:31.899]  With none of the harmful ingredients found in other formulas,
[01:58:32.259 --> 01:58:36.764]  You can be sure this silver cream is hard at work, promoting the healing of your skin.
[01:58:36.764 --> 01:58:40.769]  Don't miss out on the new Silversol Powered Can't Miss Formula.
[01:58:40.769 --> 01:58:44.132]  Get the Info Wars Super Silver Cream today!
[01:58:46.733 --> 01:58:47.754]  Josh in Washington.
[01:58:47.754 --> 01:58:48.295]  You're on the air.
[01:58:48.295 --> 01:58:48.856]  Go ahead.
[01:58:48.856 --> 01:58:50.017]  Alex, God bless you.
[01:58:50.017 --> 01:58:52.600]  I have an idea for a new InfoWars t-shirt.
[01:58:52.600 --> 01:58:58.567]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[01:58:58.567 --> 01:58:59.248]  Ooh, yeah.
[01:58:59.248 --> 01:59:00.609]  Showing your brain getting fried.
[01:59:00.609 --> 01:59:02.451]  Then I have some comments on your supplements, man.
[01:59:02.451 --> 01:59:03.492]  Totally changed my life.
[01:59:03.492 --> 01:59:06.536]  I use TurboForce, BODY, AlphaPower, BrainForce.
[01:59:06.736 --> 01:59:07.537]  Yeah, I think so.
[01:59:07.537 --> 01:59:08.298]  I think so.
[01:59:08.298 --> 01:59:08.879]  I think so.
[01:59:22.033 --> 01:59:24.374]  All of these things are known to be incredible.
[01:59:24.374 --> 01:59:31.137]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[01:59:31.137 --> 01:59:33.678]  All of these are things that are like rocket fuel on the body.
[01:59:33.678 --> 01:59:36.819]  You take these bases together, then you have your foundation.
[01:59:36.819 --> 01:59:38.600]  Now you can build the big strong temple.
[01:59:38.600 --> 01:59:42.561]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[01:59:42.561 --> 01:59:45.382]  And then it funds the information war, which is so critical.
[01:59:45.382 --> 01:59:46.083]  Thank you so much.
[01:59:46.083 --> 01:59:46.603]  God bless you.
[01:59:50.057 --> 01:59:57.586]  You're listening to the Alex Jones Show.
[01:59:57.586 --> 02:00:00.289]  Waging war on corruption.
[02:00:00.289 --> 02:00:05.416]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[02:00:19.697 --> 02:00:22.419]  Ladies and gentlemen, we're back live broadcasting worldwide.
[02:00:22.419 --> 02:00:32.845]  We have Joel Skousen of World Affairs Brief, a really smart guy, to give us his view on the geopolitical machinations with Iran, Saudi Arabia, the carbon taxes, globalism, all in the next segment.
[02:00:32.845 --> 02:00:40.549]  But Savannah Hernandez, InfoWars.com, intrepid reporter, is going through a report she filed in Austin, Texas, where they say the world ends in seven years.
[02:00:40.549 --> 02:00:43.110]  We're really doing it just to scare people.
[02:00:43.110 --> 02:00:44.831]  The video's up on InfoWars.com.
[02:00:44.831 --> 02:00:45.392]  Please spread it.
[02:00:46.192 --> 02:00:49.781]  Like any key intel, because they're brainwashing these kids and terrorizing them.
[02:00:49.781 --> 02:00:50.723]  Let's go back to that report.
[02:00:54.716 --> 02:00:56.157]  I don't know what I could say really.
[02:00:56.157 --> 02:01:01.819]  I know Beto O'Rourke came forward, Alexandria Ocasio-Cortez, they said we had about 10 to 12 years to fix things before.
[02:01:01.819 --> 02:01:05.441]  I'm not sure if like either we all die or if it's irreversible.
[02:01:05.441 --> 02:01:07.882]  What do you guys think about all of those comments?
[02:01:07.882 --> 02:01:14.305]  I think it's like that amount of time until it's irreversible but once it's irreversible like we're kind of done for.
[02:01:14.305 --> 02:01:15.946]  There's nothing else we can do.
[02:01:15.946 --> 02:01:18.167]  It's kind of scare tactics sometimes but
[02:01:19.364 --> 02:01:27.850]  You kind of have to scare people to jump start them to do anything about it because like she said there is data to back it up about the way things are headed.
[02:01:27.850 --> 02:01:45.484]  I mean it is about fear and whether it's happening whether these things whether those things are going to happen in a matter of years or a matter of millions of years it's going to happen eventually so if we can scare people into making a difference now and save that for even later then
[02:01:46.582 --> 02:01:56.345]  What would you say to the people who say that climate change activists are just really extreme or overly exaggerated, saying that we're either going to burn to death or that the earth is going to flood?
[02:01:56.345 --> 02:01:57.705]  What would you say to that?
[02:01:57.705 --> 02:02:07.568]  I think that honestly, yes, there are some extremes in climate change, but I think that we need those extremes because we have such, especially in politicians, no one's really doing anything.
[02:02:07.568 --> 02:02:10.269]  So I think we have to have those extremes to have something happen.
[02:02:11.350 --> 02:02:18.904]  A lot of the times I've read news stories about how climate activists are over-exaggerated by saying we're either gonna burn up or I guess drown to death.
[02:02:18.904 --> 02:02:20.386]  What do you guys think about those claims?
[02:02:20.386 --> 02:02:23.572]  What do you guys think about those news stories that try to debunk climate change?
[02:02:24.488 --> 02:02:26.710]  Well, I think we have to pay attention to scientists.
[02:02:26.710 --> 02:02:32.374]  Science tells us that this is a real issue, and we need to pay attention and take action.
[02:02:32.374 --> 02:02:35.677]  There's no over-exaggeration.
[02:02:35.677 --> 02:02:43.423]  Many of our biggest cities are in low-lying areas that would be completely flooded if the sea level rose even just a few feet, and it will if we do nothing.
[02:02:44.324 --> 02:02:46.926]  Um, honestly, I'm not sure.
[02:02:46.926 --> 02:02:58.095]  I think it would be more plausible for it to be a bit more slow and a bit less, um, understated than us just burning to death, but we will die.
[02:02:58.095 --> 02:02:59.096]  I'm sure of it.
[02:02:59.096 --> 02:03:04.160]  Well, folks, we heard a lot of facts and statistics today and well, f**k it, we're gonna die.
[02:03:04.160 --> 02:03:06.181]  This has been Savannah Hernandez with Action 7 News.
[02:03:06.181 --> 02:03:11.025]  These people are a death cult and they just hand over their whole lives to people.
[02:03:11.025 --> 02:03:11.406]  Meanwhile,
[02:03:12.537 --> 02:03:19.243]  You have in 2003, Al Gore says, all the coastlines, everything will be flooded by 2013, and then none of it happens.
[02:03:19.243 --> 02:03:21.425]  The ice caps will all be melted, none of it happens.
[02:03:21.425 --> 02:03:25.289]  Then Obama buys a $14 million mansion right on the water in Martha's Vineyard.
[02:03:25.289 --> 02:03:28.391]  And these people, you go to them and you go, here's hundreds of times they lied.
[02:03:28.391 --> 02:03:31.154]  They go, I don't want to see that, it's all true, we're all dead.
[02:03:31.154 --> 02:03:38.380]  They just like to get into hysteria and then shine over their power to some world government where China puts out all this dirty energy.
[02:03:39.322 --> 02:03:42.559]  Ours is clean, and you talk to them and they just go, shut up racists.
[02:03:43.345 --> 02:03:49.490]  Right, and those two women actually that said, oh, this is a fear-based movement, we need to scare people into taking action.
[02:03:49.490 --> 02:03:52.032]  I actually brought up the famine forecast from 1975.
[02:03:52.032 --> 02:03:54.114]  I said, this didn't actually happen.
[02:03:54.114 --> 02:03:59.338]  Do you think it's right to scare children using these statistics, these facts?
[02:03:59.338 --> 02:04:02.440]  And they were saying, well, we need to scare people into taking action.
[02:04:02.440 --> 02:04:09.746]  We need to be extreme about it because if we're not, if we don't scare people, if we don't invoke fear into people, no one's going to do anything.
[02:04:10.046 --> 02:04:12.911]  So, as we can see, the scientists are using a lot of fake statistics.
[02:04:12.911 --> 02:04:15.836]  They're just trying to scare us into following what they want.
[02:04:15.836 --> 02:04:22.347]  And in closing, where do you, as they get more hysterical, I'm gonna ask Joel this coming up, people aren't believing it anymore.
[02:04:22.347 --> 02:04:23.749]  What's, I mean, they're just going crazy.
[02:04:24.491 --> 02:04:27.213]  Right, and I think that goes into all of our politicians.
[02:04:27.213 --> 02:04:39.501]  You know, they get so extreme that people just start waking up to it, and that's what we can hope for this as well, is that people just start waking up to it and realizing that it's not as extreme as all these fake scientists and all these fake statistics are making it seem.
[02:04:39.501 --> 02:04:41.303]  In fact, it's the opposite of what they're saying.
[02:04:41.303 --> 02:04:42.643]  We need carbon dioxide really bad.
[02:04:42.643 --> 02:04:44.104]  Well, your report's up on newswars.com.
[02:04:44.104 --> 02:04:45.766]  Can't wait to see what you do next.
[02:04:45.766 --> 02:04:46.946]  You're popping in on all the shows.
[02:04:46.946 --> 02:04:48.968]  We're developing a whole show for you if you'll do it.
[02:04:48.968 --> 02:04:50.429]  Savannah Hernandez, she's awesome.
[02:04:50.429 --> 02:04:51.670]  We'll be back with Joel Skousen.
[02:04:51.670 --> 02:04:51.990]  Stay with us.
[02:04:54.471 --> 02:04:58.833]  Banned.video is the answer to censorship.
[02:04:58.833 --> 02:05:13.861]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[02:05:14.361 --> 02:05:16.042]  We've launched it, ladies and gentlemen.
[02:05:16.042 --> 02:05:17.403]  It's now live.
[02:05:17.403 --> 02:05:19.344]  Band.Video.
[02:05:19.344 --> 02:05:26.689]  Band.Video isn't just going to be a home for Alex Jones or David Knight or Owen Schroer or Paul Watson band videos.
[02:05:26.689 --> 02:05:44.201]  We are building it to be a place where band memes are able to be posted and where a growing list of freedom-loving contributors are able to have a home free from being shut down, free from being censored, free from being silenced by big tech, the chi-coms, the Hollywood scum, and the globalists.
[02:05:44.521 --> 02:05:46.763]  Freedom of speech has a home.
[02:05:46.763 --> 02:05:49.264]  It's called Banned.Video.
[02:05:49.264 --> 02:05:53.287]  America and the world is fighting back against tyranny at Banned.Video.
[02:06:11.924 --> 02:06:17.428]  If you are receiving this transmission, you are the resistance.
[02:06:17.428 --> 02:06:24.833]  Live from the InfoWars.com studios, it's Alex Jones.
[02:06:24.833 --> 02:06:29.637]  Well, Joel Skousen is a former marine aviator.
[02:06:30.600 --> 02:06:32.101]  Vietnam era.
[02:06:32.101 --> 02:06:32.761]  He's an author.
[02:06:32.761 --> 02:06:37.802]  He's one of the top recognized experts on safe places around the world, not just the U.S.
[02:06:37.802 --> 02:06:40.143]  And he's also authored a lot of best-selling books on that subject.
[02:06:40.143 --> 02:06:46.385]  We sell the books and a boil-down film of it, Strategic Relocation, the book and the film, at infowarestore.com.
[02:06:46.385 --> 02:06:52.447]  His main site's worldaffairsbrief.com.
[02:06:52.447 --> 02:06:58.910]  He's with us for the balance of the hour, and I want to cover the waterfront here with him, the huge crisis, with one
[02:07:00.109 --> 02:07:03.130]  Half of Saudi Arabia's oil production knocked out.
[02:07:03.130 --> 02:07:05.570]  One-fifth of the world's supply.
[02:07:05.570 --> 02:07:06.790]  Proxy armies.
[02:07:06.790 --> 02:07:08.630]  India going into Kashmir.
[02:07:08.630 --> 02:07:13.931]  These giant Russian-Chinese drills that are going on.
[02:07:13.931 --> 02:07:16.312]  All the major geopolitical movements taking place.
[02:07:16.312 --> 02:07:21.853]  Looks like Bibi Netanyahu is going to be taken out of power with this new coalition government.
[02:07:21.853 --> 02:07:24.813]  He's hanging on by his fingernails, but the word is he's about to be gone.
[02:07:24.813 --> 02:07:27.374]  What does all this symbolize?
[02:07:27.374 --> 02:07:29.174]  Why are the Democrats going so insane?
[02:07:31.135 --> 02:07:33.957]  What are they going to pull out of their hat?
[02:07:33.957 --> 02:07:36.458]  They usually pull a false flag.
[02:07:36.458 --> 02:07:42.942]  There's just so much to cover here today with Joel Skousen.
[02:07:42.942 --> 02:07:53.428]  So let's dive in first to the flashpoint in the Strait of Hormuz and in the Middle East with what's really going on.
[02:07:53.428 --> 02:07:55.589]  Because we've seen freighters grabbed.
[02:07:55.589 --> 02:07:57.691]  We've seen sanctions increased.
[02:07:58.351 --> 02:08:00.452]  We've seen cruise missiles blow up.
[02:08:00.452 --> 02:08:04.075]  Again, these oil refineries, we have the rebels take credit, but then the U.S.
[02:08:04.075 --> 02:08:06.096]  says it was fired out of Iran.
[02:08:06.096 --> 02:08:14.301]  Well, Joel Skousen is an expert on a lot of these, so he can bring his wide range of knowledge together and give us his best approximation of exactly what's going on here.
[02:08:14.301 --> 02:08:16.382]  Joel, thanks for joining us.
[02:08:16.382 --> 02:08:18.103]  Thank you very much, Alex.
[02:08:18.103 --> 02:08:23.987]  The attack on the refinery in Saudi Arabia was a very, very sophisticated false flag.
[02:08:24.908 --> 02:08:49.342]  I believe they piggybacked on top of a Houthi drone attack, but the damage to the various spherical gas containment tanks could not have been done by any of the weapons that they claim Iran has or have showcased as exploded ordnance, which there's no proof that they were exploded ordnance from that area.
[02:08:50.287 --> 02:08:57.452]  What you have here, you have 14 spherical tanks that were hit in exactly the same place on every single tank.
[02:08:57.452 --> 02:09:00.474]  I mean, that is super precision.
[02:09:00.474 --> 02:09:02.755]  And none of those tanks exploded, Alex.
[02:09:02.755 --> 02:09:10.600]  I know of no weapons other than depleted uranium rounds that can enter a tank and not explode it.
[02:09:10.600 --> 02:09:17.465]  And in order to even do that, because a depleted uranium round will create a tremendous amount of heat and sparks.
[02:09:18.300 --> 02:09:24.406]  And they would have ignited the gas too, unless those tanks were empty and purged before that.
[02:09:24.406 --> 02:09:39.740]  In other words, the only fires that you see here, and they only lasted a few hours instead of days at a normal refinery fire, those were where pipeline areas were hit, probably by the Houthi drone attacks with explosive warheads.
[02:09:40.359 --> 02:09:48.584]  But what's interesting is the spherical tanks that were hit, supposedly full of gas, should have exploded even if you hit with a direct round.
[02:09:48.584 --> 02:09:57.729]  But it certainly couldn't have been hit with a cruise missile, which has an explosive warhead, couldn't have been hit with any kind of missile with an explosive warhead and not exploded.
[02:09:57.729 --> 02:10:03.412]  Even if the tanks were empty, those tanks themselves would have exploded with an explosive warhead.
[02:10:03.412 --> 02:10:05.573]  So it had to be depleted uranium rounds.
[02:10:05.573 --> 02:10:09.155]  That means either the US, Russia or China
[02:10:09.844 --> 02:10:17.369]  provided the ammunition for that attack, and Israel is the most likely candidate for having done that false flag attack.
[02:10:17.369 --> 02:10:18.810]  There's another piece of evidence, too.
[02:10:18.810 --> 02:10:19.170]  The U.S.
[02:10:19.170 --> 02:10:21.892]  says that Iran did this.
[02:10:21.892 --> 02:10:26.175]  And you've got a picture up there right now of those tanks that were not exploded.
[02:10:26.175 --> 02:10:32.339]  They all have a hole in it about, you know, a foot in diameter.
[02:10:32.339 --> 02:10:33.500]  But no explosion.
[02:10:33.500 --> 02:10:37.402]  I mean, this is impossible with today's ordinance unless those tanks were empty.
[02:10:37.402 --> 02:10:38.043]  But in any case,
[02:10:38.985 --> 02:10:42.888]  If those attacks came from Iran, they would have had to overfly all the U.S.
[02:10:42.888 --> 02:10:48.813]  naval assets in the Persian Gulf that have Aegis radars.
[02:10:48.813 --> 02:10:51.836]  Kuwait and Bahrain have major long-range radar.
[02:10:51.836 --> 02:10:52.236]  The U.S.
[02:10:52.236 --> 02:11:01.163]  has produced no radar tapes showing those assets, missiles, cruise missiles, or drones coming from Iran.
[02:11:01.163 --> 02:11:04.026]  And the reason they can't show the radar tapes is they don't exist.
[02:11:04.918 --> 02:11:06.458]  And there's no way that the U.S.
[02:11:06.458 --> 02:11:11.260]  could have missed that attack coming, which means that they could have warned Saudi Arabia.
[02:11:11.260 --> 02:11:15.141]  The entire purpose of these U.S.
[02:11:15.141 --> 02:11:21.463]  assets, or one of the three purposes, is to safeguard Saudi Arabia's oil supply.
[02:11:21.463 --> 02:11:25.724]  And so what I'm saying is that there's no way it could have come from Iran.
[02:11:25.724 --> 02:11:28.185]  I think it had to be special weapons.
[02:11:28.185 --> 02:11:32.846]  Those tanks had to be empty, which means that Saudi Arabia had to be part of the collusion
[02:11:33.727 --> 02:11:36.610]  Of letting their own oil refinery go down.
[02:11:36.610 --> 02:11:39.132]  And it's not going to be down for six months or a year.
[02:11:39.132 --> 02:11:42.235]  They now say it's going to be back up and operational in a year.
[02:11:42.235 --> 02:11:44.317]  I mean, I'm sorry, in a month.
[02:11:44.317 --> 02:11:47.860]  And that's because you see those holes in those tanks have already been cut out.
[02:11:47.860 --> 02:11:53.665]  They're re welding planks into those tanks can be operational within a couple of weeks.
[02:11:53.665 --> 02:11:57.728]  And the rest of the refinery just has holes in very, very little destruction.
[02:11:57.728 --> 02:11:59.750]  This refinery can be up and running in a month.
[02:11:59.750 --> 02:12:00.531]  So this was not
[02:12:01.303 --> 02:12:02.423]  An attack by Iran.
[02:12:02.423 --> 02:12:07.965]  This had to be a sophisticated false flag attack with a piggyback on a Houthi attack.
[02:12:07.965 --> 02:12:11.225]  And the Houthis have every reason to be attacking Saudi Arabia.
[02:12:11.225 --> 02:12:18.267]  They've been under attack from Saudi Arabia for many, many years and killing thousands of civilians.
[02:12:18.267 --> 02:12:21.748]  And so, yeah, there's a good picture of that hole in the tank right now.
[02:12:21.748 --> 02:12:25.909]  That could not have been done by an explosive warhead.
[02:12:25.909 --> 02:12:27.609]  So what was it done by then?
[02:12:27.609 --> 02:12:28.870]  Like an armor-piercing larger round?
[02:12:30.683 --> 02:12:33.045]  No, armor-piercing is explosive as well.
[02:12:33.045 --> 02:12:35.406]  This had to be depleted uranium.
[02:12:35.406 --> 02:12:37.227]  And the tank had to be empty.
[02:12:37.227 --> 02:12:38.008]  That's what I'm saying.
[02:12:38.008 --> 02:12:38.468]  Well, you're right.
[02:12:38.468 --> 02:12:44.292]  I mean, a lot of armor-piercing does have the incendiary inside of it, the little explosive, yeah.
[02:12:44.292 --> 02:12:45.353]  So let me ask you this.
[02:12:45.353 --> 02:12:49.595]  What about all the photos that are identified and look similar to Iranian drones?
[02:12:49.595 --> 02:12:54.799]  Are you saying a third-party country like Israel would actually cook up even the fake drones that look Iranian?
[02:12:55.640 --> 02:12:57.441]  No, no.
[02:12:57.441 --> 02:13:02.365]  The Iranians are supplying drones to the Houthis, and so the Houthis claim credit for this.
[02:13:02.365 --> 02:13:05.367]  They were using Iranian drones, so it's just like the U.S.
[02:13:05.367 --> 02:13:09.390]  supplying weapons to everyone around the world, and someone doesn't attack with U.S.
[02:13:09.390 --> 02:13:10.170]  weapons.
[02:13:10.170 --> 02:13:11.731]  You blame the United States?
[02:13:11.731 --> 02:13:13.733]  Well, indirectly, for supplying the weapons.
[02:13:14.355 --> 02:13:26.932]  And we've proven, and I've had the information in the World Affairs Brief from Dilyana Getansheva, the Bulgarian journalist, documenting how all of these weapons depots in ISIS are U.S.
[02:13:26.932 --> 02:13:30.156]  weapons, and you can trace their serial numbers back to U.S.
[02:13:31.918 --> 02:13:32.659]  Oh, absolutely.
[02:13:32.659 --> 02:13:33.820]  Obama let them all in.
[02:13:33.820 --> 02:13:37.162]  And of course, you and I, back three years ago, two years ago, there were all these attacks.
[02:13:37.162 --> 02:13:45.629]  We said it was false flags because the ISIS and al-Qaeda folks, al-Nusra, shot videos celebrating because they wanted to be rock stars back home.
[02:13:45.629 --> 02:13:46.970]  But our media blamed Assad.
[02:13:46.970 --> 02:13:50.132]  It later came out that, indeed, those were false flags.
[02:13:50.132 --> 02:13:54.256]  And then we got internal documents that Google sought to censor myself and Dr. Ron Paul.
[02:13:54.256 --> 02:13:56.858]  I don't know if you saw this, Mr. Skousen.
[02:13:57.538 --> 02:14:04.675]  Some of your stuff was mentioned too in the reports, that's why they wanted us off air, because they were worried when there were future false flags that we would question it.
[02:14:06.570 --> 02:14:08.191]  You know, we have good reason to question.
[02:14:08.191 --> 02:14:11.232]  As I said, there's just no way that Iran could have done this without the U.S.
[02:14:11.232 --> 02:14:13.714]  tracking and warning Saudi Arabia.
[02:14:13.714 --> 02:14:17.055]  How come the defense system was shut down?
[02:14:17.055 --> 02:14:24.879]  They've got Hawk missile bases around the... Explain that to people, because they've got missile systems.
[02:14:24.879 --> 02:14:26.960]  Even 30-year-old systems should be able to shoot these down.
[02:14:26.960 --> 02:14:28.201]  They have advanced systems, correct?
[02:14:28.956 --> 02:14:29.496]  That's correct.
