[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[01:10:24.000 --> 01:10:27.000]  They're using Al Qaeda against the U.S. to take our liberties.
[01:10:27.000 --> 01:10:29.000]  They're using them against Uganda.
[01:10:29.000 --> 01:10:36.000]  The Ugandan dictator has killed millions on record and she's out saying attack, go into Uganda
[01:10:36.000 --> 01:10:40.000]  because Joseph Coney, who hadn't been seen in five years, has a couple hundred fighters.
[01:10:40.000 --> 01:10:43.000]  I mean, it's just total war propaganda.
[01:10:43.000 --> 01:10:45.000]  With he's the new Hitler, invade Africa.
[01:10:45.000 --> 01:10:50.000]  When Africom, our once military, is now announcing just like Northcom over the U.S.,
[01:10:50.000 --> 01:10:55.000]  a jurisdiction over Africa with the U.S. invading with NATO all over Africa.
[01:10:55.000 --> 01:10:58.000]  I mean, I've got the New York Times last year saying, well, yeah,
[01:10:58.000 --> 01:11:04.000]  U.N. funded groups are slaughtering farmers to take over the land for U.N. carbon sinks.
[01:11:04.000 --> 01:11:08.000]  I mean, why aren't you on that, Angelina Jolie?
[01:11:08.000 --> 01:11:12.000]  Joseph Goebbels, if he'd have been caught, would have been tried for war propaganda
[01:11:12.000 --> 01:11:15.000]  and crimes against humanity at Nuremberg.
[01:11:15.000 --> 01:11:18.000]  The problem is the U.N. is involved in global extermination everywhere.
[01:11:18.000 --> 01:11:20.000]  The U.N. is involved in genocide and child trafficking.
[01:11:20.000 --> 01:11:21.000]  Go look it up.
[01:11:21.000 --> 01:11:26.000]  I mean, it's so criminal it'll make your head spin.
[01:11:26.000 --> 01:11:29.000]  They've twisted our military to do a lot of bad things around the world,
[01:11:29.000 --> 01:11:31.000]  but I'll tell you, nothing compared to the U.N.
[01:11:31.000 --> 01:11:33.000]  They've got a criminal force.
[01:11:33.000 --> 01:11:36.000]  The globalists have tried to get our military to do a lot of really evil stuff,
[01:11:36.000 --> 01:11:38.000]  but on the ground, they don't usually do it.
[01:11:38.000 --> 01:11:41.000]  There's some anomalies and problems with the U.N.
[01:11:41.000 --> 01:11:46.000]  You talk about just typing U.N. troops, sex crimes, sex trafficking, everywhere they go.
[01:11:46.000 --> 01:11:49.000]  I mean, it is a legion of evil.
[01:11:49.000 --> 01:11:53.000]  But it's all about the ICC and hundreds of people they've got a rest warrants out for,
[01:11:53.000 --> 01:11:57.000]  and then the U.N. usually grabs you, takes you to the Hague, then you die in your cell.
[01:11:57.000 --> 01:11:59.000]  I mean, it is a joke.
[01:11:59.000 --> 01:12:02.000]  You can't call witnesses nothing.
[01:12:02.000 --> 01:12:03.000]  What is the U.N.?
[01:12:03.000 --> 01:12:07.000]  It's just a big criminal consortium funded by these big megabanks.
[01:12:07.000 --> 01:12:09.000]  And Angelina Jolie is saying, arrest this person.
[01:12:09.000 --> 01:12:11.000]  Invade Uganda.
[01:12:11.000 --> 01:12:12.000]  Do all of this.
[01:12:12.000 --> 01:12:14.000]  The invasion is already on.
[01:12:14.000 --> 01:12:16.000]  It's like babies and incubators and stuff.
[01:12:16.000 --> 01:12:18.000]  It's just made up propaganda.
[01:12:18.000 --> 01:12:20.000]  Joseph Coney hadn't been seen in five years.
[01:12:20.000 --> 01:12:22.000]  He's some guy in the bushes so they can say,
[01:12:22.000 --> 01:12:25.000]  there's the imaginary bad man like bin Laden.
[01:12:25.000 --> 01:12:30.000]  So I'm going to tell you, under your yardstick, Angelina, you've pushed for all these wars.
[01:12:30.000 --> 01:12:32.000]  You're a U.N. envoy.
[01:12:32.000 --> 01:12:37.000]  You are more guilty than Joseph Coney of war crimes against humanity.
[01:12:37.000 --> 01:12:39.000]  I don't think you're a useful idiot.
[01:12:39.000 --> 01:12:41.000]  You're a dangerous witch.
[01:12:41.000 --> 01:12:43.000]  And I'm sick of so-called liberals.
[01:12:43.000 --> 01:12:45.000]  And they're warmongering all over the planet.
[01:12:45.000 --> 01:12:48.000]  You people are sick.
[01:12:48.000 --> 01:12:51.000]  I just got so angry I just gnashed my teeth together.
[01:12:51.000 --> 01:12:53.000]  They're like ringing.
[01:12:53.000 --> 01:12:57.000]  I mean, man, this country's in trouble.
[01:12:57.000 --> 01:12:58.000]  Now, there it is.
[01:12:58.000 --> 01:13:00.000]  Peacekeeper sex scandal lingers.
[01:13:00.000 --> 01:13:01.000]  What is that? New York Times?
[01:13:01.000 --> 01:13:03.000]  I mean, there's so many of these that come out every day.
[01:13:03.000 --> 01:13:06.000]  Folks, the globalist feed on the third world.
[01:13:06.000 --> 01:13:08.000]  They make movies like Blood Diamond.
[01:13:08.000 --> 01:13:12.000]  De Beers has a world diamond monopoly and runs all sorts of horrible stuff
[01:13:12.000 --> 01:13:15.000]  and sends mercenaries in to any country that mines their own diamonds.
[01:13:15.000 --> 01:13:19.000]  And then they make movies for the liberals and get every Hollywood star going,
[01:13:19.000 --> 01:13:21.000]  I want to invade countries that mine their own diamonds.
[01:13:21.000 --> 01:13:23.000]  The children are slaves.
[01:13:23.000 --> 01:13:24.000]  Total bull.
[01:13:24.000 --> 01:13:25.000]  It's all propaganda.
[01:13:25.000 --> 01:13:28.000]  The colonization of Africa has just continued.
[01:13:28.000 --> 01:13:30.000]  And they're exploiting it.
[01:13:30.000 --> 01:13:34.000]  So I don't want to hear all you bleeding hearts talk about how much you love Africa all day
[01:13:34.000 --> 01:13:43.000]  and how sad you are for Africa and how great Africa is.
[01:13:43.000 --> 01:13:45.000]  So tired of it.
[01:13:45.000 --> 01:13:47.000]  I don't want to attack Angelina Jolie.
[01:13:47.000 --> 01:13:51.000]  I know for a fact that Brad Pitt seen my films and reportedly,
[01:13:51.000 --> 01:13:54.000]  I'm not even going to get into it, likes him and all this stuff.
[01:13:54.000 --> 01:13:55.000]  Well, then what are you doing?
[01:13:55.000 --> 01:13:59.000]  I happen to know you guys met with Aaron Russo like five, six years ago
[01:13:59.000 --> 01:14:02.000]  before he died and watched this film and said you knew about the New World Order.
[01:14:02.000 --> 01:14:03.000]  What did you do?
[01:14:03.000 --> 01:14:06.000]  Run off and join it after you found out about it?
[01:14:06.000 --> 01:14:08.000]  I could care less about your stupid celebrity.
[01:14:08.000 --> 01:14:14.000]  I've met enough big celebrities as big as those two idiots that I could care less.
[01:14:14.000 --> 01:14:17.000]  I know that it means nothing, but to the public it means something
[01:14:17.000 --> 01:14:25.000]  and your name is being used to sell all this evil.
[01:14:25.000 --> 01:14:28.000]  And if you are a useful idiot, you better find out about the genocide in Africa.
[01:14:28.000 --> 01:14:32.000]  Bill Gates is in this Coney 2012 film where they're now getting caught up
[01:14:32.000 --> 01:14:37.000]  with the money missing and all these other problems.
[01:14:37.000 --> 01:14:40.000]  And it's just a big propaganda film for American children to get behind.
[01:14:40.000 --> 01:14:44.000]  Oh, the children, the missing ghost children.
[01:14:44.000 --> 01:14:47.000]  Oh my gosh, we've got to invade Africa to save children.
[01:14:47.000 --> 01:14:51.000]  Oh, they're banging babies' brains out outside incubators in Kuwait.
[01:14:51.000 --> 01:14:58.000]  Oh, Gaddafi's got troops fueled by viagra raping all the women.
[01:14:58.000 --> 01:15:00.000]  The bull goes on and on and on.
[01:15:00.000 --> 01:15:05.000]  Meanwhile, the United Nations all over Africa, you know when Rwanda,
[01:15:05.000 --> 01:15:09.000]  it wasn't just one group killing another, the UN on record,
[01:15:09.000 --> 01:15:12.000]  it's known in the foreign press actually slaughtered millions of people.
[01:15:12.000 --> 01:15:15.000]  The UN would get people in refugee camps and then machine gun them all.
[01:15:15.000 --> 01:15:17.000]  This is real genocide.
[01:15:17.000 --> 01:15:20.000]  This is real extermination over groups that own their own property.
[01:15:20.000 --> 01:15:22.000]  Filled with oil, diamonds and everything.
[01:15:22.000 --> 01:15:25.000]  If they try to mine one stinking diamond and sell it,
[01:15:25.000 --> 01:15:28.000]  the UN helicopters come in and murder them.
[01:15:28.000 --> 01:15:32.000]  And then I got to look at somebody posing like a liberal humanitarian,
[01:15:32.000 --> 01:15:38.000]  like Angelina Jolie telling me how Libya and Syria and Iran and African wars is good.
[01:15:38.000 --> 01:15:40.000]  I'm sick of it.
[01:15:40.000 --> 01:15:44.000]  America has been turned into a giant engine of evil worldwide.
[01:15:44.000 --> 01:15:45.000]  So has Europe.
[01:15:45.000 --> 01:15:47.000]  But we're going to be looted and hijacked and destroyed.
[01:15:47.000 --> 01:15:51.000]  Our liberties are being burned up by the very same financial interests
[01:15:51.000 --> 01:15:53.000]  that have hijacked our country.
[01:15:53.000 --> 01:15:55.000]  Now I'm going directly to your phone call straight ahead.
[01:15:55.000 --> 01:15:57.000]  Then Greg Palace is coming up.
[01:15:57.000 --> 01:16:21.000]  I'm fired up about freedom.
[01:16:58.000 --> 01:17:03.000]  Hi folks, this is Alex Jones.
[01:17:03.000 --> 01:17:08.000]  I'm looking for people that have the wisdom to spot savings, opportunity and recognized risk.
[01:17:08.000 --> 01:17:10.000]  Saving means to make money.
[01:17:10.000 --> 01:17:13.000]  The Calben Pure Soap Company can save you thousands of dollars
[01:17:13.000 --> 01:17:17.000]  and give you good old fashioned real soaps that are triple concentrated
[01:17:17.000 --> 01:17:19.000]  and twice as good as what you're using now.
[01:17:19.000 --> 01:17:24.000]  Soaps made from vegetable and coconut oils that contain no useless dyes,
[01:17:24.000 --> 01:17:27.000]  perfumes, deodorants or antibacterials.
[01:17:27.000 --> 01:17:30.000]  Your risk is the hundreds of hazardous toxic detergents
[01:17:30.000 --> 01:17:35.000]  that give you rashes, itching sores and deteriorating clothing called lint.
[01:17:35.000 --> 01:17:38.000]  If you want something better, if you want something you've never had before,
[01:17:38.000 --> 01:17:40.000]  you've had to do something you've never done before.
[01:17:40.000 --> 01:17:45.000]  Getting a free catalog is easy by calling 800-340-7091
[01:17:45.000 --> 01:17:48.000]  or see Calben on the web at 5starsoap.com.
[01:17:48.000 --> 01:17:53.000]  Take charge of your health now by calling 800-340-7091
[01:17:53.000 --> 01:17:56.000]  or see Calben on the web at 5starsoap.com.
[01:18:23.000 --> 01:18:27.000]  We're giving you up to 50% compared to other poor quality food companies.
[01:18:27.000 --> 01:18:31.000]  The new Alex Jones Quick Fixed Family Pack saves you so much money,
[01:18:31.000 --> 01:18:35.000]  the savings from eating this food will actually help you pay your other bills.
[01:18:35.000 --> 01:18:39.000]  No matter what effect the Middle East crisis or the crashing economy have,
[01:18:39.000 --> 01:18:43.000]  you'll have food as delicious tonight as 25 years from now.
[01:18:43.000 --> 01:18:48.000]  Order now for 50% savings and free shipping on these affordable family packs.
[01:18:48.000 --> 01:18:54.000]  Call 800-409-5633 or eFoodsDirect.com slash Alex.
[01:18:54.000 --> 01:19:00.000]  Call 800-409-5633 or eFoodsDirect.com slash Alex.
[01:19:00.000 --> 01:19:03.000]  Hi folks, this is Alex Jones.
[01:19:03.000 --> 01:19:08.000]  I'm looking for people that have the wisdom to spot savings, opportunity and recognized risk.
[01:19:08.000 --> 01:19:10.000]  Saving means to make money.
[01:19:10.000 --> 01:19:13.000]  The Calben Pure Soap Company can save you thousands of dollars
[01:19:13.000 --> 01:19:17.000]  and give you good old fashioned real soaps that are triple concentrated
[01:19:17.000 --> 01:19:19.000]  twice as good as what you're using now.
[01:19:19.000 --> 01:19:24.000]  Soaps made from vegetable and coconut oils that contain no useless dyes,
[01:19:24.000 --> 01:19:27.000]  perfumes, deodorants or antibacterials.
[01:19:27.000 --> 01:19:30.000]  Your risk is the hundreds of hazardous toxic detergents
[01:19:30.000 --> 01:19:35.000]  that give you rashes, itching sores and deteriorating clothing called lint.
[01:19:35.000 --> 01:19:38.000]  If you want something better, if you want something you've never had before,
[01:19:38.000 --> 01:19:40.000]  you have to do something you've never done before.
[01:19:40.000 --> 01:19:45.000]  Getting a free catalog is easy by calling 800-340-7091
[01:19:45.000 --> 01:19:48.000]  or see Calben on the Web at 5starsoap.com.
[01:19:48.000 --> 01:19:53.000]  Take charge of your health now by calling 800-340-7091
[01:19:53.000 --> 01:20:16.000]  or see Calben on the Web at 5starsoap.com.
[01:20:23.000 --> 01:20:31.000]  They do it everywhere because they have diplomatic immunity.
[01:20:31.000 --> 01:20:34.000]  They can commit crimes, rapes, murders, deal drugs.
[01:20:34.000 --> 01:20:38.000]  Who made the UN above the law worldwide?
[01:20:38.000 --> 01:20:41.000]  Well, global government makes itself above the law.
[01:20:41.000 --> 01:20:43.000]  The big mega banks are too big to fail.
[01:20:43.000 --> 01:20:45.000]  They set the rules.
[01:20:45.000 --> 01:20:47.000]  That's what global government is.
[01:20:47.000 --> 01:20:51.000]  It's a select group of mafia insiders above the law.
[01:20:51.000 --> 01:20:56.000]  And they pass all these tyrannical laws to make you a criminal.
[01:20:56.000 --> 01:20:58.000]  And I'm tired of it.
[01:20:58.000 --> 01:20:59.000]  The globalists are evil.
[01:20:59.000 --> 01:21:01.000]  They're the greatest evil force on this planet.
[01:21:01.000 --> 01:21:04.000]  Does it mean every time they're attacking somebody that the victim is good?
[01:21:04.000 --> 01:21:05.000]  No.
[01:21:05.000 --> 01:21:07.000]  But it's all part of their global plan.
[01:21:07.000 --> 01:21:09.000]  National sovereignty is a firewall.
[01:21:09.000 --> 01:21:14.000]  And if you don't have that, their reign is going to be complete and they are very wicked.
[01:21:14.000 --> 01:21:19.000]  So go watch my video and my special report about the UN murdering people in Mass in Uganda.
[01:21:19.000 --> 01:21:23.000]  And Angelina Jolie supporting that invasion.
[01:21:23.000 --> 01:21:26.000]  Headline, arrest Angelina Jolie for war crimes.
[01:21:26.000 --> 01:21:27.000]  And I mean it.
[01:21:27.000 --> 01:21:30.000]  She is a Joseph Goebbels for these people.
[01:21:30.000 --> 01:21:32.000]  We are calling you out.
[01:21:32.000 --> 01:21:33.000]  All right, let's hurry.
[01:21:33.000 --> 01:21:35.000]  I've got like 12 phone calls here.
[01:21:35.000 --> 01:21:38.000]  We just opened the phone system for about 30 seconds and got that many.
[01:21:38.000 --> 01:21:40.000]  Rick in San Diego, you're on the air.
[01:21:40.000 --> 01:21:41.000]  Welcome.
[01:21:41.000 --> 01:21:42.000]  Hi, Alex.
[01:21:42.000 --> 01:21:43.000]  Prison Planet TV member.
[01:21:43.000 --> 01:21:45.000]  Very appreciative of your fine work.
[01:21:45.000 --> 01:21:46.000]  Thank you, sir.
[01:21:46.000 --> 01:21:47.000]  Just a single point, Alex.
[01:21:47.000 --> 01:21:51.000]  Can I listen to you every day, you know, and I really try to, you know, pay attention to
[01:21:51.000 --> 01:21:52.000]  what you're saying.
[01:21:52.000 --> 01:21:58.000]  And what occurs to me is when the masses of people realize what's going on with 9-11,
[01:21:58.000 --> 01:22:03.000]  when they come to understand widespread what's going on, that's the big point I'm getting
[01:22:03.000 --> 01:22:05.000]  from everything you're telling me.
[01:22:05.000 --> 01:22:09.000]  Because when I first heard you say 9-11 was an inside job, it took me back and I'm like,
[01:22:09.000 --> 01:22:10.000]  how could that be true?
[01:22:10.000 --> 01:22:12.000]  Because I deal with evidence for a living.
[01:22:12.000 --> 01:22:14.000]  I present, you know, evidence is what I do.
[01:22:14.000 --> 01:22:18.000]  And then I started to look at it and when you take the emotion out of it and you actually
[01:22:18.000 --> 01:22:24.000]  look at it, it lends itself to very objective analysis and it's beyond any reasonable doubt.
[01:22:24.000 --> 01:22:25.000]  Sure.
[01:22:25.000 --> 01:22:29.000]  It's not saying some Muslim extremists aren't bad or aren't on the payroll.
[01:22:29.000 --> 01:22:34.000]  The fact is the government used those attacks to take our liberties and was involved intimately.
[01:22:34.000 --> 01:22:38.000]  And the money to make for the military wars, industrial complex.
[01:22:38.000 --> 01:22:40.000]  And the oil and everything.
[01:22:40.000 --> 01:22:42.000]  And what is that evidence?
[01:22:42.000 --> 01:22:49.000]  I mean, it breaks down to very simple particles, which is the implosion of building 7 that
[01:22:49.000 --> 01:22:50.000]  was never hit by aircraft.
[01:22:50.000 --> 01:22:55.000]  High Jackers trained at U.S. bases, high Jackers given visas into the U.S., just like the Christmas
[01:22:55.000 --> 01:22:58.000]  Day underwear bomber, on and on and on.
[01:22:58.000 --> 01:22:59.000]  And there's just so much of it.
[01:22:59.000 --> 01:23:01.000]  Let me say I know about a tenth of what you know.
[01:23:01.000 --> 01:23:03.000]  I'm not trying to say I know a lot about it.
[01:23:03.000 --> 01:23:05.000]  Oh no, I wasn't like showing off with info.
[01:23:05.000 --> 01:23:06.000]  The problem is there's too much info.
[01:23:06.000 --> 01:23:07.000]  Yeah, yeah, yeah.
[01:23:07.000 --> 01:23:09.000]  What do you think the biggest smoking guns are?
[01:23:09.000 --> 01:23:12.000]  The biggest smoking gun to me is building 7 and how it imploded.
[01:23:12.000 --> 01:23:15.000]  You've made the point many times that it fell into itself.
[01:23:15.000 --> 01:23:19.000]  Sir, CNN said, as they did it, they're about to blow it up.
[01:23:19.000 --> 01:23:25.000]  I heard CBS Radio that day say they're going to bring down building 7 for everybody's safety.
[01:23:25.000 --> 01:23:27.000]  And then Silverstein said we made a decision to pull it.
[01:23:27.000 --> 01:23:33.000]  Yeah, I mean, I talked to the cops that were there by name on the show who were on the
[01:23:33.000 --> 01:23:35.000]  CNN footage who heard the countdown.
[01:23:35.000 --> 01:23:36.000]  Oh yeah.
[01:23:36.000 --> 01:23:38.000]  I've had the cops on the show.
[01:23:38.000 --> 01:23:40.000]  And it housed CIA records.
[01:23:40.000 --> 01:23:45.000]  But you've also made the point that the other smoking guns are the intact passports found
[01:23:45.000 --> 01:23:46.000]  in Byrne Rubble.
[01:23:46.000 --> 01:23:49.000]  Yeah, two magic passports found that day by the FBI.
[01:23:49.000 --> 01:23:50.000]  Who believes that?
[01:23:50.000 --> 01:23:52.000]  How do you reconcile that with logic?
[01:23:52.000 --> 01:23:57.000]  And then, of course, the put options taken out on the market the day before.
[01:23:57.000 --> 01:24:00.000]  And Marvin Bush being the head of security until the day before?
[01:24:00.000 --> 01:24:05.000]  Yeah, and then one of the people from one of the agencies said we were mobilized to come out before.
[01:24:05.000 --> 01:24:08.000]  Yeah, that was Kennedy, the deputy head of FEMA.
[01:24:08.000 --> 01:24:10.000]  And then he said, oh, I was wrong.
[01:24:10.000 --> 01:24:11.000]  And then later it came out.
[01:24:11.000 --> 01:24:12.000]  It was true.
[01:24:12.000 --> 01:24:15.000]  It was Operation Tripod 2, which was a drill of attacks on the towers.
[01:24:15.000 --> 01:24:18.000]  So they'd already moved the emergency center out to mobile trucks the day before.
[01:24:18.000 --> 01:24:20.000]  I appreciate your call.
[01:24:20.000 --> 01:24:21.000]  Thank you, Allen.
[01:24:21.000 --> 01:24:22.000]  Thank you.
[01:24:22.000 --> 01:24:23.000]  God bless you.
[01:24:23.000 --> 01:24:24.000]  God bless you.
[01:24:24.000 --> 01:24:25.000]  Folks, this is not a game.
[01:24:25.000 --> 01:24:28.000]  I interviewed the deputy head of emergency management and he talked about bombs in building 7.
[01:24:28.000 --> 01:24:30.000]  He was dead two weeks later.
[01:24:30.000 --> 01:24:33.000]  I mean, they've killed quite a few people like that on the show.
[01:24:33.000 --> 01:24:36.000]  I'm only alive by the grace of God in your prayers.
[01:24:36.000 --> 01:24:39.000]  Those people knew how real this was.
[01:24:39.000 --> 01:24:41.000]  And I may just have palace on for like one segment.
[01:24:41.000 --> 01:24:42.000]  I'll get to your calls no matter what happens.
[01:24:42.000 --> 01:24:43.000]  I'm going to do it.
[01:24:43.000 --> 01:24:44.000]  I'm going to do it.
[01:24:44.000 --> 01:24:46.000]  Martin in Chicago, you're on the air.
[01:24:46.000 --> 01:24:47.000]  Go ahead.
[01:24:47.000 --> 01:24:48.000]  Hi, Alex.
[01:24:48.000 --> 01:24:49.000]  Welcome.
[01:24:49.000 --> 01:24:51.000]  Time was for a prison planet number.
[01:24:51.000 --> 01:24:52.000]  Thank you.
[01:24:52.000 --> 01:24:54.000]  I was just wondering why you haven't been covering.
[01:24:54.000 --> 01:24:55.000]  I don't know if you have or not.
[01:24:55.000 --> 01:24:59.000]  Maybe you have, but the Fukushima could have been a false flag.
[01:24:59.000 --> 01:25:04.000]  Even like Adam says a big article on his site back in June.
[01:25:04.000 --> 01:25:06.000]  The problem is I can't prove that one.
[01:25:06.000 --> 01:25:09.000]  I mean, look, it got hit by a tsunami and an earthquake.
[01:25:09.000 --> 01:25:11.000]  The system's all failed.
[01:25:11.000 --> 01:25:15.000]  And I haven't seen evidence of a false flag.
[01:25:15.000 --> 01:25:17.000]  I'm not saying those that are wrong to do.
[01:25:17.000 --> 01:25:20.000]  I only go with false flag when I get incontrovertible evidence.
[01:25:20.000 --> 01:25:24.000]  Well, the reactor four was in a total shutdown with being totally retrofitted.
[01:25:24.000 --> 01:25:25.000]  That's proven.
[01:25:25.000 --> 01:25:28.000]  There's a guy with photos like about three or four days before that happened.
[01:25:28.000 --> 01:25:34.000]  So that could not have possibly blown up due to, you know, the tidal wave.
[01:25:34.000 --> 01:25:36.000]  That's just one of the things that they're talking about.
[01:25:36.000 --> 01:25:41.000]  And they're saying that professionals have come out and said that if a 9.0 quake actually did happen,
[01:25:41.000 --> 01:25:44.000]  that close to Japan, the whole country would have been leveled.
[01:25:44.000 --> 01:25:48.000]  And supposedly there is very little building damage before the tsunami hit.
[01:25:48.000 --> 01:25:52.000]  So how could that have been a 9.0 quake?
[01:25:52.000 --> 01:25:57.000]  You know, the only evidence of that, and you're right about one of the reactors being in cold shutdowns,
[01:25:57.000 --> 01:25:58.000]  how did it melt down?
[01:25:58.000 --> 01:25:59.000]  Which it did.
[01:25:59.000 --> 01:26:02.000]  And I've had physicists on to try to explain that.
[01:26:02.000 --> 01:26:08.000]  Look, all I'm saying is 9.11 total staged event.
[01:26:08.000 --> 01:26:13.000]  USS Liberty Stage, Gulf of Tonkin Stage, Ajax Stage.
[01:26:13.000 --> 01:26:18.000]  As for Fukushima, I mean, they've had reactors totally melt down in the U.S. before,
[01:26:18.000 --> 01:26:22.000]  the one in Southern California in the 50s.
[01:26:22.000 --> 01:26:23.000]  And we didn't know until the 80s.
[01:26:23.000 --> 01:26:26.000]  I mean, you know, real things do happen.
[01:26:26.000 --> 01:26:27.000]  I think it's an interesting point.
[01:26:27.000 --> 01:26:28.000]  I'll have to look into it.
[01:26:28.000 --> 01:26:29.000]  Thank you so much for the call.
[01:26:29.000 --> 01:26:31.000]  Shane in Germany, Deutschland.
[01:26:31.000 --> 01:26:33.000]  Shane, you're on the air.
[01:26:33.000 --> 01:26:34.000]  Hi, yeah.
[01:26:34.000 --> 01:26:39.000]  I'm a member of one of two battalions of Apaches in Germany right now.
[01:26:39.000 --> 01:26:42.000]  And I just want to tell you that we're wide awake.
[01:26:42.000 --> 01:26:47.000]  I got about 20 guys we're working on trying to understand what kind of legal recourse we have
[01:26:47.000 --> 01:26:50.000]  before asked to follow illegal orders.
[01:26:50.000 --> 01:26:56.000]  And, you know, I worry a lot of stuff from you guys.
[01:26:56.000 --> 01:26:59.000]  I've got, you know, the citizen's rulebook, but we don't have a soldier's rulebook.
[01:26:59.000 --> 01:27:02.000]  And a lot of us are ignorant or working hard.
[01:27:02.000 --> 01:27:06.000]  Well, you know, until the 50s, you were given a rulebook that said you weren't to follow illegal orders.
[01:27:06.000 --> 01:27:08.000]  Look, you've got to make your own decision.
[01:27:08.000 --> 01:27:13.000]  The impeachment's been introduced against Obama for trying to launch these wars without Congress.
[01:27:13.000 --> 01:27:14.000]  It is illegal.
[01:27:14.000 --> 01:27:17.000]  I've had Colonel Schaefer on to say it is treason and is illegal.
[01:27:17.000 --> 01:27:19.000]  He's still in the military.
[01:27:19.000 --> 01:27:20.000]  So he's risking himself.
[01:27:20.000 --> 01:27:21.000]  You notice they ignored that.
[01:27:21.000 --> 01:27:24.000]  There comes a time where you just can't shut up anymore.
[01:27:24.000 --> 01:27:26.000]  And if you do it, I do it in mass.
[01:27:26.000 --> 01:27:28.000]  I do it politely.
[01:27:28.000 --> 01:27:34.000]  I would use the legislation, H. Rez 107 to point out it's a high crime of misdemeanor.
[01:27:34.000 --> 01:27:38.000]  Your commander-in-chief says he takes orders from the UN, not Congress, soldier.
[01:27:38.000 --> 01:27:45.000]  If you're an officer who commissioned you to Congress, who's your boss, the UN or Congress?
[01:27:45.000 --> 01:27:47.000]  My boss is the American people.
[01:27:47.000 --> 01:27:50.000]  That's right. And who do they elect, the Congress?
[01:27:50.000 --> 01:27:51.000]  That's right.
[01:27:51.000 --> 01:27:52.000]  The Congress has the war powers.
[01:27:52.000 --> 01:27:54.000]  The entity that we have. That's right.
[01:27:54.000 --> 01:27:57.000]  I don't even agree with the war powers.
[01:27:57.000 --> 01:28:03.000]  But my heart is elevated higher than it's ever been before, just talking to right now on this program.
[01:28:03.000 --> 01:28:07.000]  And I'm telling you right now, we've got probably 25% of this Apache Battalion.
[01:28:07.000 --> 01:28:09.000]  It's former Rangers and ground pounders.
[01:28:09.000 --> 01:28:11.000]  And these guys aren't going to do this.
[01:28:11.000 --> 01:28:12.000]  Well, let me ask you the sense of them.
[01:28:12.000 --> 01:28:14.000]  Why are they really concerned?
[01:28:14.000 --> 01:28:16.000]  Why are they waking up?
[01:28:16.000 --> 01:28:18.000]  You know, I've tried to figure that out.
[01:28:18.000 --> 01:28:21.000]  I was marginalized for probably two and a half years.
[01:28:21.000 --> 01:28:29.000]  When I got back from my first deployment in Iraq, I felt like I was part of the German Luftwaffe over Spain.
[01:28:29.000 --> 01:28:32.000]  Practicing the war machine, trying to find, you know...
[01:28:32.000 --> 01:28:34.000]  I tell you what, Greg Pallas is coming up.
[01:28:34.000 --> 01:28:36.000]  Sirs, Greg Pallas is coming up.
[01:28:36.000 --> 01:28:39.000]  And I want to have you finish on the other side before we go to Greg, okay?
[01:28:39.000 --> 01:28:40.000]  Roger that.
[01:28:40.000 --> 01:28:41.000]  Okay, Roger that.
[01:28:41.000 --> 01:28:42.000]  Don't hang up.
[01:28:42.000 --> 01:28:44.000]  Shane in Germany, then we'll get to Greg Pallas.
[01:28:44.000 --> 01:28:48.000]  Then Brian, Joey, Roger, Stacy, Alexander, Karen, Cody, Nicolette.
[01:28:48.000 --> 01:28:53.000]  That'll be it for calls, but I've got to come back and let him finish up.
[01:28:53.000 --> 01:29:18.000]  Because I've talked to a lot of military that say they will not go under UN command.
[01:29:23.000 --> 01:29:26.000]  I've told myself, fight off cancer and be healthy.
[01:29:26.000 --> 01:29:32.000]  I then searched out the best vitamin and mineral company out there and discovered Young Jevity.
[01:29:32.000 --> 01:29:36.000]  The Young Jevity products are designed to give you the real nutrition you need.
[01:29:36.000 --> 01:29:40.000]  And once you've got that, you don't have to eat as much to be satisfied.
[01:29:40.000 --> 01:29:46.000]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[01:29:46.000 --> 01:29:47.000]  Check it out for yourself.
[01:29:47.000 --> 01:29:48.000]  It's incredible.
[01:29:48.000 --> 01:29:57.000]  Go to infowarseteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[01:29:57.000 --> 01:30:18.000]  That's infowarseteam.com.
[01:30:27.000 --> 01:30:28.000]  And here's the best part.
[01:30:28.000 --> 01:30:31.000]  These seeds have not been genetically modified in any way.
[01:30:31.000 --> 01:30:35.000]  And you actually get enough seeds to plant a full acre crisis garden.
[01:30:35.000 --> 01:30:38.000]  So visit them today at survivalseedbank.com.
[01:30:38.000 --> 01:30:45.000]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[01:30:45.000 --> 01:30:49.000]  That's 877-327-0365.
[01:30:49.000 --> 01:30:54.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:30:54.000 --> 01:30:57.000]  This is Alex Jones for survivalseedbank.com.
[01:31:25.000 --> 01:31:34.000]  It also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:31:34.000 --> 01:31:42.000]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
