whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
[02:03:41.820 --> 02:03:44.540]   And if the Democrats symbolically
[02:03:44.540 --> 02:03:47.420]   think destroying me will resurrect
[02:03:47.420 --> 02:03:50.300]   them, that's great news that that's
[02:03:50.300 --> 02:03:53.020]   the 2020 re-election operation,
[02:03:53.020 --> 02:03:55.500]   is to have Sandy Hook lawsuits going.
[02:03:55.500 --> 02:03:56.300]   It's come out,
[02:03:56.300 --> 02:03:57.980]   they admit it in newspapers,
[02:03:57.980 --> 02:03:59.980]   to try to have it timed to have jury
[02:03:59.980 --> 02:04:01.820]   trials going against me during
[02:04:01.820 --> 02:04:03.900]   the 2020 election in about a year
[02:04:03.900 --> 02:04:04.620]   and a half.
[02:04:04.620 --> 02:04:09.260]   To make that make Trump look bad.
[02:04:09.260 --> 02:04:11.100]   How is that going to fly without
[02:04:11.100 --> 02:04:12.780]   they twist things and lie and
[02:04:12.780 --> 02:04:13.980]   deceive the media and
[02:04:13.980 --> 02:04:16.700]   the Democrats using the poor families?
[02:04:16.700 --> 02:04:17.980]   How is that going to fly?
[02:04:19.980 --> 02:04:21.340]   When you've got the peace deals,
[02:04:21.340 --> 02:04:22.460]   the economy coming back and
[02:04:22.460 --> 02:04:23.820]   getting rid of minimum sentencing
[02:04:23.820 --> 02:04:25.020]   with targets black people and
[02:04:25.020 --> 02:04:26.220]   all these positive things and
[02:04:26.220 --> 02:04:27.100]   taking care of the VA.
[02:04:27.100 --> 02:04:28.460]   How is that going to work?
[02:04:28.460 --> 02:04:29.420]   Let's go out to break with why
[02:04:29.420 --> 02:04:29.980]   they hate us.
[02:04:29.980 --> 02:04:31.180]   Just a few seconds of us sharing
[02:04:31.180 --> 02:04:32.300]   those glasses together.
[02:04:32.300 --> 02:04:33.100]   Here's why they hate us.
[02:04:33.100 --> 02:04:35.900]   [MUSIC]
[02:04:35.900 --> 02:04:36.620]   >> They're back,
[02:04:36.620 --> 02:04:38.220]   they're deplorable, that's a lie.
[02:04:38.220 --> 02:04:39.780]   >> That's what they don't like,
[02:04:39.780 --> 02:04:40.940]   ladies and gentlemen,
[02:04:40.940 --> 02:04:42.540]   they don't like our winning.
[02:04:42.540 --> 02:04:44.140]   We'll be right back on the other
[02:04:44.140 --> 02:04:44.640]   side.
[02:04:44.640 --> 02:04:54.640]   [MUSIC]
[02:04:54.640 --> 02:04:58.320]   >> Nourish a probiotic-friendly
[02:04:58.320 --> 02:05:00.080]   environment in your gut with
[02:05:00.080 --> 02:05:02.720]   prebiotic fiber by InfoWars Life.
[02:05:02.720 --> 02:05:05.680]   Help the good bacteria thrive and
[02:05:05.680 --> 02:05:07.840]   support overall digestive health
[02:05:07.840 --> 02:05:09.760]   with our specially formulated
[02:05:09.760 --> 02:05:12.080]   prebiotic fiber, a mixture of
[02:05:12.080 --> 02:05:13.840]   clinically studied and organic
[02:05:13.840 --> 02:05:15.920]   acacia, fruit, and flax fiber.
[02:05:15.920 --> 02:05:18.880]   Prebiotic fiber is soluble fiber
[02:05:18.880 --> 02:05:20.640]   that ferments in the gut to help
[02:05:20.640 --> 02:05:22.640]   feed good bacteria, which helps
[02:05:22.640 --> 02:05:25.200]   you digest food, absorb nutrients,
[02:05:25.200 --> 02:05:26.720]   and even support your immune
[02:05:26.720 --> 02:05:27.520]   system.
[02:05:27.520 --> 02:05:29.360]   InfoWars Life's cutting-edge
[02:05:29.360 --> 02:05:30.960]   formula only brings you the
[02:05:30.960 --> 02:05:32.880]   highest quality organic and
[02:05:32.880 --> 02:05:34.400]   clinically studied ingredients.
[02:05:34.400 --> 02:05:37.200]   Cheap prebiotic fibers are used up
[02:05:37.200 --> 02:05:39.040]   only at the beginning of the colon,
[02:05:39.040 --> 02:05:41.440]   but our premium organic acacia
[02:05:41.440 --> 02:05:43.520]   fiber is slowly digested by
[02:05:43.520 --> 02:05:45.680]   the good bacteria throughout the
[02:05:45.680 --> 02:05:47.920]   entire colon for maximum
[02:05:47.920 --> 02:05:49.520]   prebiotic effect.
[02:05:49.520 --> 02:05:51.920]   Head to InfoWarsLife.com or
[02:05:51.920 --> 02:05:55.040]   call 1-888-253-3139.
[02:05:55.040 --> 02:06:01.760]   [MUSIC]
[02:06:01.760 --> 02:06:03.200]   >> So you've been on YouTube for
[02:06:03.200 --> 02:06:04.240]   years and you don't know who I am.
[02:06:04.240 --> 02:06:12.080]   [MUSIC]
[02:06:12.080 --> 02:06:13.600]   I'm primitive, I'm real,
[02:06:13.600 --> 02:06:14.720]   I know the enemy.
[02:06:14.720 --> 02:06:16.000]   And if we can have the spirit of
[02:06:16.000 --> 02:06:17.920]   normal humanity spread, it's over
[02:06:17.920 --> 02:06:18.640]   for the globalist.
[02:06:18.640 --> 02:06:22.080]   You'll never, never defeat
[02:06:22.080 --> 02:06:23.120]   the human spirit.
[02:06:23.120 --> 02:06:25.440]   You'll never defeat God.
[02:06:25.440 --> 02:06:26.960]   You'll never win.
[02:06:26.960 --> 02:06:28.480]   [MUSIC]
[02:06:28.480 --> 02:06:29.760]   We know who they are and
[02:06:29.760 --> 02:06:30.640]   we're sick of them.
[02:06:30.640 --> 02:06:36.960]   [MUSIC]
[02:06:36.960 --> 02:06:37.840]   >> You guys know who he is?
[02:06:37.840 --> 02:06:39.200]   You know Alex Jones has InfoWars?
[02:06:39.200 --> 02:06:40.240]   >> Who are you?
[02:06:40.240 --> 02:06:41.200]   >> Greg Popperlo.
[02:06:41.200 --> 02:06:41.920]   >> Alex Jones.
[02:06:41.920 --> 02:06:42.800]   >> Alex Jones.
[02:06:42.800 --> 02:06:43.520]   >> Alex Jones.
[02:06:43.520 --> 02:06:44.480]   >> Alex Jones.
[02:06:44.480 --> 02:06:46.160]   >> Alex Jones for Alex Jones.
[02:06:46.160 --> 02:06:47.040]   >> Alex Jones.
[02:06:47.040 --> 02:06:48.000]   >> From InfoWars.
[02:06:48.000 --> 02:06:48.800]   >> InfoWars.
[02:06:48.800 --> 02:06:49.440]   >> Yeah.
[02:06:49.440 --> 02:06:50.960]   >> But did that stop him?
[02:06:50.960 --> 02:06:53.680]   No, it did not.
[02:06:53.680 --> 02:06:55.920]   He kept going, okay?
[02:06:55.920 --> 02:06:57.680]   And just it went everywhere.
[02:06:57.680 --> 02:06:59.040]   >> The more they abuse you,
[02:06:59.040 --> 02:07:01.360]   the more you enjoy it,
[02:07:01.360 --> 02:07:03.440]   just like the Stockholm Syndrome.
[02:07:03.440 --> 02:07:06.640]   And so that's why the joke is on you.
[02:07:06.640 --> 02:07:08.320]   And that's why it's going to continue.
[02:07:08.320 --> 02:07:16.880]   [MUSIC]
[02:07:16.880 --> 02:07:19.120]   >> Repent now, repent now.
[02:07:19.120 --> 02:07:21.120]   I know your mustache is cool.
[02:07:21.120 --> 02:07:23.280]   You got little gold-framed glasses.
[02:07:23.280 --> 02:07:24.880]   You scare me so bad.
[02:07:24.880 --> 02:07:32.000]   >> [LAUGH]
[02:07:32.000 --> 02:07:34.320]   >> Live from Austin, Texas,
[02:07:34.320 --> 02:07:36.720]   broadcasting worldwide,
[02:07:36.720 --> 02:07:38.400]   it's Alex Jones.
[02:07:38.400 --> 02:07:40.000]   >> All right, Dr.
[02:07:40.000 --> 02:07:43.200]   Shiva is running against the fake Indian,
[02:07:43.200 --> 02:07:46.480]   the real Indian is running against her.
[02:07:46.480 --> 02:07:47.200]   They've been demonizing him,
[02:07:47.200 --> 02:07:48.560]   trying to ban his free speech.
[02:07:48.560 --> 02:07:49.840]   He's coming up next segment.
[02:07:49.840 --> 02:07:52.400]   He's got exclusive breaking news for us.
[02:07:52.400 --> 02:07:54.480]   He'll ride shotgun covering the waterfront
[02:07:54.480 --> 02:07:56.080]   for 45 minutes of the hour.
[02:07:56.080 --> 02:07:57.120]   We're going to break here in about
[02:07:57.120 --> 02:07:57.680]   eight minutes.
[02:07:57.680 --> 02:08:00.160]   Before I go any further,
[02:08:00.160 --> 02:08:01.520]   there's a lot of news here
[02:08:01.520 --> 02:08:03.920]   that I haven't gotten to.
[02:08:03.920 --> 02:08:05.840]   And you've got the AG report coming out.
[02:08:06.560 --> 02:08:08.960]   And Tom Fenton of Judicial Watch
[02:08:08.960 --> 02:08:10.800]   reportedly has already seen it.
[02:08:10.800 --> 02:08:11.600]   And it's what we thought.
[02:08:11.600 --> 02:08:13.840]   It's a whitewash, but
[02:08:13.840 --> 02:08:15.440]   it's still a devastating whitewash.
[02:08:15.440 --> 02:08:18.240]   because you can paint a big old,
[02:08:18.240 --> 02:08:18.960]   you know what,
[02:08:18.960 --> 02:08:20.960]   steaming pile of manure white.
[02:08:20.960 --> 02:08:22.480]   It's still stinking pile of manure.
[02:08:22.480 --> 02:08:25.280]   And the whitewash ain't working.
[02:08:25.280 --> 02:08:27.280]   And so we pretty much even CNN is
[02:08:27.280 --> 02:08:28.240]   acting like they've already got
[02:08:28.240 --> 02:08:30.560]   a pre-copy of it, saying, okay,
[02:08:30.560 --> 02:08:31.760]   it shows they told witnesses what
[02:08:31.760 --> 02:08:32.880]   was coming up with Congress.
[02:08:32.880 --> 02:08:34.880]   And they told people who was going
[02:08:34.880 --> 02:08:35.760]   to be subpoenaed.
[02:08:35.760 --> 02:08:36.800]   And they told people what was
[02:08:36.800 --> 02:08:38.160]   happening and they did a fake
[02:08:38.160 --> 02:08:39.360]   investigation of Hillary.
[02:08:39.360 --> 02:08:41.280]   It's bombshell, but it kind of
[02:08:41.280 --> 02:08:45.520]   couches it in placid terms.
[02:08:45.520 --> 02:08:48.080]   So we're going to be looking at
[02:08:48.080 --> 02:08:49.840]   that as soon as it comes out
[02:08:49.840 --> 02:08:52.560]   in T minus 52 minutes.
[02:08:52.560 --> 02:08:53.920]   And Roger Stone will be back in
[02:08:53.920 --> 02:08:55.120]   here with me as soon as it comes
[02:08:55.120 --> 02:08:56.880]   out, we'll read the report here on
[02:08:56.880 --> 02:08:58.320]   air in the fourth hour.
[02:08:58.320 --> 02:08:59.200]   So that's coming up.
[02:08:59.200 --> 02:09:01.840]   But if you want to know why they
[02:09:01.840 --> 02:09:03.120]   really hate the American people
[02:09:03.120 --> 02:09:03.760]   and hate Trump,
[02:09:04.880 --> 02:09:05.840]   Trump was never supposed to get
[02:09:05.840 --> 02:09:06.480]   into office.
[02:09:06.480 --> 02:09:10.000]   They tried to cover up their
[02:09:10.000 --> 02:09:11.360]   illegal spying on Trump,
[02:09:11.360 --> 02:09:12.560]   turning it into Russiagate.
[02:09:12.560 --> 02:09:13.680]   They were actually trying to plant
[02:09:13.680 --> 02:09:15.680]   Russia stuff on him, but really,
[02:09:15.680 --> 02:09:17.360]   just using the fake Russia stuff
[02:09:17.360 --> 02:09:18.640]   that they've made up to spy
[02:09:18.640 --> 02:09:19.280]   on the campaign.
[02:09:19.280 --> 02:09:23.360]   So now they're being hoisted
[02:09:23.360 --> 02:09:24.400]   on their own spear.
[02:09:24.400 --> 02:09:29.200]   And now the IG report is out.
[02:09:29.200 --> 02:09:30.160]   They said it would come out at
[02:09:30.160 --> 02:09:32.080]   three o'clock Eastern,
[02:09:32.080 --> 02:09:32.960]   maybe two o'clock Central,
[02:09:32.960 --> 02:09:33.920]   but it just came out.
[02:09:33.920 --> 02:09:36.800]   So there it is, boom,
[02:09:36.800 --> 02:09:37.760]   so an hour early.
[02:09:37.760 --> 02:09:39.920]   So go ahead and print that off for
[02:09:39.920 --> 02:09:41.280]   me so we'll cover.
[02:09:41.280 --> 02:09:42.800]   Oversight, integrity, guidance.
[02:09:42.800 --> 02:09:44.240]   Well, the Office of the Inspector
[02:09:44.240 --> 02:09:45.600]   General has been showing more of
[02:09:45.600 --> 02:09:47.440]   the integrity than we've seen from
[02:09:47.440 --> 02:09:51.280]   Rosenstein and McCabe and
[02:09:51.280 --> 02:09:51.840]   these people.
[02:09:51.840 --> 02:09:53.360]   I mean, it's unbelievable.
[02:09:53.360 --> 02:09:55.120]   So that's all coming up.
[02:09:55.120 --> 02:09:56.400]   In fact, guys, let's post that
[02:09:56.400 --> 02:09:57.920]   to Infowars.com.
[02:09:57.920 --> 02:09:59.760]   Have Don Salazar, Kit, or one of
[02:09:59.760 --> 02:10:02.000]   the other, Mr. McBrain,
[02:10:02.000 --> 02:10:03.680]   McBrain's son works here.
[02:10:03.680 --> 02:10:04.880]   I normally don't let people's kids
[02:10:04.880 --> 02:10:05.840]   work in the building,
[02:10:05.840 --> 02:10:07.520]   but so many of them are so good,
[02:10:07.520 --> 02:10:08.880]   like Travis Knight's so awesome.
[02:10:08.880 --> 02:10:09.920]   He works here, David Knight's his
[02:10:09.920 --> 02:10:12.080]   dad, Kellan McBrain works here,
[02:10:12.080 --> 02:10:12.800]   one of the guys.
[02:10:12.800 --> 02:10:13.680]   When you get him to post that,
[02:10:13.680 --> 02:10:14.880]   or whoever can post it,
[02:10:14.880 --> 02:10:16.560]   Infowars.com, but we'll see
[02:10:16.560 --> 02:10:19.440]   exactly what all is in there,
[02:10:19.440 --> 02:10:20.560]   though people have already seen it
[02:10:20.560 --> 02:10:22.240]   and basically broke it down.
[02:10:22.240 --> 02:10:25.360]   Also, NHS picking up the pieces
[02:10:25.360 --> 02:10:27.040]   of mental illness epidemic
[02:10:27.040 --> 02:10:28.640]   caused by social media.
[02:10:28.640 --> 02:10:29.440]   Well, in Telegraph,
[02:10:29.440 --> 02:10:30.400]   how many years ago did we tell you
[02:10:30.400 --> 02:10:31.520]   that it's designed to make you
[02:10:31.520 --> 02:10:32.080]   mentally ill?
[02:10:33.760 --> 02:10:34.720]   We're going to break it all down,
[02:10:34.720 --> 02:10:36.400]   but I thought I would play this
[02:10:36.400 --> 02:10:37.600]   because they hate it.
[02:10:37.600 --> 02:10:40.560]   Remember, it's all confirmed.
[02:10:40.560 --> 02:10:42.480]   You've got Clapper and Brennan on
[02:10:42.480 --> 02:10:44.160]   TV saying, okay, we spied on Trump.
[02:10:44.160 --> 02:10:45.120]   But it's for his own good.
[02:10:45.120 --> 02:10:46.960]   You've got Bill Maher saying,
[02:10:46.960 --> 02:10:48.080]   we didn't spy on you,
[02:10:48.080 --> 02:10:49.280]   we just surveilled you because
[02:10:49.280 --> 02:10:50.400]   you're a damn Russian.
[02:10:50.400 --> 02:10:51.680]   Remember, that was a week ago.
[02:10:51.680 --> 02:10:53.520]   So they're really having to spin
[02:10:53.520 --> 02:10:55.440]   all this after all these years
[02:10:55.440 --> 02:10:56.480]   saying we're insane.
[02:10:56.480 --> 02:10:59.520]   Well, the truth is Clapper and
[02:10:59.520 --> 02:11:03.200]   Brennan and Schumer shot their
[02:11:03.200 --> 02:11:05.280]   mouths off and said,
[02:11:05.280 --> 02:11:06.640]   we've got intelligence on Trump.
[02:11:06.640 --> 02:11:08.400]   He will never even get inaugurated.
[02:11:08.400 --> 02:11:09.440]   He's out of here.
[02:11:09.440 --> 02:11:13.520]   So now The Hill can report,
[02:11:13.520 --> 02:11:14.800]   we told you two years ago,
[02:11:14.800 --> 02:11:16.560]   latest scandal revelations raised
[02:11:16.560 --> 02:11:18.800]   questions on Obama agency's roles.
[02:11:18.800 --> 02:11:20.160]   Yeah, we told you Trump was being
[02:11:20.160 --> 02:11:23.920]   spied on before he was even elected.
[02:11:23.920 --> 02:11:25.840]   Because we have the information,
[02:11:25.840 --> 02:11:26.800]   we have the research,
[02:11:26.800 --> 02:11:28.080]   we are ahead of the curve.
[02:11:28.080 --> 02:11:28.880]   That's what we do.
[02:11:29.520 --> 02:11:30.480]   We set the agenda.
[02:11:30.480 --> 02:11:32.240]   We're history's actors now.
[02:11:32.240 --> 02:11:33.680]   We want the people to be history's
[02:11:33.680 --> 02:11:37.120]   actors, leaky, sneaky, and freaky.
[02:11:37.120 --> 02:11:39.600]   One's a little hobbyist.
[02:11:39.600 --> 02:11:44.240]   The other two are just total lying,
[02:11:44.240 --> 02:11:46.000]   obfuscating, arrogant.
[02:11:46.000 --> 02:11:47.520]   I mean, take Brennan telling Trump,
[02:11:47.520 --> 02:11:50.480]   two days before he is inaugurated,
[02:11:50.480 --> 02:11:56.160]   watch your mouth on CNN.
[02:11:57.440 --> 02:11:58.800]   The head of the CIA, and then when
[02:11:58.800 --> 02:12:00.240]   Trump fired him three days later,
[02:12:00.240 --> 02:12:04.480]   he said, I can't believe I've been fired.
[02:12:04.480 --> 02:12:06.080]   You're a megalomaniac,
[02:12:06.080 --> 02:12:07.440]   delusional fruitcake.
[02:12:07.440 --> 02:12:11.360]   I've had a few former crew members
[02:12:11.360 --> 02:12:12.640]   that over the years got arrogant or
[02:12:12.640 --> 02:12:14.160]   whatever, and I'd say they're fired,
[02:12:14.160 --> 02:12:14.960]   or you can't fire me,
[02:12:14.960 --> 02:12:16.240]   this isn't really happening.
[02:12:16.240 --> 02:12:17.520]   I'm like, listen, don't let the door
[02:12:17.520 --> 02:12:18.720]   hit you on your old rear end.
[02:12:18.720 --> 02:12:20.320]   It's the same, or you've ever had
[02:12:20.320 --> 02:12:21.280]   one of your teenagers,
[02:12:21.280 --> 02:12:22.320]   they got pretty good kids.
[02:12:22.320 --> 02:12:23.360]   So don't think a little smart mouth.
[02:12:25.360 --> 02:12:26.800]   You're not going to really not let
[02:12:26.800 --> 02:12:27.760]   me go to that concert.
[02:12:27.760 --> 02:12:29.120]   You're not going to really not let
[02:12:29.120 --> 02:12:30.240]   me go to my friend's house for
[02:12:30.240 --> 02:12:31.280]   the movies.
[02:12:31.280 --> 02:12:32.080]   I'm like, yeah,
[02:12:32.080 --> 02:12:33.200]   get your butt in your room.
[02:12:33.200 --> 02:12:36.240]   And the next day they apologize,
[02:12:36.240 --> 02:12:38.240]   but those are children,
[02:12:38.240 --> 02:12:40.560]   these are adults doing this.
[02:12:40.560 --> 02:12:41.920]   So here's why they hate us,
[02:12:41.920 --> 02:12:43.120]   ladies and gentlemen,
[02:12:43.120 --> 02:12:44.320]   because we're right.
[02:12:44.320 --> 02:12:45.760]   They have egg all over their face
[02:12:45.760 --> 02:12:47.120]   on every front, here it is.
[02:12:47.120 --> 02:12:49.840]   >> And now Republicans,
[02:12:49.840 --> 02:12:51.840]   you're the Alex Jones party.
[02:12:51.840 --> 02:12:53.680]   There is literally nothing too
[02:12:53.680 --> 02:12:55.840]   stupid and conspiratorial that you
[02:12:55.840 --> 02:12:57.040]   will not swallow.
[02:12:57.040 --> 02:12:58.400]   Some tweeted, terrible,
[02:12:58.400 --> 02:13:00.160]   just found out that Obama had my
[02:13:00.160 --> 02:13:02.560]   wires tapped in Trump Tower just
[02:13:02.560 --> 02:13:03.840]   before the victory.
[02:13:03.840 --> 02:13:05.600]   Nothing found, this is McCarthyism.
[02:13:05.600 --> 02:13:06.960]   And the other one, how low has
[02:13:06.960 --> 02:13:08.640]   President Obama gone to tap my
[02:13:08.640 --> 02:13:10.000]   phones during the very
[02:13:10.000 --> 02:13:11.440]   sacred election process?
[02:13:11.440 --> 02:13:12.720]   >> And this weekend we saw another
[02:13:12.720 --> 02:13:14.080]   example of that when White House
[02:13:14.080 --> 02:13:15.440]   Counselor Kellyanne Conway was
[02:13:15.440 --> 02:13:17.200]   asked if she had any proof for
[02:13:17.200 --> 02:13:18.720]   Trump's outlandish claim that
[02:13:18.720 --> 02:13:20.080]   Obama wiretapped him during
[02:13:20.080 --> 02:13:20.720]   the campaign and
[02:13:20.720 --> 02:13:22.480]   offered this bizarre answer.
[02:13:22.480 --> 02:13:24.480]   >> How does he know that his phone
[02:13:24.480 --> 02:13:26.080]   was actually tapped?
[02:13:26.080 --> 02:13:27.920]   >> Let me answer that globally.
[02:13:27.920 --> 02:13:28.640]   He's the President of
[02:13:28.640 --> 02:13:29.360]   the United States.
[02:13:29.360 --> 02:13:30.640]   He has information and
[02:13:30.640 --> 02:13:32.000]   intelligence that the rest of us
[02:13:32.000 --> 02:13:32.640]   do not.
[02:13:32.640 --> 02:13:34.400]   >> He's suggesting a US President
[02:13:34.400 --> 02:13:36.160]   enlisted a foreign intelligence
[02:13:36.160 --> 02:13:37.760]   service to spy on a political
[02:13:37.760 --> 02:13:38.480]   adversary.
[02:13:38.480 --> 02:13:40.000]   That is an explosive charge.
[02:13:40.000 --> 02:13:41.280]   >> This is a serious allegation.
[02:13:41.280 --> 02:13:43.200]   This might be the most serious
[02:13:43.200 --> 02:13:45.360]   allegation any president has made
[02:13:45.360 --> 02:13:47.280]   against a previous president.
[02:13:47.280 --> 02:13:48.320]   >> But this is a very serious
[02:13:48.320 --> 02:13:49.840]   allegation for a sitting president
[02:13:49.840 --> 02:13:51.360]   to make about his predecessor.
[02:13:51.360 --> 02:13:52.960]   >> The craziest thing about Trump
[02:13:52.960 --> 02:13:54.240]   calling for an investigation
[02:13:54.240 --> 02:13:56.800]   without any evidence, zero evidence.
[02:13:56.800 --> 02:13:58.240]   Trump has not produced a shred
[02:13:58.240 --> 02:13:58.800]   of evidence.
[02:13:58.800 --> 02:13:59.760]   >> There was no evidence for
[02:13:59.760 --> 02:14:00.480]   Trump's claims.
[02:14:00.480 --> 02:14:02.480]   >> The evidence did not come.
[02:14:02.480 --> 02:14:04.160]   >> So where did Trump get his info?
[02:14:04.160 --> 02:14:05.440]   From the CIA?
[02:14:05.440 --> 02:14:06.480]   From the FBI?
[02:14:06.480 --> 02:14:07.520]   >> Where are you getting this
[02:14:07.520 --> 02:14:08.480]   information?
[02:14:08.480 --> 02:14:10.560]   >> From a very reputable source.
[02:14:10.560 --> 02:14:12.480]   >> What, the FBI, the CIA?
[02:14:12.480 --> 02:14:14.320]   >> Info Wars, it's a radio show
[02:14:14.320 --> 02:14:15.600]   hosted by Alex Jones.
[02:14:15.600 --> 02:14:16.320]   >> [LAUGH]
[02:14:16.320 --> 02:14:17.600]   >> You know he's legit.
[02:14:17.600 --> 02:14:19.200]   >> This bizarre circular thing
[02:14:19.200 --> 02:14:20.560]   happening where the President
[02:14:20.560 --> 02:14:22.400]   cites a theory that he was
[02:14:22.400 --> 02:14:23.840]   wiretapped, which developed on
[02:14:23.840 --> 02:14:25.360]   the kind of fringe right-wing
[02:14:25.360 --> 02:14:26.160]   media.
[02:14:26.160 --> 02:14:28.240]   And then after his tweet storm,
[02:14:28.240 --> 02:14:29.440]   Info Wars then started saying,
[02:14:29.440 --> 02:14:30.320]   well, look, it was the New York
[02:14:30.320 --> 02:14:31.520]   Times that reported it, citing
[02:14:31.520 --> 02:14:33.920]   our story, misreading our story.
[02:14:33.920 --> 02:14:35.440]   And now a few weeks later,
[02:14:35.440 --> 02:14:36.880]   the White House and the President
[02:14:36.880 --> 02:14:39.360]   are citing Info Wars.
[02:14:39.360 --> 02:14:41.120]   So they've got one kind of bizarre
[02:14:41.120 --> 02:14:42.400]   right-wing fringe theory to defend
[02:14:42.400 --> 02:14:43.600]   another bizarre right-wing
[02:14:43.600 --> 02:14:44.560]   fringe theory.
[02:14:44.560 --> 02:14:46.400]   >> The crazier it gets,
[02:14:46.400 --> 02:14:48.080]   the more they like it.
[02:14:48.080 --> 02:14:49.200]   That's their jam.
[02:14:49.200 --> 02:14:51.760]   >> No, we're not under your mind
[02:14:51.760 --> 02:14:52.720]   control.
[02:14:52.720 --> 02:14:54.560]   See, if I was Stormtroopers, and
[02:14:54.560 --> 02:14:56.320]   Obi-Wan Kenobi, and the droids
[02:14:56.320 --> 02:14:58.080]   came by, and they're the exact
[02:14:58.080 --> 02:15:00.000]   ones I'm looking for, and he says
[02:15:00.000 --> 02:15:01.760]   these aren't the droids you're
[02:15:01.760 --> 02:15:03.280]   looking for, I blast him.
[02:15:03.280 --> 02:15:04.720]   See, that didn't work on me.
[02:15:04.720 --> 02:15:06.160]   I'm like Jabba the Hutt.
[02:15:06.160 --> 02:15:08.080]   Jedi mind tricks don't work on me.
[02:15:08.080 --> 02:15:10.480]   Teeny Jedi.
[02:15:10.480 --> 02:15:11.840]   They were all over the news
[02:15:11.840 --> 02:15:13.600]   salivating to their criminals and
[02:15:13.600 --> 02:15:15.360]   government going, don't worry,
[02:15:15.360 --> 02:15:16.720]   Trump will never get in.
[02:15:16.720 --> 02:15:18.080]   We were spying on him, and
[02:15:18.080 --> 02:15:19.840]   Obama is delivering all the data to
[02:15:19.840 --> 02:15:21.520]   other agencies to stay behind and
[02:15:21.520 --> 02:15:23.280]   stop him even if he gets in.
[02:15:23.280 --> 02:15:24.480]   And I'm like, my God,
[02:15:24.480 --> 02:15:25.760]   they're admitting.
[02:15:25.760 --> 02:15:27.040]   Yeah, back that up.
[02:15:27.040 --> 02:15:27.960]   Let's go to break with this.
[02:15:27.960 --> 02:15:30.880]   They admitted my source is them.
[02:15:30.880 --> 02:15:31.920]   And then they tried this game of,
[02:15:31.920 --> 02:15:32.800]   well, you didn't really see
[02:15:32.800 --> 02:15:33.840]   the cover of the New York Times
[02:15:33.840 --> 02:15:35.280]   that said that, though it did.
[02:15:35.280 --> 02:15:36.280]   Here, here, let's go out to break.
[02:15:36.280 --> 02:15:37.200]   Here it is, here it is.
[02:15:37.200 --> 02:15:41.600]   >> Let me see your identification.
[02:15:41.600 --> 02:15:42.720]   >> You don't need to see
[02:15:42.720 --> 02:15:43.920]   his identification.
[02:15:43.920 --> 02:15:46.000]   >> We don't need to see
[02:15:46.000 --> 02:15:46.800]   his identification.
[02:15:46.800 --> 02:15:47.840]   >> He's on the droids.
[02:15:47.840 --> 02:15:50.080]   >> You're looking for him.
[02:15:50.080 --> 02:15:50.960]   >> He's on the droids,
[02:15:50.960 --> 02:15:52.320]   we're looking for him.
[02:15:52.320 --> 02:15:53.920]   >> You can go about his business.
[02:15:53.920 --> 02:15:54.420]   >> Really?
[02:15:54.420 --> 02:15:57.880]   >> Bacon Lovers, we ship free.
[02:15:57.880 --> 02:15:59.720]   Try our amazing bacon,
[02:15:59.720 --> 02:16:01.720]   no refrigeration required.
[02:16:01.720 --> 02:16:03.800]   Proprietary value added packaging
[02:16:03.800 --> 02:16:05.920]   provides ten years shelf life and
[02:16:05.920 --> 02:16:07.280]   protects the leanest,
[02:16:07.280 --> 02:16:09.080]   thickest, center cut, fully cooked
[02:16:09.080 --> 02:16:11.320]   bacon in America today.
[02:16:11.320 --> 02:16:13.040]   Ready to eat right from the pouch
[02:16:13.040 --> 02:16:14.680]   or warm and serve.
[02:16:14.680 --> 02:16:16.640]   Savory and delicious.
[02:16:16.640 --> 02:16:17.840]   Wholesale price for
[02:16:17.840 --> 02:16:19.560]   your everyday use.
[02:16:19.560 --> 02:16:20.400]   Order today at
[02:16:20.400 --> 02:16:22.480]   readytoeatbacon.com.
[02:16:22.480 --> 02:16:25.400]   Readytoeatbacon.com.
[02:16:25.400 --> 02:16:26.280]   >> This is Dan Pilla.
[02:16:26.280 --> 02:16:27.320]   Do you have the IRS money you
[02:16:27.320 --> 02:16:28.120]   can't pay?
[02:16:28.120 --> 02:16:29.800]   Are tax debts crippling you?
[02:16:29.800 --> 02:16:31.160]   I've defended people from the IRS
[02:16:31.160 --> 02:16:32.600]   for over 30 years.
[02:16:32.600 --> 02:16:33.560]   I've helped thousands and
[02:16:33.560 --> 02:16:34.880]   I can help you too.
[02:16:34.880 --> 02:16:36.280]   I wrote the book on IRS settlement
[02:16:36.280 --> 02:16:37.240]   and I'm telling you,
[02:16:37.240 --> 02:16:38.200]   there's no such thing as
[02:16:38.200 --> 02:16:39.360]   a hopeless case.
[02:16:39.360 --> 02:16:42.120]   Call 800-34-NO-TAX to finally get
[02:16:42.120 --> 02:16:43.320]   free of IRS debt.
[02:16:43.320 --> 02:16:44.720]   With the IRS's new programs,
[02:16:44.720 --> 02:16:45.880]   there's never been a better time
[02:16:45.880 --> 02:16:47.080]   to solve your problem.
[02:16:47.080 --> 02:16:49.120]   Call 800-34-NO-TAX.
