[00:00.000 --> 00:20.000]  Music
[2:05:44.640 --> 2:05:50.400]  fine under house arrest for asking trans police officers, gender, UK mother, spare jail for
[2:05:50.400 --> 2:06:02.080]  misgendering trans woman, order to pay 1,000 pound fine.
[2:06:02.080 --> 2:06:17.760]  Infowars.com is tomorrow's news. Today, you're listening to the Alex Jones show.
[2:06:17.760 --> 2:06:28.080]  You had some things to hide. You should have hidden it, shouldn't you? Now you're not satisfied
[2:06:29.840 --> 2:06:36.400]  with what you've been good at. I believe in humanity. And I believe that if I get up here
[2:06:36.400 --> 2:06:41.440]  on air and expose evil, you're going to respond, we're going to stop it. But I got to tell you,
[2:06:41.440 --> 2:06:48.240]  it's gotten insane. It was about a month ago that this news broke. And I wanted to get Dr.
[2:06:48.240 --> 2:06:54.560]  Sherrie Tenpenny of Vaxer.com and courses from Astry.com on the show. But she's a busy and
[2:06:54.560 --> 2:07:02.400]  full-time practicing medical doctor. But we've got her now. And this was, again, January 12th.
[2:07:02.400 --> 2:07:12.640]  Top U.N. scientist admits vaccines killing people during vaccine safety summit. Now, I've played
[2:07:12.640 --> 2:07:20.720]  dozens of these clips here over and over again. And the full two-day hearings are linked up
[2:07:20.720 --> 2:07:26.720]  at Bandai Video and NewsWars.com. But as soon as I saw this, I thought, man, we got to get Dr.
[2:07:26.720 --> 2:07:32.880]  Sherrie Tenpenny on. Because she's just a medical doctor that's seen the response of her patients
[2:07:32.880 --> 2:07:37.360]  with vaccines. And again, it's not like she's saying vaccines aren't a real technology where you
[2:07:37.360 --> 2:07:42.320]  can learn an immunity by getting a little bit of something bad in you. It's that why do they have
[2:07:42.320 --> 2:07:47.920]  liability protection? Why are we told we've got to take endless amounts of them no matter what
[2:07:47.920 --> 2:07:56.400]  happens? Why is it secret? So I wanted to get her on to talk about this and then now how it
[2:07:56.400 --> 2:08:01.920]  ties in to forced inoculation when they finally get a vaccine with the coronavirus. And they say
[2:08:01.920 --> 2:08:06.160]  it's a new flu that's going to be mutating forever. Well, then how do they ever create a vaccine that
[2:08:06.160 --> 2:08:12.320]  actually matches that? There's so many angles with Dr. Sherrie Tenpenny. And I'm not going to go over
[2:08:12.320 --> 2:08:21.280]  her old bio here, but she's a very, very interesting person. Dr. Sherrie Tenpenny is a medical doctor,
[2:08:21.280 --> 2:08:26.720]  board certified, three specialty. She is the founder of Tenpenny Interactive Media Center,
[2:08:26.720 --> 2:08:32.320]  Interactive Medical Clinic located Cleveland, Ohio, open in 96. Her company provides a natural
[2:08:32.320 --> 2:08:36.800]  holistic approach to getting well and off prescription medications. The medical clinic's
[2:08:36.800 --> 2:08:43.840]  primary focus is thyroid conditions, breast health, and resolving problems associated with allergies
[2:08:43.840 --> 2:08:49.120]  and pain. Her approaches have attracted patients from all 50 states to 17 countries. She has invested
[2:08:49.120 --> 2:08:54.000]  for the 17 years over 20,000 hours in documenting the problems associated with vaccines.
[2:08:54.560 --> 2:08:59.760]  And a internationally known speaker and author for many articles have been
[2:08:59.760 --> 2:09:03.840]  translated into more than 12 languages or books, saying no to vaccines or resource guide
[2:09:03.840 --> 2:09:09.360]  to all ages. Vaxxer with 2xs.com. We're going to go to her in a few minutes, but here's just a
[2:09:09.360 --> 2:09:15.200]  four minute report I've got that has the chief scientist of the World Health Organization admits
[2:09:15.200 --> 2:09:21.200]  that some vaccines are killing people. Then the World Health Organization headquarters says that
[2:09:21.200 --> 2:09:26.640]  vaccines require adjuvants as creating not just short-term, but long-term effects. Dr. Martin
[2:09:26.640 --> 2:09:32.320]  Howell Freedy, another member of the panel suggests that adjuvants multiply adverse reactions. Dr.
[2:09:32.320 --> 2:09:39.680]  Martin Gruber of the FDA admits that pre-clinical trials may not be enough. It just goes on.
[2:09:39.680 --> 2:09:43.600]  Nigeria representatives suggest that there might be cross reactions between the different
[2:09:43.600 --> 2:09:48.640]  adjuvants and preservatives. Professor Heidi Larson, PhD admits that frontline
[2:09:48.640 --> 2:09:52.960]  medical professionals are questioning the safety of vaccines. And then in medical schools,
[2:09:53.520 --> 2:09:57.440]  one is lucky if they get half a day on the education of vaccines. So everything Tim
[2:09:57.440 --> 2:10:05.040]  Benny's been saying for 20-something years, now the UN at an official summit back in December
[2:10:05.040 --> 2:10:10.080]  says this, no coverage till our listeners pointed out that it's on the UN website. So here's that
[2:10:10.080 --> 2:10:14.160]  four minutes. We'll go right to Dr. Sherry Tim Benny, but I want to put this on up front. Here it is.
[2:10:14.800 --> 2:10:20.720]  We really don't have very good safety monitoring systems in many countries, and this adds to
[2:10:20.720 --> 2:10:26.160]  the miscommunication and the misapprehensions, because we're not able to give clear-cut answers
[2:10:26.160 --> 2:10:30.640]  when people ask questions about the deaths that have occurred due to particular vaccine. And this
[2:10:30.640 --> 2:10:36.880]  always gets blown up in the media. One should be able to give a very factual account of what
[2:10:36.880 --> 2:10:40.800]  exactly has happened and what the cause of deaths are. But in most cases, there's some
[2:10:40.800 --> 2:10:47.920]  obfuscation at that level, and therefore there's less and less trust. The first accusation is
[2:10:47.920 --> 2:10:52.960]  it is the adjuvant. And yet without adjuvants, we are not going to have the next generation of
[2:10:52.960 --> 2:10:57.920]  vaccines. And many of the vaccines that we do have, ranging from tetanus through to HPV,
[2:10:58.640 --> 2:11:04.160]  require adjuvants in order for them to work. When we add an adjuvant, it's because it is essential.
[2:11:04.160 --> 2:11:10.560]  We do not add adjuvants to vaccines because we want to do so. But when we add them, it
[2:11:11.360 --> 2:11:17.600]  adds to the complexity. And I give courses every year on how do you develop vaccines,
[2:11:17.600 --> 2:11:23.360]  how do you make vaccines. And the first lesson is while you're making your vaccine, if you can
[2:11:23.360 --> 2:11:31.520]  avoid using an adjuvant, please do so. It seems to me that adjuvants multiply the immunogenicity
[2:11:31.520 --> 2:11:41.680]  of the antigens that they are added to. And that is their intention. It seems to me they multiply
[2:11:41.680 --> 2:11:51.200]  the reactogenicity in many instances. And therefore it seems to me that it is not unexpected if they
[2:11:51.200 --> 2:11:59.040]  multiply the incidence of adverse reactions that are associated with the antigen, but may not have
[2:11:59.040 --> 2:12:05.120]  been detected through lack of statistical power in the original study. The major health concern
[2:12:05.120 --> 2:12:12.480]  which we are seeing are accusations of long-term effects. It's also the subject population that
[2:12:12.480 --> 2:12:18.320]  you administer the adjuvant to, because we've seen data presented to us where
[2:12:19.520 --> 2:12:26.240]  an adjuvant, a particular adjuvant, added to a vaccine and it did really nothing when administered
[2:12:26.240 --> 2:12:34.080]  to a certain population and it's usually the elderly compared to administering the same formulation
[2:12:34.080 --> 2:12:40.800]  to younger age strata. So these are things which need to be considered as well and further
[2:12:40.800 --> 2:12:46.640]  complicate safety and effectiveness evaluation of adjuvants combined with vaccine antigens.
[2:12:46.640 --> 2:12:53.280]  I cast back my mind to our situation in Nigeria where at six weeks, 10 weeks, 14 weeks,
[2:12:53.280 --> 2:13:00.160]  a child is being given different antigens from different companies. And these vaccines have
[2:13:00.160 --> 2:13:06.560]  different adjuvants, different preservatives and so on. Something crosses my mind. Is there
[2:13:06.560 --> 2:13:12.160]  possibility of these adjuvants, preservatives, cross-reacting amongst themselves? Have they
[2:13:12.160 --> 2:13:19.360]  ever been a study on the possibility of cross reactions from the panel members that you can
[2:13:19.360 --> 2:13:26.560]  share the experience with us? We have a very wobbly health professional frontline that is
[2:13:26.560 --> 2:13:33.440]  starting to question vaccines and the safety of vaccines. When the frontline professionals are
[2:13:33.440 --> 2:13:40.160]  starting to question or they don't feel like they have enough confidence about the safety
[2:13:40.160 --> 2:13:47.200]  to stand up to it, to the person asking them the questions. I mean, most medical school
[2:13:47.200 --> 2:13:52.080]  curriculums, even nursing curriculums, I mean, in medical school, you're lucky if you have a
[2:13:52.080 --> 2:13:57.440]  half day on vaccines. Never mind keeping up to date with all this.
[2:13:59.840 --> 2:14:04.160]  And that allows big pharma to come in and do whatever they want because the doctors don't
[2:14:04.160 --> 2:14:07.920]  know anything, but they know people are being hurt. Their front lines are wobbly. They don't
[2:14:07.920 --> 2:14:11.520]  believe in it. Dr. Sherry Timothy, we're going to break in a minute and a half. Thank you for
[2:14:11.520 --> 2:14:15.760]  joining us. But wow, how big was this UN summit a few months ago for you?
[2:14:15.760 --> 2:14:23.440]  It was extraordinary, Alex. It was just extraordinary. When they say a wobbly frontline
[2:14:23.440 --> 2:14:28.800]  and they say maybe we should start doing studies and we don't really know how aluminum works,
[2:14:28.800 --> 2:14:33.840]  even though they've used aluminum in vaccines since the 1920s. And there's never been any
[2:14:33.840 --> 2:14:39.760]  synergistic toxicity studies that have ever been done. And the only thing that they're actually,
[2:14:39.760 --> 2:14:45.920]  when he said we need an adjuvant for it to work, their definition of working is the development
[2:14:45.920 --> 2:14:51.040]  of an antibody, which I know you and I have both spoken about for years, that the presence of an
[2:14:51.040 --> 2:14:56.640]  antibody is nothing more than a marker of contamination because you can have very high
[2:14:56.640 --> 2:15:01.440]  antibody levels and still contract the infection that they're trying to prevent.
[2:15:01.440 --> 2:15:05.760]  That is so key. You can have the antibody. That doesn't mean you beat it. You might have a chronic
[2:15:05.760 --> 2:15:12.800]  infection. That's exactly right. And I think that we have really brought that to the forefront in
[2:15:12.800 --> 2:15:19.120]  this last year, that if you have a high antibody level, that all it really means is that they
[2:15:19.120 --> 2:15:25.200]  marker of contamination. Your body is trying to get rid of something. But they define immunity is
[2:15:25.200 --> 2:15:31.360]  by the presence of an antibody, which is just simply one of the many long list of lies that
[2:15:31.360 --> 2:15:35.840]  they send out in their propaganda. Exactly because you'll have an antibody to HIV if you've got it,
[2:15:35.840 --> 2:15:40.960]  but it doesn't mean you've gotten rid of it. Exactly. Exactly. You can have an antibody to
[2:15:40.960 --> 2:15:46.800]  all of those things because injecting vaccines is nothing more than depositing foreign matter
[2:15:46.800 --> 2:15:51.680]  into a human being that it's trying to get rid of by developing an antibody. Dr. Tim Penney,
[2:15:51.680 --> 2:15:57.120]  thank you for joining us. Stay right there. Maybe not today, maybe not tomorrow, but soon
[2:15:57.120 --> 2:16:02.960]  you'll need a plan and place to survive. Forget bunkers. You're not a live underground gopher.
[2:16:02.960 --> 2:16:08.000]  You need survivalist camps, the ultimate fully functional off the grid mobile survival bug
[2:16:08.000 --> 2:16:13.520]  outhouse that's well equipped and custom built to outlast any other RV or trailer bold statement.
[2:16:13.520 --> 2:16:20.160]  You bet. See him now at survivalist camps.com. That's survivalist camps.com. Trust your family
[2:16:20.160 --> 2:16:26.720]  survival to survivalist camps.com. Hi, I'm Dan Pilla. I started fighting the IRS over 40 years
[2:16:26.720 --> 2:16:31.520]  ago when they tried to seize my mother's house. I sued the IRS and won. I beat the IRS then,
[2:16:31.520 --> 2:16:35.520]  and I've been beating them ever since. I wrote the book on tax debt settlement and I've helped
[2:16:35.520 --> 2:16:39.520]  thousands of people deal with tax problems they thought might never be solved. I can help you
[2:16:39.520 --> 2:16:44.320]  too. If you owe taxes, you can't pay. Don't wait another day. There's no such thing as a hopeless
[2:16:44.320 --> 2:16:52.640]  tax case. Call 800-34-NO-TAX or go to my website, DanPilla.com. That's DanPilla.com DanPilla.com.
[2:16:52.640 --> 2:16:58.800]  Heart disease is on the rise. Clogged arteries, high blood pressure, and high cholesterol levels
[2:16:58.800 --> 2:17:04.400]  may not be fully detected by you, but the symptoms are there. Loss of energy, blood sugar, spikes,
[2:17:04.400 --> 2:17:08.880]  and drops, poor circulation, and irregular heartbeat are just a few of these that can
[2:17:08.880 --> 2:17:13.920]  alert you that something is wrong. Hear how heart and body extract is making a difference
[2:17:13.920 --> 2:17:19.600]  in thousands of people's lives across America. My blood pressure has normalized. My diabetes has
[2:17:19.600 --> 2:17:23.760]  totally improved. Everyone is telling me now how much healthier I look, and I'm telling everyone
[2:17:23.760 --> 2:17:28.720]  how much healthier I feel. I recommend heart and body extract to everyone. Anybody over 40 in the
[2:17:28.720 --> 2:17:34.480]  North American continent should be using this product as a preventative to keep their cardiovascular
[2:17:34.480 --> 2:17:43.200]  system healthy. Order your two-month supply today by calling 866-295-5305. That's 866-295-5305,
[2:17:43.200 --> 2:17:52.240]  or order online, hbextract.com, heart and body extract, 866-295-5305, or hbextract.com.
[2:17:54.880 --> 2:18:00.800]  Alex Jones here with two big announcements. Ultra-12 and vitamin mineral fusion are both
[2:18:00.800 --> 2:18:07.040]  back in stock after being sold out for months. Vitamin mineral fusion is high quality vitamins,
[2:18:07.040 --> 2:18:12.160]  minerals, amino acids, and other key cofactors that are so good for you and your family,
[2:18:12.160 --> 2:18:18.640]  especially your children's bodies and your immune systems. Ultra-12 is the highest quality vitamin
[2:18:18.640 --> 2:18:24.400]  B12 taken sublingually under the tongue. It is back in stock. You can get them both individually
[2:18:24.400 --> 2:18:33.360]  for 40% off right now and get them together as a combo for 50% off. This makes your life so much
[2:18:33.360 --> 2:18:39.280]  better when you have a good multivitamin mineral that you actually absorb and as a tasty fruit punch.
[2:18:39.280 --> 2:18:45.680]  And of course, vitamin B12 is the bedrock foundation of energy, stamina,
[2:18:45.680 --> 2:18:50.560]  libido, just everything. And they're both back in stock 40% off individually or
[2:18:50.560 --> 2:19:14.560]  50% off when you get them together at m4store.com.
[2:19:21.440 --> 2:19:24.640]  And it looks like duct tape. It's just a regular sticker. You put it over your mouth,
[2:19:24.640 --> 2:19:28.400]  you go to a Trump rally, and you instantly take over without even disrupting things.
[2:19:28.400 --> 2:19:32.080]  People say, why are you doing this? What's happening? Will you go? Well, we're being censored.
[2:19:32.720 --> 2:19:35.920]  You know, Trump won't do anything about it. And Dr. Pachennick, let me just ask you what
[2:19:35.920 --> 2:19:41.040]  you think because I've not launched this yet. It's brilliant. You've taken the very element
[2:19:41.040 --> 2:19:46.640]  that they try to repress you with that silence and made it into a weapon. You have the loudest
[2:19:46.640 --> 2:19:52.000]  sound of all silence. And you know what's most disturbing to people? Silence.
[2:19:57.440 --> 2:20:00.160]  You're listening to the Alex Jones show.
[2:20:00.160 --> 2:20:16.880]  Start your engines, ladies and gentlemen. Dr. Sherry Tenpen is our guest. I'll host a little bit
[2:20:16.880 --> 2:20:20.720]  of the next hour. Take your calls. My cat is coming up with big breaking news.
[2:20:22.800 --> 2:20:28.080]  There was zero coverage. Normally, I can do anything on the media covers it. But when the
[2:20:28.080 --> 2:20:33.920]  head UN scientist and all the other scientists agreed in a two-day summit, and myself and the
[2:20:33.920 --> 2:20:40.560]  crew watched two days of it, 20 hours. And they were like, we're not allowed to investigate it.
[2:20:40.560 --> 2:20:44.640]  And people think it's hurting folks. We've seen evidence of that. And we tell people these adjuvants
[2:20:44.640 --> 2:20:49.840]  are dangerous. And they're telling the public there's no harm. And the public's getting angry.
[2:20:49.840 --> 2:20:55.600]  And the doctors are getting angry. And we've got a problem. It shows how the UN is supposedly the
[2:20:55.600 --> 2:21:02.400]  top of this. And they sound like Dr. Sherry Tenpenny 20 years ago, who heads up major clinics here
[2:21:02.400 --> 2:21:07.600]  and in other countries and very successful medical doctor. So you've got the floor down to just
[2:21:07.600 --> 2:21:12.800]  talk about how big a deal this is that right when they're trying to say it's forced and New Jersey
[2:21:12.800 --> 2:21:16.720]  did the right thing and didn't get rid of the religious exemption, right as they're trying to
[2:21:16.720 --> 2:21:22.960]  force us, we now learn because they're losing the war because people know there's adverse reactions.
[2:21:22.960 --> 2:21:28.080]  They know there's liability protection. So then what is this? Why is the establishment doing this?
[2:21:28.080 --> 2:21:30.960]  What do they think is going to end up happening, Dr. Sherry Tenpenny?
[2:21:32.080 --> 2:21:38.240]  Well, it's interesting, Alex, because it started actually in 2010 when Bill Gates decided to put
[2:21:38.240 --> 2:21:45.680]  $10 billion on the table and create the decade of vaccines between 2010 and 2020 because many
[2:21:45.680 --> 2:21:51.840]  of their blockbuster drugs were going off patent and becoming generic. And so they made the decision
[2:21:51.840 --> 2:21:58.560]  collectively made the decision to continue to build the entire pharmaceutical industry on the backs
[2:21:58.560 --> 2:22:05.120]  of children and adults being vaccinated, becoming sick and becoming customers for life.
[2:22:05.120 --> 2:22:10.640]  So as you know, I've been fighting this now for 19 years and tens of thousands of hours of research
[2:22:10.640 --> 2:22:15.200]  and we have eliminated the word immunization. We call it vaccination now because that's what
[2:22:15.200 --> 2:22:19.920]  it is. I've been working hard for the last couple of years to stop calling all of these
[2:22:19.920 --> 2:22:26.400]  infectious illnesses that children get like chickenpox and measles. Stop calling them diseases
[2:22:26.400 --> 2:22:30.640]  but calling them infections because that's what they are. Now, the next level of what we need
[2:22:30.640 --> 2:22:35.920]  to do is as they are pushing these mandatory vaccines forward on all of these mandates
[2:22:35.920 --> 2:22:41.440]  based on nothing and now we hear from the World Health Organization and the UN that we are the
[2:22:41.440 --> 2:22:47.600]  amongst the 10 top most dangerous organizations to public health. They said that at the beginning
[2:22:47.600 --> 2:22:53.440]  of 2019 that the anti-vax people or the people who are educated and form and choose to not be
[2:22:53.440 --> 2:22:58.960]  injected with foreign matter are some of the most are the most dangerous people to public health.
[2:22:58.960 --> 2:23:02.880]  Well, now we hear it from the horse's mouth. We hear it from the World Health Organization.
[2:23:02.880 --> 2:23:06.960]  We hear it from doctors and scientists from all over the world saying we have no science.
[2:23:06.960 --> 2:23:12.080]  We have no background. We haven't studied this. We haven't had large enough patient populations.
[2:23:12.080 --> 2:23:16.800]  We know that these studies are cut. We only do them for anywhere from five to 19 days
[2:23:16.800 --> 2:23:20.320]  because if they have to go longer the side effects will start to show up and then we have to stop
[2:23:20.320 --> 2:23:27.600]  everything. We have never tested for synergistic toxicity. We have every our entire industry
[2:23:27.600 --> 2:23:32.800]  is on this hook of having this antibody be present after the important matter is injected
[2:23:33.920 --> 2:23:39.600]  and we all know that having an antibody does not protect you. In fact,
[2:23:39.600 --> 2:23:45.120]  we're getting ready to launch our online bootcamp course, Alex. Open enrollment starts on the 20th.
[2:23:45.120 --> 2:23:48.960]  It's the mastering vaccine info bootcamp course. It's our seventh course.
[2:23:48.960 --> 2:23:56.080]  We do it twice a year. We go through safety, efficacy, smallpox, polio, herd immunity, package
[2:23:56.080 --> 2:24:00.400]  inserts. And then we give you the language training to teach you how to communicate this
[2:24:00.400 --> 2:24:06.320]  in a way that people will really listen to you and they will really hear you. And so part of
[2:24:06.320 --> 2:24:10.960]  what we're talking about there is that we are giving people the language to fight back against
[2:24:10.960 --> 2:24:16.640]  this because we know that the antibody level is nothing more than a marker of contamination.
[2:24:16.640 --> 2:24:21.680]  We know that they save safe and effective. Safety has never been determined. I talk about it.
[2:24:21.680 --> 2:24:27.120]  By the way, doc, let me just stop you again. I should have open the whole show up. Just said
[2:24:27.120 --> 2:24:32.160]  the head of the UN admits there's vaccine damage cover up and the doctors are turning against
[2:24:32.160 --> 2:24:37.920]  him. And Dr. Sherry Timpinney, the vanguard for decades exposing this totally vindicated
[2:24:37.920 --> 2:24:44.480]  has a plan to give medical documentation and facts to people so that they can't be bullied
[2:24:44.480 --> 2:24:49.200]  into submission and will inform the doctors that we know already secretly,
[2:24:49.200 --> 2:24:52.720]  just like I've had four children, they're like, take your vaccines. No, I'm not. The nurses go,
[2:24:52.720 --> 2:24:56.480]  actually, none of us take it. We see the kids have convulsions and we give it to premies and
[2:24:56.480 --> 2:25:00.800]  they die and you're right. None of us do it. We know and kids that don't vaccinate are healthier
[2:25:00.800 --> 2:25:06.640]  and there's stuff. I mean, it's all it's beyond a wobbly frontline. The facade is dropping.
[2:25:06.640 --> 2:25:11.760]  Please continue because everybody, mothers, fathers, people that have family that's having
[2:25:11.760 --> 2:25:16.560]  children, grandmothers, grandfathers, reach out to your children, have them go take this course.
[2:25:17.120 --> 2:25:21.360]  Especially women say, well, I hear it's safe and effective with their husband or vice versa.
[2:25:21.360 --> 2:25:28.800]  Then if it's is important, go take this course and then absolutely have a medical doctor
[2:25:28.800 --> 2:25:33.120]  walk you through it. So you're truly informed about such an incredibly important question.
[2:25:33.120 --> 2:25:38.320]  Now, one of the things that we talk about first is about lack of safety. There is, you know,
[2:25:38.320 --> 2:25:44.640]  as you know, there is not a single vaccine that's ever been tested against a true inert placebo.
[2:25:44.640 --> 2:25:48.480]  We just know it's just not true. We know that there's no long term studies. And now the World
[2:25:48.480 --> 2:25:52.640]  Health Organization and all of those clips that you just showed us, they talk about, yeah, it's
[2:25:52.640 --> 2:25:57.280]  a small, we don't have very large sample sides. We don't follow them for very long because if we
[2:25:57.280 --> 2:26:02.160]  start following for a long period of time, side effects will show up. So safety is bunked.
[2:26:02.160 --> 2:26:08.720]  So they're like German soldiers in 42 German officers who started wanting to take out Hitler.
[2:26:08.720 --> 2:26:12.160]  They're like, we might have signed on to the wrong side. We might be the bad guys. I mean,
[2:26:12.160 --> 2:26:17.680]  that's what this event was like was them kind of covering their ass. Exactly. And then the other
[2:26:17.680 --> 2:26:23.200]  thing they always say is effective. And we as consumers have learned have come to think of
[2:26:23.200 --> 2:26:30.000]  effective as being protection, but effect effective and protection are not synonyms. And if somebody
[2:26:30.000 --> 2:26:33.200]  wants to, you know, you can sign up. Thank you for showing that on your screen there, Alex.
[2:26:33.200 --> 2:26:38.160]  People can sign up for the get on our list for open enrollment. Open enrollment starts
[2:26:38.160 --> 2:26:44.480]  Thursday morning at 9 a.m. Or you can email me directly. You can email me at courses,
[2:26:44.480 --> 2:26:52.000]  the number for mastery at gmail.com courses for mastery at gmail.com. And if you can't
[2:26:52.000 --> 2:26:55.360]  get into the website where you just showed you can send it to there and I'll manually enter
[2:26:55.360 --> 2:26:59.440]  you into the into the open enrollment. It's only a short open enrollment. The course actually
[2:26:59.440 --> 2:27:04.320]  starts March the 1st. We only give it twice per year. And I'm happy to say that we've had at least
[2:27:04.320 --> 2:27:09.920]  25 medical doctors go through our course and the medical doctors. And when they go through the
[2:27:09.920 --> 2:27:14.480]  course, they go, we've never learned this. I had no idea. Well, you just heard the head of the
[2:27:14.480 --> 2:27:19.280]  head of the World Health Organization say that the average doctor gets half a day. And so you're
[2:27:19.280 --> 2:27:24.800]  providing the facts to people which will overturn their life. You're hitting right at the root
[2:27:24.800 --> 2:27:31.040]  as a medical doctor showing them the facts things they've never seen. That's exactly right. And
[2:27:31.040 --> 2:27:35.600]  what we are actually doing is we are creating an educational force for people to go back. I mean,
[2:27:35.600 --> 2:27:40.240]  think about it, Alex. I mean, they have pro vaccine training all the time. They teach doctors how to
[2:27:40.240 --> 2:27:44.960]  deal with vaccine resistant parents. They teach them how to document in their charts, even if they
[2:27:44.960 --> 2:27:49.040]  don't give a vaccine so they get paid. They have all kinds of educational courses. We have an
[2:27:49.040 --> 2:27:54.000]  educational course now to train people. And so you will be able to recite all of these different
[2:27:54.000 --> 2:27:59.520]  things. And to be go back to that UN meeting that you just showed and blow away every single one
[2:27:59.520 --> 2:28:04.080]  of those nuggets because Alex, I'm telling you, when I first heard all of that and I listened,
[2:28:04.080 --> 2:28:08.720]  I didn't listen to all 20 hours of it. I certainly listened to the highlights of it. It was jaw
[2:28:08.720 --> 2:28:14.240]  dropping to me. It should be enough right there to stop this industry. Well, Rob do who's obsessed
[2:28:14.240 --> 2:28:19.200]  with this because he's seen family hurt by it. He did watch the whole thing and he was crying the
[2:28:19.200 --> 2:28:24.960]  next day. It's the next thing that we have to do instead of fighting to retain our right to
[2:28:24.960 --> 2:28:29.520]  refuse our God given right to refuse. We need to band together and go for the jugular and end
[2:28:29.520 --> 2:28:34.080]  this beast. It's time for this. That's right, because we have the power of science and facts on
[2:28:34.080 --> 2:28:39.520]  our hands. We have the inserts. We have the proof how dare them say we're liars when the head of
[2:28:39.520 --> 2:28:44.240]  the UN says Dr. Sheridan Penny's been right all along. We're going to come back with more and
[2:28:44.240 --> 2:28:48.720]  ask how they're going to strike back next. I mean, they're calling for arresting anyone that
[2:28:48.720 --> 2:28:55.760]  questions it. This is big pharma folks who trust them. If you're trying to quit drinking or doing
[2:28:55.760 --> 2:29:01.760]  too many drugs, listen to me. You don't know me and we'll never meet. I had a problem like you once.
[2:29:01.760 --> 2:29:08.320]  I drank and used to party a little too much till it got out of control and almost ruin my life.
[2:29:08.320 --> 2:29:14.640]  I realized I needed help to fix my problem before it totally destroyed me. If you've tried to fix
[2:29:14.640 --> 2:29:20.320]  your drinking and drug problem and you know you can't do it alone, you need to call the national
[2:29:20.320 --> 2:29:26.160]  treatment advisors. They'll immerse you into a 30 day program to replace your old habits with new
[2:29:26.160 --> 2:29:32.320]  habits and totally change your life. And if you have PPO private health insurance, the entire
[2:29:32.320 --> 2:29:38.960]  program may be covered. Fix your problem right now before it gets any worse. Get clean. Call now
[2:29:38.960 --> 2:29:52.560]  and learn more. 800-506-6740. 800-506-6740. That's 800-506-6740.
[2:29:55.600 --> 2:30:03.280]  Allergies, dander, asthma, germs, toxins. There are many reasons why we need to think about what is
[2:30:03.280 --> 2:30:08.240]  really in the air around us. We may not be able to stop breathing, but we can control what's in
[2:30:08.240 --> 2:30:14.320]  the air we breathe. The revolutionary Alexa Pure Breeze air filtration system is a powerful ally
[2:30:14.320 --> 2:30:20.400]  in the fight against the dangerous toxins and viruses in the air. Powerful, quiet, and effective,
[2:30:20.400 --> 2:30:26.080]  the breeze uses a four-step purification process to help you breathe easier and cleaner. Similar
[2:30:26.080 --> 2:30:31.680]  systems could cost hundreds to even thousands of dollars, but the Alexa Pure Breeze air purification
[2:30:31.680 --> 2:30:36.960]  is the best and most affordable bar none. The breeze in the ion cluster patented technology
[2:30:36.960 --> 2:30:43.760]  used in the system eliminate up to 99.97% of airborne contaminants. Get the Alexa Pure Breeze
[2:30:43.760 --> 2:30:49.200]  today and save big on a world-class air filtration system for your home. Don't keep breathing toxic
[2:30:49.200 --> 2:30:56.240]  or dangerous air. Get this special today at infohorsestore.com. There's roughly only 260 days
[2:30:56.240 --> 2:31:01.200]  left until the 2020 election, and already you've seen all sorts of crazy things happen. The globalists
[2:31:01.200 --> 2:31:04.880]  are trying to plunge the economy. They're trying to start wars. They're trying to overthrow the
[2:31:04.880 --> 2:31:09.360]  president. They're trying to silence free speech. They're trying to trigger riots in the streets,
[2:31:09.360 --> 2:31:13.360]  but everything they do is blowing up in their face. We the people have to pray,
[2:31:13.360 --> 2:31:17.520]  stay focused, be involved, keep spreading the word, keep countering their lies,
[2:31:17.520 --> 2:31:22.560]  and we have to be prepared in case things go south. That's why it's so critical to go to
[2:31:22.560 --> 2:31:28.080]  infohorsestore.com and stock up on high quality preparedness items from storeable foods, high
[2:31:28.080 --> 2:31:32.320]  quality water filtration, air filtration, to the very best supplements and silver products
[2:31:32.320 --> 2:31:37.120]  you're going to find. They're all available at infohorsestore.com and your purchase there
[2:31:37.120 --> 2:31:40.800]  not only ensures high quality products during your family at great prices, but it funds the info
[2:31:40.800 --> 2:31:46.560]  war in this critical time. A total complete absolute 360 win. Every point of the compass is
[2:31:46.560 --> 2:31:51.680]  covered. The only way we can be defeated is if you don't take action. Get high quality products
[2:31:51.680 --> 2:31:57.840]  at infohorsestore.com today. The evidence is overwhelming. Coronavirus is a man-made
[2:31:57.840 --> 2:32:04.640]  bio-weapon designed to destroy nation-states, economies, and free peoples and usher in a
[2:32:04.640 --> 2:32:10.640]  planetary government. This is how the globalists are striking back. Here's a fortune headline today.
[2:32:10.640 --> 2:32:17.520]  Fears of global coronavirus can tage in rage as 3,000 cruise ship passengers return home,
[2:32:17.520 --> 2:32:24.800]  and that's just in one nation. Coronavirus deals a major blow to German car factories in China
[2:32:24.800 --> 2:32:32.160]  that reporting it could cut their sales in half this year. That's how major this is.
[2:32:32.960 --> 2:32:40.560]  Everyone needs to be prepared. 2020 is not a year to play games. Info wars will continue to report
[2:32:40.560 --> 2:32:45.600]  the latest information as it comes out, regardless of the fact that the establishment will try to
[2:32:45.600 --> 2:32:50.560]  punish us for telling the truth. We need you to step into the plate and help spread the word
[2:32:50.560 --> 2:33:00.160]  about ban.video and infohorsestore.com today. You're listening to the Alex Jones show.
