[00:00:00.723 --> 00:00:02.325]  What's his name?
[00:42:28.255 --> 00:42:29.917]  What was he thinking?
[00:42:29.917 --> 00:42:31.139]  He's delivering on his actions.
[00:42:31.139 --> 00:42:34.924]  We know he's good, but why would he leave all these open enemies, these globalist collaborators in?
[00:42:36.147 --> 00:42:39.109]  And then, uh, the torture thing he was wrong about, he backed off that.
[00:42:39.109 --> 00:42:41.430]  He was being honest about what the military's doing.
[00:42:41.430 --> 00:42:45.512]  Uh, the FBI want the codes to iPhones, he misunderstood that.
[00:42:45.512 --> 00:42:50.655]  And then, of course, on the military thing, he's not really wrong, but he could go sideways in Syria.
[00:42:50.655 --> 00:42:51.955]  We'll talk about that briefly.
[00:42:51.955 --> 00:42:57.098]  But first, I'm going to get into SNL and their attack on myself and Trump last night, straight ahead.
[00:42:58.840 --> 00:43:06.803]  China warns that it is reconsidering its policy not to use nuclear weapons against South Korea in response to the US.
[00:43:06.803 --> 00:43:19.427]  In an article by Paul Joseph Watson, he writes that a missile defense system, THAAD, is being deployed to shield South Korea from North Korean ballistic missiles after several tests by the Stalinist state in recent months.
[00:43:19.727 --> 00:43:25.168]  Beijing is furious because this will be capable of detecting missiles launched from China.
[00:43:25.168 --> 00:43:27.148]  It was also reported that the U.S.
[00:43:27.148 --> 00:43:34.650]  will send nuclear bombers to South Korea along with an aircraft carrier in order to display a stern show of strength.
[00:43:34.650 --> 00:43:43.052]  Beijing will respond to America's strategic provocations by actioning a rapid increase in the number of China's strategic nuclear weapons.
[00:43:43.052 --> 00:43:45.192]  The piece warns that if the U.S.
[00:43:45.192 --> 00:43:49.413]  further intensifies its anti-missile attempts and strategic containment,
[00:43:49.793 --> 00:43:55.318]  China may reconsider its pledge of not being the first to use nuclear weapons.
[00:43:55.318 --> 00:43:59.821]  This is Millie Weaver reporting for InfoWars.com.
[00:43:59.821 --> 00:44:05.326]  The reason InfoWars Live has five-star ratings on major third-party sites is because I want products I'm going to use for my family.
[00:44:05.326 --> 00:44:06.167]  I take this.
[00:44:06.167 --> 00:44:07.288]  My family takes this.
[00:44:07.288 --> 00:44:11.591]  And then it funds the operation with the most hardcore, truthful information you're going to find anywhere.
[00:44:11.591 --> 00:44:15.795]  So what you find in our news is the same thing you find in our products at InfoWarsLive.com.
[00:44:16.175 --> 00:44:20.816]  If I ever forget to take them, I have a noticeable difference.
[00:44:20.816 --> 00:44:21.936]  I don't feel good.
[00:44:21.936 --> 00:44:25.697]  The nascent iodine is one of the ones that was life-changing for me.
[00:44:25.697 --> 00:44:28.398]  Yeah, I actually have just run out of my Super Female.
[00:44:28.398 --> 00:44:34.180]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:44:34.180 --> 00:44:37.140]  Very exciting, feeling great, looking good.
[00:44:37.140 --> 00:44:40.681]  And I know my hair is luxurious once again.
[00:44:40.681 --> 00:44:42.922]  So, obviously the Super Female is amazing.
[00:44:42.922 --> 00:44:43.282]  I love it.
[00:44:43.442 --> 00:44:46.227]  Nascent Iodine is essential.
[00:44:46.227 --> 00:44:47.248]  Survival Shield X2.
[00:44:47.248 --> 00:44:52.897]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:44:52.897 --> 00:44:55.101]  It's got a five-star rating.
[00:44:55.101 --> 00:44:56.323]  It's a win-win.
[00:44:56.323 --> 00:44:57.305]  Infowarslife.com.
[00:45:00.057 --> 00:45:05.120]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:45:05.120 --> 00:45:13.804]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:45:13.804 --> 00:45:17.926]  Longevity also offers you an ingenious way to augment your income.
[00:45:17.926 --> 00:45:18.707]  And the best part?
[00:45:18.707 --> 00:45:21.588]  You'll be helping your friends and family along the way.
[00:45:21.588 --> 00:45:24.189]  Visit infowarsteam.com today.
[00:45:24.189 --> 00:45:24.970]  Become a member.
[00:45:24.970 --> 00:45:29.032]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:45:29.252 --> 00:45:35.974]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:45:35.974 --> 00:45:36.934]  Another win-win.
[00:45:36.934 --> 00:45:40.675]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:45:40.675 --> 00:45:41.915]  And you can be too.
[00:45:41.915 --> 00:45:42.456]  It's simple.
[00:45:42.456 --> 00:45:45.396]  Just go to Infowarsteam.com today.
[00:45:45.396 --> 00:45:47.517]  Complete a short sign-up and you're part of the team.
[00:45:47.517 --> 00:45:50.758]  That's Infowarsteam.com or Infowarshealth.com.
[00:45:50.758 --> 00:45:57.060]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:45:57.060 --> 00:45:58.360]  Check it out for yourself today.
[00:45:59.813 --> 00:46:04.297]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:46:04.297 --> 00:46:15.227]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:46:15.407 --> 00:46:20.449]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:46:20.449 --> 00:46:23.030]  It helps balance the thyroid gland.
[00:46:23.030 --> 00:46:24.730]  It helps detoxify.
[00:46:24.730 --> 00:46:27.611]  Selenium is another one of those absolute must-haves.
[00:46:27.611 --> 00:46:32.393]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:46:32.393 --> 00:46:38.655]  As a matter of fact, there's 25 genes in the body that are directly dependent upon selenium.
[00:46:38.655 --> 00:46:43.977]  So it really is an all-around nutrient that everybody really needs.
[00:46:43.977 --> 00:46:44.737]  I'm taking it now.
[00:46:45.197 --> 00:46:47.298]  You're listening to the Alex Jones Show!
[00:47:12.426 --> 00:47:21.470]  From the front lines of the information war, it's Alex Jones.
[00:47:21.470 --> 00:47:25.592]  All right, we're back.
[00:47:25.592 --> 00:47:31.274]  You know, I was going to take calls next hour, but Buckley made the joke today when I was up here at, like, one o'clock.
[00:47:31.274 --> 00:47:35.296]  I said, I'm going to shoot a five-minute report on SNL to counter their lies.
[00:47:35.296 --> 00:47:36.557]  He said, no way you can do that.
[00:47:36.557 --> 00:47:37.477]  You haven't done that in years.
[00:47:37.477 --> 00:47:38.778]  You just can't shut up.
[00:47:38.778 --> 00:47:39.278]  He goes, it's fine.
[00:47:39.278 --> 00:47:40.298]  It'll be a long report.
[00:47:40.298 --> 00:47:41.539]  He goes, I think it'll be 20 minutes long.
[00:47:42.339 --> 00:47:43.159]  He's been editing it.
[00:47:43.159 --> 00:47:45.080]  It's 17 minutes long right now.
[00:47:45.080 --> 00:47:47.961]  And I need to premiere this on air because it's powerful.
[00:47:47.961 --> 00:47:51.142]  He's added a lot of clips documenting everything I say.
[00:47:51.142 --> 00:47:53.903]  Because I'm not just going to say Trump's not a coward.
[00:47:53.903 --> 00:47:55.284]  He invites people up on stage.
[00:47:55.284 --> 00:47:57.224]  He walks in front of motorcades.
[00:47:57.224 --> 00:47:58.945]  The Secret Service says don't do it.
[00:47:58.945 --> 00:48:01.386]  He's had hundreds of millions of dollars of boycott.
[00:48:01.386 --> 00:48:02.566]  He has incredible courage.
[00:48:02.566 --> 00:48:05.927]  Then they call him a coward on Saturday Night Live with no proof.
[00:48:05.927 --> 00:48:07.348]  I'm going to show you the things I said.
[00:48:08.601 --> 00:48:25.474]  I'm going to show you the other big lies, but I know you as an audience get their lies, but I don't want to be over here in our reality as an echo chamber, and then they're over in their reality where Islam isn't radical, and Obamacare is free, and we all know they're in the fantasy land.
[00:48:25.474 --> 00:48:28.656]  We see through rose-colored darklies as well.
[00:48:28.656 --> 00:48:36.142]  We distort things as well, but we're not trying to, and we're following common sense that's been proven to be on target.
[00:48:36.142 --> 00:48:38.104]  Quite frankly, the only distortion here that I find
[00:48:39.594 --> 00:48:45.936]  A hundred times out of 101, I mean literally, is that I tend to dial stuff back.
[00:48:45.936 --> 00:48:50.177]  I tend to like have a number in my head that I remember and I'll just dial it back.
[00:48:50.177 --> 00:48:57.640]  Because it's just too incredible that they admit that the first round of
[00:48:59.445 --> 00:49:04.707]  Polio shots gave over 100 million people cancer in America, and that's from the CDC.
[00:49:04.707 --> 00:49:08.628]  Or that my own grandmother got polio from the vaccine and they admitted it to her.
[00:49:08.628 --> 00:49:11.528]  She just died a month ago.
[00:49:11.528 --> 00:49:15.850]  She lived from the 50s on until she was 92 years old.
[00:49:15.850 --> 00:49:16.630]  Completely crippled.
[00:49:16.630 --> 00:49:21.211]  I know she loved political correctness.
[00:49:21.211 --> 00:49:22.552]  Don't call her crippled.
[00:49:22.552 --> 00:49:23.252]  That's a bad word.
[00:49:23.252 --> 00:49:25.553]  They don't know why they just said so.
[00:49:25.553 --> 00:49:26.933]  But then don't care that they crippled her.
[00:49:35.134 --> 00:49:36.196]  I'm not sad that she died.
[00:49:36.196 --> 00:49:37.117]  She was in so much pain.
[00:49:37.117 --> 00:49:39.140]  She was so damn tough.
[00:49:39.140 --> 00:49:45.790]  I'm sad that she had her life twisted and was in so much pain and they knew there was cancer viruses in it.
[00:49:45.790 --> 00:49:47.032]  What a group of jerks.
[00:49:49.787 --> 00:49:53.590]  Oh, America was arrogant, America was strong, America was powerful.
[00:49:53.590 --> 00:50:07.282]  We had to be taught, we had to be made sick, we had to be soft-killed so the big Rockefeller medical combine could suck all the money out of everybody and make us all diseased and stun it with fluoride and cancer viruses.
[00:50:07.282 --> 00:50:11.185]  Oh yeah, that sounds hardcore, just like cameras and microphones are watching and listening to you.
[00:50:11.185 --> 00:50:14.808]  I didn't just guess that 18 years ago, I had the documents, the schematics.
[00:50:16.820 --> 00:50:22.285]  They'd routinely send the army over in plainclothes to threaten me or beat me up in the parking lots.
[00:50:22.285 --> 00:50:24.206]  I mean, I've been down the road.
[00:50:24.206 --> 00:50:26.668]  Most people sit there and bitch and complain and quit right away.
[00:50:26.668 --> 00:50:28.330]  I love it!
[00:50:28.330 --> 00:50:31.832]  Hell, I knew I was on target when I was exposing all this.
[00:50:31.832 --> 00:50:34.214]  I knew I was doing something for my family and humanity.
[00:50:34.214 --> 00:50:35.696]  I was feeling good.
[00:50:35.696 --> 00:50:37.617]  I wasn't some traitor to my species.
[00:50:37.617 --> 00:50:39.859]  I wasn't sold out like Alec Baldwin.
[00:50:39.859 --> 00:50:40.460]  I was real.
[00:50:40.460 --> 00:50:41.540]  I was going to change the world.
[00:50:41.540 --> 00:50:42.101]  And you know what?
[00:50:42.101 --> 00:50:42.902]  I did change the world.
[00:50:43.680 --> 00:50:47.383]  Because you listened, you researched, you took action.
[00:50:47.383 --> 00:50:50.005]  There are a lot of people before me knew all this.
[00:50:50.005 --> 00:50:56.449]  That they would get kicked off this radio station or get shut down or get set up by the IRS or they got too, you know, informative.
[00:50:56.449 --> 00:51:01.073]  There have been other talk shows, they killed plenty of them.
[00:51:01.073 --> 00:51:02.994]  But I came along in the age of the internet.
[00:51:04.847 --> 00:51:08.049]  And so it didn't go the way they thought because they were so arrogant.
[00:51:08.049 --> 00:51:11.011]  They thought they could defeat us with just disinformation.
[00:51:11.011 --> 00:51:13.153]  Instead, all that did was discredit them.
[00:51:13.153 --> 00:51:14.214]  Have they learned?
[00:51:14.214 --> 00:51:14.854]  No!
[00:51:14.854 --> 00:51:17.296]  So, I'm going to give the SNL piece.
[00:51:17.296 --> 00:51:23.280]  I'm going to stop and start it and go over the points, but I almost never write notes for a show.
[00:51:23.280 --> 00:51:24.721]  Let me read you these notes.
[00:51:24.721 --> 00:51:25.482]  Document cam, please.
[00:51:27.162 --> 00:51:28.523]  This is about Alec Baldwin.
[00:51:28.523 --> 00:51:29.423]  They are losers.
[00:51:29.423 --> 00:51:32.685]  They pretend to be entertainment, but are actually propaganda.
[00:51:32.685 --> 00:51:38.208]  Stephen Colbert pretends to be a newscaster, but is actually fake news.
[00:51:38.208 --> 00:51:41.890]  What they do is actually invert everything, a form of plagiarism.
[00:51:41.890 --> 00:51:43.371]  They just steal our research on them.
[00:51:43.371 --> 00:51:43.991]  It's real.
[00:51:43.991 --> 00:51:44.452]  Turn it around.
[00:51:44.452 --> 00:51:47.113]  Globalism's alien to the nation-state, taking over.
[00:51:47.113 --> 00:51:47.493]  It's evil.
[00:51:47.493 --> 00:51:47.953]  It's corrupt.
[00:51:47.953 --> 00:51:48.554]  It's bad.
[00:51:48.554 --> 00:51:53.797]  Trump's defending against it, so he's the guy siding with aliens against the world in this piece.
[00:51:54.813 --> 00:52:05.659]  And the truth is, the blue states of the brainwashed people, not that the Republicans are perfect, but that's where the rebellion is happening, the awakenings in that area, they're the ones surrounded like they show on the map.
[00:52:05.659 --> 00:52:07.540]  Not America.
[00:52:07.540 --> 00:52:08.240]  Bring back coal.
[00:52:08.240 --> 00:52:09.721]  They go, why would you bring back coal, you idiot?
[00:52:09.721 --> 00:52:17.045]  Oh, it's only 2,000 years worth and totally clean and good, and the globals want it shut off to jack up our prices.
[00:52:17.045 --> 00:52:19.666]  An alien attack would be cutting our power off.
[00:52:20.919 --> 00:52:25.282]  And this alien attack is off for corporations that are alien to the nation-state, who think we're all idiots.
[00:52:25.282 --> 00:52:27.364]  But once they're identified, it's all over.
[00:52:27.364 --> 00:52:31.567]  They say that the aliens are basically Tsar-Lak-9, or the Russians.
[00:52:31.567 --> 00:52:34.229]  And again, Trump's covering that up because he actually works for them.
[00:52:34.229 --> 00:52:38.612]  Again, no connection, no truth, all a hoax, all a fraud.
[00:52:38.612 --> 00:52:40.093]  They're the globalists, they're the outside group.
[00:52:43.066 --> 00:52:44.707]  Trump Hotel's gonna go bankrupt.
[00:52:44.707 --> 00:52:45.888]  None of that's true.
[00:52:45.888 --> 00:52:49.070]  The numbers have been never better on his companies than what he's doing.
[00:52:49.070 --> 00:52:49.811]  Pledge of Allegiance.
[00:52:49.811 --> 00:52:50.591]  He doesn't know it.
[00:52:50.591 --> 00:52:51.432]  He doesn't know America.
[00:52:51.432 --> 00:52:55.435]  Hillary's the one that wouldn't say, under God, Obama wouldn't put his hand over his heart.
[00:52:55.435 --> 00:52:57.997]  So exactly what they say about Trump, the inverse.
[00:52:57.997 --> 00:53:00.818]  Blacks are aliens and Trump is racist and doesn't trust black people.
[00:53:00.818 --> 00:53:02.620]  I mean, just, that's like two-year-old level.
[00:53:02.620 --> 00:53:05.242]  Only a five-year-old would watch this and not like Trump if they were black.
[00:53:05.242 --> 00:53:10.685]  If you showed a five-year-old kid who was black that they'd say, he doesn't like black people.
[00:53:10.685 --> 00:53:12.547]  I mean, this is like five-year-old level.
[00:53:13.746 --> 00:53:15.808]  But it's not even Trump, it's Alec Baldwin!
[00:53:15.808 --> 00:53:17.469]  Next they'll say that's a conspiracy theory.
[00:53:17.469 --> 00:53:17.829]  Jones?
[00:53:17.829 --> 00:53:19.071]  That's actually Trump.
[00:53:19.071 --> 00:53:20.812]  Probably people think he is Trump.
[00:53:20.812 --> 00:53:22.133]  Gets his info from Infowars.
[00:53:22.133 --> 00:53:26.997]  Well that's true, part of that's true, but I'm getting my info from... I mean you would believe the info I get.
[00:53:26.997 --> 00:53:30.040]  Now I'm so trusted by patriots, I'm not even bragging.
[00:53:30.040 --> 00:53:35.785]  I mean the stuff I know that comes out to be accurate every time is just, I'm like, this is unreal.
[00:53:35.785 --> 00:53:38.187]  I mean it is just, it's unbelievable.
[00:53:39.790 --> 00:54:01.816]  And I had no idea that we were the only main resistance group that got picked up by patriots inside the government 18 years ago, 15 years ago, and 12 years ago, and that splinter groups that were for America in the CIA, NSA, Defense Intelligence, CENTCOM, SOUTHCOM, NORTHCOM, Space Command, Interspatial, everything said, listen to Jones, and we're going to build a movement to defeat these people and kick them out.
[00:54:01.816 --> 00:54:03.477]  They had commanders of whole
[00:54:06.663 --> 00:54:08.184]  I can't even get into it.
[00:54:08.184 --> 00:54:14.888]  They had groups managing entire, you know, all four branches of the military in briefings saying, this is the place.
[00:54:14.888 --> 00:54:19.511]  We can't tell you what's compartmentalized because you're not able to get this classified info.
[00:54:19.511 --> 00:54:24.715]  Listen to Alex Jones.
[00:54:24.715 --> 00:54:26.936]  Now, that's why they're so pissed, folks.
[00:54:26.936 --> 00:54:32.940]  Because we've done the research, but I also studied so much history that I know what they're doing better than they do.
[00:54:34.312 --> 00:54:36.893]  Cuz if you really knew how this stuff works, you wouldn't join with this.
[00:54:36.893 --> 00:54:39.974]  It's like jumping in a frickin' wood chipper.
[00:54:39.974 --> 00:54:42.255]  Nobody's gonna get out of this new world order.
[00:54:42.255 --> 00:54:44.736]  Not Eric Schmidt, not Zuckerberg.
[00:54:44.736 --> 00:54:45.637]  Nobody's gonna...
[00:54:48.482 --> 00:54:54.425]  This thing they're setting up is not of this world and is bad for everybody if you're a human.
[00:54:54.425 --> 00:54:59.067]  And again, they make the joke, oh, Jones says body snatchers or, you know, things run things.
[00:54:59.067 --> 00:55:00.928]  No, that's David Icker, shapeshifters.
[00:55:00.928 --> 00:55:05.110]  The archetype is the globalists believe they're merging with machines and are a breakaway species.
[00:55:05.110 --> 00:55:09.512]  Psychopaths always think everybody else is scum and that they're the only good people.
[00:55:09.512 --> 00:55:15.155]  It's humans, but it's breakaway guilds of psychopaths and sociopaths and the compartmentalized people under them.
[00:55:15.555 --> 00:55:16.756]  That are actually doing this.
[00:55:16.756 --> 00:55:24.001]  It's very alien to the human system.
[00:55:24.001 --> 00:55:26.023]  So, this is amazing.
[00:55:26.023 --> 00:55:27.304]  They're attacking the independent press.
[00:55:27.304 --> 00:55:28.425]  They're attacking their enemies.
[00:55:28.425 --> 00:55:29.986]  They think you're stupid.
[00:55:29.986 --> 00:55:32.067]  We're going to play the clips again when we come back.
[00:55:32.067 --> 00:55:35.670]  I promise I'm going to get to all these and then I have a detailed report that's going to go over all of it.
[00:55:35.670 --> 00:55:39.773]  But, while I'm making a big deal of it, it's not that it's SNL.
[00:55:39.773 --> 00:55:40.994]  I've been attacked on every other
[00:55:42.370 --> 00:55:47.553]  Major news show, but also the so-called entertainment shows.
[00:55:47.553 --> 00:55:50.554]  Jimmy Kimmel, probably 20 times I know of.
[00:55:50.554 --> 00:55:52.055]  Colbert, that many as well.
[00:55:52.055 --> 00:55:54.516]  I mean, just the last few months, like every week.
[00:55:54.516 --> 00:55:59.719]  And they'll say, I got to watch this because they'll clip it out, but I still got to say it because they're going to take it out.
[00:55:59.719 --> 00:56:00.319]  Let them do it.
[00:56:00.319 --> 00:56:02.620]  They're liars.
[00:56:02.620 --> 00:56:04.221]  They'll put clips, I'm anti-gay.
[00:56:04.221 --> 00:56:05.862]  And I said, I'm not anti-gay.
[00:56:05.862 --> 00:56:06.322]  I'm anti-gay.
[00:56:08.516 --> 00:56:11.799]  I mean, I'm not saying I'm not anti-gay so people be nice to me.
[00:56:11.799 --> 00:56:14.801]  I literally am not against anybody.
[00:56:14.801 --> 00:56:16.022]  I never have been.
[00:56:16.022 --> 00:56:17.703]  It's like saying, why do you beat your wife?
[00:56:17.703 --> 00:56:18.163]  Well, I don't.
[00:56:18.163 --> 00:56:19.204]  Or why'd you rob that bank?
[00:56:19.204 --> 00:56:20.625]  Well, I didn't.
[00:56:20.625 --> 00:56:20.926]  Oh, really?
[00:56:20.926 --> 00:56:23.428]  Why are you covering up?
[00:56:23.428 --> 00:56:25.669]  But again, that's all they've got is bullying, folks.
[00:56:25.669 --> 00:56:26.970]  It doesn't work anymore.
[00:56:26.970 --> 00:56:28.491]  All right, we're gonna go to break.
[00:56:28.491 --> 00:56:29.032]  I'm gonna come back.
[00:56:29.032 --> 00:56:31.594]  I promise I'm gonna get to all the clip and then stop and start it and go over it.
[00:56:32.688 --> 00:56:41.536]  But again, the reason this report is so important is it just shows what liars they are, and a big discovery I made of how they're plagiarizing the truth and inverting it.
[00:56:41.536 --> 00:56:43.358]  This is a big breakthrough.
[00:56:43.358 --> 00:56:48.563]  Before we go any further, we have MycoZX that is now undoubtedly the best-selling product we've ever come out with.
[00:56:48.563 --> 00:56:49.884]  Some stuff takes the pole position.
[00:56:49.884 --> 00:56:51.746]  X2, Supramel Vitality.
[00:56:51.746 --> 00:56:57.251]  This is the known enzymes and patented acids and supercharged concentrated herbs.
[00:56:58.240 --> 00:57:05.705]  That neutralize naturally and healthfully the fungus and other molds and garbage that's in the gut and infesting our bodies.
[00:57:05.705 --> 00:57:11.329]  You think bad bacteria are our problem, so we need good, you know, probiotics like BiomeDefense at InfoWarsLife.com.
[00:57:11.329 --> 00:57:12.189]  Yes, that's important.
[00:57:12.189 --> 00:57:13.250]  But this is next level.
[00:57:13.250 --> 00:57:14.851]  This is the big area that's been missed.
[00:57:14.851 --> 00:57:22.856]  Because when the good bacteria get killed, because all the herbicides and pesticides we eat, that's admitted, it's undisputed, the bad bacteria move in, but more importantly the yeast and the mold.
[00:57:22.856 --> 00:57:23.837]  This knocks it out.
[00:57:24.477 --> 00:57:26.517]  And it's incredible, and it's so easy to do.
[00:57:26.517 --> 00:57:28.018]  It's going to sell out in the next few days.
[00:57:28.018 --> 00:57:32.239]  I'm still going to keep it discounted out of the gates, even though I probably should raise the price for the operation.
[00:57:32.239 --> 00:57:35.159]  Get your Mico ZX 10% off when you get it with the Biome Defense.
[00:57:35.159 --> 00:57:36.160]  It's already discounted.
[00:57:36.160 --> 00:57:38.440]  And 10% on top of that when you sign up for AutoShip.
[00:57:38.440 --> 00:57:40.421]  And we have free shipping running through Tuesday.
[00:57:40.421 --> 00:57:43.081]  Infowarslife.com, Infowarsstore.com, or 888-253-33139.
[00:57:43.081 --> 00:57:44.301]  Get great products and fund the resistance!
[00:57:49.096 --> 00:57:53.841]  Men, give your body the support it needs with InfoWars Life Prostagard.
[00:57:53.841 --> 00:57:58.265]  It's time to start assisting the body in regulating proper prostate balance.
[00:57:58.265 --> 00:58:08.875]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[00:58:09.495 --> 00:58:17.460]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[00:58:17.460 --> 00:58:26.806]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[00:58:26.806 --> 00:58:37.072]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[00:58:37.572 --> 00:58:40.996]  Now's the time to start naturally supporting your body.
[00:58:40.996 --> 00:58:45.642]  Get Prostagard on your side today, exclusively at Infowarslife.com.
[00:58:45.642 --> 00:58:46.763]  That's Infowarslife.com.
[00:58:49.867 --> 00:58:58.114]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWar.
[00:58:58.114 --> 00:58:59.335]  A 360 win.
[00:58:59.335 --> 00:59:05.900]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWarshore.com.
[00:59:05.900 --> 00:59:13.426]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[00:59:13.826 --> 00:59:18.490]  Number three, we're giving you free shipping on all orders above $50.
[00:59:18.490 --> 00:59:25.015]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[00:59:25.015 --> 00:59:32.801]  Just go to InfoWarsTore.com, select your favorite product or products, click on AutoShip, and choose how often you want us to send you another order.
[00:59:32.801 --> 00:59:40.006]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[00:59:40.006 --> 00:59:40.827]  10% off on AutoShip.
[00:59:40.967 --> 00:59:43.408]  Win-win-win at Infowarslife.com.
[00:59:43.408 --> 00:59:45.390]  Free shipping on orders above 50 bucks.
[00:59:45.390 --> 00:59:53.334]  And all out-of-stock items are never out of stock when you sign up for AutoShip.
[00:59:53.334 --> 00:59:55.996]  You're listening to the Alex Jones Show.
[01:00:13.025 --> 01:00:15.626]  Waging war on corruption.
[01:00:15.626 --> 01:00:20.507]  It's Alex Jones.
[01:00:20.507 --> 01:00:26.729]  Coming up in the last segment today, I interviewed Jesse James for more than an hour in studio.
[01:00:26.729 --> 01:00:32.190]  And you know, as much as I don't believe the mainstream media, I didn't really follow the tabloids.
[01:00:32.190 --> 01:00:34.831]  But who could ignore it back when he was married to Sandra Bullock?
[01:00:36.246 --> 01:00:37.667]  And the stuff they said about him.
[01:00:37.667 --> 01:00:39.448]  And I remember at the time thinking, this is weird.
[01:00:39.448 --> 01:00:42.629]  And I knew people who were high up in Hollywood.
[01:00:42.629 --> 01:00:48.713]  That was back when I was out in Hollywood at least five or six times a year on TV shows and things and some movies.
[01:00:48.713 --> 01:00:50.214]  Where I totally gave up on it.
[01:00:50.214 --> 01:00:51.514]  Not from lack of success.
[01:00:51.514 --> 01:00:53.475]  It was just so evil and so pathetic.
[01:00:53.475 --> 01:00:55.977]  But I got the inside scoop on Jesse James.
[01:00:55.977 --> 01:00:59.358]  And again, it's not about him and Sandra Bullock.
[01:00:59.358 --> 01:01:01.240]  It's how things are controlled.
[01:01:01.240 --> 01:01:03.241]  How she saw her star falling.
[01:01:03.241 --> 01:01:05.522]  She wanted to make this movie a hit.
[01:01:05.522 --> 01:01:05.642]  And
[01:01:07.574 --> 01:01:18.478]  The fact that this Goody Two-Shoes image that was going on and you know, the claims that he was off cheating on her and all this.
[01:01:18.478 --> 01:01:21.199]  I was told the truth in Hollywood all about it.
[01:01:21.199 --> 01:01:24.760]  And then I later, Jesse James, I've known Jesse like six years.
[01:01:26.687 --> 01:01:33.792]  Jesse James told me the exact stuff I've been told by other people, but he was just, he's like, really is like a guy that welds all day.
[01:01:33.792 --> 01:01:35.873]  I mean, it's like, you go over to his house at like 10 at night, it's what he's doing.
[01:01:35.873 --> 01:01:37.314]  It's like crazy.
[01:01:37.314 --> 01:01:45.160]  He just lives in this thing of blast furnaces and huge machines out in the woods, and it's like, yeah, he really does build almost everything he puts together.
[01:01:45.160 --> 01:01:48.622]  I mean, some stuff gets made by his crew, but he's like doing 80% of it.
[01:01:48.622 --> 01:01:49.523]  It's just crazy.
[01:01:51.624 --> 01:01:52.464]  It's just crazy.
[01:01:52.464 --> 01:01:54.625]  And again, it's like authentic versus fake.
[01:01:54.625 --> 01:01:55.926]  And I can't even tell you the stuff I know.
[01:01:55.926 --> 01:01:59.508]  I mean, tabloids would kill for it.
[01:01:59.508 --> 01:02:00.808]  But I'm never going to talk about it.
[01:02:00.808 --> 01:02:01.849]  That's just who I am.
[01:02:01.849 --> 01:02:03.670]  It doesn't even matter to me anyways.
[01:02:03.670 --> 01:02:14.835]  It's just like how Sandra Bullock came out and said he was cheating on her to promote a movie.
[01:02:21.403 --> 01:02:22.664]  I'm not even going to say it.
[01:02:22.664 --> 01:02:24.765]  It's just unbelievable.
[01:02:24.765 --> 01:02:34.749]  And she knew that he'd sit there and take it and wouldn't even defend himself because he's a man.
[01:02:34.749 --> 01:02:38.711]  And you know, he is the classic archetypal tough guy, you know.
[01:02:41.357 --> 01:02:42.178]  I don't think so.
[01:03:02.844 --> 01:03:04.064]  This is supposed to be a victory lap.
[01:03:04.064 --> 01:03:05.945]  No, that was a few months ago, the interview never happened.
[01:03:05.945 --> 01:03:07.105]  Now, they're really after Trump.
[01:03:07.105 --> 01:03:10.967]  And just because he's doing all this good, Jesse, doesn't mean that we can just sit back and think he's gonna win.
[01:03:10.967 --> 01:03:14.088]  We win the Super Bowl, we gotta start planning to win the next game.
[01:03:14.088 --> 01:03:15.208]  But this isn't even like that.
[01:03:15.208 --> 01:03:18.509]  The war is now.
[01:03:18.509 --> 01:03:20.290]  And so Jesse's like, who's right, who's wrong?
