[00:00:00.071 --> 00:00:00.318]  Okay.
[01:57:00.946 --> 01:57:08.448]  And just believe me, ladies and gentlemen, that if you want somebody to commit to you and your family to fight for all of our futures together, you've got to guarantee you keep me in the game.
[01:57:08.448 --> 01:57:14.690]  I'm going to bust my ass with everything I got for us, for myself and my family, for your family, because we're in this together.
[01:57:14.690 --> 01:57:15.490]  We are in this together.
[01:57:16.291 --> 01:57:18.152]  But the Cyber Monday specials are here.
[01:57:18.152 --> 01:57:30.722]  It's the big Black Friday sales, the triple Patriot points, free shipping, giant sales, free bottles of Brain Force Plus with the DNA Force Plus and with the X2 and X3 and a bunch of other huge specials, a bunch of stuff that was sold out back in stock.
[01:57:30.722 --> 01:57:32.744]  These specials are going to have to end sometime this week.
[01:57:32.744 --> 01:57:36.267]  Well, that's for new specials, but they won't be as massive or as wide-reaching.
[01:57:36.267 --> 01:57:39.650]  But whatever you do, fund the info war and I salute you and I thank you.
[01:57:39.650 --> 01:57:43.372]  All right, we'll get into the whole Market the Beast system and so much more when we come back.
[01:57:43.372 --> 01:57:43.773]  Stay with us.
[01:57:45.763 --> 01:57:48.968]  Major report out of major university.
[01:57:48.968 --> 01:57:53.054]  Researchers working on food-based treatment to slow aging science daily.
[01:57:53.054 --> 01:58:00.544]  Probiotics in the gut of a particular type cause your entire body to be healthier and make you live longer and make you not get intestinal cancer.
[01:58:00.544 --> 01:58:01.686]  We have the very best formula.
[01:58:01.866 --> 01:58:04.268]  Literally, with what they even mention in the studies.
[01:58:04.268 --> 01:58:16.059]  And it explains that the hormone called FGF21, pro-longevity, heals the entire body and actually reverses aging, but is only made in the lower intestine.
[01:58:16.059 --> 01:58:17.060]  Oh, and what does it say?
[01:58:17.060 --> 01:58:22.265]  It's fiber from a spectrum of certain types of berries that grows this.
[01:58:22.265 --> 01:58:23.426]  And yes, this is a plug.
[01:58:23.426 --> 01:58:24.207]  Gut fusion.
[01:58:24.207 --> 01:58:25.348]  And what do we have in this?
[01:58:25.888 --> 01:58:27.890]  High-auric berry blend.
[01:58:27.890 --> 01:58:32.693]  Strawberry, blueberry, blackberry, cranberry, escoglio, grape, and pomegranate.
[01:58:32.693 --> 01:58:36.276]  It's the pulp from them that then grows this.
[01:58:36.276 --> 01:58:39.619]  Gut Fusion for children, for young people, for old people, for everybody.
[01:58:39.619 --> 01:58:41.640]  This is fiber and glutamine.
[01:58:41.640 --> 01:58:42.961]  You're not going to find a better formula.
[01:58:42.961 --> 01:58:43.622]  Gut Fusion.
[01:58:43.622 --> 01:58:44.362]  It's amazing.
[01:58:44.362 --> 01:58:45.003]  Impleorestore.com.
[01:58:47.938 --> 01:58:56.620]  I spend a lot of time reminding the InfoWars family of listeners and viewers that without you, we won't be on the air.
[01:58:56.620 --> 01:58:58.601]  And I spend a lot of time thanking you.
[01:58:58.601 --> 01:59:05.963]  But I really think you should thank yourself for keeping us on the air and really changing the world for the better and raising the alarm as modern Paul Reveres.
[01:59:05.963 --> 01:59:08.724]  But something I should spend more time on is just
[01:59:09.344 --> 01:59:13.467]  Reminding you that these products are really amazing.
[01:59:13.467 --> 01:59:22.272]  You've got that pledge from me, but you've seen the third-party tests out there, the air filtration, the water filtration, the supplements, are all the very best you're going to find out there.
[01:59:22.272 --> 01:59:26.835]  And you can't fund an operation anywhere else that's fighting the globalists.
[01:59:27.728 --> 01:59:29.448]  You're listening to the Alex Jones Show!
[02:00:03.925 --> 02:00:09.451]  The answer to 1984 is 1776.
[02:00:09.451 --> 02:00:15.999]  You're listening to the Alex Jones Show.
[02:00:15.999 --> 02:00:20.544]  My brain was racing so fast and so hard this morning that I couldn't go on air.
[02:00:24.517 --> 02:00:26.318]  I'm not complaining.
[02:00:26.318 --> 02:00:35.265]  I'm explaining to you, just so you as a listener, as part of this family, understand why in the future, things are not going to be the way they've been, okay?
[02:00:35.265 --> 02:00:42.210]  And when we kick some ass, I'm just telling you, I'm going to the next level, or I won't be on air.
[02:00:42.210 --> 02:00:42.710]  I'm serious.
[02:00:42.710 --> 02:00:43.991]  This is life and death.
[02:00:43.991 --> 02:00:46.533]  I'm going to up our game a hundred percent.
[02:00:46.533 --> 02:00:47.794]  At least.
[02:00:47.794 --> 02:00:49.735]  Or I'm done.
[02:00:49.735 --> 02:00:51.236]  Because I'm not going to do this half-ass.
[02:00:51.236 --> 02:00:52.177]  I'm not going to go into this fight
[02:00:54.125 --> 02:01:03.792]  At 95% I'm going to go into this 100% swinging to tear heads off.
[02:01:03.792 --> 02:01:12.759]  And I was going to start the show explaining this is what it's going to be like in the information singularity.
[02:01:12.759 --> 02:01:19.124]  Is a lot of cascades of many singularities towards the bigger singularity.
[02:01:24.218 --> 02:01:30.446]  And already with the censorship, we are reaching the censorship singularity.
[02:01:30.446 --> 02:01:38.576]  And that was such an epic catharsis.
[02:01:38.576 --> 02:01:41.539]  Epiphany.
[02:01:41.539 --> 02:01:43.361]  Crystallization.
[02:01:43.361 --> 02:01:43.802]  Clarity.
[02:01:45.652 --> 02:01:47.452]  Infinity clear.
[02:01:47.452 --> 02:01:53.194]  When I thought about that Friday, and that's just such an epic understanding of that.
[02:01:53.194 --> 02:01:55.794]  And we can all see it.
[02:01:55.794 --> 02:01:59.315]  That's a whole nother subject.
[02:01:59.315 --> 02:02:06.597]  The censorship singularity that we're now entering.
[02:02:06.597 --> 02:02:09.198]  What that really means.
[02:02:09.198 --> 02:02:10.838]  Because censorship isn't the right word.
[02:02:10.838 --> 02:02:12.758]  It's total information singularity.
[02:02:12.758 --> 02:02:14.859]  Well, what does information singularity mean?
[02:02:18.459 --> 02:02:20.761]  People think, oh, that means all the information in the world.
[02:02:20.761 --> 02:02:32.130]  No, it means no information.
[02:02:32.130 --> 02:02:33.331]  And so I'm sitting here.
[02:02:35.007 --> 02:02:38.509]  At the junction point of all this information coming in.
[02:02:38.509 --> 02:02:41.392]  You wonder why presidents, all their hair goes gray like that.
[02:02:41.392 --> 02:02:43.313]  It's that responsibility.
[02:02:43.313 --> 02:02:45.555]  Well, this is something akin to that.
[02:02:45.555 --> 02:02:49.579]  For all of us that care, because I was thinking about this audience of activists.
[02:02:49.579 --> 02:02:51.961]  Because you're not an audience, you are men in the arena.
[02:02:51.961 --> 02:02:58.546]  Guys, I always butcher, you print me the man in the arena thing again, thanks.
[02:02:58.546 --> 02:02:59.567]  And it hit me that
[02:03:01.255 --> 02:03:19.442]  We're not building up enough how incredible this time is and how dangerous but also fortuitous and just how amazing it is and how incredible it is that InfoWars has been at the center of it because you are the people that care.
[02:03:19.442 --> 02:03:22.983]  You're the people that saw what was happening far away.
[02:03:22.983 --> 02:03:23.884]  Now it's here.
[02:03:23.884 --> 02:03:26.865]  You're the people that are in touch with God.
[02:03:30.000 --> 02:03:38.045]  And so the fact that this broadcast is even on the air is what drives the globalists insane.
[02:03:38.045 --> 02:03:53.035]  Again, back in the day of real journalists, big journalists would work with teams of people for several months on one story we cover today.
[02:03:53.035 --> 02:03:55.476]  And people say, well, then how could you make a decision so quick on a story?
[02:03:55.476 --> 02:03:56.837]  And no, well, we make mistakes sometimes.
[02:03:56.837 --> 02:03:58.618]  We're accurate about 97% of the time.
[02:04:01.323 --> 02:04:03.805]  Because I'll look at a story, and I'm not just going off that one.
[02:04:03.805 --> 02:04:10.391]  I've got a whole lexicon of other reports and things that I know in the background, and what's been done in other countries and other places.
[02:04:10.391 --> 02:04:13.954]  And when I see something, I know what it's gonna be, and then I read it, and it's that.
[02:04:13.954 --> 02:04:18.097]  And then I can even see the rollout of it in my mind, and then I see it roll out.
[02:04:18.097 --> 02:04:19.819]  And then when I finally see it roll out...
[02:04:20.885 --> 02:04:22.607]  And it's bad, and I knew it was coming.
[02:04:22.607 --> 02:04:26.050]  It's like watching a punch come at you in slow motion.
[02:04:26.050 --> 02:04:34.137]  It's this feeling of, if we have this knowledge, we should be able to stop this if we have revelation.
[02:04:34.137 --> 02:04:39.221]  But you can't stop it if other people don't have the revelation.
[02:04:39.221 --> 02:04:42.003]  You can't tell them about the Matrix.
[02:04:42.003 --> 02:04:44.045]  They've got to see the Matrix.
[02:04:44.045 --> 02:04:44.666]  It's true!
[02:04:45.942 --> 02:04:47.744]  Because it's a spirit!
[02:04:47.744 --> 02:04:48.985]  It's a download!
[02:04:48.985 --> 02:04:50.206]  It's a communion!
[02:04:50.206 --> 02:04:51.547]  And they don't have it!
[02:04:51.547 --> 02:04:56.431]  Because they're lost!
[02:04:56.431 --> 02:04:59.893]  A question was once posed to Thomas Jefferson.
[02:04:59.893 --> 02:05:07.760]  What is the level of tyranny that a tyrant will take humanity to?
[02:05:07.760 --> 02:05:08.680]  How far will they go?
[02:05:08.680 --> 02:05:09.761]  What's their limit?
[02:05:09.761 --> 02:05:15.166]  And he said it is the limit to which other men and women will submit.
[02:05:16.525 --> 02:05:19.927]  The answer is there is no limit to evil.
[02:05:19.927 --> 02:05:22.868]  It is a bottomless pit.
[02:05:22.868 --> 02:05:28.270]  We've been taught in modern culture and society that evil doesn't exist.
[02:05:28.270 --> 02:05:31.472]  Or that there's no free will, there's no devil or the god.
[02:05:31.472 --> 02:05:40.956]  But those very same people have all these rules for us about speech and how we can dress and where we can live and what our houses can be like.
[02:05:41.596 --> 02:05:45.841]  They just don't want us to have any values so they can run over us.
[02:05:45.841 --> 02:05:47.783]  Oxford's banned clapping.
[02:05:47.783 --> 02:05:48.784]  Universities in the U.S.
[02:05:48.784 --> 02:05:51.147]  have banned 21-gun salutes for veterans.
[02:05:51.147 --> 02:05:54.231]  These people are dangerous cult leaders and it's time to reject them.
[02:06:10.728 --> 02:06:22.702]  I was just thinking about, and I'll cue it up again, the look on Fink of the Young Turks when he talks about pleasuring animals.
[02:06:22.702 --> 02:06:27.227]  And he gets this look in his eye of just absolute pervert glee.
[02:06:28.738 --> 02:06:33.021]  And this is the guy promoting pedophile story time with your children.
[02:06:33.021 --> 02:06:37.004]  This is the guy that calls me the most horrible person in the world.
[02:06:37.004 --> 02:06:41.827]  Well, yeah, to a damn demon like you, I bet I'm the worst person in the world.
[02:06:41.827 --> 02:06:43.869]  I take that as a compliment, you slug.
[02:06:43.869 --> 02:06:51.734]  Good God, and see, we just don't imagine they want to have sex with animals, sex with your kids.
[02:06:51.734 --> 02:06:54.677]  They want to do evil things.
[02:06:54.677 --> 02:06:56.138]  They want to put round
[02:06:57.145 --> 02:06:57.585]  That's it.
[02:07:28.027 --> 02:07:30.370]  Very, very simple.
[02:07:30.370 --> 02:07:34.757]  And these people will bring our civilization down so fast it'll make your head spin.
[02:07:34.757 --> 02:07:36.920]  Let's go ahead and play Sync.
[02:07:36.920 --> 02:07:39.063]  And if you're a radio listener, you're lucky.
[02:07:39.063 --> 02:07:40.284]  You don't have to look at this guy.
[02:07:40.284 --> 02:07:42.027]  He... He looks like...
[02:07:43.697 --> 02:07:59.447]  You know, when you and your buddy are sitting there in college, and this super gorgeous chick walks in, and the door opens, and her skirt blows just perfect, like Marilyn Monroe, and you're just like, oh man, whoa, it's like, she's so gorgeous, it's painful.
[02:07:59.447 --> 02:08:04.570]  I mean, there's just a total yearning, it's not even sexual, you're just admiring this beautiful creature.
[02:08:07.759 --> 02:08:31.414]  That's the look he's got on his face talking about pleasuring your cat or your dog or I guess your, you know, I mean like Vice TV, sex with earthworms, sex with children, I mean... Oh, but men and women, oh that's all rape and that's all bad and that's all clouded and under attack because that's powerful and that's real.
[02:08:31.414 --> 02:08:32.315]  That's fulfilling.
[02:08:37.270 --> 02:08:43.892]  And see, now it's, oh no, let you have sex with the earthworms and your poor dog, you're gonna rape your dog.
[02:08:43.892 --> 02:08:47.914]  Like I'm telling you, that's his new congressional tagline.
[02:08:47.914 --> 02:08:52.335]  Sink's coming, lock up your animals!
[02:08:52.335 --> 02:08:57.337]  Sink's coming!
[02:08:57.337 --> 02:09:02.879]  Sink Ugar, how do you say his name?
[02:09:02.879 --> 02:09:05.140]  Sink Ugar, he's got a heart on for your dog.
[02:09:07.267 --> 02:09:10.410]  I mean, that's who these people are!
[02:09:10.410 --> 02:09:13.013]  Let's go ahead and roll video of him lusting over your animals.
[02:09:13.013 --> 02:09:15.495]  Here it is.
[02:09:15.495 --> 02:09:31.130]  I believe that I am going, if I were the benevolent dictator of the world, I would legalize bestiality where you are giving, where you are pleasuring the animal.
[02:09:31.130 --> 02:09:31.751]  You see what I'm saying?
[02:09:33.106 --> 02:09:37.309]  You are pleasuring the animal.
[02:09:37.309 --> 02:09:50.957]  And he gives the person off camera a look like you're across the table with a candle, you're drinking some Chianti at an Italian restaurant with a girl you really like, and you've never been with her before, and you're looking at her and you're like, you know, you really are gorgeous.
[02:09:50.957 --> 02:09:53.138]  I just don't know about your turns of humor.
[02:09:53.138 --> 02:09:54.519]  I've never been turned on before in my life.
[02:09:54.519 --> 02:09:58.082]  And I give him that look.
[02:09:58.082 --> 02:10:00.263]  Let's just skip dinner and get in the car and go home right now.
[02:10:03.294 --> 02:10:10.696]  He's giving the person off camera that look when he talks about, I can pleasure the animal.
[02:10:10.696 --> 02:10:12.856]  That's who this guy is.
[02:10:12.856 --> 02:10:17.657]  If he was, he's up there, if I was a dictator, this guy's always talking about pontificating words.
[02:10:17.657 --> 02:10:24.759]  If I was dictator of the world, I'd screw your cat.
[02:10:24.759 --> 02:10:28.460]  Gives new meaning to the, guy's got a look on his face like he just pumped your dog.
[02:10:31.340 --> 02:10:32.701]  And you're like, why?
[02:10:32.701 --> 02:10:37.564]  Why does he want to have sex with your pelican?
[02:10:37.564 --> 02:10:39.345]  Your aardvark.
[02:10:39.345 --> 02:10:41.586]  Your rhinoceros.
[02:10:41.586 --> 02:10:43.567]  Your donkey.
[02:10:43.567 --> 02:10:46.569]  Get out of my swamp, donkey!
[02:10:46.569 --> 02:10:52.073]  Okay, I'm gonna open the phones up in the fourth hour today.
[02:10:52.073 --> 02:10:55.875]  By the way, David Icke's not been on the show in two years.
[02:10:59.639 --> 02:11:07.542]  And I think that's because he's been a little mad at me for being on the Trump train.
[02:11:07.542 --> 02:11:09.843]  I mean, yeah, the globalists are totally pissed at Trump.
[02:11:09.843 --> 02:11:13.984]  Trump's done a lot of good stuff, but I get Trump's got some problems.
[02:11:13.984 --> 02:11:19.086]  And I just know suddenly David Knight, David Knight is on the weekday mornings.
[02:11:19.086 --> 02:11:23.728]  David Ike will come on tomorrow for two hours.
[02:11:23.728 --> 02:11:25.529]  And so I really look forward to having him on.
[02:11:27.681 --> 02:11:32.443]  Very misunderstood guy, very controversial guy, very interesting fellow, very smart fellow.
[02:11:32.443 --> 02:11:36.844]  You know, he said a lot of things 20 years ago that I thought were crazy that ended up being true.
[02:11:36.844 --> 02:11:38.464]  I just hope he's wrong about the rest of it.
[02:11:38.464 --> 02:11:46.007]  But you know, these people sure act like what he says they are.
[02:11:46.007 --> 02:11:47.387]  Sure explains a lot.
[02:11:47.387 --> 02:11:49.368]  I just go with what I can prove.
[02:11:49.368 --> 02:11:53.429]  What I can prove is so out there, I can't even hardly believe it.
[02:11:53.429 --> 02:11:56.010]  So we'll go down the rabbit hole and then some.
[02:11:57.242 --> 02:12:00.583]  David Icke, two hours tomorrow.
[02:12:00.583 --> 02:12:05.705]  He was the first guy that told me, first interview with David like 23 years ago.
[02:12:05.705 --> 02:12:09.506]  Oh, he was the biggest interviewer you could get 23 years ago, still one of the biggest.
[02:12:09.506 --> 02:12:21.450]  And I remember he was like off air telling me, and then a couple years later I went to a conference like 20 years ago and had dinner with him.
[02:12:26.653 --> 02:12:34.217]  And he's like, well, this Prime Minister would like to have seven-year-old girls with black hair and green eyes.
[02:12:34.217 --> 02:12:35.498]  So it's very hard for them to kidnap them.
[02:12:35.498 --> 02:12:37.099]  They'd search all over Europe to get them.
[02:12:37.099 --> 02:12:38.299]  And then they'd have trouble getting them up there.
[02:12:38.299 --> 02:12:40.941]  Then they'd bring them in and they'd put plastic down.
[02:12:40.941 --> 02:12:44.483]  And then one guy would slit the throat.
[02:12:44.483 --> 02:12:46.684]  And then this particular Prime Minister didn't have sex with the girls.
[02:12:46.684 --> 02:12:50.266]  He would just masturbate while they did it.
[02:12:50.266 --> 02:12:52.707]  Twenty years later, that came out in the newspaper.
[02:12:56.573 --> 02:13:00.880]  I mean, slitting little girls' throats, watching their blood spray everywhere?
[02:13:00.880 --> 02:13:03.064]  I mean, look, I don't want to have to talk about this.
[02:13:03.064 --> 02:13:04.386]  They're doing it!
[02:13:05.469 --> 02:13:06.890]  You're like, why would they do that?
[02:13:06.890 --> 02:13:09.732]  Because they're into themselves, okay?
[02:13:09.732 --> 02:13:11.494]  They like the feeling of the power.
[02:13:11.494 --> 02:13:15.417]  Here's a beautiful little girl, has the whole future of the universe before her.
[02:13:15.417 --> 02:13:17.238]  She is magic, she is powerful.
[02:13:17.238 --> 02:13:19.019]  Let's murder her!
[02:13:19.019 --> 02:13:21.081]  Because we're into ourselves!
[02:13:21.081 --> 02:13:23.883]  Because you and I won't do anything to stop them.
[02:13:23.883 --> 02:13:34.211]  Because we either can't believe what's going on, or we're too busy playing golf, or polishing our watches, or whatever it is guys are into.
[02:13:36.752 --> 02:13:38.593]  And there's nothing wrong with golfing.
[02:13:38.593 --> 02:13:44.394]  There's nothing wrong with polishing your watches, but that's not on the hierarchy very high up.
[02:13:44.394 --> 02:13:50.856]  You know, you do that once you've destroyed the globalists and routed the pedophiles and made them hide under rocks again.
[02:13:50.856 --> 02:13:55.498]  That's when you go play golf and have a Miller Lite.
[02:13:55.498 --> 02:14:02.340]  You don't do it when all hell's breaking loose and they're coming for our damn kids and have already got unlimited numbers of them.
[02:14:08.114 --> 02:14:10.234]  I will cover all the news.
[02:14:10.234 --> 02:14:15.556]  I will cover it all.
[02:14:15.556 --> 02:14:17.756]  David Ike told me there were Delaware Spurs killing kids.
[02:14:17.756 --> 02:14:19.956]  General Partin told me there were Delaware Spurs killing kids.
[02:14:19.956 --> 02:14:24.297]  The former top FBI agent who ran all of the Southern District of California told me all that.
[02:14:24.297 --> 02:14:29.018]  And by the way, they just declassified a month ago thousands of pages, all of it, everything Ted Gunnarson told me.
[02:14:29.018 --> 02:14:32.699]  I read most of the file about a month ago at night.
[02:14:32.699 --> 02:14:36.320]  I took it home.
[02:14:36.320 --> 02:14:37.320]  And I started crying.
[02:14:40.831 --> 02:14:54.044]  Because I was having all these flashbacks to all the times I had dinner with Ted Gunnarsson and I mean I probably met with the guy 20 times over the years and how earnest he was and how he was telling me and like writing notes saying, Alex you gotta check this, you gotta interview this person, you gotta talk, this is what they're doing over here.
[02:14:54.044 --> 02:14:59.730]  And I remember just thinking, this guy's crazy.
[02:14:59.730 --> 02:15:00.671]  This is a crazy person.
[02:15:02.423 --> 02:15:05.826]  And he was just doing his job still, just fighting, fighting, fighting, fighting.
[02:15:05.826 --> 02:15:07.387]  And years later, more and more came out.
[02:15:07.387 --> 02:15:08.589]  Oh my God, he's not crazy.
[02:15:08.589 --> 02:15:13.173]  And by the time I interviewed him last, seven, eight years ago, he'd had all these surgeries.
[02:15:13.173 --> 02:15:16.235]  He had bladder cancer, he had an artificial bladder.
[02:15:16.235 --> 02:15:18.698]  He'd done all these experimental surgeries, such a tough guy.
[02:15:18.698 --> 02:15:22.281]  I interviewed him, I didn't even know when he was on there.
[02:15:22.281 --> 02:15:25.844]  He died the next day, like two days later.
[02:15:28.916 --> 02:15:31.377]  And there's like beeping going off and nurses in the room.
[02:15:31.377 --> 02:15:32.797]  He's like, he's just all jolly.
[02:15:32.797 --> 02:15:36.098]  And Alex, you've got a great job and you've got to keep your work going forward.
[02:15:36.098 --> 02:15:37.939]  I apologize to Martin Luther King.
[02:15:37.939 --> 02:15:41.680]  I ran the COINTELPRO against him, but God knows I apologize and I'm ready.
[02:15:41.680 --> 02:15:43.741]  And realize he sounded jollier and better than ever.
[02:15:43.741 --> 02:15:48.442]  And he was dying on the telephone with us for like an hour and a half.
[02:15:48.442 --> 02:15:49.823]  It's just, it's just incredible.
[02:15:49.823 --> 02:15:50.443]  It's just incredible.
[02:15:53.992 --> 02:15:55.253]  Maybe not today.
[02:15:55.253 --> 02:15:56.534]  Maybe not tomorrow.
[02:15:56.534 --> 02:16:00.276]  But soon, you'll need a plan and place to survive.
[02:16:00.276 --> 02:16:01.357]  Forget bunkers.
[02:16:01.357 --> 02:16:03.198]  You're not a live underground gopher.
[02:16:03.198 --> 02:16:04.899]  You need Survivalist Camps.
[02:16:04.899 --> 02:16:12.704]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:12.704 --> 02:16:13.704]  Bold statement?
[02:16:13.704 --> 02:16:14.705]  You bet.
[02:16:14.705 --> 02:16:17.186]  See them now at survivalistcamps.com.
[02:16:17.186 --> 02:16:19.388]  That's survivalistcamps.com.
[02:16:19.388 --> 02:16:22.169]  Trust your family's survival to survivalistcamps.com.
[02:16:23.624 --> 02:16:26.225]  Hunters, anglers, campers and survivalists.
[02:16:26.225 --> 02:16:27.286]  Get back to nature.
[02:16:27.286 --> 02:16:34.450]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:16:34.450 --> 02:16:37.812]  Slingbow products are compact and models start from just $17.98.
[02:16:37.812 --> 02:16:41.314]  They're perfect for your bug out bag or storing in your vehicle.
[02:16:41.314 --> 02:16:45.376]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:16:45.376 --> 02:16:49.878]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:16:49.878 --> 02:16:52.500]  Feel the thrill only at slingbow.com.
[02:16:53.416 --> 02:16:59.163]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[02:16:59.163 --> 02:17:04.268]  No, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[02:17:04.268 --> 02:17:11.737]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[02:17:11.917 --> 02:17:12.457]  We're good.
[02:17:30.726 --> 02:17:31.346]  Each month.
[02:17:31.346 --> 02:17:32.187]  Don't miss this one.
[02:17:32.187 --> 02:17:33.487]  Stake your claim today.
[02:17:33.487 --> 02:17:35.508]  Call 800-600-3388.
[02:17:35.508 --> 02:17:38.490]  That's 800-600-3388.
[02:17:38.490 --> 02:17:41.471]  These valuable lease contracts won't last long.
[02:17:41.471 --> 02:17:41.991]  Call now.
[02:17:41.991 --> 02:17:42.311]  800-600-3388.
[02:17:42.311 --> 02:17:42.591]  800-600-3388.
[02:17:42.591 --> 02:17:48.354]  Equipment offer poses a financial risk to owners.
[02:17:48.354 --> 02:17:50.075]  Consult with financial professionals before purchasing.
[02:17:50.075 --> 02:17:52.596]  Not an offer to buy or sell a security which requires an offering document.
[02:17:55.371 --> 02:18:00.556]  InfoWars Black Friday is here with the biggest sales of the year.
[02:18:00.556 --> 02:18:12.466]  50% off on DNA Force Plus, triple Patriot Points, free shipping, and a free bottle of our best-selling nootropic, Brain Boost.
[02:18:13.146 --> 02:18:14.487]  Brain Force Plus.
[02:18:14.487 --> 02:18:16.509]  Did you hear what I just said?
[02:18:16.509 --> 02:18:21.193]  That's just one of more than 40 huge specials.
[02:18:21.193 --> 02:18:26.897]  DNA Force Plus with the PQQ, the CoQ10, and so much more.
[02:18:26.897 --> 02:18:28.199]  Boosting your cells.
[02:18:28.199 --> 02:18:29.520]  Growing new mitochondria.
[02:18:30.380 --> 02:18:31.882]  Regrowing nerves.
[02:18:31.882 --> 02:18:36.285]  It just goes on and on with the PQQ and the CoQ10 and the other ingredients.
[02:18:36.285 --> 02:18:38.807]  And then you get triple Patriot points for your next order.
[02:18:38.807 --> 02:18:40.769]  You get free shipping on this order.
[02:18:40.769 --> 02:18:45.172]  And ladies and gentlemen, you get a free bottle of Brain Force Plus.
[02:18:45.172 --> 02:18:50.197]  This is the big Black Friday sale at InfoWarStore.com.
[02:18:50.197 --> 02:18:52.879]  The biggest sale of the year and it funds the Info War.
[02:18:52.879 --> 02:18:53.699]  Take action now.
[02:18:54.680 --> 02:18:56.280]  InfowarStore.com.
[02:18:56.280 --> 02:19:02.562]  We have a new product, and we got several thousand of these in, and they're gonna sell out in a few days at the rate we're selling them.
[02:19:02.562 --> 02:19:13.405]  I want to thank the listeners for getting it, but this really is a game-changing toothpaste, and it doesn't compete with Super Blue that's four to five a colloidal silver and iodine and fluoride-free.
[02:19:14.386 --> 02:19:16.127]  The adult or the children's.
[02:19:16.127 --> 02:19:19.690]  These are both excellent toothpaste concentrates that don't have fillers.
[02:19:19.690 --> 02:19:20.591]  People love it.
[02:19:20.591 --> 02:19:28.717]  This is a whitening toothpaste that also has the above sea coral calcium that also cleans but also re-mineralizes the teeth.
[02:19:29.457 --> 02:19:32.238]  Then it has the patented silver saw.
[02:19:32.238 --> 02:19:34.959]  Silver in it to knock out the bacteria that cause gingivitis.
[02:19:34.959 --> 02:19:35.780]  This is all proven.
[02:19:35.780 --> 02:19:37.320]  You can make claims with this.
[02:19:37.320 --> 02:19:48.505]  But I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses, and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[02:19:48.505 --> 02:19:49.866]  So, we're really proud of it.
[02:19:49.866 --> 02:19:50.786]  It funds the operation.
[02:19:50.786 --> 02:19:52.487]  Infowarstore.com.
[02:19:52.487 --> 02:19:54.148]  That's why we're still on air, thanks to you!
[02:19:57.782 --> 02:20:00.427]  You're listening to The Alex Jones Show!
[02:20:31.784 --> 02:20:42.408]  We are live, broadcasting worldwide, and I salute the men and women of every race, color, and creed who are one race, the human race made by God, and bleed red blood.
[02:20:42.408 --> 02:20:51.532]  I salute the man and the men in the arena, because this broadcast is in the arena.
[02:20:51.532 --> 02:20:54.133]  Teddy Roosevelt said it best, and you can't quote it enough.
[02:20:55.089 --> 02:21:01.946]  It is not the critic who counts, not the man who points out how the strong man stumbles or where the doer of deeds could have done them better.
[02:21:03.001 --> 02:21:31.560]  The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood, who strives valiantly, who errs, who comes short again and again because there is no effort without error and shortcomings, but who does actually strive to do the deeds, who knows the great enthusiasms, the great devotions, who spends himself in a worthy cause, and who at best knows in the end the triumph of high achievement, and who at worst, if he fails in the end,
[02:21:33.035 --> 02:21:35.476]  At least fails while daring greatly.
[02:21:35.476 --> 02:21:42.237]  Show that his place shall never be with those cold and timid souls who neither know victory nor defeat.
[02:21:42.237 --> 02:21:44.798]  So I salute you all for your support.
[02:21:44.798 --> 02:21:46.778]  And I salute you for being the men and women in the arena.
[02:21:46.778 --> 02:21:50.139]  And I salute you for keeping this broadcast on the air.
[02:21:50.139 --> 02:21:53.860]  And now is the critical time to be all in.
[02:21:53.860 --> 02:21:55.420]  You can bet your money on Trump all day.
[02:21:55.420 --> 02:21:56.020]  That's great.
[02:21:56.020 --> 02:21:56.641]  Bet your energy.
[02:21:56.641 --> 02:21:57.741]  Let's get him in there.
[02:21:57.741 --> 02:22:02.162]  But I'm telling you, when it comes to getting the information out that will bring the globalists down, it's info wars.
[02:22:02.932 --> 02:22:11.014]  And it's projects, not just Band-Odd Video, but other things out there we've got developing that are going to have a huge effect into the future.
[02:22:11.014 --> 02:22:17.536]  So take advantage of the Cyber Monday specials that I could extend throughout this week, but then that's it!
[02:22:17.536 --> 02:22:20.577]  50% off, triple Patriot Points, free shipping!
[02:22:21.397 --> 02:22:30.460]  Free bottle of Brain Force Plus with DNA Force Plus and with X2 and X3 and so many other big specials and things like the amazing Krill Oil back in stock.
[02:22:30.460 --> 02:22:32.800]  InfoWarsTore.com.
[02:22:32.800 --> 02:22:38.802]  InfoWarsTore.com.
[02:22:38.802 --> 02:22:45.104]  Okay, I've covered 10% of what I said I would get to by the end of the show, but I'm doing the fourth hour.
