[00:00:03.271 --> 00:00:05.958]  Waging war on corruption.
[02:01:22.066 --> 02:01:32.971]  We don't go out to a university or an abortion clinic and then see a bunch of weird zombies saying, I love Satan, who aren't like trying to freak us out.
[02:01:32.971 --> 02:01:36.133]  This is their operating system.
[02:01:36.133 --> 02:01:38.294]  And talking about how much they love to kill kids and stuff.
[02:01:38.294 --> 02:01:41.196]  We're going to play a clip of it in a moment.
[02:01:43.001 --> 02:01:49.245]  They all, like, their shoulders hang down, they're like zombies, they can hardly talk, their eyes roll back on their heads.
[02:01:49.245 --> 02:02:00.413]  There's some type of operating spirit or system that's been downloaded into them, and they're gone, and you can't seem to get to them and you want to save them.
[02:02:00.413 --> 02:02:04.096]  So we don't take pleasure in the fact that they're, quote, libtards.
[02:02:05.063 --> 02:02:06.784]  They're infested by something.
[02:02:06.784 --> 02:02:08.384]  What do you think it is, Alan?
[02:02:08.384 --> 02:02:20.369]  Well, I think there's a distinction between, because there's, you know, obviously Democrat voters or liberals out there, but there's a clear distinction between those that have consciously given over their soul to evil.
[02:02:20.369 --> 02:02:21.829]  And you can see the difference.
[02:02:21.829 --> 02:02:24.130]  They don't want to exist.
[02:02:24.130 --> 02:02:31.013]  And by the way, more and more Democrats, to interrupt, I've got to say this, used to as a small percentage of Democrat leaders were like demons.
[02:02:31.013 --> 02:02:34.034]  They're converting, most of their people are converting to it now.
[02:02:35.282 --> 02:02:37.843]  Well, look, there's signs all around us, too.
[02:02:37.843 --> 02:02:45.185]  I mean, just look at, you know, we don't celebrate, you know, these people getting ill, if that's the case, but just look at Nancy Pelosi.
[02:02:45.185 --> 02:02:49.386]  She can't even get through a press conference without stammering like a drunken fool.
[02:02:49.386 --> 02:02:50.407]  Look at Jerry Nadler.
[02:02:50.407 --> 02:02:52.027]  The guy literally passes out.
[02:02:52.027 --> 02:02:55.348]  It looked like he was having a stroke or something in the middle of a press conference.
[02:02:55.348 --> 02:03:00.270]  So, it's just like in the 2016, Hillary Clinton coughing through debates.
[02:03:00.270 --> 02:03:02.050]  Hillary Clinton falling downstairs.
[02:03:02.050 --> 02:03:04.811]  And he looks like a little rumpelstiltskin demon.
[02:03:06.604 --> 02:03:19.431]  So the signs are all around us, but if you've consciously given yourself over to evil, if you've consciously rejected your creator, then yeah, you have downloaded, the devil has successfully downloaded into your soul.
[02:03:19.431 --> 02:03:22.793]  I mean, there's famous interviews out there.
[02:03:22.793 --> 02:03:27.335]  I mean, the most recent one I can remember would be like a Katy Perry, but there's all kinds of it.
[02:03:27.335 --> 02:03:30.737]  They talk about, yeah, I had to sell my soul to the devil to be successful.
[02:03:30.737 --> 02:03:32.398]  Katy Perry was a famous Christian singer.
[02:03:33.266 --> 02:03:34.286]  Nobody knew of her.
[02:03:34.286 --> 02:03:35.307]  She wanted to be famous.
[02:03:35.307 --> 02:03:36.307]  She wanted to be rich.
[02:03:36.307 --> 02:03:38.948]  She wanted to be on the top album charts.
[02:03:38.948 --> 02:03:40.488]  So she said she sold her soul.
[02:03:40.488 --> 02:03:42.409]  I've had her father on.
[02:03:42.409 --> 02:03:43.809]  Dave Mustaine got him on.
[02:03:43.809 --> 02:03:46.130]  I can't tell you the behind the scenes stuff they told me.
[02:03:46.130 --> 02:03:47.690]  He admitted some of it on air.
[02:03:47.690 --> 02:03:51.852]  No, she literally did that with the devil for power.
[02:03:51.852 --> 02:03:53.032]  And people go to Hollywood.
[02:03:53.032 --> 02:03:54.573]  Mark Dice got called in a room.
[02:03:54.573 --> 02:03:56.453]  I was called in a room too, but I promise I'll talk about it.
[02:03:56.453 --> 02:03:57.754]  It's off record, so I won't.
[02:03:57.754 --> 02:04:01.335]  But they told Mark Dice, will you worship Satan for this TV show?
[02:04:01.335 --> 02:04:01.835]  And he said no.
[02:04:02.495 --> 02:04:03.718]  And it wasn't a joke, it's real!
[02:04:03.718 --> 02:04:12.435]  Well because they understand, once you have laid your guard down, once you've consciously accepted that...
[02:04:13.399 --> 02:04:14.100]  Then you're out.
[02:04:14.100 --> 02:04:14.760]  I mean, that's it.
[02:04:14.760 --> 02:04:15.781]  You have sold your soul.
[02:04:15.781 --> 02:04:30.432]  I mean, the Bible says that there's always forgiveness, there's always redemption, so perhaps there always is, but if you've consciously neglected the Creator, and you've decided to go against natural... Then that's the ultimate sin.
[02:04:30.432 --> 02:04:33.915]  The Holy Spirit comes, you reject it, you say, I choose Satan for power.
[02:04:34.215 --> 02:04:45.259]  And then you look like a green goblin, your face is green, you scream at the sky, and you can't accept the reality for what it is, and whatever the devil wants you to be, a tool for him, that's what you'll be.
[02:04:45.259 --> 02:04:54.062]  And you think you're in power because of the false paradigm you're in, the dream, the hoax, the spell, but you just run around howling at the sky, pooping on yourself.
[02:04:56.249 --> 02:05:01.451]  Infowarsstore.com is how you support us, and it's not like we're selling stuff you don't need, you don't want.
[02:05:01.451 --> 02:05:10.035]  The air in the average American home is filled with toxins that put it on par with a major city.
[02:05:10.035 --> 02:05:13.017]  Some of the most polluted areas on earth are major cities.
[02:05:13.017 --> 02:05:14.757]  How can I solve that problem?
[02:05:14.757 --> 02:05:21.020]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50 off.
[02:05:23.121 --> 02:05:28.443]  The Alexa Pure Breeze Groundbreaking Ion Cluster Air Filter Technology.
[02:05:28.443 --> 02:05:31.405]  And we've got a limited quantity of these left right now.
[02:05:31.405 --> 02:05:35.326]  We're basically selling these at cost because there was a big overhaul.
[02:05:35.326 --> 02:05:39.308]  Go ahead and read the hundreds of five-star reviews for yourself.
[02:05:39.308 --> 02:05:41.129]  I've got two in my home.
[02:05:41.129 --> 02:05:47.231]  You will notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[02:05:47.231 --> 02:05:48.072]  Don't live
[02:05:48.912 --> 02:05:52.956]  In a polluted major city in your home, have clean air.
[02:05:52.956 --> 02:06:07.167]  Go to Infowarsstore.com.
[02:06:07.167 --> 02:06:13.353]  Defending the republic from enemies foreign and domestic, it's Alex Jones.
[02:06:19.875 --> 02:06:21.856]  Monday through Friday from 11 a.m.
[02:06:21.856 --> 02:06:22.616]  to 3 p.m.
[02:06:22.616 --> 02:06:23.356]  I'm here live.
[02:06:23.356 --> 02:06:27.397]  I'm Alex Jones, your host.
[02:06:27.397 --> 02:06:27.517]  May 27, 2019.
[02:06:27.517 --> 02:06:32.119]  We're broadcasting worldwide.
[02:06:32.119 --> 02:06:35.480]  Owen Schroyer is riding shotgun with me.
[02:06:35.480 --> 02:06:38.161]  Jon Papert hosts the 4th Hour.
[02:06:38.161 --> 02:06:45.343]  We've got Dan Lyman of EuropeWars.com about to give us his expert take on what just unfolded, a major rout
[02:06:46.866 --> 02:06:51.548]  For the forces of world government, a time to thank God for what's unfolding.
[02:06:51.548 --> 02:06:58.792]  But Owen, putting bookends on what we covered the last three segments, this is footage of Caitlin Bennett in Austin.
[02:06:58.792 --> 02:07:01.013]  You were there as well with Millie Weaver a few days ago.
[02:07:01.013 --> 02:07:06.476]  We've got a bunch of footage saying kill children, get rid of them, kill them up to age three.
[02:07:06.476 --> 02:07:08.337]  That's Dr. Peter Singer.
[02:07:08.337 --> 02:07:11.859]  That's actually the eugenics bioethics boards that I learned about
[02:07:13.177 --> 02:07:17.499]  Eighteen years ago, the next phase would be kill kids up to age three.
[02:07:17.499 --> 02:07:30.904]  I've been saying this hundreds of times on air the last few months, since the governor of Virginia, who's a medical doctor, said, we have to, they ball, we keep them comfortable, we take the org, you know, with little blood balls.
[02:07:30.904 --> 02:07:34.166]  And so the fact that they're now rolling out the next phase is incredible.
[02:07:34.166 --> 02:07:34.746]  Here's that clip.
[02:07:36.055 --> 02:07:37.416]  It's not about the heartbeat.
[02:07:37.416 --> 02:07:39.577]  It's about the mama.
[02:07:39.577 --> 02:07:41.158]  It's about the mother's choice.
[02:07:41.158 --> 02:07:42.719]  So when do we cut off abortions?
[02:07:42.719 --> 02:07:43.799]  At what week?
[02:07:43.799 --> 02:07:46.460]  I think at three years old is when we should.
[02:07:46.460 --> 02:07:50.122]  You think at three years old is when we should stop aborting children?
[02:07:50.122 --> 02:07:52.023]  Yeah.
[02:07:52.023 --> 02:07:53.484]  Okay, convince me of that.
[02:07:53.484 --> 02:07:57.366]  Give me an argument for that.
[02:07:57.366 --> 02:07:58.807]  I need a moment.
[02:07:58.807 --> 02:08:00.428]  This is too much.
[02:08:02.803 --> 02:08:09.125]  You know, a lot of countries have a lot different views on life and when life begins.
[02:08:09.125 --> 02:08:10.245]  When does life begin for you?
[02:08:10.245 --> 02:08:12.906]  I don't know.
[02:08:12.906 --> 02:08:15.547]  Are we even really alive?
[02:08:15.547 --> 02:08:18.668]  So you said that up to three years old.
[02:08:18.668 --> 02:08:19.708]  Convince me of that.
[02:08:19.708 --> 02:08:24.490]  What is your premise for saying that we can kill babies, children, toddlers until they're three?
[02:08:24.490 --> 02:08:29.351]  What happens at three years old to where we can't abort them anymore?
[02:08:29.351 --> 02:08:30.812]  They start talking a lot.
[02:08:32.179 --> 02:08:33.940]  Why are you trying to touch me?
[02:08:33.940 --> 02:08:37.661]  So this is almost the 57th time I've been touched without my consent.
[02:08:37.661 --> 02:08:39.022]  It's not you, it's the microphone.
[02:08:39.022 --> 02:08:39.662]  It's the microphone.
[02:08:39.662 --> 02:08:40.582]  Don't touch my property.
[02:08:40.582 --> 02:08:42.423]  You guys, see this is what's funny.
[02:08:42.423 --> 02:08:44.044]  You guys don't respect property rights.
[02:08:44.044 --> 02:08:47.225]  If you guys respected property rights in life, you wouldn't act like this.
[02:08:47.745 --> 02:08:48.566]  Because it's pro-human.
[02:09:10.185 --> 02:09:12.627]  So if you're a radio listener, you've been spared seeing her.
[02:09:12.627 --> 02:09:21.634]  Totally green skin, translucent white skin, zombie-like, hateful, obsessed with killing babies.
[02:09:21.634 --> 02:09:23.256]  When does life even begin?
[02:09:23.256 --> 02:09:25.097]  Because that's how a demon talks.
[02:09:25.097 --> 02:09:26.518]  You say, I want to defend life.
[02:09:26.518 --> 02:09:27.820]  There is no life.
[02:09:27.820 --> 02:09:30.041]  There is only death.
[02:09:30.041 --> 02:09:33.004]  And you don't know until you engage them.
[02:09:33.004 --> 02:09:35.886]  This is the average operating system.
[02:09:35.886 --> 02:09:38.789]  A soulless, shriveled woman who hates men,
[02:09:40.026 --> 02:09:42.987]  But she goes, the mama decides the death.
[02:09:42.987 --> 02:09:45.288]  Mama's kill, baby.
[02:09:45.288 --> 02:09:46.989]  Mama kill.
[02:09:46.989 --> 02:09:48.669]  Kali.
[02:09:48.669 --> 02:09:54.011]  But Alex, let's actually break this down because in that tiny little clip, there's so much to learn.
[02:09:54.011 --> 02:09:56.592]  First of all, she says, are we even alive?
[02:09:56.592 --> 02:09:59.533]  So she's right there telling you she's spiritually dead.
[02:09:59.533 --> 02:10:00.794]  I mean, that's it right there.
[02:10:00.794 --> 02:10:01.654]  She's gone.
[02:10:01.654 --> 02:10:03.575]  The devil has won her soul.
[02:10:03.575 --> 02:10:04.655]  And they all have that look.
[02:10:04.655 --> 02:10:06.116]  It's like looking through her.
[02:10:06.116 --> 02:10:06.876]  I'm going to get you.
[02:10:07.799 --> 02:10:11.700]  And then Caitlyn made the point about the InfoWars MyFlad being like a QR code.
[02:10:11.700 --> 02:10:13.721]  Again, she doesn't even realize how right she is.
[02:10:13.721 --> 02:10:15.101]  But it's spiritual.
[02:10:15.101 --> 02:10:16.081]  It's not digital.
[02:10:16.081 --> 02:10:17.462]  It's not three-dimensional.
[02:10:17.462 --> 02:10:18.722]  It's spiritual.
[02:10:18.722 --> 02:10:20.623]  It's what we do here that they hate.
[02:10:20.623 --> 02:10:23.103]  And then here's the other level, too.
[02:10:23.103 --> 02:10:25.244]  That poor girl, you know, she's young.
[02:10:25.244 --> 02:10:26.144]  Maybe there's hope for her.
[02:10:26.144 --> 02:10:27.425]  But what is really driving her?
[02:10:27.425 --> 02:10:29.165]  She was slowly seduced into this.
[02:10:29.165 --> 02:10:30.966]  But you notice what she does.
[02:10:30.966 --> 02:10:33.206]  She uses the brainwashing terms.
[02:10:33.206 --> 02:10:34.427]  Elizabeth Warren does it all the time.
[02:10:34.427 --> 02:10:34.887]  Mama.
[02:10:34.887 --> 02:10:35.567]  It's about the mama.
[02:10:37.288 --> 02:10:39.590]  A mama takes care of the baby.
[02:10:39.590 --> 02:10:42.052]  The mama don't kill the baby.
[02:10:42.052 --> 02:10:45.514]  The truth is Alex, these women just hate men for whatever reason.
[02:10:45.514 --> 02:10:47.736]  Maybe they've been treated badly by a man.
[02:10:47.736 --> 02:10:51.679]  Maybe it's the propaganda in the media that says men are bad, that they hate men.
[02:10:51.679 --> 02:10:55.542]  Or maybe they genuinely think men are out to control their bodies with abortion.
[02:10:55.542 --> 02:10:58.864]  I choose to stand for pro-life because it's an easy win.
[02:10:58.864 --> 02:11:01.646]  I mean, how do you not stand for innocent babies?
[02:11:01.646 --> 02:11:03.628]  How do you not stand for not murdering babies?
[02:11:03.628 --> 02:11:05.489]  I mean, that's like the easiest win you can take.
[02:11:06.630 --> 02:11:10.734]  The whole thing is, they, it's all, it's amazing, it's all in that one little clip.
[02:11:10.734 --> 02:11:15.257]  They're so spiritually blind, their whole cult, let's play it and we're gonna go to Dan Lyman.
[02:11:15.257 --> 02:11:22.323]  Here it is, and they're all like this, I mean we've got hours of footage, I kill babies, I love Satan.
[02:11:22.323 --> 02:11:23.544]  You think they're trying to shock you?
[02:11:23.544 --> 02:11:24.425]  No.
[02:11:24.425 --> 02:11:27.107]  Three years, that's Peter Singer, that's the plan.
[02:11:27.107 --> 02:11:28.829]  Now they've already got five states passed laws.
[02:11:30.655 --> 02:11:40.995]  If the doctors say we don't get government involved, the mama who's drugged up, and the daddy ain't bothered, we gonna get the little chicklin' out of the baby good.
[02:11:41.681 --> 02:11:43.723]  So, they've already gotten there.
[02:11:43.723 --> 02:11:46.426]  It's all about, we want to kill and we want to kill.
[02:11:46.426 --> 02:11:49.529]  It's the mama gonna do it.
[02:11:49.529 --> 02:11:54.614]  Once the kids start talking a lot, maybe we don't kill them now.
[02:11:54.614 --> 02:11:57.476]  Look how sick she is.
[02:11:57.476 --> 02:11:58.698]  But she's all high.
[02:11:58.698 --> 02:12:00.880]  Only time she shows any energy, she starts talking about killing babies, she's like...
[02:12:01.809 --> 02:12:05.871]  Yeah, but hey, they start talking, and maybe we don't then.
[02:12:05.871 --> 02:12:09.392]  But once we get you to Accept of Days 3, then we'll get them after that.
[02:12:09.392 --> 02:12:12.214]  Ah, their dimensional gates open, give me their blood.
[02:12:12.214 --> 02:12:15.815]  Ah, and then she goes, uh, uh, uh, uh, ah!
[02:12:15.815 --> 02:12:17.696]  And it's like they're trying to come through.
[02:12:17.696 --> 02:12:20.377]  And that's the thing is, you don't believe in demons until you're around them.
[02:12:20.377 --> 02:12:21.318]  You're like, what's going on?
[02:12:21.318 --> 02:12:22.958]  Ah, your children are ours.
[02:12:22.958 --> 02:12:24.199]  Your planet's ours.
[02:12:24.199 --> 02:12:26.420]  I can tell you how many footage I see of mentally ill people.
[02:12:27.475 --> 02:12:33.077]  And schizos that come after Infowars, they'll be like, I just want to destroy your planet, destroy Alex Jones!
[02:12:33.077 --> 02:12:36.018]  It's like, what is this?
[02:12:36.018 --> 02:12:37.559]  Who are these people?
[02:12:37.559 --> 02:12:38.800]  I don't know!
[02:12:38.800 --> 02:12:40.800]  Because you don't want to kill babies!
[02:12:40.800 --> 02:12:43.201]  Because their whole plan is to kill the planet.
[02:12:43.201 --> 02:12:44.782]  It's why they're the environmentalists.
[02:12:44.782 --> 02:12:45.822]  They're the guardians.
[02:12:45.822 --> 02:12:49.324]  Cut the carbon dioxide off, it's a trace gas, the planet dies without it.
[02:12:49.884 --> 02:12:53.626]  And then GMO, toxic waste dumping, everything's fine.
[02:12:53.626 --> 02:12:54.547]  So let's play this woman.
[02:12:54.547 --> 02:12:56.267]  There's a full ten minute clip of her.
[02:12:56.267 --> 02:13:02.111]  Here she is saying, kill babies up to age three for mama.
[02:13:02.111 --> 02:13:06.473]  The demon even uses the word, mama kill baby, mama!
[02:13:06.473 --> 02:13:09.795]  She's like, your mother sucks cocks in hell, you know, to use the quote.
[02:13:10.595 --> 02:13:13.516]  Out of Exorcist, sorry for the French, but that's what she says.
[02:13:13.516 --> 02:13:15.637]  She's like, Mama kill!
[02:13:15.637 --> 02:13:16.858]  Mama kill!
[02:13:16.858 --> 02:13:18.178]  Mama kill, baby!
[02:13:18.178 --> 02:13:21.300]  That's what mother does is murder babies!
[02:13:21.300 --> 02:13:23.341]  Pure Satanism.
[02:13:23.341 --> 02:13:25.922]  You want to see pure Satanism, here it is.
[02:13:25.922 --> 02:13:27.463]  So when do we cut off abortions?
[02:13:27.463 --> 02:13:28.543]  At what week?
[02:13:28.543 --> 02:13:31.224]  I think at three years old is when we should, you know.
[02:13:31.224 --> 02:13:34.366]  You think at three years old is when we should stop aborting children?
[02:13:34.366 --> 02:13:36.767]  Yeah.
[02:13:36.767 --> 02:13:38.227]  Okay, convince me of that.
[02:13:38.227 --> 02:13:39.248]  Give me an argument for that.
[02:13:42.073 --> 02:13:43.534]  I need a moment.
[02:13:43.534 --> 02:13:47.537]  This is too much.
[02:13:47.537 --> 02:13:53.861]  You know, a lot of countries have a lot of different views on life and when life begins.
[02:13:53.861 --> 02:13:55.001]  When does life begin for you?
[02:13:55.001 --> 02:13:57.643]  I don't know.
[02:13:57.643 --> 02:14:00.285]  Are we even really alive?
[02:14:00.285 --> 02:14:02.006]  So you said that up to three years old.
[02:14:03.416 --> 02:14:04.458]  Convince me of that.
[02:14:04.458 --> 02:14:09.228]  What is your premise for saying that we can kill babies, children, toddlers, until they're three?
[02:14:09.228 --> 02:14:12.694]  What happens at three years old to where we can't abort them anymore?
[02:14:13.897 --> 02:14:16.339]  Um, they start talking a lot.
[02:14:16.339 --> 02:14:17.520]  Shut him up.
[02:14:17.520 --> 02:14:18.701]  Why are you trying to touch me?
[02:14:18.701 --> 02:14:22.404]  So this is almost the 57th time I've been touched without my consent.
[02:14:22.404 --> 02:14:23.745]  It's not you, it's the microphone.
[02:14:23.745 --> 02:14:24.426]  It's the microphone.
[02:14:24.426 --> 02:14:25.727]  Don't touch my property.
[02:14:25.727 --> 02:14:27.188]  You guys, see this is what's funny.
[02:14:27.188 --> 02:14:28.790]  You guys don't respect property rights.
[02:14:28.790 --> 02:14:33.614]  If you guys respected property rights in life, you wouldn't act like this.
[02:14:33.614 --> 02:14:36.576]  So she is like staring hardcore at the InfoWars logo.
[02:14:36.576 --> 02:14:38.378]  I am convinced that this logo...
[02:14:38.698 --> 02:14:44.822]  You go around them, they actually all go like... They don't all just have pale skin and dead eyes as a joke.
[02:14:44.822 --> 02:14:50.346]  Something's jacked into them, and it wants your babies.
[02:14:50.346 --> 02:14:51.407]  That's it, Alex.
[02:14:51.407 --> 02:14:53.168]  I mean, you've caught it on film.
[02:14:53.168 --> 02:14:54.188]  They say, kill the babies.
[02:14:54.188 --> 02:14:55.329]  They brag about their abortions.
[02:14:55.329 --> 02:14:57.251]  I've got it on film, bragging about their abortions.
[02:14:57.251 --> 02:14:59.872]  It's like, look, you had an abortion, okay?
[02:14:59.872 --> 02:15:01.213]  That's a sad thing.
[02:15:01.213 --> 02:15:03.114]  Why are you celebrating it?
[02:15:03.114 --> 02:15:06.637]  By the way, most of these women are so ugly and mentally ill, they never had an abortion.
[02:15:07.776 --> 02:15:17.061]  They just want to convince women, kill your babies, and let me be there and take you and help, because I get power, and the demon rewards me!
[02:15:17.061 --> 02:15:19.723]  Before they start talking, kill those little bastards!
[02:15:19.723 --> 02:15:20.143]  God!
[02:15:22.858 --> 02:15:23.419]  Well, give me that.
[02:15:23.419 --> 02:15:24.700]  That baby's a boy.
[02:15:24.700 --> 02:15:26.061]  That baby boy's gonna grow up.
[02:15:26.061 --> 02:15:28.023]  Well, get that baby!
[02:15:28.023 --> 02:15:31.787]  Unless we can make that baby boy into a female, that's gonna be a man!
[02:15:31.787 --> 02:15:36.853]  If we could chop his balls off, then maybe Satan would please us!
[02:15:36.853 --> 02:15:42.279]  We were not able to kill that little boy, give him vaccines, and chop his balls off for Satan!
[02:15:44.022 --> 02:15:45.144]  We're the good people!
[02:15:45.144 --> 02:15:47.949]  We're the liberals!
[02:15:47.949 --> 02:15:49.572]  We'll be right back!
[02:15:49.572 --> 02:15:52.297]  How dare us say we shouldn't kill three-year-old children.
[02:15:52.297 --> 02:15:53.960]  It's not liberal, it's racist.
[02:15:55.477 --> 02:15:56.738]  Maybe not today.
[02:15:56.738 --> 02:15:58.019]  Maybe not tomorrow.
[02:15:58.019 --> 02:16:01.761]  But soon, you'll need a plan and place to survive.
[02:16:01.761 --> 02:16:02.842]  Forget bunkers.
[02:16:02.842 --> 02:16:04.683]  You're not a live underground gopher.
[02:16:04.683 --> 02:16:06.384]  You need Survivalist Camps.
[02:16:06.384 --> 02:16:14.189]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[02:16:14.189 --> 02:16:15.189]  Bold statement?
[02:16:15.189 --> 02:16:16.190]  You bet.
[02:16:16.190 --> 02:16:18.671]  See them now at survivalistcamps.com.
[02:16:18.671 --> 02:16:20.893]  That's survivalistcamps.com.
[02:16:20.893 --> 02:16:23.654]  Trust your family's survival to survivalistcamps.com.
[02:16:25.109 --> 02:16:27.710]  Hunters, anglers, campers, and survivalists.
[02:16:27.710 --> 02:16:28.771]  Get back to nature.
[02:16:28.771 --> 02:16:35.934]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:16:35.934 --> 02:16:39.295]  Slingbow products are compact and models start from just $17.98.
[02:16:39.295 --> 02:16:42.797]  They're perfect for your bug out bag or storing in your vehicle.
[02:16:42.797 --> 02:16:46.859]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:16:46.859 --> 02:16:51.361]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:16:51.361 --> 02:16:53.982]  Feel the thrill only at slingbow.com.
[02:16:55.049 --> 02:16:56.270]  Hi, I'm Dan Pilla.
[02:16:56.270 --> 02:17:00.193]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[02:17:00.193 --> 02:17:01.735]  I sued the IRS and won.
[02:17:01.735 --> 02:17:04.697]  I beat the IRS then, and I've been beating them ever since.
[02:17:04.697 --> 02:17:10.262]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[02:17:10.262 --> 02:17:11.463]  I can help you, too.
[02:17:11.463 --> 02:17:14.405]  If you owe taxes you can't pay, don't wait another day.
[02:17:14.405 --> 02:17:16.627]  There's no such thing as a hopeless tax case.
[02:17:16.627 --> 02:17:21.071]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[02:17:21.071 --> 02:17:23.353]  That's danpilla.com, danpilla.com.
[02:17:24.694 --> 02:17:26.575]  Fully cooked, ready-to-eat bacon.
[02:17:26.575 --> 02:17:29.796]  I'm talking thick, meaty, center-cut, presidential bacon.
[02:17:29.796 --> 02:17:31.397]  Savory and delicious.
[02:17:31.397 --> 02:17:34.238]  I buy some, I use some, I store some.
[02:17:34.238 --> 02:17:34.898]  Awesome.
[02:17:34.898 --> 02:17:37.999]  No refrigeration needed with a 10-year shelf life.
[02:17:37.999 --> 02:17:39.560]  NASA PAC Technology.
[02:17:39.560 --> 02:17:40.180]  Bacon.
[02:17:40.180 --> 02:17:44.341]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[02:17:44.341 --> 02:17:45.762]  Or warm and served.
[02:17:45.762 --> 02:17:47.823]  Life-saving, ready-to-eat bacon.
[02:17:47.823 --> 02:17:49.763]  10-year shelf life bacon.
[02:17:49.763 --> 02:17:52.544]  Ships free at FullyCookedBacon.com.
[02:17:52.544 --> 02:17:53.765]  FullyCookedBacon.com.
[02:17:58.160 --> 02:18:00.021]  Mike in New Jersey, you're on the air.
[02:18:00.021 --> 02:18:00.902]  Thanks for calling, Mike.
[02:18:00.902 --> 02:18:02.263]  You are the man, Alex.
[02:18:02.263 --> 02:18:03.784]  I'm so glad to be talking to you.
[02:18:03.784 --> 02:18:04.585]  I'm so excited.
[02:18:04.585 --> 02:18:05.486]  I'm such a big fan.
[02:18:05.486 --> 02:18:07.967]  Ever since I've been listening, I've been buying your products.
[02:18:07.967 --> 02:18:10.469]  I gotta do a shout-out for the Bone Broth.
[02:18:10.469 --> 02:18:11.890]  The Bone Broth.
[02:18:11.890 --> 02:18:13.331]  The Bone Broth.
[02:18:13.331 --> 02:18:14.492]  The B-B-Bone Broth.
[02:18:14.492 --> 02:18:15.973]  The B-B-Bone Broth.
[02:18:15.973 --> 02:18:19.196]  Tastes like, tastes like a great milkshake.
[02:18:19.196 --> 02:18:20.737]  You know, if you just add it to milk.
[02:18:20.737 --> 02:18:22.038]  It tastes like Ovaltine.
[02:18:22.038 --> 02:18:23.339]  It tastes like Ovaltine.
[02:18:23.339 --> 02:18:25.140]  It tastes like Ovaltine.
[02:18:25.140 --> 02:18:25.881]  Like good.
[02:18:26.221 --> 02:18:26.801]  Whoa!
[02:18:26.801 --> 02:18:28.522]  I feel great since I've been taking it.
[02:18:28.522 --> 02:18:32.704]  My daughter uses the Bubblegum Fluoride Free Toothpaste.
[02:18:32.704 --> 02:18:36.506]  I've used the Supermail Vitality, a host of other products.
[02:18:36.506 --> 02:18:38.528]  So thank you so much for that as well.
[02:18:38.528 --> 02:18:41.109]  Brother, you're thanking me for buying the products.
[02:18:41.109 --> 02:18:41.849]  I'm thanking you.
[02:18:41.849 --> 02:18:48.293]  But yes, this is the ultimate bone broth formula with the turmeric, the chaga mushroom, the true bone broth.
[02:18:48.293 --> 02:18:49.033]  It is next level.
[02:18:49.033 --> 02:18:49.693]  It really is good.
[02:18:49.693 --> 02:18:50.234]  So thank you.
[02:18:50.234 --> 02:18:52.175]  I feel great since I've been taking it.
[02:18:52.175 --> 02:18:52.535]  Thank you.
[02:19:01.167 --> 02:19:03.509]  The Real Red Pill Plus, ladies and gentlemen.
[02:19:03.509 --> 02:19:06.952]  Our team is constantly on the lookout for newer and better ways to improve our products.
[02:19:06.952 --> 02:19:13.317]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[02:19:13.317 --> 02:19:18.822]  The Real Red Pill Plus is an all-new version of the powerhouse preglanum product.
[02:19:18.822 --> 02:19:26.529]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[02:19:26.969 --> 02:19:33.410]  A powerful, pregnant-owned base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[02:19:33.410 --> 02:19:43.792]  Now, with an extra proprietary energy blend inside, including Green Tea Extract, Aromante Leaf Extract, and more, you can get that extra pick-me-up, all supporting your mind and body in a healthy way.
[02:19:43.792 --> 02:19:46.553]  It's got all the great stuff that Real Red Pill has.
[02:19:46.553 --> 02:19:48.493]  It's also got the boost that it.
[02:19:48.493 --> 02:19:51.754]  Get the Real Red Pill Plus at InfoWarStore.com.
[02:19:59.267 --> 02:20:11.596]  You're listening to the Alex Jones Show.
[02:20:11.596 --> 02:20:19.341]  I'm no stranger to the rain.
[02:20:19.341 --> 02:20:24.604]  I'm a friend of thunder, friend as it is... Alright, I appreciate Dan Lyman holding.
[02:20:24.604 --> 02:20:27.266]  He'll be with us the rest of the hour while I was ranting.
[02:20:27.266 --> 02:20:28.287]  But I want to tell you something.
[02:20:31.404 --> 02:20:37.986]  The best thing I ever did was go out to pro-life rallies 20 years ago.
[02:20:37.986 --> 02:20:41.106]  20 plus years ago.
[02:20:41.106 --> 02:20:44.287]  I was guilty about paying for abortions.
