[00:00:15.230 --> 00:00:16.891]  This perfect storm.
[00:50:00.116 --> 00:50:05.338]  And if you want to show every time a black dude gets shot, you can see it almost every day!
[00:50:05.338 --> 00:50:10.500]  And most of the time, the black dude pulls a gun and shoots themselves, the cops get blamed.
[00:50:10.500 --> 00:50:13.881]  Or he pulls a gun on the cops, it's black cops, the cops get blamed.
[00:50:13.881 --> 00:50:19.563]  And I'm against the police when they're following legal orders, beating up people because they're not wearing a mask, whether they're black or white.
[00:50:20.816 --> 00:50:22.477]  I'm all about going after bad cops.
[00:50:22.477 --> 00:50:24.598]  I'm all about going after the police state.
[00:50:24.598 --> 00:50:41.567]  But the police state's the globalist, hyping up a bunch of dumb people, black and white, to go out and to shoot cops in the head for no reason, or just random white people pull into BLM checkpoints, or Antifa checkpoints.
[00:50:41.567 --> 00:50:43.008]  They just shoot you in the head.
[00:50:43.008 --> 00:50:47.351]  And when they shoot some old white dude in the head because he didn't stop, it's on the local news and that's it.
[00:50:48.601 --> 00:50:54.726]  You see white people when they see a crowd of Antifa or black folks killing an innocent white person?
[00:50:54.726 --> 00:50:58.729]  Freaking out and going and killing a bunch of white people?
[00:50:58.729 --> 00:51:02.111]  But I'll tell you what's going on.
[00:51:02.111 --> 00:51:05.574]  They're trying to get crazy white people to go out and kill a bunch of black people.
[00:51:05.574 --> 00:51:08.076]  So you'll see a black church get shot up or something, God forbid.
[00:51:09.226 --> 00:51:14.127]  And then they're gonna trigger the real race war, ladies and gentlemen, and that's all this is.
[00:51:14.127 --> 00:51:16.708]  And the average black person, the average white person sees through it.
[00:51:16.708 --> 00:51:36.191]  But when the left and the corporate media are pushing this and saying there's an epidemic of black men being killed by police, to where you see every day a black guy goes into an auto parts store, goes into a shop, and just kills a random white dude, or stabs a random white dude, or shoots him, because they go, well, I gotta get even, because they're killing all of us!
[00:51:36.191 --> 00:51:38.872]  That's the public... It's just like...
[00:51:40.011 --> 00:51:43.472]  You have a .000 something chance of dying of COVID now.
[00:51:43.472 --> 00:51:46.232]  They keep downgrading it, downgrading it, downgrading it.
[00:51:46.232 --> 00:51:51.474]  It does kill people on a blue moon if you're really sick and have three, you know, comorbidities.
[00:51:51.474 --> 00:51:54.814]  So it's not a total hoax, but you know, it's not like an Easter Bunny doesn't exist.
[00:51:54.814 --> 00:51:58.055]  I mean, it's kind of like a duck-billed platypus.
[00:51:58.055 --> 00:52:00.276]  There are a couple of them, but there's almost, they're super rare.
[00:52:00.276 --> 00:52:01.876]  It's like a white rock rhino.
[00:52:01.876 --> 00:52:04.797]  I mean, they exist, but they'll soon be in unicorn land.
[00:52:04.797 --> 00:52:06.617]  They won't exist soon, you know.
[00:52:08.328 --> 00:52:09.589]  It's like people with two heads.
[00:52:09.589 --> 00:52:12.590]  They do exist, there's not a lot of them.
[00:52:12.590 --> 00:52:14.991]  So, there is COVID.
[00:52:14.991 --> 00:52:17.132]  But man, you go around everywhere, people think it's real.
[00:52:17.132 --> 00:52:19.653]  You tell them, hey, statistically, they're like, I know somebody died!
[00:52:19.653 --> 00:52:21.594]  And I go, how old were they?
[00:52:21.594 --> 00:52:23.595]  87 with cancer!
[00:52:23.595 --> 00:52:25.516]  Well, you know, they put that on the death certificate.
[00:52:25.516 --> 00:52:25.976]  Shut up!
[00:52:25.976 --> 00:52:27.717]  You don't know what you're talking about.
[00:52:27.717 --> 00:52:28.578]  It's the same thing.
[00:52:28.578 --> 00:52:30.919]  Hey, I've been at these Black Lives Matter protests.
[00:52:30.919 --> 00:52:32.139]  Sylvana Hernandez has been attacked.
[00:52:32.139 --> 00:52:35.701]  She's like, statistically, you're more likely to drown than be killed by a cop.
[00:52:35.701 --> 00:52:37.222]  Shut up, white supremacists!
[00:52:38.829 --> 00:52:46.531]  It's the invincible level of the ignorance that is staggering.
[00:52:46.531 --> 00:52:48.272]  And so, two L.A.
[00:52:48.272 --> 00:52:54.034]  County deputies fighting for their lives after ambush shooting, search for suspect underway.
[00:52:54.034 --> 00:52:56.635]  They said it was a black man, a man with dark skin.
[00:52:56.635 --> 00:53:01.216]  Video shows two deputies ambushed, shot while inside patrol vehicle in Compton.
[00:53:04.994 --> 00:53:05.535]  Two L.A.
[00:53:05.535 --> 00:53:09.181]  Sheriff's deputies, again, were taken to the hospital.
[00:53:10.469 --> 00:53:16.214]  For gunshot wounds, BLM responds by rushing to the scene, we hope they die.
[00:53:16.214 --> 00:53:22.500]  Protestors gather outside hospital, treating two California deputies in critical condition.
[00:53:22.500 --> 00:53:28.365]  And then they come over to the cops, saying we hope you die, we hope they die, we're gonna kill you.
[00:53:28.365 --> 00:53:33.490]  And then when the cops walk out with their hands on their guns, they go, what the hell are you doing?
[00:53:33.490 --> 00:53:34.430]  You're abusing me!
[00:53:35.231 --> 00:53:44.467]  It's like when you run out and jump on somebody's car, they try to go around you, you try to pull them out of the car, and they get out and beat your ass, and then you squeal and yell for the police!
[00:53:44.467 --> 00:53:47.452]  This is mental illness.
[00:53:47.452 --> 00:53:49.015]  This is brainwashing.
[00:53:50.401 --> 00:53:54.403]  This is people that literally believe that they're actually under attack when they're not.
[00:53:54.403 --> 00:53:56.064]  Look, I got a bunch of other cops that are dead.
[00:53:56.064 --> 00:53:59.286]  Rest in peace Henderson County Sheriff's Deputy Ryan Hendricks.
[00:53:59.286 --> 00:54:01.808]  Shot and killed in cold blood, investigating a vehicle break-in.
[00:54:01.808 --> 00:54:10.093]  I got all these stacks here of just dead cops executed, but nobody cares about them, and it's not about kissing the police's ass.
[00:54:10.093 --> 00:54:13.115]  It's about kissing the ass of reality, ladies and gentlemen.
[00:54:13.115 --> 00:54:15.096]  That it's rare to be killed by the cops.
[00:54:15.096 --> 00:54:15.676]  Does it happen?
[00:54:15.676 --> 00:54:16.237]  Yes.
[00:54:16.237 --> 00:54:17.337]  Are the cops sometimes wrong?
[00:54:17.337 --> 00:54:17.898]  Absolutely.
[00:54:18.678 --> 00:54:20.159]  And they face prison when they do.
[00:54:20.159 --> 00:54:21.139]  Who wants that job?
[00:54:21.139 --> 00:54:30.243]  But in this case, let's go ahead, I already showed you the surveillance video of the person walking up and shooting the police and running off.
[00:54:30.243 --> 00:54:34.746]  This is happening every day in America, all because they were police, all because they were white.
[00:54:34.746 --> 00:54:36.206]  People shoot black cops too.
[00:54:36.206 --> 00:54:37.627]  Remember this happened last election cycle.
[00:54:39.068 --> 00:54:39.349]  2016-2018.
[00:54:39.349 --> 00:54:42.073]  Soros turns it on.
[00:54:42.073 --> 00:54:43.535]  So, let's just play the clips.
[00:54:43.535 --> 00:54:45.477]  Clips 2, 3, and 4, just back-to-back.
[00:54:45.477 --> 00:54:50.084]  This is at the hospital, with the deputies fighting for their lives, and then these people show up.
[00:54:50.084 --> 00:54:50.405]  Here it is.
[00:54:53.416 --> 00:55:09.002]  These pigs out here, they are telling us that we cannot come in here and see these individuals who have been shot down at the mother train station.
[00:55:09.002 --> 00:55:10.402]  Yes, I don't.
[00:55:10.402 --> 00:55:12.083]  And so what?
[00:55:12.083 --> 00:55:13.704]  There's no visitation allowed.
[00:55:13.704 --> 00:55:18.325]  OK, this is this is a public this is a public hospital right here.
[00:55:18.325 --> 00:55:19.506]  We're here to see the cops.
[00:55:20.546 --> 00:55:22.229]  It's a private hospital, sir.
[00:55:22.229 --> 00:55:23.611]  It's a private hospital, sir.
[00:55:23.611 --> 00:55:24.693]  It's a public hospital.
[00:55:24.693 --> 00:55:25.534]  No, it's not.
[00:55:25.534 --> 00:55:26.456]  It's not county.
[00:55:26.456 --> 00:55:28.339]  It's a private hospital.
[00:55:28.339 --> 00:55:28.900]  You need to go.
[00:55:28.900 --> 00:55:30.122]  It's a public hospital.
[00:55:30.122 --> 00:55:32.125]  Black Lives Matter demanding to be in the hospital.
[00:55:33.624 --> 00:55:34.825]  We're good to go.
[00:55:57.258 --> 00:56:03.500]  I mean, obviously, if you show up saying, I hope they die, at the hospital, they're fighting for their life, people know you're crazy.
[00:56:03.500 --> 00:56:05.501]  So the cops are going to have their guns out.
[00:56:05.501 --> 00:56:07.341]  Yeah, that's where you feel big and bad, huh?
[00:56:07.341 --> 00:56:09.322]  Take that shit off!
[00:56:09.322 --> 00:56:11.503]  Take that shit off!
[00:56:11.503 --> 00:56:13.463]  Take it off!
[00:56:13.463 --> 00:56:17.965]  And they go on for like 30 minutes, saying, we're going to kill you, you're going to die.
[00:56:17.965 --> 00:56:19.125]  You're going to die one by one.
[00:56:19.125 --> 00:56:23.166]  There's a lot of motherfuckers coming down here.
[00:56:23.166 --> 00:56:25.127]  Motherfuckers like to celebrate, motherfuckers.
[00:56:25.973 --> 00:56:28.996]  Meanwhile, 2,000 black males die a year in Chicago.
[00:56:28.996 --> 00:56:35.883]  97% killed by other black males.
[00:56:35.883 --> 00:56:39.306]  The rarest way for a black man to die is by a cop.
[00:56:39.306 --> 00:56:42.189]  The most common way is by another black man.
[00:56:42.189 --> 00:56:44.851]  Or in the womb, but people don't care about that.
[00:56:44.851 --> 00:56:47.654]  They've been told by the media, the cops are the enemy, and they actually believe it.
[00:56:47.654 --> 00:56:48.375]  They believe the news.
[00:56:53.852 --> 00:56:55.072]  Folks, there's so many of these videos.
[00:56:55.072 --> 00:56:56.493]  I literally watched an hour of it this morning.
[00:56:56.493 --> 00:56:59.433]  I mean, the crew, I just randomly sent a bunch of links.
[00:56:59.433 --> 00:57:03.854]  This isn't even the bad stuff.
[00:57:03.854 --> 00:57:05.954]  They say, you're gonna die, we're gonna kill you one by one.
[00:57:05.954 --> 00:57:15.076]  And then they wonder why the cops have guns.
[00:57:15.076 --> 00:57:19.037]  Now they're saying they hope that they die.
[00:57:20.293 --> 00:57:22.534]  Again, ladies and gentlemen, this is all George Soros.
[00:57:22.534 --> 00:57:24.336]  Why is he not arrested?
[00:57:24.336 --> 00:57:28.318]  Now they admit that Mueller's people destroyed 30-plus phones with evidence of criminal activity.
[00:57:28.318 --> 00:57:29.119]  Why aren't they arrested?
[00:57:29.119 --> 00:57:31.860]  That's why they're doing this, because it's a criminal takeover.
[00:57:31.860 --> 00:57:35.543]  It's a criminal move on civilization and society.
[00:57:35.543 --> 00:57:38.244]  Absolutely no self-awareness.
[00:57:38.244 --> 00:57:42.627]  You go to a hospital where people have been shot for no reason, fighting for their lives, saying you hope they die.
[00:57:42.627 --> 00:57:44.929]  We'll be back with our number two, Roger Stone.
[00:57:44.929 --> 00:57:45.309]  Stay with us.
[00:57:48.484 --> 00:57:51.141]  The clock is ticking on the once free world.
[00:57:52.250 --> 00:57:55.453]  And the free press is under attack more than ever.
[00:57:55.453 --> 00:58:05.961]  I now see videos 10 or 15 times a day, without even trying to find them, of press being arrested in the United States, press being arrested in Canada, the UK, Europe, Australia, New Zealand.
[00:58:05.961 --> 00:58:10.745]  And it's always the so-called liberal left, the defenders of speech, doing it.
[00:58:10.745 --> 00:58:17.791]  They are the authoritarians, they work for the Chai Com Globalist Combine, and they are working around the clock
[00:58:18.732 --> 00:58:20.513]  to silence InfoWars.
[00:58:20.513 --> 00:58:25.677]  Just as we were the group they started with three years ago, they test out everything new on us.
[00:58:25.677 --> 00:58:28.279]  And a lot of it I can't get into on air at this point.
[00:58:28.279 --> 00:58:37.866]  I'll be able to reveal this later, but I just want to make you all realize that your support, your word of mouth, your prayer is absolutely essential, and I thank you all for it.
[00:58:37.866 --> 00:58:45.212]  But whatever you do, take advantage of the great products that support the InfoWars and make your life healthier and better at InfoWarsTore.com.
[00:58:45.212 --> 00:58:46.753]  Please go to InfoWarsTore.com today.
[00:58:49.639 --> 00:58:56.403]  There is a metaphysical rule that God has put in place that controls the universe, and it's free will.
[00:58:56.403 --> 00:59:05.569]  That's why the social engineers, the robber barons, the globalists, the post-humanists, the anti-humans, openly tell you what they're doing.
[00:59:06.269 --> 00:59:10.911]  And openly tell you that your work will suit crap and you need to die because that will save the earth.
[00:59:10.911 --> 00:59:19.354]  And they do everything they can to make the most dystopian, ugly future they can in the movies and in the culture and in all the different publications.
[00:59:19.354 --> 00:59:20.994]  They are making you hate yourself.
[00:59:20.994 --> 00:59:22.895]  They are making you be depressed.
[00:59:22.895 --> 00:59:28.117]  They are making you not have a connection to God because they just want you to die so they can selfishly control the future.
[00:59:28.117 --> 00:59:29.798]  And that's what all this is about, you know.
[00:59:29.798 --> 00:59:33.659]  They say they're setting up world government to protect us all from our super technologies.
[00:59:34.259 --> 00:59:43.845]  While they're the ones running around like mad scientists, endangering the whole planet with a lot of these technologies, the globalists are what is disruptive to human species.
[00:59:43.845 --> 00:59:46.726]  They call us disruptive to their power grab.
[00:59:46.726 --> 00:59:51.629]  It's time to say no.
[00:59:51.629 --> 00:59:54.251]  You're listening to the Alex Jones Show.
[01:00:06.323 --> 01:00:07.984]  This perfect storm.
[01:00:07.984 --> 01:00:11.127]  The debate is over around climate change.
[01:00:11.127 --> 01:00:14.109]  Just come to the state of California.
[01:00:14.109 --> 01:00:15.710]  Observe it with your own eyes.
[01:00:15.710 --> 01:00:16.871]  It's not an intellectual debate.
[01:00:16.871 --> 01:00:19.193]  It's not even debatable.
[01:00:19.193 --> 01:00:23.336]  The debate is over around climate change.
[01:00:23.336 --> 01:00:29.421]  California's rogue governor says the fires are due to climate change.
[01:00:29.421 --> 01:00:34.785]  But anyone with a modicum of awareness knows that this is an outrageous lie.
[01:00:36.053 --> 01:00:40.055]  We know exactly what causes the California wildfire.
[01:00:40.055 --> 01:00:45.237]  It is the result of two factors, dry seasons and people.
[01:00:45.237 --> 01:00:54.501]  Official state records have only been kept since the 1950s, and 2020 has been the most destructive season on record.
[01:00:54.501 --> 01:01:00.944]  But this isn't a new phenomenon, and the fires of the past were more destructive than the modern era.
[01:01:02.104 --> 01:01:16.410]  Through studies of tree rings and other natural evidence, researchers have documented multiple droughts in California during the past thousand years, including one that began in the year 850, which lasted two and a half centuries.
[01:01:17.530 --> 01:01:28.556]  Before European settlers arrived in California, indigenous peoples used controlled burns to manage the dry season and to increase and improve their harvest.
[01:01:28.556 --> 01:01:35.679]  It is estimated they would burn 4.4 million acres of forest each year, and that is twice as much as 2020.
[01:01:37.316 --> 01:01:43.317]  Studies have shown that 97% of all forest fires are caused by humans.
[01:01:43.317 --> 01:01:48.478]  Smoking, campfires, and other accidents have always been a problem.
[01:01:48.478 --> 01:01:55.200]  Experts blame the recent wildfires on fire suppression and an overabundance of wood fuel.
[01:01:55.200 --> 01:02:00.361]  One of the reasons why the indigenous people burned so much forest was to keep this under control.
[01:02:01.833 --> 01:02:06.017]  Aside from human accidents, there is also arson.
[01:02:06.017 --> 01:02:09.941]  And we have seen plenty of arson in 2020.
[01:02:09.941 --> 01:02:11.502]  It's been sort of the theme.
[01:02:11.502 --> 01:02:18.329]  If this country doesn't give us what we want, then we will burn down this system and replace it.
[01:02:18.329 --> 01:02:23.614]  Several people have been arrested for starting fires along the entire West Coast.
[01:02:23.614 --> 01:02:26.236]  Homeowners are catching arsonists on their property.
[01:02:27.397 --> 01:02:32.703]  There are reports of people throwing Molotov cocktails out of moving vehicles on the freeway.
[01:02:40.874 --> 01:02:45.977]  And there are videos of arsonists setting people's homes on fire.
[01:02:45.977 --> 01:02:54.442]  We know for certain that at least one of the arrested arsonists is directly involved with the BLM Antifa movement.
[01:02:54.442 --> 01:02:57.604]  And the rest certainly seem to fit the bill.
[01:03:00.561 --> 01:03:02.223]  Local news is reporting on it.
[01:03:02.223 --> 01:03:05.646]  A man has been arrested, accused of starting this fire.
[01:03:05.646 --> 01:03:10.410]  One of two men accused of intentionally setting fire to fields along freeways.
[01:03:10.410 --> 01:03:15.394]  But the FBI and the mainstream media are in full denial.
[01:03:15.394 --> 01:03:23.421]  A Clackamas County Sheriff's Deputy was placed on administrative leave after warning locals about coordinated arson attacks.
[01:03:23.581 --> 01:03:26.826]  What I'm worried about is that there's people stashing stuff.
[01:03:26.826 --> 01:03:27.467]  Right.
[01:03:27.467 --> 01:03:29.450]  It means that they're going to go in preparation.
[01:03:29.450 --> 01:03:29.951]  Right.
[01:03:29.951 --> 01:03:34.798]  And I don't want to sound like some doomsday-er, but it's getting serious.
[01:03:35.427 --> 01:03:39.489]  And the Democrat Party is telling you it is all climate change.
[01:03:39.489 --> 01:03:41.290]  Mother Earth is angry.
[01:03:41.290 --> 01:03:52.034]  She's telling us, whether she's telling us with hurricanes on the Gulf Coast, fires in the West, whatever it is, that the climate crisis is real and has an impact.
[01:03:52.034 --> 01:03:58.777]  And telling you that the fires will soon come to your town if you don't vote for climate change.
[01:03:58.777 --> 01:04:00.198]  What we're experiencing right here
[01:04:01.184 --> 01:04:07.966]  is coming to community all across the United States of America unless we get our act together on climate change.
[01:04:07.966 --> 01:04:17.190]  Which is a pretty nasty threat, considering how many cities across America have burned by the hands of radical leftists over the summer.
[01:04:18.767 --> 01:04:38.439]  The 2006 film Apocalypto beautifully illustrated how the ancient Mayans' advanced knowledge of astronomy could have been used to frighten the superstitious masses into offering their own to be sacrificed on the altar of false idols who had the power to blacken out the sun.
[01:04:39.880 --> 01:04:42.681]  And there is nothing new under the sun.
[01:04:42.681 --> 01:04:51.504]  People today will throw away their children's birthright because of ignorance, faith in false idols, and their blatant lies.
[01:04:51.504 --> 01:04:54.365]  For InfoWars.com, this is Greg Reese.
[01:04:54.365 --> 01:04:55.525]  Reports on InfoWars, share it.
[01:04:58.123 --> 01:05:01.545]  I don't want to be right about this prediction.
[01:05:01.545 --> 01:05:04.207]  In fact, it's not a prediction.
[01:05:04.207 --> 01:05:06.449]  It is a forecast.
[01:05:06.449 --> 01:05:23.681]  If we continue down the economic road we're on globally with the ongoing COVID-19 lockdowns and the structure of productivity, it will continue to accelerate these ripple effects that are breaking down supply chains that will starve tens of millions of additional people in the third world and destroy decades of human infrastructure.
[01:05:24.501 --> 01:05:44.650]  I really think the smart move is to end all these lockdowns immediately and prosecute the people that launched the giant COVID scam, the giant COVID con game that's really just a big power grab.
[01:05:45.290 --> 01:05:50.953]  But, in case we can't reverse all this, we better start digging in and getting storable food, and getting prepared to be self-sufficient.
[01:05:50.953 --> 01:05:53.714]  Because that's the name of their game, is to make us dependent on them.
[01:05:53.714 --> 01:05:56.016]  So get self-sufficient now, in fullwars.com.
[01:06:13.112 --> 01:06:29.744]  Well, Roger Stone is out in Reno, Nevada covering the Trump event there, doing a bunch of big speaking engagements and private events, and we're really appreciating him ducking out into a little studio area to talk to us for just 30 minutes or so, and then he's got to go.
[01:06:29.744 --> 01:06:36.770]  Is it true that Roger Stone, again this is Alex Jones Show, if you just tuned in, second hour Sunday broadcast, is it true that Roger Stone
[01:06:38.171 --> 01:06:43.614]  Called for martial law to be declared if Trump loses the election?
[01:06:43.614 --> 01:06:44.615]  No!
[01:06:44.615 --> 01:06:46.596]  Roger was on with me, I guess, Wednesday.
[01:06:47.950 --> 01:06:51.953]  And we went over the headlines that were in Reuters, AP, everywhere.
[01:06:51.953 --> 01:07:05.282]  General Mattis, according to Bob Woodward's book, wanted a coup and tried to plot a coup, but he couldn't get people to go along with him, even though he had John McCain and other Democrats, John McCain's really a Democrat, with him.
[01:07:05.282 --> 01:07:07.303]  Now, we don't just believe what Bob Woodward says.
[01:07:07.303 --> 01:07:08.264]  A lot of it's BS.
[01:07:08.264 --> 01:07:08.924]  We went and looked it up.
[01:07:08.924 --> 01:07:10.225]  There was a coup back at that time.
[01:07:10.225 --> 01:07:12.026]  Roger Stone covered it then.
[01:07:12.026 --> 01:07:15.669]  So by their alchemy, they turned it into Roger Stone calls for that.
[01:07:16.786 --> 01:07:17.747]  Here's the headlines.
[01:07:17.747 --> 01:07:22.972]  James Mattis is caught suggesting military coup against Trump.
[01:07:22.972 --> 01:07:25.234]  Paul Greg Roberts, former head of the Treasury, came out and said the U.S.
[01:07:25.234 --> 01:07:27.155]  and its Constitution have two months left.
[01:07:27.155 --> 01:07:30.659]  They're trying to have a coup against Trump.
[01:07:30.659 --> 01:07:31.720]  But here's Forbes.
[01:07:31.720 --> 01:07:36.764]  Roger Stone calls on Trump to seize total power and assert martial law.
[01:07:36.764 --> 01:07:37.245]  But could he?
[01:07:38.902 --> 01:07:41.724]  Roger Stone tells Trump to bring in Marshall Law if he loses the election.
[01:07:41.724 --> 01:07:42.964]  London Independent.
[01:07:42.964 --> 01:07:51.889]  Business Insider's got a long headline talking about all of Roger's plans for total power and the seizure of total control.
[01:07:51.889 --> 01:07:58.793]  Meanwhile, real former JAG officers and generals warn that the Democrats have been canvassing with other Republican rhinos and neocons
[01:07:59.173 --> 01:08:00.835]  For just that.
[01:08:00.835 --> 01:08:04.217]  And everyone's heard Joe Biden say the military is going to remove him.
[01:08:04.217 --> 01:08:06.980]  And Bill Clinton said two weeks ago the military needs to remove him.
[01:08:06.980 --> 01:08:10.142]  And Hillary and Eric Holder and they're all saying it.
[01:08:10.142 --> 01:08:15.067]  And Roger comes on and says Trump has a constitutional right and so do we to say no to this.
[01:08:15.067 --> 01:08:19.891]  He talks about that and they got really scared and misrepresented what you said, Rogers.
[01:08:19.891 --> 01:08:27.317]  They now admit contesting the election, as you said months ago on the show, and doing all of this and having civil unrest is their plan.
[01:08:27.617 --> 01:08:29.978]  Because I know Trump is surging in the polls.
[01:08:29.978 --> 01:08:32.598]  Roger Stone, thanks for joining us.
[01:08:32.598 --> 01:08:42.300]  Alex, I thought it was very important to get on with you today because I've really, actually in 40 years in American politics, I've never quite seen anything like this.
[01:08:42.300 --> 01:08:53.623]  You see, the unhinged left is very upset because I have exposed what they have planned, although it wasn't very hard because they talk about it openly.
[01:08:54.551 --> 01:09:05.456]  And my public comments can be construed as advising the president to legally use his powers to thwart what they have coming.
[01:09:05.456 --> 01:09:14.400]  I never said in any context, the president should seize power through martial law if he loses the election.
[01:09:14.400 --> 01:09:18.262]  What I said was, if there is overwhelming evidence of fraud,
[01:09:18.922 --> 01:09:38.313]  The president absolutely has the right to use every legal tool, including invoking the Insurrection Act, martial law, if necessary, since there is violence in our streets and it is directly traceable to the Biden-Harris globalist forces.
[01:09:38.313 --> 01:09:40.535]  This is one of the most outrageous smears.
[01:09:40.535 --> 01:09:43.296]  I understand it because you see, I'm the boogeyman.
[01:09:43.296 --> 01:09:45.878]  Oh, Roger Stone, he's a dirty trickster.
[01:09:46.440 --> 01:10:05.554]  Based on my 40 years in American politics, based on my experience in 10 presidential campaigns, I'm trying to tell anyone who will listen what needs to happen in the event that we have an audacious, blatant, outrageous steal of this election.
[01:10:05.554 --> 01:10:12.539]  And it is not just the mail ballots, the mail-in ballots, where the stealing will take place.
[01:10:13.177 --> 01:10:29.449]  In fact, there's been too much focus on that and not enough focus on the old-fashioned methods of vote stealing as practiced in places like, oh, I don't know, Chicago, Illinois, Palm Beach County, Florida, Broward County, Florida.
[01:10:29.449 --> 01:10:33.853]  It is absolutely clear that the Democrats are going to vote dead people.
[01:10:34.617 --> 01:10:37.378]  As they're doing right here in Clark County, Nevada.
[01:10:37.378 --> 01:10:39.999]  They're going to vote people multiple times.
[01:10:39.999 --> 01:10:47.082]  I was about to say, a bunch of state attorney generals have already found the Democrats voting twice, just as Trump warned they would.
[01:10:47.082 --> 01:10:51.684]  But this is an attempt, again, at inoculation.
[01:10:51.684 --> 01:10:59.167]  They intend to steal this, and they're trying to signal Trump that he better not dare challenge their illegal actions.
[01:10:59.167 --> 01:11:02.508]  And therefore, I was actually trending on Twitter yesterday.
[01:11:03.477 --> 01:11:08.460]  That's a social media platform where I've been banned for over three years.
[01:11:08.460 --> 01:11:12.642]  But I want to be very clear because I went back and I listened to our interview.
[01:11:12.642 --> 01:11:19.005]  I never said the president should seize power if he's, you know, not elected.
[01:11:19.005 --> 01:11:28.289]  In fact, the president himself has said in a White House news conference, well, of course, if I lost an honest and fair election, I would step down.
[01:11:28.289 --> 01:11:30.570]  There's no question about that.
[01:11:30.570 --> 01:11:32.551]  But that's not what they are talking about.
[01:11:33.568 --> 01:11:35.869]  So this has to be corrected.
[01:11:35.869 --> 01:11:50.113]  The Guardian, CNN, the Daily Beast, all the usual suspects, all of the corporately owned fake news fountains, the people that constantly spew falsehoods about InfoWars, about you, about me.
[01:11:50.113 --> 01:11:58.756]  The reason they hate InfoWars and us so much is because we're letting people know what is really about to happen.
[01:11:59.793 --> 01:12:01.635]  We're exposing their plans.
[01:12:01.635 --> 01:12:03.776]  I was about to say they always project.
[01:12:03.776 --> 01:12:05.578]  They're the ones saying use the military.
[01:12:05.578 --> 01:12:09.521]  They're the ones saying they're going to lose and they're going to contest it and use that for civil unrest.
[01:12:09.521 --> 01:12:11.123]  They're the ones saying they want a coup.
[01:12:11.123 --> 01:12:13.705]  And then we're like, how do we respond to this criminal activity?
[01:12:13.705 --> 01:12:17.228]  And then you went to the Constitution and what the president should do.
[01:12:17.228 --> 01:12:27.877]  Well, not only that, but yes, I did say federal agents, in this case, federal marshals can impound ballots in states where there are disputes to ensure that there are no tampering with those ballots.
[01:12:28.376 --> 01:12:29.716]  That's called the law.
[01:12:29.716 --> 01:12:31.637]  That's how it works.
[01:12:31.637 --> 01:12:41.578]  So this hysteria is because we have tipped the American people, and perhaps the people around the President, into what is about to happen.
[01:12:41.578 --> 01:12:57.101]  You notice in this interview that he gave with Judge Jeanine Pirro, someone I like very much, when she asked him about the potential for election fraud and stealing the 2020 election, the President said, we'll shut it down in a second.
[01:12:57.904 --> 01:12:59.505]  Well, I think that's optimistic.
[01:12:59.505 --> 01:13:03.567]  The President's not a lawyer, but it's more insidious than that.
[01:13:03.567 --> 01:13:05.649]  It's going to be multi-state.
[01:13:05.649 --> 01:13:08.490]  It's going to be multi-jurisdictional.
[01:13:08.490 --> 01:13:11.412]  It'll be in some courts, not in other courts.
[01:13:11.412 --> 01:13:16.455]  Meanwhile, how do we know that the BLM and TIFA forces
[01:13:17.156 --> 01:13:22.177]  Do not intend to intimidate voters from going to the polling places.
[01:13:22.177 --> 01:13:34.120]  I think that is exactly... Oh, by the way, the group Soros just set up to manage all this, the election transition team as they call it, publicly run by him, says we're gonna shut down all the cities, we're gonna shut down the polling places.
[01:13:34.120 --> 01:13:42.322]  They're actually saying they're gonna be there protecting them and then shutting them down and taking control and absolutely trying to lock down the country.
[01:13:42.322 --> 01:13:44.242]  Here's a message for Attorney General Barr.
[01:13:45.037 --> 01:13:49.125]  Voter intimidation is a federal crime.
[01:13:49.125 --> 01:13:51.849]  They have just announced that they plan to do it.
[01:13:51.849 --> 01:13:54.574]  Sir, do your job.
[01:13:54.574 --> 01:13:56.438]  Please, do your job.
[01:13:57.429 --> 01:14:01.710]  When they say that we intimidate voters, it is baseless.
[01:14:01.710 --> 01:14:03.251]  We've never intimidated voters.
[01:14:03.251 --> 01:14:09.312]  In fact, I happen to think the bigger the turnout, the better it is for Donald Trump and the Republicans.
[01:14:09.312 --> 01:14:11.933]  But you're right, it's absolute projection.
[01:14:11.933 --> 01:14:15.334]  Their criminal plans have been laid bare.
[01:14:15.334 --> 01:14:17.514]  They don't want any opposition.
[01:14:17.514 --> 01:14:25.837]  And when we go out there and we sound the clarion call so people know what is about to happen, they smear us.
[01:14:25.837 --> 01:14:26.497]  It's outrageous.
[01:14:27.216 --> 01:14:38.670]  Roger, when we come back to talking about outrages, I keep hearing that Durham's going to do something and they've indicted one FBI lawyer that falsified documents about the President, about you, about others, with Russian gay garbage.
[01:14:40.250 --> 01:14:49.892]  Durham, I mean, we have 30 plus phones by the whole Mueller investigation being wiped, just like Hillary wiping the servers and bleach bidding it.
[01:14:49.892 --> 01:14:58.735]  The arrogance, the humorous of these people is just absolutely unparalleled because they think they're never going to get in trouble, which invites the next big scam.
[01:14:58.735 --> 01:15:00.555]  We'll come back to Roger Stone on the other side.
[01:15:00.555 --> 01:15:01.635]  He's out in Reno, Nevada.
[01:15:01.635 --> 01:15:03.396]  The president's giving his speech.
