[00:00:00.009 --> 00:00:01.311]  The Alex Jones Show.
[02:05:45.533 --> 02:05:56.301]  Article 3 of the Resolution states that Obama has been aiding and abetting known enemies of the United States, including the Muslim Brotherhood, ISIS, Al Qaeda, Hamas, and the Taliban, among others.
[02:05:56.621 --> 02:06:07.209]  The committeeman behind the Resolution says that we are a nation of laws and separation of powers, and this lets the President know that we are not going to put up with his ability to go around the Constitution.
[02:06:07.550 --> 02:06:10.192]  Leigh-Anne Mackinty reporting for InfoWars.com
[02:06:10.692 --> 02:06:17.495]  In the 15-year history of PrisonPlanet.TV, we have never offered six months free at Christmas.
[02:06:17.595 --> 02:06:20.296]  We've always offered five months free.
[02:06:20.476 --> 02:06:26.058]  But since I announced six free months a few days ago, we have seen record numbers of sign-ups.
[02:06:26.398 --> 02:06:29.520]  PrisonPlanet.TV began 15 years ago.
[02:06:29.820 --> 02:06:32.781]  It's grown into InfoWars, Nightly News, and so much more.
[02:06:33.101 --> 02:06:41.668]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[02:06:42.069 --> 02:06:52.798]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[02:06:53.058 --> 02:07:00.469]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.tv.
[02:07:00.629 --> 02:07:02.712]  Get 20 memberships at half price.
[02:07:02.892 --> 02:07:04.735]  Be the Paul Revere in your community.
[02:07:04.815 --> 02:07:08.360]  That's 6 months free when you sign up for a year at PrisonPlanet.tv.
[02:07:10.564 --> 02:07:12.165]  It has happened.
[02:07:12.185 --> 02:07:15.367]  2015 has passed into history, into lore.
[02:07:15.807 --> 02:07:18.529]  But now, 2016 has been born.
[02:07:19.130 --> 02:07:22.932]  And the decision lies in your hands to forge the destiny.
[02:07:24.173 --> 02:07:25.093]  Whoa, whoa, whoa!
[02:07:25.194 --> 02:07:29.777]  That's a little too epic, that Hollywood action-adventure-science-fiction voice I'm using.
[02:07:29.797 --> 02:07:38.122]  But quite frankly, that's how I feel like I should be talking about what happens when your body actually gets the real, natural nutrients it needs.
[02:07:38.382 --> 02:07:44.828]  And that's why we're offering the biggest discount ever on three of our best-selling products that turbocharge and cleanse the body.
[02:07:45.048 --> 02:07:53.495]  Get Survival Shield X2 Nason Iodine, the all-in-one cleansing formula Deep Cleanse, and Secret 12 Methylcobalamin Vitamin B12 for the lowest price ever.
[02:07:53.595 --> 02:07:57.779]  Read the five-star reviews at Infowarslife.com and take action in the new year.
[02:07:57.939 --> 02:08:02.743]  Receive 15% off on checkout at Infowarslife.com when you use the promo code 2016.
[02:08:03.604 --> 02:08:03.965]  And see?
[02:08:04.065 --> 02:08:04.886]  I just did it again.
[02:08:04.966 --> 02:08:06.368]  I can't help but get excited.
[02:08:06.448 --> 02:08:07.109]  Get healthy!
[02:08:07.290 --> 02:08:08.071]  Fight the globalists!
[02:08:08.351 --> 02:08:08.932]  Win-win!
[02:08:09.172 --> 02:08:09.833]  Yeah!
[02:08:11.556 --> 02:08:15.061]  Resistance to tyrants is obedience to God.
[02:08:15.642 --> 02:08:17.405]  It's Alex Jones.
[02:08:38.416 --> 02:08:39.657]  It was just a few years ago.
[02:08:39.677 --> 02:08:42.879]  We were told that no world government existed.
[02:08:42.899 --> 02:08:48.603]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[02:08:48.623 --> 02:08:56.248]  It was just a few years ago they promised us no one was coming after our guns.
[02:08:57.849 --> 02:09:00.971]  Just a few years ago they promised us that nobody wanted to get rid of cash.
[02:09:02.418 --> 02:09:05.483]  Just a few years ago they promised us the TSA would never be on the streets.
[02:09:06.585 --> 02:09:09.831]  It was just a few years ago they promised us they'd never have forced inoculations.
[02:09:10.271 --> 02:09:11.694]  And it was insane if you thought it.
[02:09:12.034 --> 02:09:14.218]  Just a few years ago they said fluoride was good for you.
[02:09:14.258 --> 02:09:15.760]  Now they admit it's brain damaging you.
[02:09:17.332 --> 02:09:19.354]  Just a few years ago, they denied everything.
[02:09:19.714 --> 02:09:33.527]  Now they come out and admit it, but say it's good and that you're hateful and bad and racist if you don't agree with foreign insurance companies riding Obamacare to double and triple prices, lower the quality of care, and screw you over.
[02:09:34.108 --> 02:09:35.169]  So in the first year...
[02:09:38.115 --> 02:09:39.416]  Of global Obamacare.
[02:09:39.456 --> 02:09:45.663]  Just here in the US, global profits for insurance companies on our backs went up 47%.
[02:09:47.344 --> 02:09:51.008]  I know major hospital chain owners and others and they just go, Alex, you're absolutely right.
[02:09:51.428 --> 02:09:57.094]  It's all written by insurance companies and big chains to shut down all the little mom and pops and rape everyone.
[02:09:57.715 --> 02:10:00.738]  And they tell me, Alex, I've never made more money.
[02:10:02.600 --> 02:10:04.140]  It's unbelievable.
[02:10:04.740 --> 02:10:13.242]  And it's all done through social engineering and class warfare, where the poor socialists actually think they're getting something free.
[02:10:14.163 --> 02:10:16.523]  And under Obamacare, they get rid of real charity care.
[02:10:16.723 --> 02:10:17.763]  It's on record in law.
[02:10:19.304 --> 02:10:20.044]  That's just an example.
[02:10:21.024 --> 02:10:22.664]  And they get up there and go, there are no death panels.
[02:10:23.084 --> 02:10:23.565]  Yeah, there are.
[02:10:23.665 --> 02:10:24.185]  Now they admit it.
[02:10:24.905 --> 02:10:27.985]  One week after it passes, they have the cover of Newsweek, the case for killing Granny.
[02:10:28.546 --> 02:10:29.986]  Bill Gates goes, yeah, there are death panels.
[02:10:31.036 --> 02:10:31.696]  Sucker, we got it.
[02:10:32.297 --> 02:10:37.179]  And you can't keep your doctor, and we're going to increase your prices, and we're going to lower the quality of it.
[02:10:37.259 --> 02:10:37.959]  And you know what?
[02:10:38.679 --> 02:10:39.680]  There is a penalty.
[02:10:39.800 --> 02:10:43.222]  Started kicking in for businesses above 50 people last year.
[02:10:43.602 --> 02:10:46.063]  Now it kicks in to businesses, period.
[02:10:46.523 --> 02:10:48.204]  And then, oh, next year to everybody.
[02:10:48.984 --> 02:10:53.466]  Upwards of $5,000 a person that you don't insure.
[02:10:53.486 --> 02:10:56.347]  Of course, they just cut your pay or lay you off or make you go to part-time.
[02:10:56.567 --> 02:10:59.609]  They admit that part-time jobs in America, just search this,
[02:11:00.629 --> 02:11:06.372]  Doubled in the last three years with Obamacare getting phased in like slow death.
[02:11:06.432 --> 02:11:09.533]  They just drip the poison in where you kind of feel sleepy and lay down.
[02:11:09.894 --> 02:11:11.154]  They don't want to kill you right away.
[02:11:12.175 --> 02:11:13.835]  They're gonna do it real slow so nobody notices.
[02:11:14.316 --> 02:11:16.057]  Everything's done soft kill.
[02:11:16.077 --> 02:11:22.740]  Oh, we're just gonna start taking guns selectively now outside of law, just recommendations, executive order.
[02:11:25.031 --> 02:11:30.974]  And then, of course, as they take your free speech, as they take your guns, oh, we have to federalize your pension funds to keep them safe.
[02:11:31.334 --> 02:11:37.117]  Oh, big banks have to take money out of your account now and just give it to themselves, like they're doing in Europe.
[02:11:37.357 --> 02:11:38.878]  It's all being announced.
[02:11:39.338 --> 02:11:40.799]  Oh, it's totally normal now.
[02:11:40.859 --> 02:11:42.160]  We'll charge you to have money in the bank.
[02:11:42.400 --> 02:11:43.580]  It's totally normal.
[02:11:44.561 --> 02:11:45.561]  It's totally normal.
[02:11:45.581 --> 02:11:46.962]  Your children belong to the state.
[02:11:47.562 --> 02:11:49.123]  I'm a woman with short hair.
[02:11:49.463 --> 02:11:50.524]  I'm Rachel Maddow.
[02:11:51.144 --> 02:11:52.165]  I'm the authority.
[02:11:53.146 --> 02:11:56.168]  Obama, Congress, time for you to get in line.
[02:11:57.929 --> 02:11:59.550]  None of this is creepy at all.
[02:12:00.190 --> 02:12:05.934]  Government openly funding ISIS, openly giving them stinger missiles, neocon Republicans running Obama.
[02:12:06.895 --> 02:12:13.459]  You tell a Democrat that, they're on too big a power trip, they look at you through feeble little eyes and giggle and go, you're just mad you're not in power.
[02:12:13.719 --> 02:12:16.621]  I had a prominent Democrat this morning who I was on the phone with.
[02:12:17.685 --> 02:12:24.270]  on some issues here in town, and he was giggling and laughing at me about the executive order and betting I was upset.
[02:12:27.652 --> 02:12:37.460]  And I said, you know full well this is just screw everybody over, it's a horrible thing, and he's like, oh I know, I'm just having fun, oh god, it's sick, and hung up at the end of our conversation.
[02:12:39.181 --> 02:12:41.182]  I mean, they all know, it's just a big sick joke.
[02:12:44.517 --> 02:12:49.639]  Well, everything gets screwed over and we go from an innovation economy to a conquest economy.
[02:12:52.001 --> 02:12:55.022]  I'm going to go to Max Keiser for the balance of the hour.
[02:12:55.062 --> 02:13:00.044]  MaxKeiser.com, syndicated TV host, RT, BBC, Al Jazeera, you name it.
[02:13:00.945 --> 02:13:01.465]  Filmmaker.
[02:13:02.605 --> 02:13:03.406]  And he did predict
[02:13:04.810 --> 02:13:07.233]  What's now happening in bond markets and stock markets?
[02:13:07.273 --> 02:13:11.659]  A few years ago, he said it would happen by last year and it ended up starting a little bit late.
[02:13:11.699 --> 02:13:14.383]  But fortune favors the bold.
[02:13:14.683 --> 02:13:18.268]  He's right about 90% of the time and it just happens a little bit later than he said.
[02:13:18.308 --> 02:13:20.931]  And so now, Soros, it's time for 2008.
[02:13:22.978 --> 02:13:23.859]  All over again.
[02:13:24.039 --> 02:13:28.401]  They only announce right at the end for everybody so people go, oh Soros is so smart.
[02:13:29.021 --> 02:13:31.823]  Oh my gosh, what a wonderful Nazi collaborator.
[02:13:31.903 --> 02:13:37.525]  China's 29 minutes of chaos stunned brokers and a race to sell.
[02:13:37.605 --> 02:13:38.826]  Trillions disappearing.
[02:13:39.346 --> 02:13:43.729]  Our stock market dropping, you know, close to a thousand points now being pumped back up.
[02:13:45.530 --> 02:13:49.411]  AFP fears for world economy wreak carnage on oil stocks.
[02:13:49.692 --> 02:13:49.772]  Oh!
[02:13:51.107 --> 02:13:57.411]  I'm the fearmonger when I shoot videos and articles about how the collapse has to come, because all the experts basically say it's coming.
[02:13:57.431 --> 02:13:59.573]  I mean, we've got more derivatives than we had 2,000 years ago.
[02:13:59.753 --> 02:14:00.614]  You fearmonger!
[02:14:01.476 --> 02:14:13.460]  It'd be like saying if some 89-year-old man who's had 14 heart attacks takes up smoking cigarettes again and starts marching up a mountain, you say, hey, I think you might not, you might have a heart attack pretty soon.
[02:14:13.920 --> 02:14:15.600]  What fear-mongering!
[02:14:15.840 --> 02:14:18.141]  It's like saying Dick Cheney might have some heart problems.
[02:14:18.541 --> 02:14:21.182]  I think Dick Cheney might have a heart problem in the future.
[02:14:21.302 --> 02:14:22.523]  That's incredible fear-mongering!
[02:14:22.943 --> 02:14:24.623]  Next he's going to say fish are in the ocean.
[02:14:25.283 --> 02:14:29.125]  That crazy Alex, he said Obama would come for our guns, and now he is!
[02:14:29.325 --> 02:14:29.925]  What a kook!
[02:14:32.537 --> 02:14:35.404]  That kook Ted Cruz said Obamacare had shut down the economy.
[02:14:35.685 --> 02:14:38.572]  Oh, it is now, but Newsweek's calling him Hitler.
[02:14:41.417 --> 02:14:42.778]  Say what you want about Ted Cruz.
[02:14:43.298 --> 02:14:44.679]  Eloquent, smart, informed.
[02:14:44.859 --> 02:14:45.219]  Hitler?
[02:14:45.259 --> 02:14:45.739]  He's not.
[02:14:46.119 --> 02:14:47.760]  Obama is becoming like Hitler.
[02:14:47.820 --> 02:14:49.861]  And I'm pointing out the Republican neocons.
[02:14:49.941 --> 02:14:50.381]  Run him!
[02:14:50.401 --> 02:14:51.662]  Alright, I'm ranting.
[02:14:52.022 --> 02:14:57.785]  Max Keiser, we live in this world where other economies are in deep recession or depression or war.
[02:14:58.225 --> 02:15:02.707]  The West is financing chaos, admittedly, to come in with multinationals and take over.
[02:15:03.387 --> 02:15:05.068]  They're lining Europe up for collapse.
[02:15:05.088 --> 02:15:08.970]  In many areas they've got 45% unemployment in Spain, for men.
[02:15:10.256 --> 02:15:12.556]  And then they're telling us everything's fine, Max Keiser.
[02:15:12.616 --> 02:15:13.437]  You're a fear monger.
[02:15:13.677 --> 02:15:14.857]  Alex Jones is a fear monger.
[02:15:15.077 --> 02:15:15.737]  You know what, Max?
[02:15:15.857 --> 02:15:17.057]  I wish I was a fear monger.
[02:15:17.077 --> 02:15:19.518]  I mean, I wish I was wrong.
[02:15:19.578 --> 02:15:20.218]  I wish you were wrong.
[02:15:20.398 --> 02:15:22.378]  The real state of the economy is hellish, isn't it?
[02:15:24.118 --> 02:15:24.578]  Hey, Alex.
[02:15:24.618 --> 02:15:25.199]  How's it going?
[02:15:25.219 --> 02:15:27.479]  What's happening down there in Austin, Texas?
[02:15:27.659 --> 02:15:29.199]  Where are you joining us from, Max Keiser?
[02:15:30.139 --> 02:15:38.741]  I am in the city of London in the United Kingdom where Donald Trump, of course, is in big trouble because he has
[02:15:39.654 --> 02:15:47.395]  angered people with his comments about immigration and they might ban him from entering the United Kingdom.
[02:15:48.121 --> 02:15:50.982]  So, you know, we don't want Donald Trump in the United Kingdom, Alex.
[02:15:51.202 --> 02:15:56.425]  He's saying things that just are going to make the people here cower in fear.
[02:15:57.005 --> 02:16:05.669]  And what a free country, where they're arresting preachers that criticize radical Islam and putting them on trial and banning street demonstrations against sexually mutilating women.
[02:16:05.729 --> 02:16:08.770]  And now they want to ban, they've banned Michael Savage and Donald Trump.
[02:16:09.030 --> 02:16:10.471]  Boy, that sounds like a really free country to me.
[02:16:11.977 --> 02:16:16.679]  Well, the speech laws in the United Kingdom are some of the most oppressive in the world.
[02:16:17.139 --> 02:16:25.002]  I know that they're constantly attempting to censor my show that we do here in London.
[02:16:25.182 --> 02:16:25.522]  Oh, really?
[02:16:25.542 --> 02:16:26.182]  Tell us about that.
[02:16:26.222 --> 02:16:28.823]  I forgot you have a big professional production there.
[02:16:28.843 --> 02:16:31.744]  Tell us about what you've experienced.
[02:16:32.164 --> 02:16:37.526]  Yeah, we did a report about George Osborne, who is the Chancellor of the Exchequer.
[02:16:38.459 --> 02:16:41.040]  That's the Federal Reserve over there, folks.
[02:16:41.100 --> 02:16:41.920]  Go ahead, sorry.
[02:16:41.960 --> 02:16:42.380]  Treasury.
[02:16:42.440 --> 02:16:43.140]  Treasury, exactly.
[02:16:43.160 --> 02:16:51.582]  So he did a scheme where the government is subsidizing housing because the entire economy here is based on a property bubble.
[02:16:51.622 --> 02:16:53.443]  There's no manufacturing to speak of.
[02:16:53.823 --> 02:16:55.984]  There's no diversity in the economy.
[02:16:56.044 --> 02:17:01.225]  It's almost entirely based on this housing bubble, property bubble, that's almost exclusively in London.
[02:17:01.815 --> 02:17:07.459]  So he came out with another government subsidy, like Fannie Mae and Freddie Mac, to pump up this bubble.
[02:17:07.479 --> 02:17:10.401]  And we said on my show that this is a Ponzi scheme.
[02:17:10.842 --> 02:17:17.987]  So his office sent a letter trying to shut us down because we refer to his program as a Ponzi scheme.
[02:17:18.647 --> 02:17:29.895]  The next day, in fact, the Bank of England issued a report saying that George Osborne's scheme comes closest to replicating a Ponzi scheme.
[02:17:31.076 --> 02:17:32.718]  So then they went away.
[02:17:32.858 --> 02:17:41.906]  Well, I mean, these governments legalizing beyond fresh reserve banking with derivatives and credit default swaps, I mean, that is beyond the Ponzi scheme.
[02:17:41.946 --> 02:17:44.308]  So, I mean, you're saying the sky is blue?
[02:17:44.489 --> 02:17:44.729]  Yeah.
[02:17:44.949 --> 02:17:52.296]  In the UK, you have the ability to sell the same bond an infinite number of times.
[02:17:53.317 --> 02:17:54.858]  In the United States, you're limited.
[02:17:54.918 --> 02:17:56.600]  You can't sell the same bond
[02:17:57.310 --> 02:17:58.471]  An infinite number of times.
[02:17:58.511 --> 02:18:02.716]  You can sell it a few times and claim that it has a collateral value.
[02:18:03.177 --> 02:18:12.046]  But in the UK, and this is why all of the major banks and all the major countries, treasuries, outsource their fraud to the UK.
[02:18:12.107 --> 02:18:18.654]  This is why the UK is responsible for the Lehman collapse, the AIG collapse, the Bernie Madoff collapse.
[02:18:19.153 --> 02:18:33.203]  The London oil from JP Morgan collapse because everyone outsources their fraud to the UK because the UK is where you can commit egregious fraudulent financial behavior like what's this particular fraud is called infinite rehypothecation.
[02:18:33.263 --> 02:18:39.067]  And don't they don't they compete with Frankfurt and others and the Swiss as well and to be the most corrupt?
[02:18:40.188 --> 02:18:46.552]  Well, you know, this is a funny joke because they're having a referendum to decide whether the UK should pull out of the EU.
[02:18:47.450 --> 02:18:53.992]  And if they do, the country will completely collapse because Frankfurt will become the financial center of Europe.
[02:18:54.372 --> 02:18:58.353]  The euro is incredibly bigger than the pound.
[02:18:58.953 --> 02:19:05.274]  And, you know, the UK is sinking into really this kind of infinitesimally important.
[02:19:05.294 --> 02:19:08.415]  Whenever I leave the UK, if I go to the US or I go anywhere in the world,
[02:19:09.085 --> 02:19:09.745]  It's remarkable.
[02:19:09.825 --> 02:19:12.747]  You just never hear about the UK ever.
[02:19:13.027 --> 02:19:20.650]  It's a completely insignificant country every way, except when they bow down to the states and do the state bidding.
[02:19:20.790 --> 02:19:23.711]  Other than that, there's almost no reason for the UK to exist.
[02:19:23.871 --> 02:19:25.192]  Well, I'll say this, Max Keiser.
[02:19:25.212 --> 02:19:28.593]  I want to come back and ask you about the Muslim crisis, but get into what's happening in China and the markets.
[02:19:28.613 --> 02:19:29.333]  That's why you're really here.
[02:19:29.353 --> 02:19:30.574]  But I was in the UK
[02:19:31.735 --> 02:19:46.996]  Uh, just a few months ago, and I mean, I'm telling you, almost all the taxi drivers at the airport, both times I was there and then back from Europe, would not give people fares or would try to double, triple charge what they were supposed to, and they were very hateful towards Westerners.
[02:19:47.897 --> 02:19:55.684]  And again, in my past experience, you know, Muslims and people were not rude and hateful like this, and we have all the mass raping and things going on.
[02:19:56.105 --> 02:20:06.073]  I wanted to ask you what the climate is and why all this is going on, and just the piratical actions that I witnessed there.
[02:20:06.374 --> 02:20:10.618]  But first, what's happening with the economy with Max Keiser straight ahead, China in big trouble.
[02:20:11.658 --> 02:20:13.639]  Are you sneezing, coughing, and aching?
[02:20:13.659 --> 02:20:17.101]  Do you have a sore throat, a fever, or the sniffles?
[02:20:17.581 --> 02:20:22.924]  There's no reason to be sick this cold and flu season with immune system support from Supernatural Silver.
[02:20:23.424 --> 02:20:32.629]  Supernatural Silver can give your body the help it needs to fight off harmful pathogens, without hurting beneficial gut flora, and without leaving behind resistant bacteria.
[02:20:33.269 --> 02:20:39.154]  Antibiotics can damage good microflora and often leave behind bacteria which can cause problems later on.
[02:20:39.574 --> 02:20:42.797]  If you're sick of being sick, try Supernatural Silver.
[02:20:42.977 --> 02:20:51.344]  Supernatural Silver, the number one choice of thousands for a safe and effective way to protect against the many diseases and illnesses that we are facing today.
[02:20:51.724 --> 02:20:58.530]  Go to SupernaturalSilver.com, read our customer reviews, and see the life-changing results that people are having.
[02:20:58.890 --> 02:21:00.432]  That's SupernaturalSilver.com.
[02:21:01.172 --> 02:21:06.640]  SupernaturalSilver.com Use the promo code PROTECTED for 20% off your entire order.
[02:21:07.141 --> 02:21:08.262]  And like us on Facebook.
[02:21:08.683 --> 02:21:09.904]  SupernaturalSilver.
[02:21:10.959 --> 02:21:12.460]  Are you looking to sell body armor?
[02:21:12.640 --> 02:21:15.461]  Want to make extra money selling body armor at your local gun shows?
[02:21:15.581 --> 02:21:19.163]  With low minimum buys and great returns, KD Armor is the answer.
[02:21:19.243 --> 02:21:20.943]  Make money in your spare time.
[02:21:21.063 --> 02:21:27.846]  It's American-made body armor with the quickest turnaround in the industry, which means you get your product when you need it at very competitive rates.
[02:21:28.207 --> 02:21:29.887]  And they'll ship it to you for free.
[02:21:30.107 --> 02:21:32.669]  If you own a business, give them a call today at 855-488-KD.
[02:21:32.689 --> 02:21:33.169]  That's 855-488-2284.
[02:21:33.209 --> 02:21:34.089]  Or go to KDArmor.com.
[02:21:34.109 --> 02:21:34.970]  Come and take it.
[02:21:40.888 --> 02:21:50.210]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[02:21:50.330 --> 02:21:54.631]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[02:21:54.751 --> 02:22:01.533]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[02:22:01.733 --> 02:22:03.573]  Buy now at DefenderShield.com.
[02:22:03.613 --> 02:22:05.854]  For 10% off, use promo code GCN.
[02:22:06.014 --> 02:22:09.535]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[02:22:10.950 --> 02:22:13.614]  The following statements have not been evaluated by the FDA.
[02:22:13.694 --> 02:22:17.178]  This product is not intended to diagnose, treat, cure, or prevent any disease.
[02:22:18.382 --> 02:22:21.563]  Something shocking just happened in a Coast Guard unit in San Diego.
[02:22:21.884 --> 02:22:26.966]  The old guys in the unit have turned the tables and are now destroying the young bucks in head-to-head fitness tests.
[02:22:27.306 --> 02:22:28.527]  How is this even possible?
[02:22:28.807 --> 02:22:36.110]  Turns out, the old guys in this unit have been part of a special test group for a doctor-formulated fountain of youth drink called Patriot Power Greens.
[02:22:36.350 --> 02:22:43.753]  Patriot Power Greens has been so effective for many of the older soldiers that it's made their achy joints, stiff muscles, and lack of energy a thing of the past.
[02:22:43.993 --> 02:22:47.195]  Previously, this drink was only available to elite military units.
[02:22:47.475 --> 02:22:54.897]  But for a limited time, the creator of Patriot Power Greens has set aside a small number of free samples specifically for our conservative friends.
[02:22:55.277 --> 02:22:57.977]  All they ask is that you chip in a few bucks to cover shipping.
[02:22:58.438 --> 02:23:02.599]  To claim your free samples of Patriot Power Greens, go to Greens75.com.
[02:23:02.619 --> 02:23:03.239]  That's Greens75.com.
[02:23:03.259 --> 02:23:03.659]  Greens75.com.
[02:23:09.721 --> 02:23:12.863]  Why be held hostage by your wireless carrier for two years?
[02:23:13.083 --> 02:23:19.847]  What if you had no contract, no activation fees, no hidden costs, tracking, tracing, harvesting customer data, or draconian gimmicks?
[02:23:20.008 --> 02:23:22.329]  All on the nation's best 4G LTE network.
[02:23:22.609 --> 02:23:23.790]  Introducing PIX Wireless.
[02:23:23.970 --> 02:23:29.033]  Bring your phone and other qualifying devices to PIX and choose a plan starting at only $14 a month.
[02:23:29.173 --> 02:23:29.914]  Get connected now.
[02:23:30.134 --> 02:23:35.357]  Call or click 1-866-267-2056 or PIXWireless.com.
[02:23:35.377 --> 02:23:37.339]  Spelled P-I-X, Wireless.com.
[02:23:37.519 --> 02:23:39.140]  Pick PIX and get connected today.
[02:23:39.680 --> 02:23:46.223]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[02:23:46.443 --> 02:23:50.504]  Since 2005, thousands have depended on Berkey Purified Water.
[02:23:50.705 --> 02:23:55.126]  The Berkey guy provides the lowest price filtration systems in every size.
[02:23:55.346 --> 02:24:00.869]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[02:24:00.889 --> 02:24:00.989]  877-886-3653.
[02:24:01.009 --> 02:24:01.369]  GoBerkey.com.
[02:24:23.497 --> 02:24:36.264]  So, last Friday through Wednesday, the stocks had been down, they started going back up, but now the new headline, Associated Press, USA Today, stocks plunge as Dow down 300, Nasdaq in correction.
[02:24:38.604 --> 02:24:43.086]  So, this is the type of stuff that's happening right now, January 7th, 2016.
[02:24:44.046 --> 02:24:46.187]  Now, remember a few months ago, they had that glitch?
[02:24:46.487 --> 02:24:52.069]  No, that was computers programmed to then stop trading, to stop a plunge.
[02:24:52.629 --> 02:24:57.630]  Well, now they've stopped trading on certain things and admitting it's not a glitch.
[02:24:59.651 --> 02:25:07.334]  So, I love how they called everybody conspiracy theorists, including myself, when we said that that was an automatic default system, and now they just admit it.
[02:25:07.374 --> 02:25:07.694]  It's just...
[02:25:08.638 --> 02:25:10.681]  It's wild how discredited they are.
[02:25:10.701 --> 02:25:15.987]  I mean MSNBC has on average 126,000 viewers an hour over 24 hours.
[02:25:17.969 --> 02:25:23.055]  Ladies and gentlemen, I can do a YouTube video in my backyard and it gets half a million views on average.
[02:25:23.396 --> 02:25:27.601]  Facebook mentions we have in the last week
[02:25:30.254 --> 02:25:33.777]  Six and a half million views out of like ten videos.
[02:25:34.677 --> 02:25:36.298]  One of them has 1.8 million.
[02:25:36.318 --> 02:25:38.140]  I'm not bragging about us.
[02:25:39.281 --> 02:25:40.562]  Look at mainstream media!
[02:25:40.642 --> 02:25:42.023]  They're already dead!
[02:25:42.643 --> 02:25:48.667]  Max Keiser, what do you make of this financially, obviously, and the fact that they keep just denying financial facts to people?
[02:25:48.707 --> 02:26:00.433]  I mean, you've come out and said LIBOR before it came out, fixing interest rates, fixing currency rates, you know, then the Rolling Stone does act like, oh my gosh, they're God, they need a Pulitzer Prize, you know, they did it ten years late.
[02:26:01.454 --> 02:26:02.915]  I mean, isn't it too little too late?
[02:26:03.095 --> 02:26:05.716]  But now they just admit they're fixing the stock market, Max Keiser?
[02:26:06.617 --> 02:26:08.338]  Well, these are Wall Street jihadis!
[02:26:08.899 --> 02:26:10.840]  You know, these are financial terrorists.
[02:26:11.220 --> 02:26:14.581]  They use weapons of mass financial destruction to blow up the economy.
[02:26:15.261 --> 02:26:18.102]  And it's being destroyed.
[02:26:19.242 --> 02:26:21.823]  And look at this guy, Fisher.
[02:26:21.843 --> 02:26:23.524]  I sent you the article on this.
[02:26:24.544 --> 02:26:31.607]  Richard Fisher, former Federal Reserve member, he came out on CNBC this week and said the whole thing was a scam.
[02:26:32.407 --> 02:26:34.628]  In 2009, we front-run or we front-loaded
[02:26:36.252 --> 02:26:37.052]  We're good to go.
[02:26:57.839 --> 02:26:58.659]  Well, that didn't happen.
[02:26:58.719 --> 02:27:03.642]  The underclass, the permanent American underclass, got bigger.
[02:27:04.162 --> 02:27:10.485]  The number of people that are participating in the employment dropped to record lows.
[02:27:11.245 --> 02:27:13.927]  And the wealth and income gap skyrocketed.
[02:27:14.207 --> 02:27:20.810]  So his theory that, well, if you give the top 2,000 bankers in America committed massive fraud,
[02:27:21.491 --> 02:27:23.172]  And they crashed the market in 2008.
[02:27:23.572 --> 02:27:32.496]  So we gave them, it's now been all added up, we gave them $15 trillion to make them whole so that they didn't have to suffer any losses.
[02:27:32.576 --> 02:27:35.457]  As a matter of fact, they tripled and quadrupled their wealth.
[02:27:36.117 --> 02:27:41.560]  And now here we are in 2015, 2016, and I'm on TV and I'd like to tell you that it didn't work.
[02:27:42.136 --> 02:27:44.157]  The economy did not pick up.
[02:27:44.237 --> 02:27:48.999]  There's no meaningful tax revenues to pay off this debt that we've accumulated.
[02:27:49.520 --> 02:27:54.182]  And he expects markets to crash, because everything he did has been a complete failure.
[02:27:54.602 --> 02:27:58.604]  Paul Krugman at the New York Times has been a cheerleader for this for seven or eight years.
[02:27:58.664 --> 02:28:03.506]  He's a complete and utter charlatan, who is a financial jihadist.
[02:28:03.706 --> 02:28:05.107]  He's part of the Jihad Paul.
[02:28:08.069 --> 02:28:15.028]  Who believes that by the way to create an economic growth is by printing trillions and trillions of dollars worth of
[02:28:16.500 --> 02:28:22.743]  A paper that any two-year-old can tell you would reduce the purchasing power of that paper.
[02:28:22.883 --> 02:28:24.403]  But it's even worse, as you point out.
[02:28:24.423 --> 02:28:31.426]  They give it to the ultra-rich elites, who then make sure it doesn't even trickle down to the public, which would be bad enough because it would cause inflation.
[02:28:31.586 --> 02:28:32.326]  They just don't care.
[02:28:32.386 --> 02:28:38.528]  They just know what they're doing, impoverishing us on purpose, laughing at us, and then having... Well, there's two numbers to look at.
[02:28:38.568 --> 02:28:43.070]  You have the money supply number, which went up with the trillions and trillions of dollars.
[02:28:43.610 --> 02:28:50.075]  But then you have what's called the money velocity number, which tracks is the money circulating, and that's hit new all-time lows.
