[00:00:18.666 --> 00:00:20.368]  Welcome to the InfoWars Nightly News.
[00:51:27.984 --> 00:51:29.565]  This time they caught Van Jones.
[00:51:29.725 --> 00:51:32.366]  And what does he say about the Trump-Russian conspiracy theory?
[00:51:33.106 --> 00:51:34.207]  Nothing Burger!
[00:51:34.468 --> 00:51:40.174]  That's right, and it's Van Jones that's even been pushing that narrative for the last six, seven months.
[00:51:40.214 --> 00:51:46.821]  So it's amazing you put that up against Van Jones talking about Russia, and that's exactly what Project Veritas did.
[00:51:47.181 --> 00:51:49.183]  And I know that a question you had for me was,
[00:51:49.824 --> 00:51:53.026]  Do we continue to allow CNN into the White House gaggle?
[00:51:53.046 --> 00:51:55.348]  Do we continue to let CNN in the Oval Office?
[00:51:55.708 --> 00:51:57.950]  Well, I'll leave that up to President Trump's team.
[00:51:58.310 --> 00:52:00.172]  Meanwhile, for us, it's just entertaining.
[00:52:00.452 --> 00:52:04.255]  I mean, to see CNN's Acosta breakdown like- I like watching the meltdowns.
[00:52:04.295 --> 00:52:04.795]  Oh my gosh.
[00:52:04.835 --> 00:52:05.916]  I mean, you can't write that.
[00:52:05.956 --> 00:52:08.097]  That is just too rich.
[00:52:08.438 --> 00:52:14.162]  And when people see that, that doesn't endear CNN to anybody, except maybe toddlers.
[00:52:14.642 --> 00:52:15.062]  True, true.
[00:52:15.442 --> 00:52:28.087]  Now, tell us more about the Van Jones video, and I want to play that, because I have a problem with this, because it seems like they are different off-camera, or when they think they're off-camera, they act different than they do when they're on television.
[00:52:28.227 --> 00:52:39.351]  Well, he seemed very candid when he spoke to me in Cleveland at the RNC, and as you can see in this video, he seems to be speaking pretty candid to this undercover street reporter as well.
[00:52:41.212 --> 00:52:41.452]  You good?
[00:52:41.752 --> 00:52:42.673]  Yeah, how you been?
[00:52:42.713 --> 00:52:43.873]  What are you doing?
[00:52:43.953 --> 00:52:45.714]  What do you think is going to happen this week?
[00:52:45.734 --> 00:52:46.914]  I mean, with the whole Russia thing.
[00:52:48.075 --> 00:52:49.616]  The Russia thing is just a big nothing burger.
[00:52:49.996 --> 00:52:50.236]  Really?
[00:52:51.616 --> 00:52:55.378]  You don't think that uh... There's nothing there you can do to get a break.
[00:52:57.179 --> 00:52:58.800]  The Russia thing is just a big nothing burger.
[00:52:59.160 --> 00:52:59.400]  Really?
[00:53:00.780 --> 00:53:04.422]  You don't think that uh... There's nothing there you can do to get a break.
[00:53:04.724 --> 00:53:09.728]  So what's amazing though is that they come on air today and they pretend like nothing happened.
[00:53:10.128 --> 00:53:11.449]  It's just business as usual.
[00:53:11.789 --> 00:53:18.875]  This death blow that James O'Keefe and Project Veritas just delivered to them, oh it didn't happen, we're just gonna pretend like nothing happened here.
[00:53:18.955 --> 00:53:31.124]  And that's the thing, if anybody here at InfoWars, if you and I were caught off camera or outside of InfoWars and somebody caught us on camera, right, in a sneak attack video, there's no way that we would contradict ourselves.
[00:53:31.744 --> 00:53:34.865]  Right, because what we say outside of here is what we honestly believe.
[00:53:35.185 --> 00:53:39.186]  It seems to me like Van Jones and others, they're just, they're different when they're off camera.
[00:53:39.426 --> 00:53:44.427]  Well, I've had people actually try to sneak up to me and to try to catch me in the moment saying something.
[00:53:44.527 --> 00:53:45.727]  Ambush journalism!
[00:53:45.807 --> 00:53:47.747]  But the thing is, like you said, I'm real.
[00:53:47.807 --> 00:53:50.568]  The things I say here are the same things that I'm going to say on the street.
[00:53:50.848 --> 00:53:59.930]  And it really just becomes a joke because they think they're going to have some sort of a gotcha moment and I'm just kind of laughing at them like, no, I am the person that I present myself on when I'm on the air.
[00:54:00.430 --> 00:54:03.612]  It's amazing because it's just CNN is collapsing from all angles.
[00:54:04.032 --> 00:54:05.793]  It's not just Van Jones on the streets.
[00:54:06.233 --> 00:54:08.034]  In their own studio now, they're freaking out.
[00:54:08.074 --> 00:54:11.315]  They're pretending that business as usual is going on, nothing to see here.
[00:54:11.615 --> 00:54:15.337]  But even Cuomo on CNN is getting sick of the fake news narrative.
[00:54:15.617 --> 00:54:16.678]  Well, first of all, one thing.
[00:54:17.438 --> 00:54:20.479]  I know you're not suggesting that I'm using misleading information, right?
[00:54:20.659 --> 00:54:23.919]  You let me know what I'm saying that's inaccurate.
[00:54:23.999 --> 00:54:27.020]  This whole fake news thing needs to end and it needs to end right now.
[00:54:27.060 --> 00:54:30.501]  You tell me what I'm getting wrong or we'll deal with the numbers that the CBO puts out.
[00:54:31.181 --> 00:54:34.982]  So there you can see Cuomo saying the fake news thing needs to end right now.
[00:54:35.282 --> 00:54:41.483]  So, I mean, if you look at that from a reality perspective, that means that he would be out of a job and CNN wouldn't exist anymore.
[00:54:42.023 --> 00:54:44.104]  Well, they're trying damage controls, what they're doing.
[00:54:44.144 --> 00:54:47.926]  And like I said, it's been an extremely rough month for the fake news network.
[00:54:48.426 --> 00:54:59.711]  June 16th, CNN had to delete a tweet and issue a correction for claiming that only the Democrats were praying before the congressional baseball game.
[00:55:00.052 --> 00:55:00.492]  Not true.
[00:55:01.152 --> 00:55:14.396]  CNN Senior White House Correspondent Jim Acosta, well we just were talking about him, he tweeted and then had to remove fake news about President Trump not visiting Representative Steve Scalise in the hospital.
[00:55:14.736 --> 00:55:23.818]  So they're constantly having to retract statements and now they're going into full damage control and from what I understand internally people are very upset as well.
[00:55:23.998 --> 00:55:26.219]  They're embarrassed right now and they should be.
[00:55:26.579 --> 00:55:35.412]  Well, and like you said, you've got lawsuits, you've got fake news, you've got the President saying they're fake news, you've got the reporters freaking out inside the White House gaggle.
[00:55:35.672 --> 00:55:42.782]  I mean, I went back and I looked at the video, the famous video where Trump stages CNN from fake news to very fake news.
[00:55:43.263 --> 00:55:44.884]  The entire press room is laughing.
[00:55:44.904 --> 00:55:48.247]  I mean, everybody is on the side that is not CNN.
[00:55:48.367 --> 00:55:49.308]  You know what I'm saying?
[00:55:49.348 --> 00:55:50.409]  It's not even about Trump.
[00:55:50.509 --> 00:55:52.271]  And that was Jim Acosta then, too.
[00:55:52.411 --> 00:55:53.512]  Exactly.
[00:55:53.572 --> 00:55:54.593]  It was the same nut job.
[00:55:54.633 --> 00:55:55.894]  So it's just amazing.
[00:55:55.914 --> 00:56:00.578]  I think the biggest thing that the people will see from this, Darren, is that
[00:56:01.158 --> 00:56:07.402]  Here, CNN is floundering on the deck like a fish out of water, but they're trying to tell you that they're a land mammal.
[00:56:07.782 --> 00:56:08.983]  And it's like, no, no, no, no, no.
[00:56:09.063 --> 00:56:09.824]  You're dying.
[00:56:09.964 --> 00:56:10.824]  You are the fake news.
[00:56:10.885 --> 00:56:11.745]  We don't believe you.
[00:56:11.985 --> 00:56:19.450]  You can't just go on air the day after Project Veritas releases multiple videos of people within CNN saying they're fake news.
[00:56:19.670 --> 00:56:21.412]  They're pushing a Russia narrative for ratings.
[00:56:21.692 --> 00:56:22.472]  It's not real.
[00:56:22.732 --> 00:56:30.738]  You can't then go on the air and pretend it's business as usual unless you think that little of your audience, unless you think that little of the public.
[00:56:31.345 --> 00:56:34.046]  Well, and I don't think they're ever going to recover from this.
[00:56:34.206 --> 00:56:36.106]  And next will be MSNBC.
[00:56:37.207 --> 00:56:41.328]  We've got NBC, we've got the Washington Post, the New York Times.
[00:56:41.708 --> 00:56:43.909]  You know, CNN's not the only fake news.
[00:56:44.269 --> 00:56:50.331]  However, speaking of CNN, if you are as pissed off at CNN as we are,
[00:56:50.791 --> 00:56:57.736]  Or if you find them as fake and dishonest as Trump believes they are, then this is your chance to get even.
[00:56:57.936 --> 00:57:01.378]  InfoWars announces the CNN Fake News Contest.
[00:57:01.958 --> 00:57:03.039]  And tell us more about that.
[00:57:03.079 --> 00:57:04.060]  This is pretty exciting.
[00:57:04.100 --> 00:57:05.841]  This is guerrilla marketing at its best.
[00:57:06.001 --> 00:57:08.423]  Well, so, we've had a couple of these competitions.
[00:57:08.523 --> 00:57:12.425]  The most recent was the CNN is ISIS contest.
[00:57:12.486 --> 00:57:15.608]  You get the CNN is ISIS on the mainstream news and you shout it out.
[00:57:15.908 --> 00:57:17.249]  You win yourself a cash prize.
[00:57:17.689 --> 00:57:21.212]  Now, CNN is fake news is the challenge.
[00:57:21.292 --> 00:57:22.833]  And there's multiple angles to this.
[00:57:22.853 --> 00:57:25.515]  You can look at it InfoWars.com for more information.
[00:57:25.755 --> 00:57:30.678]  But the challenge is to get CNN is fake news on CNN.
[00:57:31.079 --> 00:57:32.439]  This is tricky because
[00:57:33.340 --> 00:57:42.002]  I have to say, you know, if you look at the most recent Project Veritas video, it looks like the person that caught the undercover footage of Van Jones knew that he was going to be there.
[00:57:42.262 --> 00:57:47.564]  So I'm not sure if he was staking out that area or if he was planning on meeting Van Jones there or what the deal was.
[00:57:47.904 --> 00:57:49.264]  But that's how you do it, folks.
[00:57:49.504 --> 00:57:50.304]  It takes patience.
[00:57:50.584 --> 00:57:51.385]  It takes vigilance.
[00:57:51.645 --> 00:57:53.245]  And then you strike when the iron's hot.
[00:57:53.545 --> 00:57:55.386]  CNN is fake news competition.
[00:57:55.446 --> 00:57:57.006]  I'm sure that we're going to get some interesting entries.
[00:57:57.406 --> 00:58:08.529]  Well, I'll tell you what, to me it looks like the mainstream media, the establishment media, they are willing to do anything to take down Donald Trump and this is basically suicide for them.
[00:58:08.769 --> 00:58:09.669]  I mean, it's not going to work.
[00:58:09.689 --> 00:58:20.712]  This is why alternative news media is completely taking over and they haven't learned from their past mistakes because it's this kind of reporting, this type of coverage that got Donald Trump elected to begin with.
[00:58:20.832 --> 00:58:21.732]  Nobody trusts him anymore.
[00:58:21.732 --> 00:58:29.596]  Well this is what we're going to find out real quick, Darren, because if CNN is truly willing to do anything to bash Trump, that means they will commit suicide.
[00:58:29.636 --> 00:58:31.877]  This will be their final death blow.
[00:58:32.217 --> 00:58:41.062]  So is CNN really willing to get on the stage in front of the American public, slit their throat in the name of bashing Donald Trump, and if they do,
[00:58:41.562 --> 00:58:58.215]  It's only going to build up Infowars, it's only going to build up alternative media, it's only going to build up Donald Trump, and it will show the American people that CNN, mainstream television, specifically liberal news, never had news in the agenda, never had truth in the agenda, just whatever the people that ran those networks wanted.
[00:58:58.936 --> 00:59:02.239]  And that's why we are proud to be part of the Infowar.
[00:59:03.945 --> 00:59:11.052]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:59:11.413 --> 00:59:24.626]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:59:25.560 --> 00:59:36.803]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:59:37.463 --> 00:59:43.405]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:59:44.185 --> 00:59:52.570]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:59:53.211 --> 01:00:01.396]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
