[00:00:17.682 --> 00:00:18.102]  We did it!
[02:08:55.594 --> 02:08:56.955]  We're going to go to that video later.
[02:08:58.186 --> 02:08:59.547]  But they're not reporting on this.
[02:08:59.627 --> 02:09:04.489]  Headline up on Infowars.com, video high school girl viciously attacked for supporting Donald Trump.
[02:09:04.569 --> 02:09:07.030]  Of course, this is also up on DrudgeReport.com.
[02:09:07.910 --> 02:09:09.371]  And this is just one example.
[02:09:09.611 --> 02:09:20.316]  Of course, we also had up on Infowars yesterday, a school in Stafford, an 11-year-old boy, this is in Texas, was violently attacked after telling classmates he voted for Donald Trump.
[02:09:21.056 --> 02:09:22.297]  You can see this video here.
[02:09:22.337 --> 02:09:24.057]  This is the girl being attacked.
[02:09:24.077 --> 02:09:25.358]  This is in California.
[02:09:25.818 --> 02:09:34.941]  Basically, this violent, intolerant liberal accused her of hating Mexicans because she posted something that was pro-Trump on Instagram.
[02:09:35.642 --> 02:09:42.484]  And within two minutes, instantly launched into a brutal assault because she's a tolerant, peaceful liberal.
[02:09:43.545 --> 02:09:46.406]  If this was an isolated incident, it would be one thing, but it isn't.
[02:09:47.509 --> 02:09:57.973]  Again, Stafford, Texas, 11-year-old boy violently attacked after telling classmates he voted for Donald Trump in the school's mock election, leaving him having to use crutches.
[02:09:58.613 --> 02:10:11.598]  Another incident out of Florida, 17-year-old student punched by a classmate, punched by a tolerant liberal, excuse me, in the face because he was holding a Donald Trump sign during gym class.
[02:10:12.441 --> 02:10:18.168]  We played the video yesterday of the guy in Chicago, dragged out of his car, beaten!
[02:10:19.380 --> 02:10:23.863]  By a mob of people as they decry the fact that he voted for Donald Trump.
[02:10:23.964 --> 02:10:25.925]  You voted for Trump, this is what you're gonna get.
[02:10:26.505 --> 02:10:34.111]  Beat him round the head, rob his possessions, his arm gets stuck in the window of the vehicle, it drives off, dragging him down the street.
[02:10:34.952 --> 02:10:36.933]  Can you imagine if the roles were reversed?
[02:10:37.334 --> 02:10:40.636]  It looked like an actual lynching by the end of this sea.
[02:10:41.177 --> 02:10:42.938]  And you can see the video, we're playing it right now.
[02:10:43.278 --> 02:10:44.699]  Can you imagine if the roles were reversed?
[02:10:44.719 --> 02:10:48.642]  Can you imagine if a group of aggressive, intolerant Trump supporters
[02:10:49.611 --> 02:11:01.222]  Had basically dragged an African-American guy, a Hillary voter, out of his car and sort of beaten him round the head, robbing him, and then literally dragging him in the streets, hanging off the back of a car.
[02:11:01.603 --> 02:11:03.645]  That would be a nationwide news story.
[02:11:03.785 --> 02:11:04.966]  It would be all over the place.
[02:11:05.246 --> 02:11:06.568]  It would be all over CNN.
[02:11:07.008 --> 02:11:08.109]  Has CNN reported on this?
[02:11:08.189 --> 02:11:08.409]  No.
[02:11:09.310 --> 02:11:09.971]  ABC News?
[02:11:10.031 --> 02:11:10.191]  No.
[02:11:10.331 --> 02:11:10.752]  NBC?
[02:11:10.792 --> 02:11:10.972]  No.
[02:11:11.192 --> 02:11:12.313]  Nobody's reported on it.
[02:11:12.794 --> 02:11:13.875]  And it's part of a pattern.
[02:11:15.529 --> 02:11:21.732]  New Orleans, a famous monument daubed in graffiti that reads, Die White, Die!
[02:11:22.432 --> 02:11:26.033]  Again, another tolerant liberal, obviously responsible for that message.
[02:11:26.674 --> 02:11:28.654]  We've had the death threats flooding Twitter.
[02:11:29.075 --> 02:11:31.776]  You can go on Twitter at any point, type in assassinate Trump.
[02:11:32.636 --> 02:11:38.859]  Hundreds of thousands of death threats, some of them direct death threats from tolerant liberals
[02:11:39.699 --> 02:11:46.804]  Who for the past three, four weeks have been saying, oh, those aggressive, intolerant Trump supporters, they're not going to accept the election result.
[02:11:46.824 --> 02:11:47.505]  They're going to riot.
[02:11:47.525 --> 02:11:48.606]  They're going to stage violence.
[02:11:49.326 --> 02:11:54.950]  When it's Hillary voters now staging violence in the aftermath of them not accepting the election result.
[02:11:55.831 --> 02:12:01.796]  New York Post reports, assassination threats against Trump flood Twitter after election shocker.
[02:12:01.836 --> 02:12:03.217]  You can see more in that article.
[02:12:04.002 --> 02:12:11.304]  And they're basically out there saying, oh no, don't assassinate Trump because then Mike Pence will become president and he's even worse.
[02:12:11.524 --> 02:12:13.144]  We have to assassinate him too.
[02:12:13.925 --> 02:12:15.745]  They're actually on Twitter saying this.
[02:12:16.165 --> 02:12:17.365]  It's no surprise to us.
[02:12:17.866 --> 02:12:21.646]  I mean, I've been cataloging death threats against Trump for over a year now.
[02:12:21.706 --> 02:12:27.348]  I mean, that's why he started wearing a bulletproof vest in the first place, because of all these peaceful, tolerant liberals.
[02:12:28.510 --> 02:12:31.553]  That don't threaten to kill you if you disagree with them politically.
[02:12:32.413 --> 02:12:35.436]  So you've got a national hate crime wave sweeping America.
[02:12:35.836 --> 02:12:51.690]  And isn't it ironic that Hillary Clinton, during the debate, in fact it was during that infamous alt-right speech where she directly called out Alex Jones, Hillary said that Donald Trump was the cause of bullying in schools.
[02:12:52.810 --> 02:12:55.671]  Well look at what's happening now in the aftermath of this election.
[02:12:56.331 --> 02:13:02.914]  It's kids being bullied, being violently bullied in schools because they supported Donald Trump.
[02:13:03.354 --> 02:13:07.855]  Again, everything they project on us, they're responsible for it.
[02:13:08.275 --> 02:13:11.096]  Hateful, intolerant violence.
[02:13:11.757 --> 02:13:13.597]  This is the new regressive left.
[02:13:14.418 --> 02:13:17.479]  There are very few actual real liberals calling them out.
[02:13:17.679 --> 02:13:18.419]  There are a few.
[02:13:18.799 --> 02:13:21.120]  And we give them honourable mentions when they do it.
[02:13:22.386 --> 02:13:24.009]  But by no means are there enough.
[02:13:24.890 --> 02:13:26.913]  So again, you've got riots across America.
[02:13:27.474 --> 02:13:29.437]  Portland, San Diego, Los Angeles.
[02:13:29.497 --> 02:13:31.360]  There'll be more tonight, don't worry about that.
[02:13:31.821 --> 02:13:35.566]  George Soros and MoveOn.org have got this planned to a fine tee!
[02:13:36.977 --> 02:13:39.099]  Again, the media is pretending it's an organic protest.
[02:13:39.239 --> 02:13:40.580]  It's not an organic protest.
[02:13:40.920 --> 02:13:47.326]  They literally have news networks trying to hire people to play the role of anti-Trump agitators so they can interview them.
[02:13:47.506 --> 02:13:54.592]  They've got CNN interviewing their own cameraman and claiming it's an organic anti-Trump protester.
[02:13:55.472 --> 02:13:59.756]  You've got moveon.org on their own website saying this is what we're going to do following these orders.
[02:14:00.256 --> 02:14:01.797]  Bussing them in to Austin.
[02:14:02.438 --> 02:14:04.380]  We had that article up on infowars.com.
[02:14:05.219 --> 02:14:09.763]  And again, this Trump-riot trend is yet another example of how the alt-left...
[02:14:10.526 --> 02:14:18.049]  The social justice warriors, the regressive left, is infinitely more dangerous, violent and intolerant than the alt-right.
[02:14:18.410 --> 02:14:28.554]  We had an entire election campaign of the media demonising the alt-right as this violent, bigoted force that's going to stage violence and start attacking people.
[02:14:28.794 --> 02:14:30.275]  Well look who's attacking people.
[02:14:30.815 --> 02:14:32.496]  It's actually the alt-left.
[02:14:32.996 --> 02:14:33.916]  It's your people.
[02:14:34.257 --> 02:14:36.758]  It's the monsters that you created.
[02:14:37.478 --> 02:14:44.412]  With all this hysterical media coverage for the past year, saying that Donald Trump is literally Hitler, that he's gonna destroy the world.
[02:14:44.873 --> 02:14:46.717]  Penny, penny, the sky is falling.
[02:14:48.220 --> 02:14:49.242]  You created that!
[02:14:51.246 --> 02:14:56.788]  And that's why they're now having to frame it as some kind of organic, natural protest that is legitimate.
[02:14:57.149 --> 02:14:58.189]  It's not legitimate.
[02:14:58.429 --> 02:15:01.610]  You had the Daily Beast come out and say, oh, look at Trump.
[02:15:02.191 --> 02:15:09.374]  He's already showing himself to be anti-free press, anti-freedom of assembly, because he decried these protests.
[02:15:10.145 --> 02:15:16.288]  They're not protests when they're burning down shops, smashing windows, attacking people on the street.
[02:15:16.608 --> 02:15:17.608]  That's a riot!
[02:15:17.988 --> 02:15:19.609]  That's criminal behavior!
[02:15:19.889 --> 02:15:21.530]  It's not a protest!
[02:15:22.510 --> 02:15:28.453]  But again, because the leftist media is wedded to these people, I mean, they incited them in the first place.
[02:15:28.493 --> 02:15:36.216]  The media is responsible for inciting these riots because of their hysterical rhetoric about Donald Trump being a fascist.
[02:15:36.516 --> 02:15:37.577]  They all believe it!
[02:15:38.319 --> 02:15:41.200]  They've all got moral, righteous indignation.
[02:15:41.300 --> 02:15:47.162]  They're all out on the streets thinking that they're actually some kind of anti-fascist revolutionary force.
[02:15:47.862 --> 02:15:51.484]  Like they're fighting against the occupation in France by the Nazis.
[02:15:53.325 --> 02:15:55.105]  And the media has done that to this people.
[02:15:55.485 --> 02:16:05.169]  In fact, let's go to that video now of the black bloc anarchist who probably is a 25 year old virgin who lives in his mom's basement and has never had a job.
[02:16:06.423 --> 02:16:10.924]  Smashing an electrical box with what looks like a baseball bat.
[02:16:10.964 --> 02:16:13.084]  Let's go to that video now, I'll talk over it.
[02:16:14.665 --> 02:16:15.885]  Again, this was last night.
[02:16:16.585 --> 02:16:16.945]  Look at him.
[02:16:17.845 --> 02:16:21.666]  Attacking an electrical box with dozens of people surrounding him.
[02:16:22.346 --> 02:16:25.287]  And then one of them sees some sense and tries to stop him.
[02:16:25.307 --> 02:16:26.767]  This woman.
[02:16:27.388 --> 02:16:29.068]  And then he starts attacking the woman.
[02:16:30.971 --> 02:16:33.493]  This is the tolerant, peaceful, loving left.
[02:16:34.194 --> 02:16:35.775]  This is from the Trump riot.
[02:16:36.616 --> 02:16:38.618]  But again, you won't see that on CNN.
[02:16:38.638 --> 02:16:47.546]  They'll call it, they'll say it was largely peaceful, as shops are being smashed in, attacking bus stations, burning American flags.
[02:16:48.086 --> 02:16:49.307]  Attacking people in the street.
[02:16:49.347 --> 02:16:52.929]  The media will say, oh there are a few disturbances but largely peaceful.
[02:16:53.189 --> 02:16:54.110]  Largely peaceful.
[02:16:54.150 --> 02:16:55.171]  Legitimate protest.
[02:16:55.471 --> 02:16:56.452]  No, not legitimate.
[02:16:57.332 --> 02:17:02.236]  They're literally protesting against the idea of free democratic elections.
[02:17:02.656 --> 02:17:03.016]  Okay?
[02:17:04.057 --> 02:17:05.978]  F off to North Korea.
[02:17:06.178 --> 02:17:07.639]  You'll really like it there.
[02:17:08.400 --> 02:17:12.543]  But again, this is another example of the violent, intolerant left that the media
[02:17:13.686 --> 02:17:22.231]  ...has given legitimacy to over the past year, has incited with this hysterical extremist rhetoric about how Donald Trump is literally Hitler.
[02:17:23.491 --> 02:17:26.453]  And we're going to have some more videos of that, probably in the next segment now.
[02:17:26.813 --> 02:17:27.894]  But what's the end game?
[02:17:29.434 --> 02:17:48.067]  Well, now they're out arguing that because Hillary Clinton won the popular vote, which isn't even true at this point, they haven't counted 8% of the vote which is largely in Republican areas, so by the end of this, when it's all wrapped up, Donald Trump could have won the popular vote anyway.
[02:17:48.567 --> 02:17:49.908]  But again, that's the mantra.
[02:17:50.028 --> 02:17:53.291]  This is directly from MoveOn.org, from George Soros.
[02:17:54.119 --> 02:17:55.520]  Oh, Hillary won the popular vote.
[02:17:55.861 --> 02:18:04.028]  Therefore, we need to put pressure on the Electoral College to change the rules of the game after the game has finished.
[02:18:04.769 --> 02:18:12.776]  They're literally trying to overturn the results of a free democratic election like some third world dictatorship.
[02:18:13.717 --> 02:18:15.739]  This is out of the New York Post.
[02:18:16.620 --> 02:18:19.683]  The one scenario that could still get Hillary into the White House.
[02:18:20.794 --> 02:18:32.167]  For diehard Democrats holding out hope that they won't have to live through a Trump presidency, God forbid, literally Hitler, there is a last incredibly long shot for them to latch onto a surprise twist in the Electoral College.
[02:18:32.888 --> 02:18:41.017]  And it basically talks about putting pressure on members of the Electoral College to not vote in line with how the states voted.
[02:18:41.718 --> 02:18:43.700]  In the presidential election.
[02:18:43.740 --> 02:18:50.304]  There are actually Tumblr websites, petitions, frothing SJWs everywhere devoted to this.
[02:18:50.364 --> 02:18:54.527]  They actually think they can overturn the results of a democratic election.
[02:18:54.948 --> 02:18:57.169]  These people are authoritarians, okay?
[02:18:57.850 --> 02:19:01.232]  They wouldn't be out of place in Venezuela or North Korea.
[02:19:02.433 --> 02:19:04.054]  Or Communist China.
[02:19:05.015 --> 02:19:07.237]  That's the spirit that runs through these people.
[02:19:08.951 --> 02:19:14.078]  There you see the meme, claim Trump is going to destroy America as they go out and destroy America.
[02:19:14.559 --> 02:19:17.583]  Again, it's all reflection, it's all projection.
[02:19:18.625 --> 02:19:21.549]  What they accuse you of, they're doing, they're planning.
[02:19:22.625 --> 02:19:26.089]  They're trying to actually overturn the results of a democratic election.
[02:19:26.710 --> 02:19:27.911]  We saw it with Brexit.
[02:19:28.312 --> 02:19:31.696]  Don't think this is not a threat, okay?
[02:19:31.716 --> 02:19:37.263]  17 million people in the United Kingdom, a majority in the vote of 52%, voted for Brexit.
[02:19:37.824 --> 02:19:40.727]  We were told beforehand the government will implement your vote.
[02:19:41.268 --> 02:19:42.009]  Look what happened.
[02:19:43.015 --> 02:19:47.338]  They got lawyers, they got political class insiders to take it to the High Court.
[02:19:47.958 --> 02:19:50.439]  Now it looks like it's going to go to a parliamentary vote.
[02:19:50.560 --> 02:19:52.060]  They're going to vote against it.
[02:19:52.481 --> 02:19:57.384]  They're going to annul the democratic will of the British people, or at least attempt to.
[02:19:57.864 --> 02:20:05.949]  And that's what leftists and social justice warriors, funded by billionaire elitist George Soros, are trying to do in the United States.
[02:20:05.989 --> 02:20:07.009]  We'll get into it after the break.
[02:20:07.029 --> 02:20:08.570]  This is the Alex Jones Show Live.
[02:20:08.590 --> 02:20:09.151]  Stay tuned.
[02:20:10.305 --> 02:20:13.726]  We've got amazing products everybody needs at InfoWarsTore.com.
[02:20:14.026 --> 02:20:16.767]  We've got free shipping throughout at least today or tomorrow.
[02:20:16.787 --> 02:20:21.048]  We're selling out of so much stuff, I didn't order enough stuff thinking the sale wouldn't be that big.
[02:20:21.068 --> 02:20:24.209]  So it's going to have to end one way or the other, but take advantage of it.
[02:20:24.249 --> 02:20:25.269]  Free shipping store-wide.
[02:20:25.289 --> 02:20:27.290]  30% off Supermelt Vitality.
[02:20:27.310 --> 02:20:29.410]  30% off X2, the good halogen.
[02:20:30.130 --> 02:20:31.071]  30% off DNA Force.
[02:20:31.091 --> 02:20:31.931]  Wow, that's a big deal.
[02:20:32.631 --> 02:20:33.891]  30% off Living Defense.
[02:20:33.911 --> 02:20:36.192]  30% off Lung Cleanse.
[02:20:36.212 --> 02:20:37.732]  30-40% off all the high-quality, storable foods.
[02:20:37.752 --> 02:20:38.213]  That's a big deal.
[02:20:38.233 --> 02:20:39.173]  We just extended that out.
[02:20:39.793 --> 02:20:43.955]  Our great supplier, My Patriot Supply, has decided to do that because they're so excited as well.
[02:20:44.836 --> 02:20:59.223]  Infowarsstore.com is the main site to get your probiotics, or your vitamin, mineral fusion, fruit punch, your bio PCA for the hair and nails, or the bio-true selenium, liver cleanse, oxy powder, prostate guard, anthroplex, it's just the dry version of the super metal vitality.
[02:20:59.583 --> 02:21:00.163]  It's all there.
[02:21:00.363 --> 02:21:03.325]  Infowarslife.com or call toll free 888-253-3139.
[02:21:03.345 --> 02:21:03.385]  888-253-3139.
[02:21:18.095 --> 02:21:22.878]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[02:21:23.558 --> 02:21:25.139]  But it goes beyond being prepared.
[02:21:25.519 --> 02:21:30.522]  Our bodies absolutely must have the good halogen iodine or we will die.
[02:21:30.882 --> 02:21:36.326]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[02:21:36.726 --> 02:21:43.310]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[02:21:43.950 --> 02:21:45.091]  It's as important as vitamin C.
[02:21:45.951 --> 02:21:47.892]  If you don't get iodine, you die.
[02:21:48.212 --> 02:21:51.174]  But most people are just deficient, so they're low energy, they're sick.
[02:21:51.614 --> 02:21:55.236]  You've got to have iodine in your body so that your body can produce the hormones you need.
[02:21:55.416 --> 02:21:57.977]  It is the base to so many things.
[02:21:58.037 --> 02:22:10.383]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[02:22:10.603 --> 02:22:15.706]  Other iodine comes from the ocean or from other byproducts of chemical facilities and is tainted.
[02:22:15.826 --> 02:22:17.166]  It's bound.
[02:22:17.226 --> 02:22:18.447]  It's not absorbable.
[02:22:18.867 --> 02:22:19.288]  I tried it.
[02:22:19.888 --> 02:22:23.430]  And I had incredible effects even with dirty iodine because the body needs it.
[02:22:23.650 --> 02:22:28.552]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[02:22:28.912 --> 02:22:32.634]  It's such a game changer if you'll just research iodine for yourself.
[02:22:32.794 --> 02:22:35.376]  It's a fact that the federal government in the Midwest back in the 20s
[02:22:35.916 --> 02:22:44.881]  Mandated a grungier form of iodine to the salt because people had low IQs, they had huge goiters, major problems directly connected to it.
[02:22:45.062 --> 02:22:48.724]  There are some studies that show a 15 point increase, others show even higher.
[02:22:48.884 --> 02:23:02.332]  But it really is crazy to realize that this is something that is so deficient in our food chain, so deficient in our played out fields where different crops are being grown, but the federal government isn't educating people and telling them about it.
[02:23:02.532 --> 02:23:14.081]  That's why for a limited time, I want to encourage everyone to go to Infowarslife.com and get 20% off on the best nascent iodine out there from our research, Truly Pure Survival Shield X2.
[02:23:14.302 --> 02:23:16.944]  Again, that's Survival Shield Nascent Iodine X2.
[02:23:17.184 --> 02:23:20.126]  Thank you for joining us in this brief news update.
[02:23:20.527 --> 02:23:25.431]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[02:23:25.511 --> 02:23:26.672]  I think you're going to be blown away.
[02:23:26.832 --> 02:23:29.414]  And whatever you do, support the broadcast and get a bottle.
[02:23:29.554 --> 02:23:30.214]  I don't know.
[02:23:52.401 --> 02:23:55.042]  You've got to have vitamin C. You've got to have iodine to live.
[02:23:55.062 --> 02:23:56.083]  You've got to have water to live.
[02:23:56.403 --> 02:23:57.123]  Iodine is key.
[02:23:57.163 --> 02:23:57.763]  You must have it.
[02:23:58.123 --> 02:24:05.667]  But consult your physician first before you get powerful survival shield nascent iodine, X2, at m4warslife.com or call toll free.
[02:24:05.687 --> 02:24:06.567]  We can answer your questions.
[02:24:06.587 --> 02:24:08.008]  888-253-3139.
[02:24:08.088 --> 02:24:15.631]  The preacher man says it's the end of time.
[02:24:15.711 --> 02:24:18.892]  In the Mississippi River she's a gold drive.
[02:24:25.589 --> 02:24:30.694]  Martin Luther King once said, a riot is the language of the unheard.
[02:24:31.174 --> 02:24:35.257]  Well now it's just the language of butthurt losers and criminal thugs.
[02:24:35.738 --> 02:24:39.281]  We've seen more riots last night, we'll see more riots tonight, and this is the end game.
[02:24:39.721 --> 02:24:42.603]  This is what Michael Moore is calling for as well, which we'll get on to.
[02:24:43.624 --> 02:24:51.888]  They're trying to argue that because Hillary won the popular vote, which for one they haven't counted 8% of the results, that's not even known yet.
[02:24:52.268 --> 02:25:02.673]  Number two, she won 47% of the vote, so the majority of Americans who voted did not vote for Hillary Clinton, whichever way you want to splice it.
[02:25:03.433 --> 02:25:13.859]  They're trying to argue that they can go to the Electoral College and put pressure on these people to overturn the fair and free results of a democratic election.
[02:25:14.299 --> 02:25:17.241]  What does that tell you about these people?
[02:25:18.102 --> 02:25:22.044]  Again, would they have whined if Trump had won the popular vote?
[02:25:22.634 --> 02:25:24.076]  But Hillary had won the election.
[02:25:24.456 --> 02:25:25.697]  Would they have complained about that?
[02:25:26.018 --> 02:25:26.198]  No.
[02:25:26.318 --> 02:25:28.000]  They wouldn't have said a damn word.
[02:25:28.540 --> 02:25:33.045]  Because they want to change the rules of the game after they've already lost the game.
[02:25:34.026 --> 02:25:36.469]  I mean, it's like in American football.
[02:25:36.489 --> 02:25:42.815]  I mean, you can't argue that a field goal should have been worth six points after you've already lost the game.
[02:25:42.895 --> 02:25:44.097]  It doesn't work like that.
[02:25:44.790 --> 02:25:45.330]  You lost.
[02:25:45.571 --> 02:25:47.092]  You knew the rules of the game going in.
[02:25:47.392 --> 02:25:47.953]  You lost.
[02:25:48.153 --> 02:25:48.773]  Accept it.
[02:25:49.033 --> 02:25:49.494]  Move on.
[02:25:49.834 --> 02:25:58.461]  But they're not going to accept it because these people are violent, hateful, intolerant, authoritarian thugs controlled from the very top.
[02:25:58.881 --> 02:25:59.882]  This is not organic.
[02:26:00.162 --> 02:26:01.183]  This is moveon.org.
[02:26:01.544 --> 02:26:10.311]  This is, again, the so-called anarchists doing the bidding of a billionaire, globalist, elitist in George Soros.
[02:26:10.911 --> 02:26:14.632]  How does that reconcile with them claiming to be anarchists?
[02:26:14.872 --> 02:26:15.352]  It doesn't!
[02:26:16.152 --> 02:26:20.794]  If Hillary Clinton had won, would all these anarchists and communists be out on the streets right now?
[02:26:20.954 --> 02:26:21.694]  No, they wouldn't!
[02:26:22.834 --> 02:26:28.476]  Yet she's the ultimate Wall Street insider, the ultimate embodiment of the political class.
[02:26:28.716 --> 02:26:31.077]  Would they have been out on the street protesting her election?
[02:26:31.397 --> 02:26:32.197]  No way!
[02:26:33.541 --> 02:26:35.482]  You're not anarchist, you're not communist.
[02:26:35.542 --> 02:26:40.706]  I mean, you can disagree with those people, but if they legitimately have those beliefs, fair enough, whatever.
[02:26:41.526 --> 02:26:42.407]  But you're not even that.
[02:26:42.847 --> 02:26:49.412]  You're complete hypocrites and the kind of tactics that they employ at this point border on domestic terrorism.
[02:26:49.792 --> 02:26:53.455]  This is straight out of the Bill Ayres playbook, The Weather Underground.
[02:26:55.196 --> 02:27:00.820]  Remember Larry Grathwald infiltrated The Weather Underground, said that their ultimate plan for people who don't agree with them
[02:27:01.764 --> 02:27:05.765]  is to put their ideological opponents in concentration camps.
[02:27:06.526 --> 02:27:13.208]  And when you talk to social justice warriors, when you dare to disagree with social justice warriors, that's the end game of their ideology.
[02:27:13.768 --> 02:27:22.892]  Because they're violent, intolerant, hateful bigots who want to overturn the result of a democratic election by rioting in the streets.
[02:27:23.752 --> 02:27:24.352]  Newsflash!
[02:27:24.532 --> 02:27:25.613]  It's not going to happen.
[02:27:25.893 --> 02:27:32.236]  You win an election by actually not being a lazy ass and working hard for it and getting your message out.
[02:27:32.656 --> 02:27:38.119]  Not by throwing temper tantrums and throwing your toys out of the pram in the aftermath.
[02:27:39.720 --> 02:27:41.521]  But again, this is what Michael Moore's pushing.
[02:27:42.921 --> 02:27:44.222]  Progress outlook.
[02:27:45.336 --> 02:27:47.418]  The Orwellian nature of that name.
[02:27:47.899 --> 02:27:54.066]  They're trying to have the result of a democratic election overturned and they call themselves progressives!
[02:27:54.886 --> 02:27:57.910]  Has there ever been anything more Orwellian?
[02:27:58.310 --> 02:28:04.097]  Again, cancelling the democratic rights of the American people because you're butthurt and you're lost.
[02:28:04.940 --> 02:28:06.321]  That's not progressive!
[02:28:06.561 --> 02:28:08.042]  That's authoritarian!
[02:28:08.442 --> 02:28:12.865]  You should be ashamed of yourselves, as should be anyone that supports this.
[02:28:13.505 --> 02:28:15.066]  Oh, but what's Harry Reid saying?
[02:28:16.167 --> 02:28:23.852]  The outgoing, thank God, Senate Minority Leader Harry Reid released a scathing statement on Friday, tearing into President-elect Donald Trump.
[02:28:23.872 --> 02:28:25.032]  This is out of Yahoo News.
[02:28:25.853 --> 02:28:32.037]  Quote, if this is going to be a time of healing, we must first put the responsibility for healing where it belongs, at the feet of Donald Trump!
[02:28:32.782 --> 02:28:36.863]  A sexual predator who lost the popular vote and fuelled his campaign with bigotry and hate.
[02:28:37.663 --> 02:28:46.505]  I've heard more stories in the past 48 hours of Americans living in fear of their own government and their fellow Americans than I can remember hearing in five decades in politics.
[02:28:47.785 --> 02:28:56.047]  Well, that's strange, Harry Reid, because all I've seen over the past 48 hours is Trump supporters being violently attacked.
[02:28:56.952 --> 02:28:57.312]  Okay?
[02:28:57.573 --> 02:29:03.117]  The hateful intolerance is only coming from one side, and it's not Donald Trump supporters.
[02:29:03.998 --> 02:29:08.261]  How many videos of people being beaten up on the streets do we need to see to realise that?
[02:29:09.262 --> 02:29:10.083]  So, Harry Reid.
[02:29:11.584 --> 02:29:14.546]  Remember, this is the same guy who called the Bundys terrorists.
[02:29:14.706 --> 02:29:15.747]  They were all proven innocent.
[02:29:16.548 --> 02:29:20.131]  Harry Reid is accusing Donald Trump of unleashing a tide of hate.
[02:29:20.891 --> 02:29:26.136]  While Hillary voters unleash a tide of hate, riot
[02:29:27.366 --> 02:29:30.679]  Violent brutality against Donald Trump supporters.
[02:29:31.241 --> 02:29:33.008]  Again, it's all about projection.
[02:29:33.968 --> 02:29:35.449]  They do what they accuse you of.
[02:29:36.189 --> 02:29:40.010]  They embody the very worst aspects of humanity.
[02:29:40.110 --> 02:29:44.112]  These people make me absolutely sick every single time.
[02:29:44.992 --> 02:29:53.975]  But the good news is they're so lazy and stupid that they think screaming the words bigot, misogynist and racist are actually going to give them political success.
[02:29:54.176 --> 02:29:54.596]  It doesn't.
[02:29:54.676 --> 02:29:55.136]  You failed.
[02:29:55.256 --> 02:29:55.636]  You lost.
[02:29:55.776 --> 02:29:56.957]  We'll be back after this.
[02:29:56.977 --> 02:29:57.557]  Stay tuned.
[02:29:59.353 --> 02:30:02.374]  We're on the march, the empire's on the run.
[02:30:03.274 --> 02:30:06.095]  Alex Jones and the GCN Radio Network.
[02:30:10.316 --> 02:30:20.838]  If you ever wanted to live off the grid and produce your own clean energy in a silent, reliable way, this is a message you want to pay very close attention to.
[02:30:21.178 --> 02:30:27.440]  Thanks to a new development in solar generator technology, it's now possible for my listeners and viewers
[02:30:27.740 --> 02:30:28.401]  We're good to go.
[02:30:52.443 --> 02:30:57.265]  Go to PowerGridChaos.com and get 70% off for a limited time.
[02:30:57.645 --> 02:31:01.407]  Folks, there has never been a better time to get off the grid.
[02:31:01.727 --> 02:31:06.029]  It's going to be crucial in 2017, maybe even life-saving.
[02:31:06.329 --> 02:31:08.590]  PowerGridChaos.com for 70% off.
[02:31:10.191 --> 02:31:13.613]  We've got amazing products everybody needs at InfowarsStore.com.
[02:31:13.913 --> 02:31:16.675]  We've got free shipping throughout at least today or tomorrow.
[02:31:16.695 --> 02:31:17.956]  We're selling out of so much stuff.
[02:31:18.516 --> 02:31:20.957]  I didn't order enough stuff thinking the sale wouldn't be that big.
[02:31:21.578 --> 02:31:23.059]  So it's gonna have to end one way or the other.
[02:31:23.099 --> 02:31:24.099]  But take advantage of it.
[02:31:24.139 --> 02:31:25.160]  Free shipping store-wide.
[02:31:25.180 --> 02:31:27.181]  30% off Supermelt Vitality.
[02:31:27.201 --> 02:31:30.023]  30% off X2, the good halogen.
[02:31:30.043 --> 02:31:30.963]  30% off DNA Force.
[02:31:31.003 --> 02:31:31.824]  Wow, that's a big deal.
[02:31:31.844 --> 02:31:33.785]  30% off Living Defense.
[02:31:33.805 --> 02:31:36.086]  30% off Lung Cleanse.
[02:31:36.106 --> 02:31:37.627]  30-40% off all the high-quality storable foods.
[02:31:37.647 --> 02:31:38.107]  That's a big deal.
[02:31:38.127 --> 02:31:39.068]  We just extended that out.
[02:31:39.688 --> 02:31:43.850]  Our great supplier, My Patriot Supply, has decided to do that because they're so excited as well.
[02:31:44.730 --> 02:31:59.116]  InfoWarsStore.com is the main site to get your probiotics, or your vitamin, mineral fusion, fruit punch, your bio PCA for the hair and nails, or the bio-true selenium, liver cleanse, oxy powder, Prostagard, Anthroplex, it's just the dry version of the super metal vitality.
[02:31:59.476 --> 02:32:00.056]  It's all there.
[02:32:00.256 --> 02:32:03.198]  InfoWarsLife.com or call toll free 888-253-3139.
[02:32:03.218 --> 02:32:03.258]  888-253-3139.
